name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	The China Care Program		Half the Skys Nurture and Education Programs	The Youth Empowerment Program
Woodhall School Inc	http://		EIN 06-1076770	Po Box 550	Bethlehem	CT	06751	USA											
Rose Hope Animal Rescue And Refuge Inc	http://	(203) 238-4111	EIN 06-1486514	Po Box 34	Meriden	CT	06450	USA	Animal Protection & Welfare, Animals	Care and treatment of cats and animals					Care and treatment of cats and animals				
Kent Land Trust Inc	http://www.kentlandtrust.org	(860) 488-9185	EIN 06-1257251	Po Box 888	Kent	CT	06757	USA	Environment, Land Resources Conservation	To promote, for the benefit of the general public, the conservation of land and water natural resources principally in, but not limited to, the town of kent, connecticut.					Conservation property stewardship: the organization emphasizes proper stewardship of its conservation properties through aggressive removal of invasive plant species to restore native wildlife and plant habitat. It also maintains several miles of trails on its preserves for the enjoyment of the public. The organization monitors and enforces the conservation restrictions on its properties in accordance with its obligations under federal and state law.   conservation acquisition: the organization emphasizes the preservation of additional conservation properties to protect conservation values at risk of loss from development. In 2014, the organization concluded a multi-year effort to purchase a 252 acre preserve. The preserved was acquired on february 4, 2014. At the end of 2014, kent land trust placed conservation easements on 249 acres of the newly purchased preserve. The property was reduced in value by $690,000 since the conservation easements impaired the value of the property for its highest and best use.   conservation education and outreach: the organization conducts public education and outreach events throughout the year, drawing on the support of more than 100 community volunteers to organize hikes, scout service meetings, and other events. Each year it hosts a town-wide community conservation picnic with presentations, activities and displays encouraging conservation. It publishes a regular e-newsletter and social media site sharing conservation information. The organization rents property to a local organic vegetable farmer and manages a community garden on trust land.				
Israel Palestinian Cooperative for Economic Expansion, Inc.	http://www.ipcee.org	(203) 707-3078	EIN 45-3005555	12 Barn Hill Road P.O. Box 5003	Woodbury	CT	06798	USA		IPCEE encourages peace and peaceful cooperation between the Israelis and the Palestinians in the West Bank by promoting social and economic development and cross-border relationships between individuals and institutions.		Peace, coexistence, Healthcare and delivery, economic and social development.		Middle East	The multi-level IPCEE Healthcare Initiative is a synergistic model that is first based in the District of Jenin and provides for the following three key areas of support:  1. Medical fellowships in partner Israeli hospitals for Palestinian physicians from within variety of specialties, who will then return back to Palestine and serve within specific Palestinian hospitals.   2. The establishment of a state of the art biomedical engineering laboratory, staffed with specially trained biomedical engineers from Palestine. The biomedical engineering training will take place at a unique program that is licensed by the US government and based in Dallas, Texas.   3. The model provides for much needed biomedical equipment that will be installed, repaired and maintained by the Palestinian biomedical engineers trained in the USA.   In short, our model moves the Palestinians closer toward medical self-sufficiency and realizing shared aspirations for independence.				
Castagnola Family Inc	http://		EIN 94-1723540	56 Richmond Ave	W Haven	CT	06516	USA	Philanthropy, Private Grantmaking Foundations										
United Way Inc	http://www.unitedwayinc.org	(860) 493-6800	EIN 06-0646653	30 Laurel Street	Hartford	CT	06106	USA	Federated Giving Programs, Philanthropy, Philanthropy, Charity & Voluntarism Promotion	United way of central and northeastern connecticut mobilizes people and organizations to give, advocate and volunteer to help children succeed, ensure families are healthy and financially secure, and provide access to basic needs.					Donor designations:through the uwcnct community campaign, donors can direct their gifts to any qualified organization in the united states over which uwcnct exercises/retains no discretion as to use due to donor instruction. In order to qualify, an organization must meet the following three criteria: (1) fully tax exempt, (2) donations are 100% tax deductible, (3) in full compliance with federal patriot act law.   education - children graduate from high school college and career ready:there are five basic elements to children and youth succeeding: school readiness, early grade reading, middle school success, on-time high school graduation, and completion of college or advanced training. Our united way is focusing on the first three elements with an emphasis on early childhood education, third-grade reading proficiency, and comprehensive approaches to pre-kindergarten through eighth grade student achievement. We believe that these provide a solid foundation leading to students completing high school on time and with the skills needed to be successful in college and beyond.   basic needs - individuals and families have basic supports:economic conditions challenge all of us, some more than others. In the short term, we need to stabilize families by finding ways for them to have such basics as food and shelter. In the long term, our community will only prosper and grow if all children and youth succeed and if all families are financially capable and independent.				
Pet Pals Northeast	http://www.petpalsnortheast.org		EIN 06-1520447	Po Box 64	Plainfield	CT	06374	USA	Animal Protection & Welfare, Animals	Rescue, Spay/Neuter, Education, Medical Assist, Pet Adoption									
ASSOCIATION OF PERUVIAN AMERICAN PROFESSIONALS	http://		EIN 56-2313887	PO Box 943 c/o Rory Angulo	Simsbury	CT	06070	USA	Arts & Culture, Cultural & Ethnic Awareness	The Association of Peruvian American Professionals works to improve educational opportunities, professional development and cultural awareness to empower the Peruvian-American and Latino Community to reach their fullest potential.	2010 Highlights  - APAPRO Monthly e-Newsletter - Nominated APAPRO member, Melanie Dias, as APAPRO 2010 Exemplary Mother to be recognized in the community.  - Partnered with Wadsworth Atheneum Museum of Art to host the first Greater Hartford Children's Latino Film Festival showcasing quality, independent and international Latino themed children's films, shorts, animations, and documentaries. - Received grants from the following organizations/companies: The Greater Hartford Arts Council, Peru Opportunity Fund, State Farm Companies Foundation, and Hispanics in Philantrophy - Hosted a luncheon with Dr. Salomon Lerner, former President Emeritus of the Pontificia Universidad Catlica del Per (Pontifical Catholic University of Peru) and former president of the Peruvian Truth and Reconciliation Commission. - Organized a Flood Relief Effort to collect non-perishable food, clothing, and monetary donations for the victims of the floods in Cuzco, Peru. Father Michael Sequeira of St. Mary's Church of Visitation in Clinton along with a group of 45 people went to traveled to Cuzco, Peru to distribute the donations to those in most need.  -Partnered with Allpacuna Foundation on the "Campaign Bridge to Peru 2010" to collect clothing and blankets for those affected by the cold weather that swept through southern Peru.  - Supported Peruvian Consulate of Hartford on the Peru's Independence Day Celebration at the Learning Corridor Center - 4th Annual School Drive - 6th Annual Taste of Peru & Scholarship Fundraiser   2009 Highlights  - Partnered with the Hispanic Studies Program at Trinity College to host the first APAPRO Teacher's Conference: Incorporating Peru into the Curriculum.  - Peru's Independence Day Gala Dinner - Hartford's Mayor Eddie Perez recognizes APAPRO for our work in community development. - Partnered with Hartford Public Library to host a FREE Financial Aid (FAFSA) workshop in Spanish - Received grant from Hispanics in Philantrophy for Board Development - Volleyball Tournament Scholarship Fundraiser - Awarded three $1000 Scholarship to outstanding Latino students from CT - Redesigned APAPRO website and added two domain names to www.apapro.org, www.peruvianprofessionals.com and www.americanperuvians.com				APAPRO Scholarship Program				
Hadlyme North School Society Inc	http://		EIN 22-2494031	Po Box 328	Hadlyme	CT	06439	USA	Arts & Culture, Historical Organizations										
Friends of Animals, Inc.	http://www.friendsofanimals.org	(203) 656-1522	EIN 13-6018549	777 Post Rd Ste 205	Darien	CT	06820	USA	Animal Protection & Welfare, Animals, Veterinary Services, Wildlife Preservation & Protection	Friends of Animals has administered more than 2.5 MILLION spay/neuter procedures via the first nationwide, low-cost program to reduce the overpopulation of cats and dogs. FoA has programs to help domestic animals (wolves, horses, birds) in the US and wildlife overseas (especially elephants and chimpanzees). FoA supports a plant-based vegetarian diet.					Spaying and neutering program - friends of animals has advocated low-cost spaying and altering as the most effective means of preventing the births of unwanted dogs and cats, and their subsequent abandonment, suffering and mass killing. For 58 years, we have operated a nationwide breeding control program in the united states facilitating more than 2. 6 million spay/neuter procedures. Pet owners may purchase a certificate from friends of animals that can be used for a routine spay or neuter surgery at any of friends of animals participating veterinary hospitals. This year more than 27,000 cats and dogs were neutered through our program.   public information and animal protection- through animal advocacy programs and interventions, foa promotes endangered species and other wildlife protection. Campaigns against wild horse round-ups and the wild bird trade; the horse-drawn carriage trade; the fur trade; hunting and predator control, including state-sponsored wolf control programs in alaska and the northern rockies. Sponsors chimpanzee conservation projects in west africa, and primate sanctuary in texas. Vegan advocacy projects explain that a plant-based diet is the best response to an ecological crisis via educational materials, speeches and ads. Published four quarterly issues of actionline magazine; other educational materials produced for members, the public and media.   assisted another 501(c)3 organization with support to manage a sanctuary for primates and other animals abandoned by their owners or discarded by zoos, the entertainment industry and medical research laboratories.				
Greenwich Neighborhoods, Inc.	http://		EIN 22-2679095	PO Box 2250	Greenwich	CT	06836	USA											
Christian Community Action Inc	http://www.ccahelping.org	(203) 777-7848	EIN 06-0841885	168 Davenport Ave	New Haven	CT	06519	USA	Human Service Organizations	Christian community action, inc. Is an ecumenical social service organization that expresses faithful witness by providing help, housing, and hope to those who are poor in new haven.					Shelter agency has 17 apartments to house homeless families and provide food and counseling. Average stay is 60 days, and agency also places families in temporary housing  stepping stone transitional housing program provides 18 units for families staying 18-24 months  advocacy and education project addresses issues concerning welfare, health care, jobs and housing. Provides supplemental monies for approximately 25 individuals for education and training programs.   core-agency maintains food pantry to provide emergency food bags to families, seniors and disabled. Assists people with eviction/utility shut off problems. Distributed approx 5,200 bags of groceries/food baskets to eligible individuals. Arise- startup of program to to prevent a first experience with, or a return to homelessness.				
Extended Family Of Connecticut	http://		EIN 26-1701427	PO Box 270330	West Hartford	CT	06127	USA	Family Services										
Arts For Learning Connecticut Inc	http://www.yaconn.org	(203) 230-8101	EIN 06-1009470	3074 Whitney Ave Bldg 2 Second Flr	Hamden	CT	06518	USA	Arts & Culture, Performing Arts Schools	To heighten students' appreciation of the performing arts and to allow students and teachers to participate in the performing arts.					Program services consist of two types of programs, an auditorium performance which is a presentation by a performing artist and a class room workshop both presented to middle and grammar school students. The purpose of these programs is to heighten the students appreciation of the performing arts, to allow students, and teachers to participate in the performing arts and to use performing arts to teach discipline.				
The Friends Of The Russell Library	http://		EIN 22-2624231	123 Broad St	Middletown	CT	06457	USA											
The Daniel Trust Foundation, Inc.	http://www.DanielTrustFoundation.org	203-345-3573	EIN 27-1015420	285 Fairfield Avenue	Bridgeport	CT	06604	USA	Children & Youth, Education, Scholarships, Scholarships & Student Financial Aid, Youth Community Service Clubs	The Daniel Trust Foundation, Inc. (DTF) advises and helps teens plan their education and careers with meaning and purpose through mentorships. In addition, the foundation rewards and recognizes students with scholarships and teachers with grants, who give back to causes they are passionate about in their communities through activism and community service.	To date, the Daniel Trust Foundation has awarded over $16,000 in scholarship money to 8 students from 3 different States, who are attending 7 different colleges in CA, CT, NC, and Washington, DC such as Fairfield University, University of North Carolina, Chapel Hill, University of California, Berkeley, and American University. In addition, the foundation has honored 2 Bridgeport Public Schools teachers with the $1,000 Kathy Silver Award.	students and teachers who give back to their community through activism and community service.	8 students from 3 different states and honored 1 local teacher with the Kathy Silver Award	United States	The Student Scholarship & Teacher Recognition Programs.				
CentsofRelief	http://www.centsofrelief.org	203-533-9267	EIN 43-2019149	109 Church Street, Apt 202	New Haven	CT	06510	USA	AIDS, AIDS Research, Disaster Aid, Health, Human Service Organizations, International, International Relief	Cents of Relief endeavors to allow vulnerable populations, particularly women in prostitution and their children, access to healthcare and prevention from human trafficking. Our projects are dedicated towards providing educational opportunities, improving healthcare, and stopping human trafficking in hopes of permitting these individuals to enjoy the basic necessities of life.		Women and children who have been trafficked or are at risk of human trafficking.		South Asia	Burn Surgery International, CoR Comic Book Series, eMentoring, Rx Healthy Solutions, Crafting Change				
After School Arts Program, Inc.	http://www.AfterSchoolArtsProgram.org	(860) 868-0740	EIN 20-1308465	PO Box 15	Washington Depot	CT	06794	USA		The After School Arts Program (ASAP) provides opportunities for children to create, collaborate, and express themselves through exposure to and participation in the arts under the guidance of arts professionals.  Founded in April 1999, ASAPs original goal was to engage local middle school children from Region 12 in arts programs otherwise unavailable to them. ASAP held its first eight workshops in music, dance, and art with 72 students. With success and increased demand for programs, ASAP expanded its geographic reach and extended the range of the children it serves. Reconstructed as a nonprofit organization in 2004, it has produced hundreds of workshops and events, touching the lives of more than 47,000 children and adults from 86 towns across Connecticut.					With the use of educational materials and seminars to educate the public on all aspects of the arts, over 757 students enrolled and nearly 10,000 people participated in our programs.				
Light of Hope Foundation, Incorporated	http://www.lohfoundation.com	860-261-7368	EIN 27-4294075		Bristol	CT	06010	USA		It is our mission to support families of children with terminal illness, disease or trauma. We will be by their side emotionally, physically, and financially and vow, to do it with respect and compassion.	As an organization we have made leaps and bounds. We have our website up and running, Facebook page going, all of our thoughts and emotion are going forward in the way of new programs.	Low income families, Western CT, Bereaved families		Litchfield County, Hartford County CT					
Bethsaida Community, Inc.	http://www.bethsaidact.org	860-886-7511	EIN 22-2816330	PO Box 913 225 Main Street	Norwich	CT	06360	USA	Homeless & Housing, Housing & Shelter, Temporary Housing					Southeastern CT	The Katie Blair House program provides transitional housing for women who are at the beginning stage of realizing they need help to change their lives for the better. Residents in the Katie Blair House find employment within the first 30 days of their stay at Bethsaida. They are responsible for paying 30% of their earnings back to the agency. Typically after one year, most women are able to find other permanent housing. The House holds 8 women at a time who share all living quarters.				
Environmental Learning Centers Of Connecticut Inc	http://www.elcct.org	(860) 589-8200	EIN 23-7094283	501 Wolcott Rd	Bristol	CT	06010	USA	Environment, Environmental Education	To inspire an appreciation for the enjoyment of nature through education and conservation, fostering a healthy environment and an improved quality of life.					The organization offers a diversity of hands-on experiential programs using a variety of resources and facilities. The programs are offered at the barnes nature center, indian rock nature preserve and in the schools of connecticut.				
FRIENDS OF CHILDREN INC	http://www.thefriendsofchildren.org		EIN 06-0908458	P.O. Box 5011	Woodbury	CT	06798	USA	International, International Relief	Founded in 1973 in Connecticut, Friends of Children today continues its mission to identify and support well-run, cost-effective programs serving	children suffering from poverty, homelessness, and hunger.					North America, Central & South America, Caribbean, Africa, Asia.  Please visit our website for the specific programs we support in these geographic areas.				
Trumbull Animal Group Inc	http://		EIN 06-1560648	Po Box 110090	Trumbull	CT	06611	USA	Animal Protection & Welfare, Animals										
CAMP RISING SUN CHARITABLE FOUNDATION INC	http://www.camprisingsun.com		EIN 20-4853548	PO BOX 472	Branford	CT	06405	USA	Philanthropy	Camp Rising Sun exists so that all who come can have fun, improve familiar skills, learn new skills and develop self-confidence by joining in camp activities in a secure positive place.		Camp Rising Sun			Camp Rising Sun is a camp for children who have been diagnosed with cancer. Children ages 5 - 17 attend camp free of charge. Our 'Senior Campers' (16- and 17-year-olds) can apply to be part of our "Leader in Training" program. Run by former camper Katie Link, the LIT program is designed to give campers who may want to come back as counselors an opportunity to take on more responsibility, help with younger campers, and plan activities.  Camp is staffed by volunteer counselors who give a week of their time, love and energy. We have a pediatric oncologist and three nurses on campus 24-hours a day to tend to medical needs.  Camp Rising Sun started with 8 children in its first year and has grown to over 100 campers. 2013 will mark our 30th anniversary!				
Stamford Cross Road Residences Inc	http://	(203) 230-4809	EIN 22-2538947	C/o Ehm 127 Washington Ave 5th Fl R	North Haven	CT	06473	USA		The corporation owns and operates 24 units of low income elderly housing.					Rental of low income elderly housing - 24 units				
Jordan Matthew Porco Memorial Foundation	http://rememberingjordan.org	860.904.6041	EIN 27-5039555	225 Asylum St. 12th Floor	Hartford	CT	06103	USA		The Mission of the Jordan Matthew Porco Memorial Foundation is to prevent suicide in the college and college entry student population that is often the end result of significant emotional disorders triggered by stress and/or not recognized within the person until it is too late. We do this in the name and spirit of Jordan Matthew Porco, who died by suicide in 2011. YOU ARE NOT ALONE IN THIS.		prevent suicide among the college age student population		Connecticut	Fresh Check Day, 9 out of 10, Looking Forward: The Transition Year				
Community Counseling & Consulting	http://		EIN 06-1391590	148 Factory St	Salisbury	CT	06068	USA	Mental Health, Mental Health & Crisis Intervention										
The Queenie Foundation, Inc.	http://www.queeniefoundation.org	860 649 4488	EIN 75-2659643		Manchester	CT	06040	USA	Animal Protection & Welfare, Animals	The Queenie Foundation promotes kindness to all animals through humane education and companion animal rescue/adoption.	June 30, 2015: We have placed 134 cats since September 2010 in Connecticut. We placed literally hundreds of small pure and mixed breed dogs in the Dallas/Ft. Worth, TX area from 2005 to 2013. When Audrey Merritt, our dear friend and Vice President, died in February 2014, we closed our office. We have recently reopened the office to carry on our mission of placing displaced and homeless dogs and cats in that area. Our Board Member and Rescue/Adoption Coordinator, Michelle, is a seasoned Husky rescuer and has joined us to continue addressing the homeless dog and cat issue in the Dallas/Ft. Worth area. We are thrilled to reopen our office there and feel that we have an advantage since Michelle has decades of rescue experience.	homeless cats and offer information in CT and homeless dogs and cats in Dallas	38 cats by placing them in loving forever homes.	the greater Hartford, CT area and Dallas, TX	Humane Education: spay/neuter education, promote a vegan/cruelty-free lifestyle and focus on children and adolescents to interrupt the animal abuse/child abuse/adult violent behavior link.				
Continuum Of Care Inc	http://www.continuumct.com	(203) 562-2264	EIN 06-0836524	67 Trumbull St	New Haven	CT	06510	USA		To provide comprehensive community based residential and support services that enable persons with psychiatric and developmental disabilities to live as fully in the community as possible.					Supported living program: the provision of personalized program planning to developmentally disabled individuals under the auspices of the state of ct department of developmentally disabled services. Services include housing, case management, day programs and assistance of daily living.   extended living program: provide independent living in ones's own or shared apartment for clients with chronic mental illness, coupled with intensive individualized team case management services. Utilizing flexible continuous contact and assistance with daily living activities thereby assuring continuity of care.   marion ave group home: a five person licensed group home for developmentally disabled adults operated under the auspices of the state of ct department of developmental disability services.				
Artspace Inc	http://www.artspacenh.org	(203) 772-2709	EIN 22-2533535	50 Orange St	New Haven	CT	06510	USA	Arts & Culture, Economic Development, Visual Arts	Artspace's mission is to connect artists, audiences and resources; to catalyze artistic activity; and to redefine art spaces.					Artspace's gallery program includes exhibitions in various formats and scale, including individual, site-specific projects, small solo exhibitions, installations, curated thematic group exhibitions, window installations, and a large city-wide festival that encompasses offsite exhibitions. We invite proposals from artists and curators twice per year. A group of 10 elected volunteer artists, curators, and critics serves as a peer review visual arts committee, and assists the staff in the selection of applications for special funded commissions, and with the planning of portions of the program schedules. The mission of the organization as established in its 2012 strategic plan, and reaffirmed in 2013, is too catalyze artistic activities;o connect contemporary artists, audiences, and resources; ando enrich art experiences and activate art "spaces". As a means to support artists in other ways, artspace maintains a flatfile of works on paper by approximately 125 local, regional, and national artists juried by our staff curator and the visual arts committee. Works on paper include collages, drawings, prints, photographs, paintings on paper, and small books. Art from the flatfile is drawn upon for group and solo exhibitions. The flatfile is a resource for collectors, curators, artists, and students. Artists bring new work to their portfolios annually, creating an ever-changing, dynamic body of affordable artwork. Artspace also offers professional development workshops to aid artists in promoting and presenting their work to curators, galleries and institutions.   city-wide open studios - since 1998, artspace has presented city-wide open studios every year. This is our flagship and most popular event. It's a democratic fall festival that brings together hundreds of area artists with thousands of audience members. Artists in new haven, west haven, hamden and north haven all open their studios in a coordinated way. The event is free to the public. To assist artists who cannot afford a studio, or who do not have access to a workspace that can accommodate the public, artspace negotiates with landlords to secure underutilized space. In so doing, vacant buildings are reinvented as exhibition spaces and temporary studios that aid in our ongoing community development efforts. All artists are welcome to participate regardless of training or background. To facilitate the public's discovery of all the sites, and heighten the public's understanding of the creative process, artspace publishes a printed guide with a map to all the studios and an online guide with images from each participating artist. Artspace also organizes guided walking, van and bike tours and demonstrations. Artspace presented its 17th annual city-wide open studios, showcasing 300 connecticut artists in their studios and temporary spaces. Since the program's inception, artspace has showcased over 2 million square feet of commercial and industrial space in transition, in the service of new haven's economic development. About half of this space has gone on to find new tenants, uses and owners. To help artists prepare for city-wide open studios, artspace organized a unique professional development workshop speed/networking/live! In which 20 esteemed curators came to coach artists, each spending 5-6 minutes with an equal number of artists. The curators represented museums and institutions around new england. In 2015, this event was copied (with our enthusiastic permission) and adapted by the vulnerable cleveland, oh alternative space (spaces). The new haven register donated advertising space and the city of new haven contributed the 200,000 sq ft goffe st. Armory for exhibition space for the event. As a fundraiser and educational event, we continue to refine and enhance the featured series of special tours, led by a curator and focusing on a few studios of notable artists.   youth and education programs - artspace organizes a range of initiatives aimed at fostering an appreciation for art within new haven public high school students. All youth programs are designed for long-term relationship building between artists, educators, and students in the context of artmaking, critical thinking, and contemporary culture by providing students with mentors and positive creative experience within the a gallery setting. Artspace endeavors to stimulate life-long interest and involvement in the art world. Artspace organized and executed the 14th annual summer apprentice program. The master artist was laureline kruse, and the project involved the creation of a new mobile museum of american artifacts, in a rehabbed vintage trailer. Participating students represented the following public schools: hillhouse high school, common ground school. Cooperative arts and humanities high school, educational center for the arts, metropolitan business academy, high school in the community, and new haven academy. The students solicited objects for the museum from members of the community and also captured less traditional items- local sounds, interviews and momentos. The program served to highlight the question of who decides what is worthy to include in our cultural institutions. The master artist parlayed her experience working with artspace into a valuable fellowship with national arts strategies.				
Connecticut Labrador Rescue Incorporated	http://		EIN 27-0745106	299 Hidden Lake Rd	Higganum	CT	06441	USA	Animal Protection & Welfare, Animals										
Lordship Improvement Association Inc	http://		EIN 27-0670033	Po Box 313	Stratford	CT	06615	USA	Amateur Sports, Sports										
Pencils of Promise Incorporated	http://www.pencilsofpromise.org	(212) 777-3170	EIN 26-3618722	17 Meadow Pl	Old Greenwich	CT	06870	USA	Education, International, International Development, Primary & Elementary Schools	At pop, we believe every child deserves access to quality education. We create schools, programs and global communities around the common goal of education for all. We accomplish these activities by dedicating significant amounts of time, labor and effort raising money in the u. S. Through youth and professional engagement programs and special events. The funds raised allow us to increase our domestic and international reach and impact. At the conclusion of 2014, we have broken ground on 257 schools across the four countries of laos, ghana, guatemala and nicaragua. Our schools are open to students in each country and the stages of planning and construction are underway in several new communities to aid in expanding our reach in 2015.					The first of our core programs is schools builds. We partner with local communities and governments to improve the state of education infrastructure in communities. Our short term goals are to address the need for improved infrastructure with our long term goals being to improve student attendance, progression, and test scores. The beneficiaries of our school building program are primary school students currently attending school in poor quality structures and primary school teachers currently teaching in poor quality structures. Through the end of 2014, we have broken ground on a total of 257 schools across our geographies.   our second core program is our wash program. Wash is an internationally recognized and utilized program that is designed to provide access to and knowledge about water, sanitation, and hygiene. Unicef adopted wash in 2005 as their primary intervention to tackle hygiene needs in the developing world; pop began wash practices in 2010 in laos. In carrying out this program, we build student and teacher sanitation facilities (sinks and bathrooms) in conjunction with classroom builds. In addition, our staff visit classes twice per month during the school year to teach lessons related to water, sanitation and hygiene. The primary goals of this program are to build and provide access to quality toilets, potable water and hand washing stations in conjunction with pop schools lacking such infrastructure. Additionally, we aim to increase proper hygienic and sanitary behavior in primary students.   our third core program is teacher support. We support teacher development through in-service and workshop training sessions. Our staff visit government teachers in our communities twice per month to aid in lesson planning, methodology training and rapport building with students. Teachers attend workshops for group training and network building. We use a methodology of teaching that focuses on the engagement of the student because more engaged students perform at a higher level. We do this through an expressive pedagogy, which involves usage of facial expressions, motor memory (song, dance, sign, etc. ) and creative didactic materials. The short term goals of our teacher support programs are: to improve lesson planning by assisting teachers in the creation and use lesson plans; to build rapport with students by encouraging teachers to adopt our interactive methodology to better engage students; to support a peer network of teachers through teacher training workshops, and; to provide classrooms with teaching and learning materials. Our long term goal is to increase primary student scores in literacy, numeracy and english across all our geographies. The main beneficiaries of our teacher support program are the teachers and students in our schools and communities. Through 2014, we have supported over 350 teachers in seven communities in laos, 11 in ghana and 16 in guatemala.   our fourth core program is our scholarships program. We support the progression of students from primary to secondary school by providing scholarship packages. Communities are selected as eligible for scholarships based on the results of the scouting rubric; at which point all students in the final grade of primary school are eligible to apply. Students in their final year of primary school with 75% attendance at the mid-year mark receive a prize (reading books, pencils, etc. ) and students with 75% attendance at the end-year mark receive the following scholarship package: tuition for first year of secondary school, a uniform, a backpack with school supplies, textbooks and paid dormitory fee when applicable. The key beneficiaries of our scholarship program are teachers and students in our communities. Since inception of this program, we have provided over 2,500 scholarships to students in need in our geographies. With all of our programs, we extensively monitor and evaluate our program impact. To best judge how effective our impact is, we closely monitor and evaluate (m&e) our programs on the ground. We have local m&e teams who conduct interviews and surveys with village leaders, teachers, students, and parents. This help us to understand the needs of villages in which we operate, our impact on the community, and areas in which we can improve pop operations and programming. Our student database helps us understand who we are serving every year in our pop schools. We document each pop student's name, age, gender, ethnicity, attendance, progression to next grade level, and grade in class. Each year, we track village-wide student enrollment, attendance, retention from one grade to the next, progression from primary to secondary school, and grades and/or test scores. We expect to improve these metrics through the variety of educational programs we offer students and communities. In addition, we follow individual pop students through the years to assess their educational successes and failures, along with their understanding, attitude, and behavior regarding education and elements of wash. These yearly interviews will help us understand the impact that we have on individuals through our programming. Domestically, we expanded our global communities through several updates to our website and through our expanding outreach program across our digital platforms to both youth and professionals. We have an online community of over 550,000 members who stay engaged with our work through updates, posts and blog entries.				
Meriden-New Britain-Berlin Young Mens Christian Association Inc	http://meridenymca.org	(203) 235-6386	EIN 06-0646977	110 W Main St	Meriden	CT	06451	USA	Human Services, Young Mens or Womens Associations	The meriden ymca seeks to become a 'master link' in our community to enhance the quality of life for all people who live and work in the city of meriden. The meriden ymca provides all people opportunities that can open doors to an exceptional life. The meriden ymca was founded in 1866 and is part of the largest nonprofit community service organization in america. Ymcas are the heart of the community life in neighborhoods and towns across the nation. Ymcas work to meet the health and social service needs of over 16 million men, women and children. The meriden ymca, like all ymcas, serves all faiths, races, abilities, ages and incomes. No one is turned away for inability to pay. Our strength is in the people that we bring together. The meriden ymca programs are the tools for building the core values of caring, honesty, respect and responsibility. The ymca is about youth development, healthy living, and social responsibility.					Membership services and programs - in 2014, over one half of the meriden community was touched by the meriden ymca's fitness activities, aquatics, youth sports, art and outreach programs. Service is provided for all faiths, races, abilities, ages and income. No one is turned away for inability to pay. Our strength is in the people that we bring together. In 2014, program and membership subsidies were awarded to over 3,800 families or individuals. Swim instruction was provided to 266 children grades 3 - 5. Physical education classes were provided to all meriden parocharial schools, serving over 325 students. The ymca served and delivered over 825 meals and 300 toys at thanksgiving and christmas. (see schedule o) the meriden ymca coordinates with 72 other organizations in and outside the city of meriden.   early childhood education and child care programs - the meriden ymca is a community leader in affordable child care for working families. Programs include infant and child day care, before and after school care, and school readiness preschool learning centers at ten convenient locations. Subsidized usda meals at all locations, field trips, and quality socialization and education are offered. In 2014, the meriden ymca provided preschool and daycare services to 908 families in the city of meriden.   day camp and outdoor center - over 80% of camp scholarships awarded in meriden attend meriden ymca mountain mist day camp, with over 450 children each session. Mountain mist day camp is a full service day camp operation that includes a swimming pool, playscape, soccer fields, basketball courts, baseball fields, rock climbing apparatus, covered picnic areas and acres of wilderness. Mountain mist day camp provides transporation and extended hours, making it convenient for working parents. Mountain mist day camp provides an enriching experience to children ages 3 - 16 and ensures children are having a fun, productive summer. Scholarships were provided to over 200 campers and no is turned away for inability to pay.				
CONNECTICUT PLAYMAKERS INC	http://		EIN 06-6048690	94 Davenport Dr	Stamford	CT	06902	USA	Arts & Culture, Theater										
SHEPAUG STUDENT PROJECT FOUNDATION INC	http://www.shepaugspf.org		EIN 06-1382548	159 South St	Washington	CT	06793	USA	Education, Scholarships, Scholarships & Student Financial Aid, Secondary & High Schools	To promote extraordinary and unique education through student projects and foreign student exchanges.									
George Child and Family Welfare	http://	+27(0)448740424	EIN 	13 Albert Street	George		06530	South Africa		Out of the constitution:  The name of the Organisation shall be: George Child and Family Welfare hereafter referred to as GCFW.  The object of the Organisation shall be to protect and promote the interests, well-being, safety and development of children within the context of family and community and to safe-guard the rights of children.  In order to achieve such Object the Society shall, inter alia  6.1 provide appropriate and relevant services in the form and language which is Accessible and acceptable to all the people in its area of operation;  6.2 render child, family and community centred services for the protection and welfare of children;  6.3 facilitate the development of human and structural resources, within its area of operation in order to preserve family life and enhance people's own capacity, self reliance and the development of community support networks;  6.4 emphasise preventive, pro active and developmental approaches in the planning and implementation of its services;  6.5 create public awareness of the needs and rights of children, and society's responsibility to create a nurturing environment for them;  6.6 take steps to bring about the removal of conditions detrimental to the emotional and physical well-being of the children, families and the community it serves;  6.7 seek, create, liaise and/or collaborate and develop networks with government and other organisations;  6.8 initiate and undertake fundraising and public relations activities;  6.9 advocates, promote and support legislative and other measurers designed to meet the needs and protect the rights of children;  6.10 identify, investigate, assess and undertake research in respect of social and other conditions, deficiencies in services and legislation relevant to the organisation and the recipients of its services;				Magisterial district of George, South Africa					
Tara Farm Rescue	http://		EIN 06-1506652	670 Babcock Hill Rd	Coventry	CT	06238	USA	Animal Protection & Welfare, Animals										
New Milford Hospital Health Care Inc	http://		EIN 22-2526527	21 Elm St	New Milford	CT	06776	USA	Unknown										
