name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year	
The Family Place	http://www.famplace.org	(651) 225-9354	EIN 41-2003333	244 10th St E	Saint Paul	MN	55101	USA	Human Service Organizations	Assisting families in shelter to gain more confidence in building future goals that will lead to success of the entire family.		Provide a safe daytime, care center for homeless families with children  coordinate and deliver services to increase stability for homeless families with children as they seek housing.   provide intake services to county social service system.   provide children's enrichment program to foster positive self image through art, crafts, and field trips.				
Sole Care For Souls	http://		EIN 26-3300002	4190 Vinewood Lane No	Plymouth	MN	55442	USA	Human Service Organizations							
Cabrini Partnership	http://www.cabrinipartnership.org	612-331-7390	EIN 41-1509336	919 12th Avenue Se	Minneapolis	MN	55414	USA	Centers to Support the Independence of Specific Populations, Group Homes, Homeless & Housing, Homeless Centers, Mental Health, Substance Abuse Treatment	Cabrini Partnership provides housing and services to support homeless adults with mental illness and chemical dependency to strengthen their lives, families and community.	Twin Cities Metro Area of Minnesota	Cabrini Partnership has two programs. A transitional housing program houses and stabilizes dually diagnosed adults in a community setting.  The program can accomodate 23 adults at a time.  Annually we serve 55-60 in this program.  The second program offers permanent supportive housing that makes available affordable, one-bedroom apartments to people with a history of severe & persistent mental illness/ chemical dependency and who are long term homeless. Currently, we are providing a home for 80 individuals.  The majority are long-term homeless who previously were living on the streets or in shelters. Our two programs share three primary components: stable housing; a strengths-based model of case management; the availability of assistance when it's needed.	In FY 2010:   *212 individuals had a safe place to live and the supportive services they needed   *75% remained housed throughout the year   *3 out of 4 of our clients who experienced mental illness and chemical dependency, learned how to manage their mental and chemical health   *89% sustained sobriety or reduced substance abuse	Homeless adults who are mentally ill and/or chemically dependent	In FY 2010 - 212 adults	
New Discoveries Montessori Academy	http://www.newdiscoveries.org	(320) 234-6362	EIN 41-2194949	1000 5th Ave Se	Hutchinson	MN	55350	USA	Education, Elementary & Secondary Schools, Literacy	Education for life to provide children with a quality education that prepares them intellectually, physically, socially, creatively, and emotionally for our changing world and all its joys and challenges.		New discoveries montessori academy (ndma) is a public elementary charter montessori school serving 162 students, grades kindergarten through sixth. Ndma is a member of the american montessori society.				
Kaleidoscope Place	http://www.kaleidoscope-kids.org	(612) 871-9268	EIN 20-8449852	2400 Park Avenue	Minneapolis	MN	55404	USA		At Kaleidoscope Place our mission is to provide a creative, educational, and nurturing environment for children and youth to learn and grow in character and community.	Minneapolis; Hennepin County		Since 2000 we have provided programming and/or jobs to over 800 students.		250	
Metropolitan Symphony Orchestral Association	http://msomn.org	(952) 215-7842	EIN 36-3305025	Po Box 581213	Minneapolis	MN	55458	USA		To perform outstanding symphony concerts for diverse audiences throughout the twin cities metropolitan area.		Performed six concerts, free of charge, for audiences in the twin cities metropolitan area totaling approximately 3,000.				
NECHAMA - Jewish Response to Disaster	http://NECHAMA.org	763-732-0610	EIN 41-1998750	4330 Cedar Lake Rd. S	St. Louis Park	MN	55416	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services, Public Safety, Disaster Preparedness & Relief	NECHAMA - Jewish Response to Disaster is a 501(c)(3) volunteer organization providing clean-up and recovery assistance to homes and community spaces affected by natural disasters.  Guided by the Jewish value of Tikkun Olam, repairing the world, performing good acts, and helping the stranger, NECHAMA offers a helping hand in the spirit of goodwill and creating mutual respect and understanding among people.	General United States	Direct  assistance to disaster survivors in the form of mobilizing volunteers to provide cleanup services following a natural disaster event.	In the past 3 years, we've assisted over over 1,100 homes or community spaces, provided leadership to over 3,700 individual volunteers, provided 93,000 total hours of service, and provided $3.6 million worth of services to disaster-stricken communities.	Disaster Survivors	~340 households with cleanup assistance and/or repair and rebuild services.	
Project For The People Of Paraguay	http://	(320) 845-4357	EIN 41-1850351	32205 Blattner St	Avon	MN	56310	USA	International, International Relief	Provision of food, clothing, education, toys, medical needs, daycare, and housing for the people of paraguay.		Provision of food, clothing, education, toys, medical needs, daycare, and housing for the people of paraguay.   provision of food, clothing, education, toys, medical needs, daycare, and housing for the people of paraguay.				
Project Healthy Smile	http://www.projecthealthysmile.org		EIN 27-0947070	P.O. Box 2721	Minneapolis	MN	55402	USA	Health, Public Health	Provide oral health education and dental supplies to underprivileged children globally.	Haiti, Uganda, Vietnam and Cambodia.	http://projecthealthysmile.org/program/	Currently PHS has programs in Haiti, Uganda, Vietnam and Cambodia.	Children organizations and orphanages in impoverished countries.		
LYRA	http://www.lyrabaroque.org		EIN 36-3369159	275 E 4th St Suite 280	Saint Paul	MN	55101	USA	Arts & Culture, Symphony Orchestras	To inspire and enrich the community through exceptional performances of baroque music on historic instruments.		Concerts of glorious music from the seventeenth and eighteenth century on period instruments.  Masterclasses and family concerts that inspire future generations of musicians and music lovers.				
AdoptAClassroom.org	http://www.adoptaclassroom.org	877-384-0764	EIN 65-0828272	110 N 5th Street Suite 820	Minneapolis	MN	55403	USA	Education, Parent & Teacher Groups, Scholarships, Scholarships & Student Financial Aid	AdoptAClassroom.org increases opportunity for student success by empowering teachers with community donors and funds to purchase classroom resources.  AdoptAClassroom.org provides an easy and accountable way for anyone to make a tax-deductible donation to any classroom, anywhere in the United States.  Every school is listed at www.adoptaclassroom.org.	National	Arts Programs, Music Programs, STEM Programs, First Year Teacher Fund	Since it was founded in 1998, AdoptAClassroom.org has raised over $28 million on behalf of classrooms throughout the United States.	AdoptAClassroom.org supports K-12 classrooms throughout the United States.		
Project Zawadi Incorporated	http://www.projectzawadi.org	(866) 589-6116	EIN 06-1629249	253 Duke Street	Saint Paul	MN	55102	USA	AIDS, Education, Health, International, International Cultural Exchange, International Exchange, International Relief, Scholarships, Scholarships & Student Financial Aid	PROJECTZAWADI's mission is to provide educational opportunities within a nurturing environment to orphaned and other vulnerable children in Tanzania so that they become self-reliant and active members of their communities.	the Mara Region of Tanzania	educational sponsorship from primary school through as far as a student can take their education (secondary school, vocational training, university, teachers' training, etc.)		orphaned and vulnerable youth	322 students on their path to self-reliance through education.	
THREE RIVERS COMMUNITY ACTION INC	http://www.threeriverscap.org	(507) 732-7391	EIN 41-0906178	1414 N Star Dr	Zumbrota	MN	55992	USA	Community & Neighborhood Development, Economic Development, Human Services	Three rivers community action, inc. , a private nonprofit corporation, works with community partners to address basic human needs of people in our service area, thereby improving the quality of life of the individual, family and community.		Housing - provide a continuum of housing services and assistance to low-income families; provide home ownership education and counseling to 273 households, stabilize 112 rural housing units, weatherize 77 homes, complete energy conservation activities on 45 homes, assist 176 households with energy repairs, provide 21 households with housing grants and loans, manage 449 affordable rental units, provide temporary supportive housing and homeless prevention assitance and case management to 131 households, provide transitional housing and case management to 14 homeless household, assist 5,764 households with energy assistance, provide 1,942 households with energy crisis assistance and provide housing advocacy, education, networking, information and referral.   transportation - provide 520,126 public transit rides and provide 3,087 volunteer rides.   early childhood/head start - provide early childhood/head start services to 238 children and their families.				
Reach & Restore	http://www.reachandrestore.org	(952) 933-1393	EIN 26-2694955	4737 Highway 101	Minnetonka	MN	55345	USA	Emergency Assistance	Provide clothing, furniture & hope to our community		During 2014, reach & restore provided 3,100 families and individuals with assistance in the community. There were over 1,100 clothing appointments in which over 30,000 clothing items were distributed. Household items, furniture and linens, toys, books and toiletries were also given in quantity to the referred clients. We were unable to meet all the requests this year we had another substantial increase in referrals.				
NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED	http://www.ncjwmpls.org	(952) 922-7900	EIN 41-0675915	13100 Wayzata Boulevard Suite 160	Minnetonka	MN	55305	USA	Civil Rights, Philanthropy, Voluntarism Promotion, Women, Womens Service Clubs	The greater minneapolis section helps meet the needs of women, children and families through community service projects, advocacy education programs and membership events.	Greater Minneapolis, MN	Stuff for School, Food for Families, Furniture Exchange, Tutoring & Mentoring, Rose Rees Peace Awards, Get Smart Advocacy Education, Jewish Women's Morning at the Capitol, and many other community service and social justice advocacy programs		women, children and families	more than 15,000 Minneapolis Public Schools children and their families.	
Hot Meals On Wheels Inc	http://		EIN 41-6175034	Po Box 371	Austin	MN	55912	USA								
Sharedgeo	http://		EIN 26-3608799	1360 University Ave West Suite 455	Saint Paul	MN	55104	USA	Disaster Aid, Disaster Preparedness & Relief Services							
Ashland Productions	http://www.ashlandproductions.org	651-274-8020	EIN 32-0122026	2100 White Bear Avenue	Maplewood	MN	55109	USA	Arts & Culture, Arts Education, Theater	Ashland Productions creates the forum for children and adults to grow in their appreciation of the performing arts by providing hands-on learning opportunities to develop and encourage the skills essential to the production of quality live theatre.	Twin Cities Metro Area	Ashland productions provides a place for theater enthusiasts to practice their craft while giving local audiences superior entertainment opportunities. Ashland produced 25 productions during the year, hosted a summer camp for kids, and performed various other related services. These activities serviced hundreds of participants and thousands of audience members.				
United Cerebral Palsy Of Central Minnesota	http://www.ucpcentralmn.org		EIN 41-0807591	415 3rd St Ne Suite 110	Waite Park	MN	56387	USA	Birth Defects & Genetic Diseases, Health, Health (General & Financing), Health Support	UCP serves as the premiere Information and Referral specialist for individuals and families living with the challenges of cerebral palsy and similiar disabilities. The mission os United Cerebral Palsy of Central MN is to enrich the quality of life for persons with cerebral palsy and other disabilities.		UCP-CM's programs include Public Education,Free quarterly newsletter; Information & Referral; Scholarships for post-secondary education; Financial Assistance for Equipment; Super Strikers bowling league for kids with disabilities; Computers Go Round, a program to recycle donated computers to persons with disabilities; and an Assistive Technology Center providing an opportunity to see demonstrations and try a variety of A.T. items.				
Arts Center Of Saint Peter Inc	http://www.artscentersp.org	(507) 934-3630	EIN 41-1363831	315 S Minnesota Ave	Saint Peter	MN	56082	USA	Arts & Culture, Arts & Humanities Councils & Agencies	Provide, develop and foster artistic and cultural resources to promote educational and artistic programs in the community.	Nicollet county and surrounding region	Arts center  arts center		Children, adults and senior citizens residing in St. Peter, Mankato and surrounding communities.		
Energy & Environmental Building Association	http://www.eeba.org	(952) 881-1098	EIN 39-1704725	9900 13th Ave N Ste 200	Plymouth	MN	55441	USA	Environment	To provide education and resources to transform the residential design, development, and construction industries to profitably deliver energy efficient and environmentally responsible buildings and communities.		Educational conferences  annual conference  houses that work educational seminar  other				
Polo for Philanthorpy	http://www.poloforphilanthropy.com	877-692-7656	EIN 47-5519581	3570 Lake Sarah Road	Minneapolis	MN	55359	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Polo for Philanthropy is a non-profit organization dedicated to raising funds and awareness for other charities. The Polo Classic has been in existence for 26 years as the preeminent polo event in the Twin Cities. With a rich history of exciting competition and unique events, The Polo Classic continues to grow every year. In 2016 Diner en Blanc and The Derby Day Affair - Unbridled Fun for Philanthropy, have been added. Over $2 million has been raised in the past for Minnesota charities. Every August, Polo for Philanthropy invites charities to apply for funding for the following year. We also donate auction items and packages that typically include experiential items involving equines.	The Greater Twin Cities Area, Minnesota	The Polo Classic, Diner en Blanc and The Kentucky Derby Day Affair and give profits to 501(c)(3) charities focussed on health/wellness/medical, youth or leadership.		Charitable Organizations through funding and exposure	Four charities through cash donations. Over the past 20 years, we have donated more than $2,000,000	
Muslims Without Borders	http://	(612) 251-5234	EIN 26-4753763	2751 Hennepin Avenue South	Minneapolis	MN	55408	USA	Ethnic &  Immigrant Centers, Immigration	Through education to correct the misintrepretation of islam among muslims themselves and a better understanding for the non muslims. To protect the rights of women and children, to prevent radical activity and terrorism, improve work skills, help during crisis such as hurricanes and floods, etc		No grants or contributions this year.				
SUCCESS BEYOND THE CLASSROOM, INC	http://www.successbeyond.org	612-638-1500	EIN 41-1948020	3055 Old Highway 8 Suite 302	Minneapolis	MN	55418	USA	Education	SBC provides innovative programs, conferences and competitions that inspire K-12 students to explore their potential with peers and talented community professionals.	Minneapolis/St. Paul metro areas of Minnesota	The Young Authors Conference, Creativity Festivals, Future City, Knowledge Bowl, and STEMlink5.	Success Beyond the Classroom (SBC) reaches 14,000 students and their teachers every year. Through SBC, students discover how learning in school links to success in the world beyond by actively engaging them in creative events outside school walls.   Among the many SBC activities, students construct simulated cities with engineer mentors, write with published authors, design original inventions, and build connections with other successful adults in business, science and the arts.  High student participation and strong support from schools and the community are proof of the value of Success Beyond the Classroom.	K-12 students enhance their creativity and problem-solving skills beyond their typical classroom experience		
Newgate Education & Research Center Inc	http://www.newgateschool.org	(612) 378-0177	EIN 41-1261358	2900 E Hennepin Ave	Minneapolis	MN	55413	USA	Education, Special Education	Newgate education center's mission is to turn tax-deductible gifts of donated cars into automotive training and social service programs that provide low-income adults in the twin cities with training, jobs, and transportation opportunities to succeed in their quest for self-sufficiency.		Provides unemployed or underemployed persons with vocational skills, a work ethic and the personal confidence needed to succeed in a career occupation in the auto body repair technology area.				
The Neighborhood Hub	http://www.neighborhoodhub.org	(612) 522-0942	EIN 26-1265337	3210 Oliver Ave N	Minneapolis	MN	55412	USA	Financial Counseling	The neighborhood hub improves the accessibility of social services for residents, and serves as a point of entry to those services. Long-term goals are greater self-sufficiency of clients, unemployment reduction, increased community stability, increased quality of life for community members, and local economic development.		The hub provides direct services, information, education, referral, assistance and advocacy to approximately 2500 individuals each year. Navigators served approximately 550 families each year with families receiving intensive case managmenet, personalized case management on topics such as housing, unemployment, access to transportation, securing financial assistance, accessing health care, and legal advocacy.   the hub continued with a healthy life initiative. Funding is through the minnesota department of health eliminating health disparity initiative and the blue cross blue shield foundation of minnesota growing up healthy, kids and community. This initiative incorporates community education about social determinants of health, healhty lifestyles as well as leadership development. The goal is to create a base of community residents to organize around policy, system and enviornmental issues that cause poor heath in north minneapolis. We added a youth component last year that involves youth learning about health disparities, history, trauma and civic engagement. Overall the hub served nearly 1,800 people through direct contact on the initiative as well as 700 people through indirect contact.				
Doulos Discovery Ministries	http://		EIN 04-3691667	Po Box 3080	Burnsville	MN	55337	USA	Education	PROVIDING SUPPORT FOR FUNDING OF EDUCATION AND COMMUNITY SERVICE PROGRAMS IN THE DOMINICAN REPUBLIC AND OTHER FOREIGN COUNTRIES.						
Hope Academy Inc	http://hopeschool.org	(612) 339-7385	EIN 41-1962874	2300 Chicago Ave	Minneapolis	MN	55404	USA	Education, Literacy, Primary & Elementary Schools, Protestant, Religion, Remedial Reading & Encouragement	Provide a faith-based education to inner city children		The school accepts students in all grades from kindergarten up to twelve. All expenses went toward providing a high quality, christ centered education. Student performance has been very good and many students are testing at or above their current grade level.				
International Association For Refugees	http://		EIN 27-0669322	1515 E 66th St	Minneapolis	MN	55423	USA	International, International Relief							
Compas Inc	http://www.compas.org	(651) 292-3249	EIN 41-1228092	75 5th St W Ste 304	Saint Paul	MN	55102	USA	Arts & Culture, Arts, Culture & Humanities, Arts Education, Cultural & Ethnic Awareness	Compas,inc. Strengthens people and communities in minnesota by engaging them in creating art. Compas enables people to experience and create the arts by connecting communities, cultures and artists.		Arts education - for 40+ years compas has inspired minnesotans to develop their creative selves. We bring award-winning musical, literary, visual and performing arts programs into schools, utilizing professional art techniques to build connections with classroom curriculum and explore history and cultural diversity. We also work with community organizations including libraries, parks, festivals, after school programs, shelters, and recreation centers to bring enriching, creativity-growing experiences to many minnesotans. We offer residencies, performances, workshops, and professional development. (42,000 people served in fy14)  united arts fund (uaf)- uaf is a workplace giving program. Employees from organizations (corporations, foundations, government) that allow them to make donations through paycheck deductions can support the arts by selecting to have their donation go to uaf. Through its uaf program, compas pools these workplace donations; regrants them to other minnesota arts organizations; and administers all paperwork and financial matters. In 2014, compas announced it would no longer facilitate the united arts fund program and are in the process of transferring the administration of the program to another non-profit organization.   artswork - through these summer employment programs, teens becomeapprentices to working artists to create commissioned works of art. Theyouth develop artistic knowledge and talents plus receive focusedemployment-skills training. Experiential learning includes creating art(e. G. Theater, mosaic, creative writing), business skills (e. G. Publicizing a show), employment skills (e. G. Creating a resume). (40teens and 500 community members served in fy 2014)  arts in healthcare and artful aging: the joy and fulfillment that comesfrom the art-creation experience is brought to people in pediatrichospitals and senior living centers. People find enjoyment andmeaning-as well as relief from endless rounds of tests, needles andboredom-through participatory arts experiences. (11,000 people servedin fy 2014)				
Keeshond Sunshine Rescue Foundation	http://www.ksrf.org	(937) 237-8916	EIN 31-1669235	209 Tristan Dr	Excelsior	MN	55331	USA	Animal Protection & Welfare, Animals	Funding the rescue, medical treatments, spaying, neutering, and non-life threatening needs of purebred keeshond dogs		Rescuing, providing medical treatments, spaying, neutering, and addressing non-life threatening needs of purebred keeshond dogs  rescuing, providing medical treatments, spaying, neutering, and fulfilling the non-life threatening needs of purebred keeshond dogs				
Givens Foundation for African American Literature	http://www.givens.org	952-831-2555	EIN 23-7338158	2822 Lyndale Avenue South	Minneapolis	MN	55408	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness	The Givens Foundation for African American Literature advances cultural understanding and learning through programs that inspire a passion for African American literature and writers.	the Twin Cities and globally	mentoring programs for emerging writers, culturally responsive artist-led literary workshops for K12 students, monthly book selections for community-wide reading programs, a weekly podcast, monthly series of readings and talks with acclaimed writers and artists, and an annual convening of writers, critics, activists, and artists.		Black writers, students, educators, and lovers of literature	800 students, 10 emerging writers, 36 artists, 360 readers	
Starbase Minnesota Inc	http://www.starbasemn.org		EIN 41-1756817	659 Mustang Ave	Saint Paul	MN	55111	USA	Education, Elementary & Secondary Schools, Literacy	To inspire and educate inner city youth in science, technology, engineering and math (stem).		Starbase is a program of the department of defense, hosted by the minnesota national guard and supported by corporate and community organizations for the purpose of inspiring and educating youth in science, technology, engineering and math (stem). Starbase teaches students in 20-hour programs at the exciting, technological learning environment of the minnesota air national guard base. In 2014, 97% of students increased their knowldege and skills in stem with a 83% average pre to post test improvement; 98% of students reported starbase made learning fun; 93% of students reported increased interest in stem and the majority reported interest in pursuing a stem career. In addition, 91% of teachers who participated rated starbase excellent and 9% very good; and 99% reported gains in their own knowledge and skills. Starbase served 3,460 students, grades 4-6 in three academic, standards-based stem programs during the year ended 9/30/14.				
Rakhma Inc	http://www.rakhma.org	612-824-2345	EIN 36-3371903	4953 Aldrich Ave S	Minneapolis	MN	55409	USA	Community Health Systems, Health, Health Support, Home Health Care	Dedicated to preserving the dignity of individuals with memory loss by providing compassionate, loving care in a familiar home setting.					by providing housing and loving care to over 35 individuals living with memory loss	
Carpenter St. Croix Valley Nature Center	http://carpenternaturecenter.org	651-437-4359	EIN 23-7275337	12805 St. Croix Trail	Hastings	MN	55033	USA		To foster appreciation and inspire stewardship of the natural world. We accomplish our mission by acquiring and preserving land, providing quality environmental education, conservation practices, and enjoyable outdoor experiences for visitors of all ages and capabilities.	St. Croix Valley, Southeastern Twin Cities Metro area, western Wisconsin	Carpenter Nature Center's K12 Environmental Education curriculum includes over 130 programs that are adapted to each specific age group and address both Wisconsin and Minnesota science standards. Public programs and events and the K-12 curriculum take place on 725 acres of protected and restored habitat along the St. Croix River. Teachers especially love the Apple Orchard Programs, the Maple Syruping Programs, Flowers & Pollinators Programs and Winter Survival Programs.	Through our programs and events Carpenter Nature Center has reached over 470,000 visitors since we opened in 1981. The team of neighbors, donors, volunteers, staff and board members has also increased the amount of protected habitat from the original 325 acres to 725 acres today.	Our K-12 award-winning environmental education curriculum teaches 7,000-10,000 students a year, most of whom live in the Twin Cities metro area and western Wisconsin. Our public programs and events reach children, parents and individuals of all ages from all over the United States, the majority of whom are from our region.	Each year 20,000-30,000 visitors enjoy the programs and trails at Carpenter Nature Center.	
Community Wildlife Rehabilitation To Release	http://www.cwrtr.org	612-269-5926	EIN 45-2859465	PO Box 448	Champlin	MN	55316	USA		Community Wildlife Rehabilitation To Release takes in orphaned/displaced, sick and/or injured wildlife in order to rehabilitate them for eventual release. We are a nonprofit organization serving the Metro area. It is our intention to reduce wildlife complications in our communities and to encourage neighbors in various ways to help them to avoid wildlife intrusions in their homes. As well, how to avoid disruptions of the natural wildlife habitats in their own yards. We truly can co-exist peacefully and teach our children the inherent values of nature at the same time.	Metro Area	Volunteers Learn Valuable Hands On Training We Walk You Through The Process to Obtain Your License Continued Educational Programs Community Outreach For Wildlife Education	We are a 501 (c) (3) Tax Exempt Nonprofit Organization  CWRTR, PO Box 448, Champlin, MN. 55316	Home Wildlife Rehabilitators All Volunteers Our Communities		
PROP SHOP OF EDEN PRAIRIE	http://		EIN 72-1621252	15195 Martin Drive	Eden Prairie	MN	55344	USA	Civil Rights, Emergency Assistance, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Thrift Shops	To provide basic support for families in need through volunteers, community, and other organizations.		Client room: help families in Eden Prairie and Chanhassen, MN with free clothing and household goods. Furniture: provide local families in need with beds, dressers, kitchen tables & chairs, and couches. Resale store: raises funds for programs and to give back to other community organizations helping families in need.	The PROP Shop has helped over 1,350 families in its first five years!			
Geek Partnership Society	http://www.geekpartnership.org	612-424-2GPS	EIN 41-1908130	1121 Jackson St NE Suite 106	Minneapolis	MN	55413	USA		The Geek Partnership Society is a non-profit organization with a mission of celebrating imagination, inspiring creativity, and building our community, all through service and education.		Literacy/enrichment-sponsor discussion/analysis groups provide nationally recognized presenters/authors for lecture/roundtable - approx. 4000 attendees. Continued. .   . . Continued. Ongoing workshops/writers groups. Persons read books or see movies in order to participate in monthly meetings/ special events open to interest persons approx 500 attendees. Continued . .   . . . Continued - youth/teen outreach - organize youth activities to raise interest/encourage participation in the community. Approx 3500 reached.				
Hazelden Betty Ford Foundation	http://www.hazelden.org	(651) 213-4006	EIN 41-0682405	Po Box 11	Center City	MN	55012	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment, Substance Abuse Prevention, Substance Abuse Treatment	Hazelden betty ford foundation is a force of healing and hope for individuals, families and communities affected by addiction to alcohol and other drugs. This is accomplished through a commitment to treatment, publishing, higher education, research, public education and advocacy, and shared learning with other organizations.		Addiction treatment for adults, youth, and families the goal of addiction treatment at hazelden betty ford is lifelong recovery for each patient. Hazelden betty ford approaches treatment for addiction and co-occurring mental health disorders in a holistic way. Treatment incorporates integrated clinical disciplines with individualized planning and care. Interdisciplinary care teams consist of addiction counselors, psychologists and psychiatrists, physicians and nurses, family specialists, spiritual care professionals, nutritionists, and wellness specialists. Addiction treatment is offered at hazelden betty ford facilities in center city, chaska, maple grove, plymouth, and st. Paul, minnesota; chicago, illinois; naples, florida; new york, new york (in the tribeca and chelsea neighborhoods); beaverton and springbrook, oregon; newton, massachusetts; and the betty ford center in rancho mirage and los angeles, california, texas and colorado. In addition to addiction treatment, hazelden betty ford provides assessment and evaluation services, intervention services, structured sober living, continuing care services, and mental health services. Hazelden betty ford also understands that recovery from addiction involves rebuilding relationships with family members and friends. Through hazelden betty ford's family, parent, and sibling programs, loved ones receive education, guidance, and support to achieve a healthier way of life. In 2014, the following number of people directly benefited from hazelden betty ford addiction treatment and recovery programs: primary treatment adult 3,224family program adult 1,945mental health adult 1,577renewal center and lodge 1,303family program youth 1,117intensive outpatient adult 1,117primary treatment youth 778outpatient treatment adult 552mental health youth 362extended treatment adult 255day treatment adult 232intensive outpatient youth 176intermediate care services 130continuing care services 129day treatment youth 78teen intervene 7 total patients served 12,982 additionally, patient aid is available as measured as gross charges foregone, and in 2014, nearly $7,800,000 was provided to 2,885 qualifying patients and family members.   publication of educational materials hazelden betty fords's publishing division develops and distributes resources to help people recognize, understand, and overcome addiction and co-occurring mental health disorders and other closely related problems. As the leading publisher of evidence-based curricula and other materials for professionals who work to prevent and treat addiction, hazelden betty ford's proven-effective resources are implemented in a variety of settings, including schools, other addiction treatment programs, correctional programs, government and military agencies, and mental health and counseling agencies. Hazelden betty ford publications, particularly its signature daily meditation books, are also known the world over for helping people learn to apply recovery principles and practices to daily life. Daily meditation books and other hazelden betty ford materials provide much-needed inspiration, encouragement, guidance, and support for lifelong recovery from the disease of addiction. More than 18,000 recovery resources including books, pamphlets, and dvds were distributed through hazelden betty ford's bookaid program in 2014 to individuals as well as schools, prisons, treatment centers, and other nonprofit organizations.   higher education and professional training integral to hazelden betty ford's mission is the education of addiction counselors and the training of other professionals who address addiction-related issues. Beginning in the 1960s, hazelden betty ford's educational programs have consistently graduated professionals who provide extraordinary, expert care to people suffering with alcohol and other drug addiction. The hazelden betty ford graduate school of addiction studies, accredited by the higher learning commission of the north central association of colleges and schools, graduates highly educated counselors well prepared to treat the complexities of addiction and co-occurring mental health disorders. The graduate school's innovative and comprehensive programs integrate direct clinical practice with academic training to build professional competency in the field of addiction counseling. In 2014, the school awarded 27 masters of arts degrees in addiction counseling and 37 masters of arts degrees in addiction counseling advanced practice. Hazelden betty ford has a longstanding reputation for sharing knowledge about addiction treatment and recovery. The professionals in residence (pir) program and the summer institute for medical students (sims) give medical students, residents, healthcare and legal professionals an indepth experience with the dynamics of the disease of addiction. Intensive one-week programs blend classes presented by hazelden betty ford foundation physicians and expert clinicians with time spent interacting with patients or family members and staff on treatment units or family programs. Participants learn about the latest research and evidence-based methods from our multidisciplinary faculty. A two-week rotation on addiction for family medicine residents is available in mn and ca. A one-year accredited addiction medicine fellowship is available at the betty ford center in ca and a course on addiction and recovery education (care) is available worldwide. Both sites offer customized programming for larger groups. In 2014, these programs welcomed a total of 510 participants at programs held at the mn and ca locations. Scholarship grants are provided to qualified participants of both the graduate school (119 scholarships given) and professional education programs (81 scholarships given).				
Princeton Area Visionary Committee	http://		EIN 30-0624674	1007 7th Ave N	Princeton	MN	55371	USA	Community & Neighborhood Development, Economic Development							
Werc Enrichment Resource Center	http://windom.mpls.k12.mn.us/	(651) 246-6693	EIN 45-3198224	1903 Grant Rd	Arden Hills	MN	55112	USA	Education, Educational Services	The mission of windom enrichment resource center werc is to foster an enhanced learning enviroment through enriched programming in a dual inmmersion setting. Werc will provide hight quality after school enrichment		After school programs				
Twin Cities Community Voice Mail	http://www.tccvm.org	651-643-0883	EIN 41-1821890	1821 University Ave Ste N-184	St. Paul	MN	55104	USA	Employment, Homeless & Housing, Homeless Centers, Housing Search Assistance, Human Service Organizations, Human Services, Job Training		State of Minnesota	1) Twin Cities Community Voice Mail free, individualized voice mail services to low income and homeless people so that they are able to put their own telephone number on resumes as they see jobs, apartment and housing application, and leave it with health care professionals, their children's schools, family and friends. This is done in partnership with over 350 non-profit and government agencies across the state of Minnesota. Over 53,000 people have used this service since we began in 1994; 2) Linkages is a no-cost transitional program to assist those who achieved their goals while using TCCVM, but who still need short-term help until they can afford phone service. Over 1000 people have used this service since it began in 2001. 3) Through our voice mail system, we are able to offer people who are homeless in the Twin Cities Metro area the ability to access information on available emergency shelters and transitional housing through our toll-free Metro Shelter Hotline.About 10,000 calls are made to this hotline ech year.				
Twin Cities Rise	http://www.twincitiesrise.org	612-338-0295	EIN 41-1761118	800 Washington Ave N Ste 203	Minneapolis	MN	55401	USA	Job Training	Our mission is to provide employers with skilled workers - primarily men from communities of color in the Twin Cities area - by training under and unemployed adults for skilled jobs that pay a living wage of at least $20,000 annually.	Twin Cities Metro Area	TCR!s 12 to 15 month training program includes Personal Empowerment training, one-on-one coaching, classroom training, supportive services, internship opportunities, and employment placement. Career areas include Office Support and Operations/Warehouse. Participants commit to spending 15 hours or more in program activities each week, and work through the program in phases as they complete program and class requirements for each phase. The program culminates in a living wage job that pays $20,000 or more per year with benefits.	Change in graduates income:  In 2011, 56 participants achieved full-time, living wage employment with benefits at an average salary of $26,788 per year. This is a change from $5,889 in the year prior to program start, an increase of $20,899 (355%). An additional 26 participants achieved full-time employment at an average salary of $20,599 (up from $5,317 at program start).   Job Retention Rates: Over the past ten years, program graduates experienced 12-month job retention levels of 81% and 24-month job retention of 70%. We are unaware of any other training program locally or nationally that achieve similar long-term retention rates.  Internship Success: The Internship Program is an effective stepping stone to full-time employment that was expanded in 2009 as a result of the economic crisis. TCR! placed 111 participants into internship positions in 2011.   Participant Success Rate: In 2011, 240 adults, 74% of intermediate and advanced participants, achieved important interim and final outcomes, such as final placement in living wage jobs, 12-month retention, internship placement, and other outcomes.   Reduction in Recidivism:  The national recidivism rate is 62%. Based on a preliminary data, the recidivism rate for TCR! graduates who are ex-offenders is 12%.	Low-income adults	650	
