name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Emerging Leaders Program	Training Wheels -	After School Program -	Summer Program
Neighborhood Bike Works	http://www.neighborhoodbikeworks.org	215-386-0316	EIN 23-3012779	3943 Lancaster Avenue	Philadelphia	PA	19104	USA	Children & Youth, Environment, Recreation & Sports, Recycling, Sports, Youth Centers & Clubs, Youth Development Programs	Neighborhood Bike Works provides educational, recreational, and career-building opportunities for urban youth in underserved neighborhoods in greater Philadelphia through bicycling; it also promotes cycling as a healthy, affordable, environment-friendly form of transportation.	Earn-A-Bike, Ride Club, Summer Cycling Day Camp, and more!	Since 1996, Neighborhood Bike Works has introduced over 5,000 young Philadelphians to the joys and freedom of cycling in the city. Our free or low-cost youth programs, including Earn-A-Bike, Ride Club, and Leadership & Advanced Mechanics, reach over 500 youth each year. We also offer programs for adults, including Bike Church, a free workshop space for adults to buy and refurbish used bikes, and Adult Bike Repair Classes.	youth	500 young people	West Philadelphia				
Artists Image Resource Inc	http://www.artistsimageresource.org	(412) 321-8664	EIN 25-1803816	518 Foreland St	Pittsburgh	PA	15212	USA	Arts & Culture, Arts, Culture & Humanities	Artists Image Resource (AIR) is a non-profit print and imaging organization created to serve as a resource to artists and students. AIRs mission is to integrate the creation of fine art prints with educational programs that explore the creative process.	Production constitutes AIRs primary programming activity and is designed to create a dynamic working environment that allows for collaboration and participation by the artists, staff, interns and the pubic. Resident Artists Projects initiated by AIR (publishing) or initiated by individual artists or organizations (contract printing) provide the engine for all other activities at the studio.Each year, AIR provides 4 to 8 artists with the opportunity to create new print-related work. Projects range from the creation of original prints (relief, intaglio, lithographs or screenprints) to larger installation or sculptural works that incorporate print-related elements or methodologies. AIR provides each artist with access to printmaking equipment, facilities, and materials needed to create a new body of work and provides technical support for the execution of the work. AIR develops, organizes and presents educational events to the public as the work progresses. Projects are budgeted at 12,000 per resident project -- air works toward a goal of funding 5 projects annually								
Mollys Place	http://		EIN 03-6098664	5220 E Trindle Rd	Mechanicsburg	PA	17050	USA	Animal Protection & Welfare, Animals										
Bradbury-Sullivan LGBT Community Center	http://www.bradburysullivancenter.org	610-347-9988	EIN 20-1443960	522 West Maple Street	Allentown	PA	18101	USA	Arts & Culture, Civil Rights, Cultural & Ethnic Awareness, Lesbian & Gay Rights, LGBTQ	Bradbury-Sullivan LGBT Community Center is dedicated to providing programming, outreach, and services to strengthen and support the LGBT community of the Greater Lehigh Valley.	Arts & Culture, Health Promotion, and Youth Programs, Supportive Services, and The Training Institute		the LGBT community in the Greater Lehigh Valley		Bradbury-Sullivan LGBT Community Center serves a seven-county region in Eastern Pennsylvania. Headquartered in downtown Allentown, Pennsylvania, the organization primarily serves Lehigh and Northampton Counties and also serves the LGBT community in Carbon, Monroe, Berks, Bucks, and Schuykill counties in Pennsylvania.				
Maternity Care Coalition	http://www.maternitycarecoalition.org	215-972-0700	EIN 23-2200410	2000 Hamilton St Ste 205	Philadelphia	PA	19130	USA	Health, Reproductive Health Care, Reproductive Rights	Maternity Care Coalition's mission is to improve maternal and child health and well being through the collaborative efforts of individuals, families, providers and communities.	Public Policy, Research and Evaluation, and Services for families, Early Head Start (MOMobile, Cribs For Kids, Community Based Education, and Parenting Education)      Assessment of family needs and linkages to material support and resources      Enrollment of children in low or no-cost health insurance programs and other public benefits, such as Food Stamps, WIC, and housing and child care subsidies     Referrals to career training     Comprehensive safe sleep education and the provision of cribs to families who cannot afford them     Education on topics such as perinatal health, child development, parenting skills, nutrition, HIV prevention & testing, and lead poisoning prevention     Referrals to and follow-up of prenatal, pediatric, dental, and womens health care resources     Referrals to behavioral health services, nutrition programs, housing, childcare, education, and other community resources     Prenatal and post-partum depression screening.  Where appropriate, intervention by our staff clinician, or referral to other professional resources       Translation and cultural mediation   MOMobile Family Advocates stay in touch with clients and track their progress in a number of ways throughout their pregnancy and birth. They visit clients at home and contact them by mail or phone.  Home visits allow Family Advocates to observe clients parenting practices in a comfortable environment and then teach and model effective and appropriate parenting skills.  By supporting parents from pregnancy through infancy, Family Advocates can monitor and encourage participation in regular prenatal care, postpartum, and well baby care.  They help moderate crisis situations and assist clients in strengthening their family support networks.	MCC serves over 4,000 women and babies a year. Additionally, we are Pennsylvania's largest provider of Early Head Start services.	Low-income pregnant women, families and children in Southeastern PA	5,000	Philadelphia, Pottstown, Norristown, Delaware County				
Nephcure Kidney International	http://www.NephCure.org	1-866-NEPHCURE	EIN 38-3569922	150 S. Warner Road Suite 402	King of Prussia	PA	19406	USA	Health, Kidney Diseases, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations	The only organization solely committed to exclusively support research seeking the cause of two debilitating kidney diseases, Nephrotic Syndrome and FSGS, improve treatment and find a cure.	convening, collaborating and catalyzing the best scientists and clinicians in their pursuit of answers to these debilitating diseases		fund research to find better treatments and a cure for FSGS and other diseases causing Nephrotic Syndrome	patients, caregivers and families impacted by FSGS and Nephrotic Syndrome	Globally				
Sarah Heinz House Association	http://www.sarahheinzhouse.org	(412) 231-2377	EIN 25-0965390	1 Heinz St	Pittsburgh	PA	15212	USA	Boys & Girls Clubs, Children & Youth	To empower all youth, especially those who need us most, to Laugh, Learn and Lead.	after school & summer robotics tutoring swimming gymnastics art music dance sports leagues fitness	We are a Boys & Girls Club that serves over 1,000 youth every year & have received multiple awards in character and youth development.  We have a proven track record of giving members the skills they need to achieve personal growth and develop into leaders.  Mentoring is the cornerstone of every program we offer.							
Womens Resource Center	http://www.womensresourcecenter.net	610-687-6391	EIN 23-1997488	113 W Wayne Ave	Wayne	PA	19087	USA	Human Services, Neighborhood Centers	Since 1975 the Women's Resource Center has been committed to supporting families and building communities through referral, counseling, career, legal and educational services.	Information and Referrals, Low-Cost Counseling, Career Services, Low-Cost Family Law Consultations, Workshops and Seminars, Girls' Leadership Programs, Women Veterans Initiative and Single Parent Groups.		women and girls in transition		southeastern PA				
Hill Dance Academy Theatre	http://www.5678hdat.org	412.508.9574	EIN 26-1270031	912 Finland Street	Pittsburgh	PA	15219	USA	Arts & Culture, Dance	Hill dance academy theatre (hdat) is a cultural arts organization with the mission to provide students who want to dance an opportunity to dance in an environment steeped in the black traditions of dance; students experience dance genres of ballet, tap, hip hop, modern, jazz and dance fitness as well as the arts such as theatre, costuming, tech production, anatomy, music and other art forms and professional areas that support dance such as photography, videography, writing, set design, technology and social media. Children ages 3 to 18 and adults are the target population. Hdat serves children in an out of school setting, after school and weekends, and an in school residency for children pre-k through 5th grades.	Summer season of instruction including showcase.   fall season of instruction and black nativity.   spring season of instruction and ndw.   residency programs, scholarship programs and companies.								
Global Exploration for Educators Organization	http://www.geeo.org	877-600-0105	EIN 20-8627380	2945 Morris Rd.	Ardmore	PA	19003	USA	Arts & Culture, Cultural & Ethnic Awareness, Education, Elementary & Secondary Schools, International, Literacy, Promotion of International Understanding	Understanding the world has never been more important to America's success than it is today, and for our understanding we depend first on our teachers. Teachers with experience abroad gain fresh perspectives on the world, its peoples, and its natural environments. When they return to their classrooms, students benefit from their instructors' time abroad.GEEO is a 501c3 tax exempt non-profit organization that has been created to help and encourage teachers to travel abroad. We hope to serve as a valuable resource to educators who wish to explore the world in order to understand it better.	Tours for teachers - enable educators to travel internationally to further classroom education	Founded in 2007, we have sent over 1600 educators abroad. Over 100,000 students have been educated with our curriculum, hopefully inspiring them to follow in their teacher's footsteps and explore the world.	Educators of all subjects, levels and nationalities	400	Worldwide, but mostly in the United States				
National Association of Watch and Clock Collectors Inc	http://www.nawcc.org	717.684.8261	EIN 23-2072465	514 Poplar St.	Columbia	PA	17512	USA	Arts & Culture, Education, Museums, Science & Technology Museums, Vocational & Technical Schools	To encourage and stimulate interest in the art and science of horology for the benefit of the public and its members, in the following ways: promoting and providing education in the art and science of horology; sponsoring conventions, symposiums, and other events of horological interest; providing horological research opportunities through the collection and presentation of horological data material for posterity; promoting and providing the public display of horological artifacts of every kind and description and offering related lending, research and reference library facilities;cooperating with individuals, chapters and other institutions to stimulate genuine interest in the collection, conservation, interpretation, and exhibition of time pieces and other horological items; sponsoring and supporting general, special interest and educational chapters of the corporation worldwide.	Museum, library & research center, publications and educational programs.	Over 16,000 members in 50 countries. Over 3 million visitors to the NAWCC's various websites. Numerous historical articles in our journal (Watch & Clock Bulletin) which starting publication in 1943.			International with members in 50 countries and visitors to our online venues from all parts of the globe.				
Love to Langa	http://www.lovetolanga.org	610-608-9347	EIN 27-2204146	PO Box 104	Gladwyne	PA	19035	USA		We're a US-based non-profit organization. We empower leadership within impoverished communities and we empower children to learn.	school and swim lesson scholarships, training programs, swimming academy construction	Built a classroom at Philippi Children's Centre Love to Langa Swimming Academy completion expected November 2016 Funded scholarships for 15 children since 2012 Funded enrichment activities such as photography workshop, Dinosaur Show excursion, Snake Show for 1,000 attendees Provided teacher training program support	children and teachers in the disadvantaged Townships of Cape Town.	500	Cape Town, South Africa				
Bucks County Community College Foundation	http://www.bucks.edu/foundation	215-968-8224	EIN 22-2456105	275 Swamp Road	Newtown	PA	18940	USA	Education	To advance the College as a community of excellence and act as a supporting partner in Bucks County Community College's efforts to provide a quality education to all interested and active learners. The Foundation will approach local, regional, and national supporters to create partnerships and raise funds, assistance, and awareness in support of both new and existing educational opportunities.	community events, scholarship drives, and grants that all strive to provide a quality education to all interested and active learners and support both new and existing educational opportunities.	- Award more than $250,000 in student scholarships annually. - Provide more than $50,000 in faculty and staff grants annually to enhance the campus and classroom environment through innovative thinking. - Supported campus expansion in Lower and Upper Bucks with $2.25 million.	the students, faculty and staff at Bucks	over 300 students with the rising costs of higher education by providing more than $250,000 in scholarship assistance.	higher education				
West Chester Dance Works	http://		EIN 30-0080438	315 Westtown Rd Ste 9 Ste 9	West Chester	PA	19382	USA	Arts & Culture, Arts Services, Children & Youth, Dance, Performing Arts Schools, Youth Development Programs		School programs that encourage our youth, community performances that engage patrons of all ages, Performances at the location of shut-ins and others with limited opportunities.		enrich our community						
Leek Hunting And Mountain Preserve Inc	http://www.leekpreserve.org	(410) 322-4610	EIN 26-4097451	740 Ridge Rd	Lewisberry	PA	17339	USA	Military & Veterans Organizations, Veterans	To provide a friendly handicap accessible camp environment and therapeutic outdoor activities like hunting and fishing. Leek believes in encouraging our wounded heroes to focus on their abilities, without compromising their current physical limitations.	To aid in the rehabilitation of disabled veterans through the provision of recreational actvities (hunting & fishing) to these persons and to provide its outdoor facilities and land to assist veterans who are no longer able to take advantage of traditional hunting and fishing opportunities.								
Family Resources	http://www.familyresourcesofpa.org/	412-363-1702	EIN 25-0728060	141 S. Highland Avenue Stevenson Building	Pittsburgh	PA	15206	USA	Family Services, Human Services, Mental Health, Mental Health & Crisis Intervention	Prevent and treat child abuse by strengthening families and neighborhoods	The beverly jewel wall lovelace children's program (bjwl) promotes children's safety and well-being within the communities. Bjwl supports families taking care of their children through year-round, after-school and summer activities including social, emotional, academic and recreational. Bjwl strengthens community by engaging families and enhancing the skills and knowledge in the community to increase the safety of children. Bjwl is located in 18 public housing communities, serving approximately 2,000 children ages 5 - 17 throughout pittsburgh and allegheny county.   family unification services is designed for children who are at risk of placement outside their homes or who have already been removed from the home, due to abuse or neglect. This program helps families define problems, develop solutions and create child-safe homes.   parenting support groups in an informal setting for parents and other caregivers of young children, school-aged children and teenagers provide an opportunity for group members to give and receive support. In-home visits for parents of young children and expectant parents provide emotional and social support to isolated parents, including teen parents. Provides help with life skills and coaching in parenting skills. The system of care initiative ensures access to a wide range of services for children between the ages of 6 and 18 who have severe emotional disorders and their families. The program includes outreach, parent support, advocacy in school and community settings, and parent empowerment. The parenting warmline offers immediate, confidential telephone support, information and referrals to any non-medical parenting concern. The hill district center for nurturing families provides parent education, support, recreation, goal planning, school-readiness activities and developmental screenings for children ages 4 months to 5 years, advocacy and referral, with an emphasis on families with children ages birth through 5. Family-focused / solution-based services provide crisis intervention, assessment, individual and family therapy, resource coordination/case management and support and education about mental health issues for children, adolescents and adults to help family members cope and improve their relationships.   child abuse treatment programs include outpatient psychotherapy services and the therapeutic parents' and children's center. The outpatient psychotherapy services includes individual, family, group, couples and play therapy - and collateral sessions as well as therapy for adults who experienced abuse and/or other forms of family violence as children; treatment services for non-abusing partners; psychiatric evaluation, medical management. The therapeutic parents' and children's center provides therapeutic preschool services for children with developmental delay and/or emotional disturbance who may have experienced physical or sexual abuse or severe neglect or who may have witnessed family violence. Supportive services are provided to parents and caregivers.	We serve 20,000 people annually through a variety of child abuse prevention programs, crisis intervention services, and treatment programs for families when child abuse has occurred. We also provide  psychotherapy services for adults who were abused as children.  We provide after school and summer programming to approximately 1900 children in 19 public and subsidized housing communities through the   Beverly Jewel Wall Lovelace Childrens Program.	Children and their families	Children and families	Allegheny County				
Philabundance	http://www.philabundance.org	(215) 339-0900	EIN 23-2290505	PO Box 37555 3616 S Galloway St	Philadelphia	PA	19148	USA	Food, Food Banks & Pantries, Food Programs, Nutrition	Philabundance works to end hunger and malnutrition in the Delaware Valley by rescuing surplus food, and distributing it to local organizations serving people in need.	Philabundance (phlb) distributes food to more than 450 hunger relief agencies throughout a 9-county service area covering southeastern pennsylvania and southern new jersey. Through collaboration with manufacturers, grocers, and local agencies, phlb is able to purchase, collect and deliver upwards of 30,000,000 pounds of food annually to homeless shelters, soup kitchens, food cupboards and after-school programs providing nutritious options to more than 75,000 people per week. Phlb also distributes food through its own innovative direct service programs to the region's most vulnerable groups including seniors and children. Phlb operates fare & square, the nation's first non-profit grocery store and wholly-owned subsidiary, which provides food staples and healthy food at a fair price in chester, pa.				PA Counties: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County/ NJ Counties: Burlington County, Camden County, Gloucester County, Mercer County, and Salem County				
STAT Inc. (Southern Tier Alternative Therapies)	http://www.statinc.org	607-223-4176	EIN 26-0146359	531 Foxchase Lane	Ligonier	PA	15658	USA	Ambulatory & Primary Health Care, Health, Health Care, Pediatrics Research, Rehabilitative Care	Facilitating alternative & animal assisted therapies to promote and enhance the health and quality of life for individuals with special needs and other vulnerable populations  The Ligonier Therapeutic Center is up and running! We offer Hippotherapy and other individualized therapeutic and outcome-based programming for children and adults with special needs or emotional challenges.    We utilize horses as our therapy tool, a unique and innovative approach that proves rapid results.  Many programs are accepted by insurance or medicaid. If an individual cannot receive approval, STAT has scholarships to offset costs for families. (determined on a case by case basis)	Hippotherapy for disabled individuals programs for veterans programs for at risk teens	2016-2017: capital campaign with a goal to raise $750,000 to build Phases II and III, adding (12) stalls, training room, observation room, constructing a 220'x110' indoor riding arena, finishing pastures and fencing, new 120'x200' outdoor riding arena, grain and hay storage facility, additional equipment purchase.	people with disabilities and emotional challenges achieve an improved quality of life - using horses to heal	600					
Kentucky Avenue School	http://kentuckyavenueschool.org	(412) 361-5332	EIN 01-0729457	5701 5th Ave	Pittsburgh	PA	15232	USA	Education, Elementary & Secondary Schools, Literacy	Education of children	School for the education of children in grades k-8.								
Family Services Incorporated	http://www.familyservicesinc.net	(814) 944-3583	EIN 23-1533374	2022 Broad Ave	Altoona	PA	16601	USA	Family Services, Human Services	We are a private, nonprofit, nonsectarian social service agency. We are dedicated to providing programs and services that enhance the quality of relationships between individuals, parents and children, couples, families and communities.	Today fsi provides its expertise and support in the following areas; offering shelter services and specialized housing; targeting prevention of abuse and victimization; empowering those dealing with the results from abuse and victimization; and assisting victims of trauma from events or relationships in their lives. Programs and services: counseling program; crime victim support services; intellectual disabilities program; domestic abuse project; family shelter; men helping men; protection from abuse office; teen center & shelter; and woman aware.								
The Project RAKE Foundation, Inc.	http://www.projectrake.com	610-869-7332	EIN 	125 Saginaw Road	New London Township	PA	19352	USA		Project R.A.K.E. is a humanitarian effort that provides free home repairs to senior citizens, special needs individuals and low/fixed income families. The work is performed by volunteer adult crew leaders and volunteer youth. Project R.A.K.E. is made possible by and totally reliant on the generosity of donors and benefactors who graciously partner with us. Please consider partnering with us, whether it be a corporate grant, corporate or individual donation, material discounts, food donations/discounts, crew labor, helping with meals or even a prayer covering. We want to make a tangible difference in our community...please join us and it WILL happen. Edit		Over the past 6 years weve been privileged to involve 500 teenagers in assisting 204 different families.	Senior Citizens, Special Needs Individuals and Low/Fixed Income Families in the Southern Chester County, Cecil County MD, and Southeastern Lancaster County Region		Southern Chester County, Cecil County, Southeastern Lancaster County				
Peace Valley Holistic Center	http://www.peacevalleyholisticcenter.com	(215) 887-9901	EIN 27-0586165	224 Old Limekiln Rd	Chalfont	PA	18914	USA	Autism, Disabilities, Health	To provide academic, legal education, nutritional counseling, coping skills, and relaxation, auditory, light, sound, and other therapeutic modalities to parents of children with special needs, and their children experiencing difficulties in transition from their home life into their community, and thereby assisting in their socialization. We will utilize all of our research and our professionals willing to give of their time and talents to aid in the transitional phases during the development of the children, initially targeting the ages of 4 to 13 years of age. Our role in the success of our programs is the independence of individuals, and well adjusted young adults living in their community, and to alleviate the stress of their parents.	Educate families in coping skills, stress management, neurolinguistic programming (audio therapy), color light therapy, and natural food counseling; provide complementary care for families and friends of children with special needs; provide ongoing programs, seminars and individual counseling sessions converning a special needs child's rights for an appropriate education in their school district.								
Center for Advancement in Cancer Education	http://www.beatcancer.org/	888-551-2223	EIN 23-2634508	130 Almshouse Road Suite 107A	Richboro	PA	18954	USA	Cancer, Children & Youth, Health, Youth Development Programs	To educate people on how to prevent, cope with and beat cancer through immune-enhancing approaches	Cancer Counseling, Cancer Education Products and Seminars, Cancer Education for Health Professional, and Our Youth Nutrition & Cancer Prevention Education Project.	Over 100,000 people helped.	individuals to prevent, cope with, and beat cancer through diet, lifestyle and other immune-boosting approaches.		nationwide				
Carasmark	http://www.carasmark.org		EIN 26-1881141	400 Penn Green Rd	Landenberg	PA	19350	USA	Education, Educational Services	Carasmark seeks to inspire hope in the lives of children and their families by meeting their practical needs.			Low-income children and families.						
Partners For Quality, Inc.	http://www.pfq.org	412-446-0702	EIN 55-0886515	250 Clever Road	McKees Rocks	PA	15136	USA		The mission of Partners For Quality is to support people by providing services that promote choice, personal satisfaction and the realization of their hopes and dreams.	community living, the center for community supports, the center for creative opportunities, the training and outsourcing center and senior center through Citizen Care, Inc; supervised recreation/travel service through Exceptional Adventures and behavioral and mental health oriented services for children between the ages of 0-21 through the Allegheny Children's Initiative.		people with intellectual and developmental disabilities and children with behavioral health challenges through its subsidiaries	more than 2,500 children, adults and families.	Allegheny County				
RESCUE PURRFECT	http://www.rescuepurrfect.org/		EIN 45-5625172	2820 Old Lincoln Highway	Trevose	PA	19053	USA	Animal Protection & Welfare, Animals	Rescue Purrfect rescues cats and kittens from all over Bucks County and Philadlephia and places them into a loving environment where they are nursed back to health and provided care in a cage-free facility. This allows them the ability for free play and socialization with other cats and kittens. They are also cared for and socialized by a full staff of dedicated individuals, so upon adoption they are well adjusted for their permanent home. Please note that all of our Cats and Kittens are spayed and neutered at a safe age, and up to date on all shots before they are adopted.	Low Cost Medical Care at our sister non-profit the Bridge Clinic for the community and their pets as well as other local rescues, TNR, food and maintenance (medical care, etc,) for feral cat colonies.		We help the feline community in several ways- we rescue orphaned felines, provide medical care, proper nutrition, and love to help them find forever homes.  We also assist in TNR and management of several feral cat colonies in the community.		Bucks County and Philadelphia				
Philadelphia Songwriters Project	http://		EIN 47-0912951	137 Barrie Rd	Ardmore	PA	19003	USA	Children & Youth, Youth Development Programs										
Glade Run Lutheran Services	http://www.gladerun.org	724-452-4453	EIN 25-0974320	PO Box 70 Beaver Road	Zelienople	PA	16063	USA	Children & Youth, Children & Youth Services	Our mission, "Linking Faith and Service", epitomizes the strong foundation and beliefs upon which Glade Run was created to serve traumatized children and families in need. Our goal is to provide innovative and comprehensive services to the community through exceptional programs for children and families.	Residential programs are designed to meet the needs of children, ages 6 to21 who cannot be successfully maintained in their home. We offer a safe harbor in a healing environment, which gives children the opportunity to begin healing from traumatic life events. During this temporary time in our residential programs, we work with children to encourage emotional healing and social skills development.Our continuum of care offers the following residential treatment options:	For 160 years, Glade Run has provided services to at-risk children and families throughout PA. Glade Run provides mental health, educational, cultural, and autism offerings in campus-based residential, school, and community settings.  On our 331 acre main campus in Zelienople, we offer residential treatment and private education to serve kids with social, emotional and behavioral challenges and autism.   Community-based programs in Pittsburgh, Butler, Cranberry Township and Beaver Falls offer support to vulnerable families and individuals.	Glade Run serves more than 4000 at-risk children (ages 6-18), adults and families through our comprehensive continuum of care.	4000 traumatized youth and families	Western PA				
Chinese Cultural & Arts Institute	http://chineseculturalartsinstitute.org	717-585-7701	EIN 25-1891351	200 S. 41st Street	Harrisburg	PA	17111	USA	Arts & Culture, Cultural & Ethnic Awareness	To help facilitate and nurture an understanding between the oldest culture in the world and the United States American Culture.  The CCAI helps to broaden this understanding through the exchange of cultural arts between the two societies.  The oldest and deepest cultural roots of any society are in its dances.  CCAI helps with the exchange of dance, art, culture, theatre and language.	Traditional Chinese dance, traditional Chinese painting and calligraphy, Chinese language, Tai Chi, drumming, and traditional music.  Seminars on adoption, Chinese opera, tea arts, travel, photography, costuming, and culture.		adopted and immigrant children	100+ students	Mid-Atlantic				
Bucks County Opportunity Council, Inc.	http://www.bcoc.org	215-345-8175	EIN 23-6406222	100 Doyle Street	Doylestown	PA	18901	USA	Human Services	Our mission is to reduce poverty and partner with our community to promote economic self-sufficiency.	Emergency food, Free Tax preparation, Home Energy conservation & crisis heater repair, Homeless assistance, Utility shut off prevention, Transportation assistance, and Economic Self-Sufficiency program.	491 Households received financial assistance to prevent eviction or move in to permanent housing from homelessness. 1052 people received free tax preparation services, generating more than $1.89 million in saved fees and tax refunds.  This money goes back into the economy. 305 Households received emergency heater repair/replacement or home energy audits & money saving weatherization services. 40 food pantry sites received more than 70,000 visits last year.  BCOC provides food to each pantry through, State, Federal, and local food initiatives. 286 families have graduated the Economic Self-Sufficiency program, permanently leaving poverty.	low income people achieve economic self-sufficiency	9,886 people with direct financial assistance	Bucks County, Pennsylvania - suburb of Philadelphia				
Casita Copan Inc	http://www.casitacopan.org		EIN 46-1412135	1237 Love Street	Pittsburgh	PA	15218	USA	Child Day Care, Children & Youth, Foster Care, International, International Relief, Youth Centers & Clubs	Our mission is to prevent child abandonment by nurturing orphaned and vulnerable children and supporting single mothers.	loving homes for abandoned children, a children's center designed to promote health, education, life-skills, and nutrition, and services for single mothers such as literacy classes, psychological support, microbusiness training, and more.	Founded in 2012, our children's center now serves 45 children in Copn Ruinas, Honduras, providing nutritious meals, medical care, educational programming, tutoring, psychological support, loving care, and much more. In 2015, we opened three "casitas" which are family care homes for orphaned children who can't be reunited with their families. We also provide services for single mothers, such as literacy classes, parenting workshops, individual and family counseling, and practical skill-building programs such as sewing and cooking classes.	orphaned and vulnerable children and single mothers		Copn Ruinas, Honduras				
Vintage	http://www.vintageseniorservices.org	(412) 361-5003	EIN 23-7394576	421 N Highland Ave	Pittsburgh	PA	15206	USA	Human Services, Senior Centers, Seniors	Mission: To improve and influence the experience of aging in our community.Vision: Vintage will be the model for senior wellness in community-based living.	Vintage is a model senior community center for adults over age 60 and focuses on socialization, health and wellness, and information and referral.The Vintage Senior Center has an average of 220 programs each month in support of healthy, active aging including tai chi, yoga, low impact aerobics, a fitness studio, blood pressure screenings, trips to local restaurants and theaters, pool playing, crafts and a wide array of options to enhance quality of life and opportunities for socialization.The center is open Monday through Friday 8:00 am to 4:30 pm.Approximately 1,100 unduplicated participants are served annually in the facility and with an average daily attendanceof 121 participants.								
Pennsylvania Environmental Council Inc.	http://www.pecpa.org	412-481-9400	EIN 23-7286159	2124 Penn Avenue Second Floor	Pittsburgh	PA	15222	USA	Environment	The Pennsylvania Environmental Council (PEC) protects and restores the natural and built environments through innovation, collaboration, education and advocacy. PEC believes in the value of partnerships with the private sector, government, communities and individuals to improve the quality of life for all Pennsylvanians.	Since 1970 the Pennsylvania Environmental Council has participated as a central figure in the environmental and conservation discussion in Pennsylvania.   Every day, PEC manages challenges facing Pennsylvania's water, land, and air resources whether from past activities, current practices, or potential future impacts.   PEC is not the only environmental voice in the Commonwealth, but we uniquely inform our statewide policy advocacy with on-the-ground local and regional projects. We're better at both because we do both.  At PEC, we focus our programs and policy work on water resources, energy and climate, communities and landscapes, and trails and outdoor recreation.  For more information, please visit our website at www.pecpa.org	WATER QUALITY: PEC's work on watershed restoration in suburban Philadelphia is putting in place cutting edge approaches to managing stormwater and implementing green infrastructure.   ENERGY AND CLIMATE: PEC's work on shale gas development in the Commonwealth is second to none, and the same can be said for PEC's efforts to promote small and micro hydro projects in Pennsylvania.   NETWORKS OF RECREATIONAL TRAILS: The Circuit in Philadelphia and the Industrial Heartland Trails Coalition out of Pittsburgh (both with strong PEC leadership and partnerships) are the two most exciting trail networks in the country right now. And PEC, along with others, is bringing Scranton, Wilkes-Barre, and Allentown into the fold with a burgeoning partnership network.   COMMUNITY ILLEGAL DUMPSITE CLEANUP PROGRAM: PEC engages hundreds of students, private businesses, local municipal officials and community residents to cleanup illegal dumpsites, and take pride in their local communities and its environmental health. As a result, over 155 illegal dumpsites have been cleaned up in 14 counties, including the removal of 972 tons of trash, 110 tons of scrap metal and 311 tons of tires.			PEC has a statewide presence with three regional offices strategically located in Pittsburgh, Philadelphia, and Wilkes-Barre. PEC provides services and benefits to all of the Commonwealth's 67 counties through a multitude of programs and initiatives.				
Delaware Riverkeeper Network	http://www.delawareriverkeeper.org	215-369-1188	EIN 74-3255972	925 Canal Street, Suite 3701	Bristol	PA	19007	USA	Animals, Environment, Natural Resources Conservation & Protection, Wildlife Preservation & Protection	The Delaware Riverkeeper Network (DRN) champions the rights of our communities to a Delaware River and tributary streams that are free-flowing, clean, healthy and abundant with a diversity of life.  The Delaware Riverkeeper Network gives voice, strength and protection to the communities and waterways of the Delaware River. Through independent advocacy, and the use of accurate facts, science and law, DRN works to ensure the rich and healthy future that can only exist with a clean, healthy and free flowing river system.  The Delaware Riverkeeper Network is unique in that it is founded upon the expectation of personal and community responsibility for river protection, as personified by the Delaware Riverkeeper. DRN is the only grassroots advocacy organization that operates watershed-wide and empowers communities with the engaged interaction and information needed to succeed in protecting our River and region now into the future.	Advocacy, Awareness to Action, River Resources Law Clinic, Water Watch, Habitat Restoration,  and River Tech.		protect the health of the Delaware River watershed including by setting of important legal, policy, and programmatic precedents		the four states that are a part of the Delaware River watershed, as well as at the federal level				
Deep Springs International	http://www.DeepSpringsInternational.org	(412) 262-3248	EIN 20-5036775	P O Box 694	Grove City	PA	16127	USA	Children & Youth, Employment Preparation & Procurement, Health, International, International Development, Job Training, Public Health, Youth Development - Business	MISSION to improve life in developing countries by identifying and encouraging the use of affordable water purification systems, teaching the importance of proper household water treatment, and creating new business opportunities for local people   VISION ...to improve public health while creating jobs through an integrated and sustainable safe water program that can be scaled throughout under-served communities in developing countries	MISSION to improve life in developing countries by identifying and encouraging the use of affordable water purification systems, teaching the importance of proper household water treatment, and creating new business opportunities for local people   VISION ...to improve public health while creating jobs through an integrated and sustainable safe water program that can be scaled throughout under-served communities in developing countries - See more at: http://deepspringsinternational.org/AboutUs/MissionVision.aspx#sthash.W2Dlv3HP.dpuf	- Over 2 million served to Date  - 400,000 rural Haitians served in 2013  - Over 260 Haitians earning income from selling our Gadyen Dlo brand chlorine  - 80% effective reducing exposure to diarrheal disease	provide clean water for the poor	over 340,000 children and adults at risk of disease and death due to dirty water	Haiti				
