name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Connections Area Agency On Aging Inc	http://www.connectionsaaa.org	(712) 328-2540	EIN 42-1146108	300 W Broadway Ste 240	Council Blfs	IA	51503	USA	Human Services, Senior Centers, Seniors	To enhance the quality of life	Nutrition program: the agency's nutrition program serves hot meals and frozen meals to seniors in the service area, primarily those with low to moderate income as defined under title iii of the older americans act. The agency provided 315,389 hot meals from the 52 senior centers that it utilizes. Additionally 49,010 frozen meals were delivered to home bound seniors during the year.   case management program: this program provides assessment to over 1,100 seniors with low to moderate income. The agency works to provide seniors with services needed to help them remain in their homes as long as is safely possible. Services provided include respite, chore, homemaker, transportation, legal assistance, lifelines, medication management, home repairs, and material aid.   the agency services as the local sponser for the senior companion program and the foster grandparent program under the federal corporation for national and community service. These programs allow qualifying seniors to receive a small stipend for their service. The senior companion program provides companionship to seniors who need the companionship and the volunteers will, at times, take the seniors to social gathersings, help them out at home, or other assistance the volunteer may be able to pr  all other programs				
Evangelical Orthodox Church	http://		EIN 42-1115808	1822 W Palmer St	Sioux City	IA	51103	USA							
W H Johnston Foundation	http://	(515) 573-8167	EIN 42-1376832	24 N 9th St Ste B	Fort Dodge	IA	50501	USA		Raise funds to support the library	Funds are used to improve the building, collection or programs of the fort dodge public library.				
Hersong The Quad Cities Womens Chorus	http://		EIN 42-1399092	Po Box 5059	Davenport	IA	52808	USA	Civil Rights						
Northwestern College	http://www.nwciowa.edu	(712) 707-7121	EIN 42-0698196	101 7th St Sw	Orange City	IA	51041	USA	Education, Undergraduate Colleges	Northwestern college is a christian academic community engaging students in courageous and faithful learning and living that empowers them to follow christ and pursue god's redeeming work in the world.	Higher education: providing educational opportunities & service to 1,205 students at less than the aggregated costs of those services. Making grants to faculty members to further their education and to students to defray tuition & fees and room & board costs.   higher education: providing sales & services of auxiliary enterprises (room & board) to 990 students. Providing textbooks & sundry supplies to 1,205 students. Both are essential components of the primary purpose of providing educational service.				
Horizons - A Family Service Alliance	http://www.horizonsfamily.org	1-319-398-3943	EIN 42-1135083	819 5th St. Se	Cedar Rapids	IA	52401	USA	Family Counseling, Food, Group Homes, Meals on Wheels, Mental Health, Mental Health Treatment	Mission Statement:Instill hope, change lives, brighten futures by providing life-changing services to underserved populations.  Horizons is dedicated to providing opportunities for human development in order to improve the quality of individual and family lives.	Consumer Credit Counseling Family Outreach  iCan Counseling Services Meals On Wheels Mental Health Counseling The comprehensive programs of the agency educate and assist children, young adults, families and senior citizens so that they may lead more productive lives.		Providing over 11,000 neighbors with help and hope each year.		
Arc Of Iowa	http://		EIN 42-6099432	1119 Chestnut St	Osage	IA	50461	USA							
Central Iowa Shelter & Services	http://www.centraliowashelter.org	515-284-5719	EIN 42-1394212	1420 Mulberry St.	Des Moines	IA	50309	USA	Christianity, Employment Preparation & Procurement, Homeless & Housing, Homeless Centers, Homeless Shelters, Human Services, Job Training, Religion	Central Iowa Shelter & Services' mission is to provide free shelter and meals to homeless adults regardless of physical or emotional conditions, and to facilitate their move toward self-sufficiency.	emergency shelter, transitional and permanent housing with a community service wing providing an on-site health clinic, food pantry, clothing closet and classroom.	Central Iowa		Homeless Adults (18+)	almost 2,000 unduplicated individuals through our homeless opportunity center
Qresolution	http://		EIN 26-0369568	637 Forest Dr	Council Blfs	IA	51503	USA	Centers to Support the Independence of Specific Populations						
New Life Fellowship Of Keswick	http://		EIN 39-1887000	14358 Highway 22	Keswick	IA	50136	USA	Christianity, Religion						
Full Gospel Businessmen's Fellowship International	http://		EIN 42-1111860	3618 Oakland St	Ames	IA	50014	USA							
Breath Of Life Assembley Of God	http://		EIN 39-1882296	935 S 2nd St	Cherokee	IA	51012	USA							
Junior Achievement Of Central Iowa Inc	http://www.jadsm.com	(515) 279-9602	EIN 42-0759070	6100 Grand Ave	Des Moines	IA	50312	USA	Economic Development, Education, International, International Economic Development, Microfinance	To educate and inspire young people to value free enterprise, business, economics and to improve the quality of their lives.	Taught economic principles and business principles to students in high school, middle school and elementary school.				
4-H Clubs & Affiliated 4-H Organizations	http://		EIN 42-1379412	7628 N Canfield Rd	Dunkerton	IA	50626	USA							
First Reformed Church Of Pella	http://		EIN 42-0746004	603 Broadway St	Pella	IA	50219	USA							
Evangelical Free Church Of America	http://		EIN 42-1433352	PO Box 1091	Spencer	IA	51301	USA							
Mount Vernon Community School District Foundation	http://www.mountvernon.k12.ia.us	(319) 895-8845	EIN 42-1304892	525 Palisades Rd Sw	Mount Vernon	IA	52314	USA		The foundation is organized for the specific purpose to maintain, develop, increase and extend the facilities and services of the mount vernon community school district, and to provide broader educational service opportunities to its students, staff, faculty and the residents of the geographical area which it serves.	Contributions to mount vernon community school for capital improvements to facilities and educational supplies and materials for use in the school system by students and teachers.   qualified students receive educational scholarships as determined by the faculty of mount vernon community high school.   teachers and employees of mount vernon community schools receive additional funds to assist with educating students for supplies in the classroom.				
Paul B Sharar Foundation For Clinton Campus	http://	(563) 244-7040	EIN 42-6102696	C/o President Clinton Comm College	Clinton	IA	52732	USA	Education	Solicit contributions for research and educational activities for the eastern iowa community district, clinton campus, clinton, ia	Scholarships to clinton community college students  grants to student organizations of clinton community college  grants to faculty and staff of clinton community college				
Adults Concerned For Teens	http://		EIN 42-1471620	107 Tomahawk Trl Se	Cedar Rapids	IA	52403	USA	Education						
Our Redeemer Lutheran Church	http://		EIN 42-1334760	120 17th Ave Ne	Independence	IA	50644	USA							
Seed Savers Exchange, Inc.	http://www.seedsavers.org	(563) 382-5990	EIN 43-1214133	3094 N Winn Rd	Decorah	IA	52101	USA	Agricultural Programs, Food	Our mission is to save North America's diverse, but endangered, garden heritage for future generations by building a network of people committed to collecting, conserving and sharing heirloom seeds and plants, while educating people about the value of genetic and cultural diversity.	Publications of educational materials for the organizations 12,500  growing gardens necessary for maintaining seed collection of 20,000  operate heritage farm as a visitor center and educational center				
Cedar Falls Police Protective Association Inc	http://	(319) 273-8614	EIN 42-1324428	220 Clay St	Cedar Falls	IA	50613	USA		Charitable - educational organiztion	The cedar falls police protective association conducts two semi-annual fund drives which last approximately 4 months. The fund drive is managed by dean staggs, director of cjw, inc. Program chairman for the fund drive for the past year has been police officer and association treasurer, mark abernathy. The primary reason for conducting the fund drives is so that the association may make charitable contributions to benefit agencies and citizens of the cedar valley area as well as education for the local police officers and the public. Organizations receiving funding from the association during this past year include local high school post-prom activities, the jerry rabiner treatment center, special olympics and the steve yates melanoma awareness foundation. The association is proud to be associated with these organizations.				
Iowa Architectural Foundation	http://		EIN 42-1326492	400 Locust St Ste 100	Des Moines	IA	50309	USA	Arts & Culture						
The Family Leader Inc	http://www.thefamilyleader.org	(515) 263-3495	EIN 42-1469051	3020 104th St	Urbandale	IA	50322	USA	Crime & Law, Public Interest Law	Develop, advocate, and support legislative agenda at the state level	Develop, advocate, and support legislative agenda at the state level with the ultimate goal of supporting christian family values				
Recycled Fish	http://www.RecycledFish.org	712-256-4907	EIN 51-0501023	3025 9th Ave #B	Council Bluffs	IA	51501	USA	Animals, Environment, Fishing & Hunting, Natural Resources Conservation & Protection, Sports, Water, Water Resources, Wetlands Conservation & Management, Wildlife Preservation & Protection	Fisheries are in decline across America. This results from problems in our broader environment. Recycled Fish educates the people most passionate about fisheries - anglers - about being stewards on and off the water.		United States			
Hoyt Sherman Place Foundation	http://		EIN 42-1433940	1501 Woodland Ave	Des Moines	IA	50309	USA	Arts & Culture, Historical Organizations						
Veterans National Recovery Center For The Homeless & Ptsd Distressed	http://		EIN 27-3714537	2257 Walton Lake Dr	Fairfield	IA	52556	USA	Military & Veterans Organizations, Veterans						
National Steering Comm Of The Assoc For The Imprvmt Of Minorits In Irs	http://		EIN 42-1367124	PO Box 358	Redfield	IA	50233	USA							
American Association Of University Women	http://		EIN 42-6123767	1507 1st St Sw	Clarion	IA	50525	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Whitten Community Church	http://		EIN 51-0157596	Po Box 247	Whitten	IA	50269	USA							
Resource Conservation And Development For Northeast Iowa Inc	http://www.northeastiowarcd.org	(563) 864-7112	EIN 42-1309260	Po Box 916	Postville	IA	52162	USA	Environment, Natural Resources Conservation & Protection	Natural resources management. Our mission: to recognize opportunities and provide leadership to make our region a vibrant place-based model for the nation. The organization serves a seven-county area of northeast iowa.	Lidar byway  trwma-phase ii  cmp-rbsb  art & history byways byways phase iii cig byway cig gwdc cmp dasb cmp delaware cmp grantwood community inv conservation outreach creativity center cwll deco dnr planning emerald ashborer employee giving fc trails fmac fmpp13 freeport park freeport trail giotech gis google gw-dc byways gwdc byways phase iii gypsy moth ibf dasb ibf dcsb ibf rbsb ibf gwsb local food narcdc nisse otter puppet rbeg byway reap byway reap gwdc byway survey tourism knotweed uiw donation wapsi watershed wetlands 13 wetlands 14 winneshiek trout guide wwll turkey river uirwt				
Izaak Walton League Of America Inc	http://www.iwla.org		EIN 42-1222440	1862 Euclid Ave	Waverly	IA	50677	USA	Environment, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management	For the last 80 years, the Izaak Walton League, a national conservation organization, has been addressing a broad range of issues affecting our nation's wildlife and natural resources. We work to educate decision-makers and the public through our national program staff and through our 50,000 members and supporters that are organized through 300+ community-based, volunteer chapters and state-level divisions. Our goal is to ensure that America's natural resource base is protected, managed and used to assure the quality of life in the long run. We accomplish this by emphasizing the hands-on role that individuals can play in habitat protection and restoration as well as through their local legislatures. Our current national conservation work includes staffed programs on public lands management, wetlands and clean water policy, sustainable agriculture and forestry, energy efficiency, clean air, citizen stream and wetland monitoring and restoration education, responsible outdoor behavior.					
ANIMAL WELFARE FOUNDATION OF IOWA	http://www.wesavepets.org	(319) 462-5683	EIN 30-0407535	118 S Elm St	Anamosa	IA	52205	USA	Animal Protection & Welfare, Animals		adopting dogs and cats out to forever homes.	Anamosa, IA		companion animals	
Ottumwa Symophony Orchestra	http://		EIN 42-1320132	Po Box 173	Ottumwa	IA	52501	USA		The purpose of the ottumwa symphony orchestra foundation is to provide for the perpetuation of musical arts and performances in the city of ottumwa and surrounding communities and for the encouragement of musical education amongst elementary, high school and community college students.	The purpose of the ottumwa symphony orchestra foundation is to provide for the perpetuation of musical arts and performances in the city of ottumwa and surrounding communities and for the encouragement of musical education amongst elementary, high school and community college students.				
Trinity Reformed Church Of Pella Iowa	http://		EIN 42-0801840	407 Franklin St	Pella	IA	50219	USA							
Iowa City Free Medical Clinic	http://www.jccn.iowa-city.ia.us/~freemed/	(319) 337-9727	EIN 42-0960955	2440 Towncrest Dr	Iowa City	IA	52240	USA	Community Clinics, Health	To provide health care services.	Free health services provided to low-income and underinsured individuals. In fiscal year 2015, there were 5,323 patient visits. A total of $1,232,357 was recorded for fiscal year ended june 30, 2015 for in-kind donations of services, facilities, and materials.				
Southeast Church Of Christ	http://		EIN 42-1386144	1737 14th Ave Se	Cedar Rapids	IA	52401	USA							
Sumner Community Club	http://www.cmhsumner.org	(563) 578-3275	EIN 42-0670596	Po Box 148	Sumner	IA	50674	USA	General Hospitals, Health	To provide quality health care to the people of sumner and surrounding areas, while coordinating other needed services.	Community memorial hospital (cmh) medical clinic continued to serve sumner, ia and the surrounding area in the year 2014. Cmh clinic was staffed with 4 providers. The cmh clinic now has two nurse practitioners and two physicians. Patients were served in many capacities including, but not limited to, well child visits, immunizations, routine pediatric care, shared maternity care, wound care, therapeutic injections and manipulation treatments. Patients ranged from newborn to geriatric. A 50-mile radius of sumner was served with a total patient volume of 8,870 for 2014. In addition to clinic visits, our providers continue their service to surrounding nursing homes with patients seen monthly at hillcrest home in sumner, maplecrest manor in fayette and tripoli nursing & rehab in tripoli. Other services to the community were physicals for area firefighters and ems agencies and post-job offer physicals for two local businesses. Providers continue to take call for the emergency department on a regular scheduled basis throughout each month. Clinic staff continued to go to an area bank the first tuesday of each month to offer free blood pressure checks to anyone on a walk-in basis. Providers avidly precept for students various programs with allen college in waterloo, ia and kaplan university in cedar falls, ia taking advantage of this in 2014. The clinic hours are monday through friday starting at 7 am and ending at 5 pm.   the cmh emergency department served 1,352 patients in 2014. This is an increase of 117 patient visits from 1,235 visits in 2013. The number of physician hours spent in the emergency department decreased from 2,655 in 2013 to 2,540 in 2014. In 2014, the emergency department implemented cqi projects for documentation of collection of ua, nursing assessments, suicide assessment and stop times for iv fluids. The educational focus for 2014 once again centered on monthly trauma training tracc's provided by hennepin county hospital. Other areas of education were the continuation of monthly mock codes, poison center webcast, mandatory reporting, continuous quality improvement program (cqi), department scheduling for pharmacy, burn care update, hie placement of umbilical line and management of oxygen and post resuscitation stabiliation in the newborn. Nursing competencies included: bladder scanner, stroke box, cqi monitoring, documentation and outpatient order processes.   acute nursing had 359 admissions in 2014. Cmh utilizes a company called mckesson's interqual for qualifying patients to determine if they meet inpatient admission criteria. The average length of stay for acute was 62. 00 hours. This is well below the 96 hours threshold for critical access. There were a total of 363 acute patient days and 804 swing bed days in 2014.   various inpatient and other health care services.				
Riders Club of America	http://myridersclub.com	3193651511	EIN 27-0832680	1700 B Ave NE #213	Cedar Rapids	IA	52402	USA	Transportation Assistance	Riders Club provides freedom and independence by eliminating transportation barriers for those who no longer drive.	organization of volunteers for low cost transportation options.	Tertiary Markets as a turnkey solution for organizing volunteer drivers	As of 7/1/2016 we have provided over 63,000 rides in our Beta Market.  We have a 99.9% fulfillment and a 98% on time rate.	Those who no longer drive	280 families in the Cedar Rapids, IA area offering over 1000 rides each month
W H Ii Ltd	http://www.eyerlyball.org	(515) 235-8822	EIN 42-1205700	945 19th St	Des Moines	IA	50314	USA		Assist individuals who have a severe and persistent mental illness in gaining, or regaining, the skills necessary to live independently within the community.	W h ii is a residential care facility for individuals with mental illness. The facility houses 15 individuals under section 202 of the national housing act for the convalescent mentally ill. Activities of daily living and skills training are provided to teach residents how to live independently. Skills training provided include, but are not limited to, cooking, budgeting, hygiene, cleaning, social skills, community resources, and medication management.				
INTERNATIONAL MESSENGERS	http://www.internationalmessengers.org	(641) 357-6700	EIN 41-1652782	PO Box 618	Clear Lake	IA	50428	USA	Protestant, Religion	International messengers is an evangelical, interdenominational missions organization comprised of international staff. We are committed to making disciples of all nations through partnering with local churches to renew, train and mobilize believers for active involvement in reaching the world for christ.	International messengers conducted over 30 evangelistic short-term ministries last year, sent over 200 north americans in short-term missionary endeavors, supported over 100 full-time missionaries around the world, and conducted nearly 100 events designed to challenge and disciple the north american church--these include preaching in churches, speaking at camps, conducting retreats, prayer services, marriage enrichment ministries, and various types of missions presentations. The goals of these activities are two-fold: 1) to reach more people with the good news about having a relationship with jesus christ, and 2) to encourage and equip people to be a part of sharing that good news with others. Much of the work we do is measured in intangibles rather than in statistical data. The numbers above give some idea of the scope of the work.				
Outreach Inc	http://www.outreachprogram.org	(800) 513-0935	EIN 20-0636360	Po Box 361	Union	IA	50258	USA	International, International Development	The mission of outreach is to provide safe water, food, medical care and education to children and those in need at home and abroad.	Meals and water programs:outreach was responsible for donating several million meals during 2014 which were packaged at 252 events located throughtout the united states.   medical program tanzania:the organization participated in two medical mission trips during 2014. The spring trip included 26 doctors, nurses, surgeons & support staff from all over the united states. The group treated hundreds of patients and performed numerous surgeries at the singida regional hospital in singida, tanzania. During the fall an additional trip to east africa was made by medical professionals and volunteers to treat patients and those in need.   education program tanzania:the organization supported the operation of the manyoni children's center in the village of manyoni, singida, tanzania. The center serves over a thousand vulnerable children in the area. The center continues to work in conjunction with the local school by providing school uniforms and meals to students.				
Independent Assemblies Of God	http://		EIN 42-1319448	4651 Ne 3RD St	Des Moines	IA	50313	USA							
Greater Des Moines Golf Foundation	http://		EIN 42-1470528	c/o David Creighton Sr 1466 28th Street 100	West Des Moines	IA	50266	USA	Golf, Sports						
Oelwein Area United Way Inc	http://		EIN 42-1225224	Po Box 547	Oelwein	IA	50662	USA		To raise money for worthy local charities in the oelwein area					
Faith Community Church Of The Christian And Missionary Alliance	http://		EIN 42-1327956	2701 N 8th St	Red Oak	IA	51566	USA							
Dubuque Rescue Mission	http://		EIN 42-0844836	Po Box 147	Dubuque	IA	52004	USA							
Planned Parenthood Of Arkansas And Eastern Oklahoma Inc	http://www.ppheartland.org	(515) 280-7000	EIN 73-0685955	818 5th Avenue No 200	Des Moines	IA	50309	USA	Family Planning, Health, Reproductive Health Care, Reproductive Rights	Planned parenthood of arkansas and eastern oklahoma, inc. , is dedicated to ensuring healthy sexuality, family health, and access to high quality sexual and reproductive health care through education, advocacy, and the provision of direct services.	Patient clinical services - planned parenthood of arkansas and eastern oklahoma, inc. (ppaeo) served 12,299 unduplicated patients in fy14 through 19,989 office visits. Patients are primarily of very low income status, are typically uninsured or underinsured and may not qualify for public health assistance programs. Services include comprehensive exams, family planning and contraceptives, testing and treatment for sexually-transmitted infections, hpv vaccines, pregnancy tests, sexual assault exams, pap tests, cancer screenings, primary healthcare services, counseling and referrals and other medical/surgical procedures.   public and professional educational services - ppaeo provides age-appropriate, research-informed education programs in reproductive health, human development and sexuality education for youth and adults in a variety of community-based settings. Programs are comprehensive and include discussions on abstinence. The goal of ppaeo's education programs is to reduce the high incidence of teen and unintended pregnancies and stis in its affiliate territory. Ppaeo's trained educators work in communities through a broad base of collaborating agencies to provide medically accurate prevention education. Educators conduct community outreach at health fairs and community events and facilitate educational programing with youth and adults. Professional training on sexuality education and reproductive health care is provided to professionals and educators.				
Redeemer Lutheran Church	http://		EIN 42-1367040	14 S 16th St	Denison	IA	51442	USA							
Iowa Natural Heritage Foundation	http://www.inhf.org	(515) 288-1846	EIN 42-1127544	505 5th Ave Ste 444	Des Moines	IA	50309	USA	Environment, Natural Resources Conservation & Protection	The foundation protects and restores iowa's land, water and wildlife for future generation. This member-supported organization's priorities include permanent land protection, promotion of improved land management and bringing new conservation ideas and opportunities to iowa.	Protection and restoration of iowa's land, water, and wildlife  education & awareness - provides information to the public to become aware of environmental issues and opportunities.   long-range planning and water quality				
Raising Readers In Story County	http://www.raising-readers.org	(515) 232-1968	EIN 20-1672684	Po Box 2374	Ames	IA	50010	USA	Family Services	To increase literacy through reading	To provide books and reading materials for children in strategic public locations for the purpose of increasing literacy in children in story county, iowa.				
Southern Iowa Resources For Families Inc	http://	(641) 782-4170	EIN 42-1133244	215 N Walnut St	Creston	IA	50801	USA	Group Homes, Human Services	Community support services for individuals with developmental and psychiatric disabilities	Supported community living services for individuals with disabilities				
Raccoon Valley Animal Sanctuary & Rescue	http://RaccoonValley.com	5155771745	EIN 42-1409512	PO Box 38	Boone	IA	50036	USA	Animal Protection & Welfare, Animals	WHO WE ARE Raccoon Valley Animal Sanctuary & Rescue is a state licensed, 501(C)3 non-profit, charitable and educational animal welfare organization. RVAS does not receive any government funding and relies solely on the contributions of public donors.  Our Mission: To eliminate the neglect, abuse and abandonment of companion animals caused by human ignorance, intolerance and indifference. And to celebrate the joys created by the human-animal bond by education and example.	Rehome/Rehabilitation Services, Animal Rescue Services, Behavior Consultation, Food & Medical Assistance.	Iowa and surrounding states	RVAS has saved over 15,000 lives since it's establishment in 1994 and is one of Iowa's leading no-kill animal welfare organizations.	Animals in need	2,500+
Board Of Trustees Grand Charity Fund Grand Lodge Of Iowa A F & A M	http://www.iowamasonichealth.org	(563) 359-9171	EIN 42-0892476	2500 Grant Street	Bettendorf	IA	52722	USA		Providing the highest quality of care needed by its residents to assure a desirable quality of life in their declining years.	Provided nursing home care to the elderly and infirm - approximately 24,455 nursing days provided.				
Webster City Community Theatre	http://www.wcctonline.org	(515) 832-4456	EIN 42-1218552	Po Box 272	Webster City	IA	50595	USA	Arts & Culture, Theater	Public performances of live theater, including plays and musicals	Live public performances of the following plays and musical				
Jasper Community Foundation	http://	(641) 791-2874	EIN 39-1905948	Po Box 924	Newton	IA	50208	USA	Community Foundations, Philanthropy	To improve the quality of life	To receive contributions from businesses and individuals and make disbursements to charitable organizatons and governments to improve the quality of life of those who live in jasper county, iowa, includes newton main street, parks, libraries, and st. Nick's program for needy  the jasper county conservation connection enhances the efforts of the jasper county conservation board by fund raising for special projects, assisting with maintenance of public areas, doing special projects and promoting conservation activities  renew newton is a program to assist with the implementation of community visioning and the master plan development project in an effort to make the communmit a better place to live				
Mississippi Valley Quilters Guild	http://		EIN 42-1205496	10500 118th St	Davenport	IA	52804	USA	Arts & Culture, Professional Societies & Associations						
Sakthi Foundation Inc	http://www.uni5.co	(641) 469-6784	EIN 42-1512070	1507 Lone Oak Cir	Fairfield	IA	52556	USA	Health, Health Care	Our mission is to give the right awareness  in all five aspects of human life to lead a happy life.  We give health tips for both body and mind, has Uni5-sakthi schools imparting self-connecting knowledge, integrating all beliefs, cultures to reflect the highest Truth.	health suggestions, inferity, diseases, cancer, education, awareness on relationships,	Throughout the globe	We have helped change the lives of thousands of people all over the globe.	health awareness, education, environment	
Morningside College	http://www.morningside.edu	(712) 274-5000	EIN 42-0680400	1501 Morningside Ave	Sioux City	IA	51106	USA	Education, Undergraduate Colleges	The morningside college experience cultivates a passion for life-long learning and a dedication to ethical leadership and civic responsibility.	Provides graduate and under graduate classes for students  provides residence hall (living quarters) for full time under graduate students.   provide food service (cafeteria) for students.   expenses consist of a fair value hedge expense interest due to an interest rate exchange agreement for some longterm debt and a number of other smaller transactions				
Central Iowa Christian School	http://www.centraliowachristian.org	(641) 236-3000	EIN 42-1205352	201 380th Ave	Grinnell	IA	50112	USA	Education, Primary & Elementary Schools	To provide christ-centered education with a high standard	Provide christ-centered education for 41 students from preschool to eighth grade				
National Balloon Museum Inc	http://		EIN 42-1112484	Po Box 149	Indianola	IA	50125	USA	Arts & Culture, Museums						
Endure Iowa Inc	http://		EIN 46-1210219	5640 Nw Beaver Dr	Johnston	IA	50131	USA	Health						
Humboldt Humane Society	http://		EIN 42-1464444	Po Box 424	Humboldt	IA	50548	USA	Animal Protection & Welfare, Animals						
Arc Iowa 0606 Wright County	http://		EIN 42-6099396	Rr 2 Box 161	Eagle Grove	IA	50533	USA							
Mercy Hospital Guild	http://	(319) 339-3659	EIN 42-6099912	500 E Market St	Iowa City	IA	52245	USA	General Hospitals, Health	Mercy hospital guild is a non-profit, 501(c)(3) organization whose purpose is to promote and advance the welfare of mercy hospital iowa city, iowa, through service to the hospital and its patients, and through fundraising.	Gift shop: helps patients, visitors and staff by meeting their personal needs. Profits to mercy hospital foundation for the benefit of patients.   guest house lodging: assists patients and visitors by providing rooms overnight at a reasonable cost.   grants to mercy hospital foundation to support the hospital's mission of improving the health of the community.   other program expenses: expenses related to other small program activities.				
Polk County Jail Ministries Inc	http://www.polkcountyjailministries.com	(515) 323-5386	EIN 42-1375716	1985 Ne 51st Pl	Des Moines	IA	50313	USA	Christianity, Religion	Polk county jail ministries exists to minister to incarcerated men, women, juveniles and the employees of the sheriff's office.	Provide hope and guidance to the incarcerated through the transforming message of the gospel of jesus christ and helping each one become an asset to society.				
Family Services Group	http://		EIN 39-1892496	Box 848	Waverly	IA	50677	USA	Ambulatory & Primary Health Care, Health						
YWCA - Clinton	http://ywcaclinton.org	563-242-2110	EIN 42-0716335	317 7th Ave S	Clinton	IA	52732	USA	Human Services, Young Mens or Womens Associations		Children's Center provides childcare for children 6wks to 12yrs from 6am until midnight, the only 2nd shift Center in the area.  Preschool is also offered to those 3-5 years old at two locations.   Our Youth Department has after school programs as well as Holiday camps and Summer camp for our area youth from ages 5-12.  The YWCA Wellness program guides our Fitness Center, exercise classes, as well as Aquatics department.  Serving all ages of our community, Senior Services focuses on activities for our older population.  Crisis Services serves those who are victims of domestic violence, sexual assault, harassment, stalking & homelessness, offering emergency shelter and transitional housing to over 300 people each year.    The YWCA offers Enrichment programs to the community through informational classes and  involvement in the Clinton Peace Coalition, the Annual Martin Luther King Jr. Celebration, and the Woman of Achievement Awards Dinner.	Clinton, Iowa,		better our community by providing fitness and wellness programming, quality childcare & preschool and housing programs to assist those affected by domestic violence, sexual assault, stalking, harassment and homelessness.	
New Bohemia Group Inc	http://		EIN 20-4679160	Po Box 2801	Cedar Rapids	IA	52406	USA	Arts & Culture						
Des Moines Area Religious Council Foundation	http://	(515) 277-6969	EIN 42-1337700	3816 36th St	Des Moines	IA	50310	USA	Federated Giving Programs, Philanthropy	The organization's primary exempt purpose is for the benefit of, to perform the function of, or to carry out the purposes of the des moines area religious council.	The organization serves to fundraise and invest amounts for the benefit of the des moines area religious council, a 501 (c) (3) organization. There are no programs or program services. The foundation does not apply for or receive grants. The only revenue comes from donations and interest earned on previous donations. The only expenses are those incurred as a result of management of investments.				
Harrison County Humane Society	http://www.harrisonhumane.org		EIN 61-1485636	106 N 5th Ave	Logan	IA	51546	USA	Animal Protection & Welfare, Animals	Provide care for strayunwante dogscats	Repaired building to a condition that allowed for the proper care of unwantedstay dogs and cats until suitable placement for animals are found  veterinary services for spayingneutering and general care for the dogs and cats and implant with micro-chips prior to placing in a suitable home reimbursement of spaynuetering				
Planned Parenthood Of The Heartland Inc	http://www.ppheartland.org	(515) 280-7000	EIN 42-0727488	818 5th Ave Ste 200	Des Moines	IA	50309	USA	Civil Rights, Family Planning, Health, Reproductive Health Care, Reproductive Rights	To be a leader in providing accessible reproductive health care, education and advocacy; responsive to the needs and rights of families and individuals.	Patient clinical services - planned parenthood of the heartland, inc. (ppheartland) served 46,870 unduplicated patients in fy14 through 103,754 office visits. Patients are primarily of very low income status, are typically uninsured or underinsured and may not qualify for public health assistance programs. Services include comprehensive exams, family planning and contraceptives, testing and treatment for sexually-transmitted infections, hpv vaccines, pregnancy tests, sexual assault exams, pap tests, cancer screenings, primary healthcare services, counseling and referrals and other medical/surgical procedures.   public & professional educational services - ppheartland provides age-appropriate, research-informed education programs in reproductive health, human development and sexuality education for youth and adults in a variety of community-based settings. Programs are comprehensive and include discussions of abstinence. The goal of ppheartland's education programs is to reduce the high incidence of teen and unintended pregnancies and stis in its affiliate territory. Ppheartland's trained educators work in communities through a broad base of collaborating agencies to provide medically accurate prevention education. Educators conduct community outreach at health fairs and community events and facilitate educational programing with youth and adults. Professional training on sexuality education and reproductive health care is provided to professionals and educators.				
Orange City 21 Foundation	http://		EIN 42-1321248	PO Box 406	Orange City	IA	51041	USA	Community & Neighborhood Development, Economic Development						
Briar Cliff University	http://www.briarcliff.edu	(712) 279-5504	EIN 42-0707124	3303 Rebecca St	Sioux City	IA	51104	USA	Education, Undergraduate Colleges	Briar cliff university is a community committed to higher education within a liberal arts and catholic perspective. In the franciscan tradition of service, caring and openness to all, briar cliff emphasizes quality education for its students, combining a broad intellectual background with career development. The university challenges its members to grow in self-awareness and in their relationships to others and to god.	Higher education: four year liberal arts university providing over 27,000 credit hours of post-secondary education to over 1,200 students. Doctorate, masters and baccalaureate programs are offered in 35 fields of study.				
