name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Crisis Shelter	Childrens Crisis Shelter 	Crisis Hotline
Sedona Arts Center, Inc.	http://www.sedonaartscenter.com	928-282-3809	EIN 86-6052626	P O Box 569	Sedona	AZ	86339	USA	Arts & Culture,Arts Education,Visual Arts	The Sedona Arts Center mission is to nurture creative discovery, learning and sharing through arts education and artistic development.				Northern Arizona although 60% of our daily attendance is out-of-state	The Sedona Arts Center and gallery offers a wide variety of arts programming. Members Gallery featuring nearly 200 local artists work, attracting nearly 20,000 visitors each year from all around the world.			
Page Regional Domestic Violence Services	http://	(928) 645-5300	EIN 86-0838347	Po Box 3686	Page	AZ	86040	USA	Human Service Organizations,Human Services	Provide advocacy and shelter to victims and their children of domestic violence and sexual assault.					Provided advocacy and shelter to victims and their children of domestic violence and sexual assault: number of meals provided: 11,994; number of bednights provided: 3,998.			
Vertical World Solutions	http://verticalworldsolutions.com/	6024484208	EIN 27-1203284	24654 N.Lake Pleasant Pkwy. Ste 103-207	Peoria	AZ	85373	USA		Our mission is to do light stuff in a dark world. To not merely listen to the Wordbut to do what it says. We want to serve, love, live and give all we canwhile leaving the results up to God. We want to tell 2.7 BILLION people about Jesus Christbut we are going to start by just being the church. We want to do all this with only Gods strength and provision, so that in all things God may be praised through Jesus Christ.	A fledgling non-profit organization founded in October of 2009. We are determined to share the love of Jesus Christ in word and deed on a local, national, and international level.  During our first few years of existence we have seen God show up in some amazing ways. Some highlights include: helping to fund the mobilization of a food ministry in San Luis, Mexico; opening a sewing academy in Pakistan that can teach 40 women per year a new trade in order to keep them out of slavery; the opening of the first independent Christian school in Pakistan which is home to >170 children, and the digging of 11 wells which provide water to thousands!				Discipleship, Education, and Justice.			
Epilepsy Foundation of Arizona	http://www.epilepsyaz.org	6024063581	EIN 86-6080639	240 W. Thomas Road  Second Floor	Phoenix	AZ	85013	USA	Epilepsy,Health	The Epilepsy Foundation of Arizona leads the fight to stop seizures, find a cure and overcome challenges created by epilepsy.	We spent a lot of time this year rehabilitating our statewide Support & Empowerment Groups and strengthening or relationships with Neurologists and Epileptologists in Arizona to reach more people in the epilepsy community. Our big success this year was increasing attendance at all of our events by 28 - 73%.	Anyone living with epilepsy, regardless of whether someone has it or someone in their life has it, you're living with epilepsy.	11,500	State of Arizona	Operation Outreach, Camp Candlelight, First Responders Training, Dottie the Dalmation, Kids on the Block, Managing Students with Seizures, School Bus Seizure Training, Workplace Accommodations, H.O.P.E. Mentors, Youth Leadership Council, Seniors with Seizures, Take Charge of The Storm, Studio - E, EFAZ Cycling Team, Project E- Team			
National Advocacy & Training Nework (NATN)	http://www.natn-az.com	602-369-7792	EIN 	PO Box 51357	Phoenix	AZ	85076	USA		to address the health, safety, economic and social justice issues related to domestic violence, sexual assault, and substance abuse through education, public awareness, and direct services				Arizona				
Foundation for Homeless Cats	http://www.TheFoundationforHomelessCats.org		EIN 26-3239896	2110 W Tonopah Dr	Phoenix	AZ	85027	USA	Animal Protection & Welfare,Animals	The goal of The Foundation for Homeless Cats is to educate community leaders and residents of Maricopa County, Arizona, on implementing an economically feasible method for  humanely reducing the population of stray and free roaming cats, thus easing neighborhood tensions, fostering compassion, and to see abuse of homeless cats diminished and anti cruelty laws enforced.		homeless cats through TNR		Maricopa County Arizona	outreach education about TNR (Trap/Neuter/Return), assisting low income, elderly or disabled colony caregivers			
Citizens Water Advocacy Group	http://www.cwagAZ.org	928-445-4218	EIN 76-0766410	PO Box 13145	Prescott	AZ	86304	USA	Environment,Water,Water Resources, Wetlands Conservation & Management	In recognition that water is a limited resource, the Citizens Water Advocacy Group (CWAG) promotes a sustainable water future in the Upper Verde River Basin and the Prescott Active Management Area by educating the public, encouraging citizen action, and advocating for responsible governmental decision-making.				Arizona Central Highlands				
Chrysalis Shelter For Victims of Domestic Violence Inc	http://www.noabuse.org	(602) 955-9059	EIN 86-0447620	2055 W. Northern Avenue	Phoenix	AZ	85021	USA	Crime & Law,Domestic Violence,Family Violence Shelters,Homeless & Housing,Rehabilitation Services for Offenders,Victims Services							At current capacity, Chrysalis provides bed nights for 40 adults and children and 10 cribs for infants. Services include emergency shelter, food and necessities, client advocacy, trauma counseling, case management, transportation services, 911 cell phones, childcare, computer access/training, and move-out assistance.	program provides emergency crisis shelter, therapy, advocacy, and recreational activities as well as parenting-skills training.	operates a 24-hour line for individuals in crisis.
TEEN OUTREACH PREGNANCY SERVICES	http://Teenoutreachaz.org	877.882.2881	EIN 86-1005133	3024 E Fort Lowell Rd.	Tucson	AZ	85716	USA	Family Planning,Family Services for Adolescent Parents,Health,Health Support,Human Services,Reproductive Rights	Our mission is to educate and empower the youth and young families in our community so they can make informed, healthy decisions.	Babies Born to TOPS Mothers are:More likely to be full-term babiesHealthy-weight babiesBreastfed! 85% of TOPS babies leaving the hospital are breastfedTOPS Teen Mothers are:Knowledgeable about pregnancy, childbirth, and parentingMore likely to return to school after deliveryUsing a reliable form of birth control after deliveryPlanning to prevent 2nd, unplanned pregnanciesTOPS Teen Parents are:Invested in their childs developmentKnowledgeable about healthy parenting skillsReading to their children!	the youth and young families make informed, healthy decisions.	over 500 teen parents in Arizona	Arizona serving Maricopa, Pima and Gila Counties	1) Comprehensive Sex Education to prevent first and repeat teen pregnancies.2) Education and Support to pregnant and parenting adolescents covering healthy pregnancy, childbirth, parenting and TOPS DAD using evidence based programs3) TOPS Scholars -challenges teen parents to complete their educational goals, through, support, incentives and scholarships			
AAH HAA, LTD  formerly CHI	http://www.leaflady.org	480-289-9395	EIN 94-3091079	5830 W Thunderbird Road B8-187	Glendale	AZ	85306	USA		Provides educational resources and services to those seeking sound natural health information, celebrating more than 50 years of blending science and natural healing.	We have been active since 1988 and over these many years we have helped thousands through our educational programs and virtual presentations.	improve health and well being for people, animals, and the environment	More than 500 people through our educational programs	USA and International	We have programs for people, children, companion animals, Elders, veterans, libraries, and especially those who are not able financially to use the natural health approach.			
Brown Dog Foundation	http://www.BrownDogFoundation.org		EIN 20-5387062	Corporate Office 3079 South Danielson Place	Chandler	AZ	85286	USA	Animal Protection & Welfare,Animals,Veterinary Services	To bridge the gap between the cost of medical care and saving the family pet.	939 Family pets saved since 2006~150 family pets sved each year	to help pet owners avoid the unnecessary decision to euthanize their pet when treatment is available to save their life	206 families.	the United States	Guidance and Referral to alternative, lower cost treatment protocols, Payment Plans, Grants to help cover the cost of one-time treatments and assistance purchasing lower cost medications.			
Animal Defense League of Arizona	http://www.adlaz.org	(602) 257-9739	EIN 74-2493030	PO Box 33093	Phoenix	AZ	85067	USA	Animal Protection & Welfare,Animals	The Animal Defense League of Arizona, founded in 1997 from the merger of Tucson-based Voices for Animals and Phoenix-based Concerned Arizonans for the Animal Rights and Ethics, grew out of the need for a unified voice to work toward greater protection of animals in Arizona. ADLA works as a network of animal protection activists and advocates. Mission Statement: "To protect and defend Arizona''s animals."		animals	trap, neuter, and return 11,000 cats	Arizona	the Spay Neuter Hotline and Trap Neuter Return Program for feral and free-roaming cats. ADLA is a statewide leader in spaying and neutering companion animals and feral cats. It TNR's 11,000 cats per year in Maricopa County and makes statewide referrals to low cost and no cost spay neuter services.			
Grand Canyon Association	http://www.grandcanyon.org	928-863-2481	EIN 86-0179548	PO Box 399	Grand Canyon	AZ	86023	USA	Arts & Culture,Environment,Environmental Education,Natural Resources Conservation & Protection	The mission of the Grand Canyon Association is to help preserve and protect Grand Canyon National Park by cultivating support through education and understanding of the park. Founded in 1932, the Grand Canyon Association is the National Park Services official nonprofit partner raising private funds to benefit Grand Canyon National Park, operating retail shops and visitor centers within the park, and providing premier educational opportunities about the natural and cultural history of the region.		Grand Canyon National Park		Grand Canyon	Aid to national park service key projects funded in 2014 include: grand canyon association funded an on-going program that helps nurture lifelong connections between school children and grand canyon national park by bringing children to the park on field trips and also sends a traveling ranger to schools throughout the southwest. Funding pays for travel, materials and teacher workshops. This critical educational outreach creates future stewards for grand canyon and other national parks. Nearly 400 bird species call grand canyon home. All of these birds, inlcuding the endangered california condor and the threatened mexican spotted owl, require assistance to ensure their native habitat remains a place of refuge. Funding will provide for expanded monitoring of the mexican spotted owl, tracking endangered california condors and hosting the hawkwatch international annual raptor migration study. Indian garden is a restful oasis to all who hike along the bright angel trail. The majority of picnic tables at indian garden had deteriorated into splintering safety hazards and were in need of replacement. In 2014, gca raised funds to replace and ship 33 heavy galvanized steel picnic tables to indian garden, restoring comfort to hikers who visit this beautiful gem in the canyon. Grand canyon's diverse plant population can be found in the folds of thousands of meandering side canyons, along the mighty colorado river, at the edges of seeps and springs, and on the rims of the canyon. Gca raised funds to create a demonstration garden located just north of the el tovar hotel along the rim. This garden will allow visitors to explore and learn about the grand canyon's diverse vegetation population. Gca supports grand canyon's junior ranger program. More than 60,000 new junior rangers earned their badges at grand canyon national park in 2014. In 2014, gca funded a team of archaeologists and staff to work to mitigate the adverse affects of erosion and heavy visitor traffic at the whitemore rock art panel. The sacred rock art site and a prehistoric midden (an area of accumulated domestic waste like corncobs and pot shards) were protected from harms way. This long term preservation work was in accordance with the national historic preservation act in partnership with the pueblo of zuni. Gca piloted three, week-long volunteer programs for members to help give back to the park. This program resulted in over 336 hours valued at 22,000 in labor. Kolb studio, located on the very edge of the canyon, was the home and business of grand canyon pioneers emery and ellsworth kolb. Gca funded a restoration project that will continue to preserve the 100 year old historic building and allow it to remain open for the public to enjoy. Hikers from all over the world come to enjoy grand canyon's renowned trails. Gca funded restoration of trails that were damaged due to foot and mule traffic and erosion. In 2014, gca specifically raised funds to restore the clear creek trail. Gca's polk fellowship endowment fund creates fellowships that immerse students in grand canyon science. The three fellowships focus on archaeology, vegetation, and wildlife research at grand canyon national park. Gca presented the 6th annual celebration of art at grand canyon. This event included a plein air art competition, an auction and an exhibition of art in the gallery at kolb studio. This annual event raises funds toward the eventual creation of a permanent art venue at grand canyon. Membership is a key component of gca's efforts to create a steady base of support for grand canyon national park. In 2014, gca's membership grew to over 13,000 members.  aid to usda forest service. Grand canyon association operates a bookstore in the kaibab national forest at jacob lake, az. Our programs there enhance the understanding of the kaibab national forest and surrounding area and provide support to the interpretive activities of the us forest service.  the grand canyon association (gca) is grand canyon national park's official nonprofit partner raising private funds to benefit the park and providing programs to enhance the understanding of historical, scientific, interpretive and other attributes of grand canyon national park including sales of published books and other interpretive goods, instructional classes and guided tours. Grand canyon association operates seven bookstores within grand canyon national park and, one bookstore in the kaibab national forest at jacob lake and a web store. Grand canyon association, its members, donors, and friends help the park service support nearly five million visitors to the park annually. The services gca provides include diseminating park information, providing educational programs and publications, funding improvements, restoring historic buildings, supporting sustainable practices, improving trails and trail safety, funding search and rescue efforts, and providing funds for scientific research. The grand canyon field institute continues to inspire people through expert-led in depth learning adventures at grand canyon. The field institute conducted more than 284 classes providing 37,641 educational hours for over 2,606 participants. Gca's travelin' trunk and video loan program provides outreach educational materials for k-12 educators and children which reached nearly 5,000 students in 2014. Gca creates award winning books and merchandise featuring grand canyon and the colorado plateau. Gca published the third edition of grand canyon women by betty levengood in 2014 adding the lives of three new women and significant rewrites and updates to older chapters from the 2004 edition.			
T.S.G. Publishing Foundation, Inc.	http://www.tsgfoundation.org	480-502-1909	EIN 	p.o. box 7068	Cave Creek	AZ	85327	USA		Our mission is to liberate the human spirit via the work of Torkom Saraydarian, a prolific writer, teacher, and speaker ,who speaks to the heart of humanity and draws out the best in all areas of living.		to help people to unfold their potentials and transform their life to increased happiness, joy, creativity and abundance in every way.		Worldwide	The Five Pillars of TSG programs include:* Joy & Healing* Creating Prosperity* The Wisdom of the Zodiac* Stepping Into the Teaching* Annual Conference & Retreat at the time of Wesak			
Peoria Education Foundation	http://www.peoriaedfoundation.org	623-486-6100	EIN 86-0607829	PO Box 5544	Peoria	AZ	85385	USA	Education	Since 1987, the Peoria Education Foundation has offered grants to teachers in the Peoria Unified School District to enhance the educational experience of students.  The Foundation is an IRS designated 501(c)(3) which provides scholarships to students and grants to teachers within the district.	Thanks to generous donations from community partners, private donors, the annual student Art Festival, Peoria Unified School District staff and other fundraisers, the Peoria Education Foundation has distributed more than $800,000 in educational grants and more than $150,000 in scholarships to district teachers and students in the last five years.			To work to support educational excellence in the Peoria Unified School District.	Grants to teachers and principals for projects outside the normal operating budget. To enhance the general learning environment, but also open the minds of young children to a broad palette of life's possibilities.  scholarships are awarded to high school seniors who have overcome significant adversity to complete their high school coursework and plan to continue on with post-secondary education. Scholarships are also provided for deserving seniors who gave more than 60 hours of service while maintaining high academic standards.			
Santa Cruz Valley Art Association Inc	https://www.tubacarts.org		EIN 23-7034028	Po Box 1911	Tubac	AZ	85646	USA	Arts & Culture,Arts & Humanities Councils & Agencies	Promote education, appreciation and awareness of the arts in santa cruz county, az					Provided supporting activities for the arts in santa cruz county, az, including educational programs, art exhibitions, and cultural and performing arts events.			
Gabriel's Angels	https://www.gabrielsangels.org/	602-266-0875	EIN 86-0991198	727 East Bethany Home Road Suite C100	Phoenix	AZ	85014	USA		Gabriel's Angels mission is to deliver healing pet therapy to at-risk children, nurturing their emotional development and enhancing the quality of their lives forever.		Gabriels Angels serves children from infant to 18 years old residing in crisis nurseries, domestic violence shelters, homeless shelters, group homes for teens and residential treatment centers.  We serve all children equally without regard to gender, ethnicity, income level or other factors.  Gabriels Angels estimates that 35.5% are Hispanic, 31.7% Caucasian, 21.6% African-American, 7.8% Native American, 2.7% mixed ethnicity, and 0.4% Asian or Pacific Islander.  Although we are not provided with family economic information from our partnering agencies, we believe that most would be classified as low to extremely low income.  Arizona statistics on children residing in foster care indicate the average reimbursement per child per year is $13,334. We also know that nearly one in five (21%) of Arizonas children live in poverty with 10% of those living in extreme poverty. Sadly, issues of abuse and neglect often accompany this socio-economic factor.	14,600	Arizona - Maricopa, Pima, Pinal, Cochise and Yavapai Counties	In order for Gabriels Angels to provide services, it is vital to have trained therapy teams.  Therapy Teams are volunteers consisting of a handler and pet.  Therapy Teams must first complete an evaluation, conducted by an independent agency, the Delta Society or Therapy Dogs, Inc.  To successfully complete the registration process, the animals must pass a health examination and provide proof that inoculations are current.  Finally, the Team must pass two evaluations; one that assesses the handlers control over their pet and one that assesses the animals temperament and obedience skills.  Gabriels Angels supports our potential volunteer Teams through this process, but is not involved in their training, evaluation, or registration.  Once the Team passes the evaluation they are registered with the Delta Society or Therapy Dogs, Inc.  All fees are paid by the volunteer.  Teams complete this process prior to being accepted as a Gabriels Angels Pet Therapy Team.    Before a team is assigned to a partner facility, the handler must clear an FBI fingerprint/background check, provide verifiable references, and attend Gabriels Angels Orientation/New Team Training.  In this training, volunteers are informed of polices and procedures, plus are coached on the particular behaviors of the age group with which they will be working.  Since all of our Teams work with children who are in crisis, it is necessary to prepare them for what they will experience.  The Therapy Team is then assigned to a partner agency.  This placement is dependent on the request from the facility, availability of the volunteer Team, personality of the owner and the personality of the Therapy Dog.  As we strive for a permanent placement every time, this matching process is not taken lightly.  The new Team is accompanied by a Gabriels Angels Volunteer Coordinator for the first one or two visits.  Team visitation is typically on a consistent bi-weekly schedule. Bi-weekly visitation seems to match volunteer and pet availability the best. However, Gabriels Angels goal is to provide weekly Pet Therapy visitation at each facility; therefore a minimum of two Teams are needed at each facility to insure weekly visits.  When the Pet Therapy Team visits, dogs are on leash and wear a Gabriels Angels purple vest.  Handlers tell us consistently that donning the vest creates a change in their dogs behavior; they know they are going to work.  Much like an assistive dog for a person with a disability, these dogs truly work with the children, often spending the rest of the day in well-deserved repose.  The therapy visit is relatively unstructured, following a Montessori-based educational belief that children will convey what they need to accomplish during the visit.  For example, children might brush the dogs teeth, allowing children to draw the parallel between this activity and self-care needed to maintain personal good health.  Or, children might observe that the dog is panting, an indicator that a drink of water might be needed.  A water bottle and bowl appear and children are encouraged to provide a drink for the dog.  The children are learning to recognize a need in another and respond positively in filling that need.  Or, as a final example, children are taught how to give a command, such as sit and reward the dog for obeying the command.  How empowering for an abused child to tell a 100 pound dog to sit and be obeyed!  An abused child feels they have no control in their life; working with the therapy dog helps children begin to develop a sense of confidence.  After the team has some field experience, the handler returns for in-depth training for the ACT (Animals and Children Together) Learning Project.  ACT was developed as a result of an independent evaluation of our Pet Therapy visitation effectiveness on impacting the key behaviors needed for abused children to develop socially.  The activities that are engendered in this project help our volunteer Pet Therapy Teams reach children on a deeper level.  Included in the training, which lasts between three and four hours, are modules that help the volunteer understand the emotional effects of child abuse, the core behaviors being impacted, and the important role volunteer teams play.  Volunteer Teams are introduced to and trained on the effective use of over 25 engaging activities they may employ on their visits.    The ACT Program is leveled in an age-appropriate manner.  Noahs Tails is geared towards infants to children age 5; Pennys Pals for 6 to 12 year olds; and Gabes Gang for teenagers. Each ACT activity bag contains an instant camera.  Handlers are trained to catch the children doing something good and snap those photos.  For children who have grown to believe that they can do nothing right, these photos are extremely valuable in providing tangible images that they can and are capable of doing right and well.    In addition to our ACT training, we work closely Social Work schools to offer training to our volunteers on the CPS system and the circumstances to which many of these children have been exposed.  This training helps our volunteers better understand the behaviors and needs of this children as well as the importance of consistent Pet Therapy visits.   Gabriels Angels provides consistent Pet Therapy visits at 107 partner agencies, 83 in Maricopa County and 24 in Tucson.  The average visit lasts anywhere from one to one and one-half hours.  Ideally, the Therapy Team works best with groups of 10 to 12 children.  There is no cost to the participating agency to receive therapy visits for their children.  Partner agencies commit to the visitation schedule and provide assistance in program evaluation.    Clearly, it is vital for Gabriels Angels to recruit, train, reward and retain volunteer Pet Therapy Teams to maintain our current level of service and work towards meeting the additional demand. To accomplish these goals, maintaining service to existing partner agencies and strategically partnering with new agencies, Gabriels Angels has an immediate need for at least 170 additional Pet Therapy Teams statewide. We choose to invest in the development of our volunteer Pet Therapy Teams and are proud that our volunteer to staff ratio is currently 13:1.			
Power Paws Assistance Dogs Inc	http://azpowerpaws.org	(480) 945-0754	EIN 86-1035607	1201 N 85th Place	Scottsdale	AZ	85257	USA	Animals,Blind & Visually Impaired Centers,Deaf & Hearing Impaired Centers,Disabilities	Ensure quality assistance dogs are readily available to people with disabilities to provide physical,					Community outreach. To support the program needs of the community, the organization increased the size of the program site from 1800 square feet to 5000 square feet, added two full time certified canine trainers and increased staff size to five full time and two part time positions. The program to support the community are as follows: literacy, reading, and life skills serves at risk, title 1 children ( ages 3-17). Using animal assisted interventions, we improve the child's social engagement and academic skills at schools or public libraries. Approximately 400 children are served each year. Crimes against children. Assistance dogs work with children that are victims of domestic violence or child pornography. Dogs helpchildren tell their stories with the help of a forensic psychologist in therapy sessions and in the courtroom. Summer camp. Children ages 10-17 learn to train dogs in 90 cues to assist others. Children learn the sociology of dogs and people. Each child is assigned a dog in training to increase their leadership and social literacy skills. Empowering intrepid warriors. Program activities focus on reintegrating veterans back into their civilian life by addressing challenges associated with post traumatic stree. Veterans learn how to train assistance dogs and help provide more assistance dogs for vets.  placement. Provides canine placement for people with disabilities, at risk children, students, and individuals with type i diabetes. Our pledge is to teach each recipient to master the training concepts so that each canine will enhance the social, emotional, and independent motor skills to change the quality of their life. Through an individualized program, each canine is trained to ensure the needs of the receipients are met and to support the individual's lifestyle the two year training proces training fees. Provides obedience training classes for the general public, and includes puppy kindergarten for new owners and individualized taining for owners of adult dogs.			
Joy Christian School	http://www.joyschool.org	(623) 561-2000	EIN 20-4405949	21000 N 75th Ave	Glendale	AZ	85308	USA	Education,Elementary & Secondary Schools,Literacy	Joy christian school is committed to providing a christ-centered education to children from birth through high school and maximizing the growth and success of each student.					Joy christian school operates a school serving children from birth up through twelfth grade along with all activities and daycare. The total students served was 560.			
St. Mary's Food Bank Alliance	http://firstfoodbank.org	602-242-3663	EIN 23-7353532	2831 N 31st Ave	Phoenix	AZ	85009	USA	Food,Food Banks & Pantries	To alleviate hunger through the gathering and distribution of food while encouraging self-sufficiency, collaboration, advocacy and education.Founded in 1967, St. Marys is the worlds first food bank. The idea came to founder John van Hengel when he was volunteering at St. Vincent de Paul serving dinner to those in need.When a mother stated that soup kitchens and grocery store dumpsters were the only way she could feed her children, the concept of a food bank was born, wherein individuals and companies with excess money and food could deposit it, and those in need could withdraw it. Mr. van Hengel approached his local parish, St. Marys Basilica, with his vision and was given $3,000 and an abandoned building. The idea became a reality, and in gratitude, he named his nonprofit organization St. Marys. Inspired by his accomplishments, cities nationwide began opening food banks to feed those in need.Today, St. Marys Food Bank is one of the largest food banks in the United States. We are proud of the impact it has had on Arizonaand the world.	St. Mary's Food Bank has distributed more than 900 million pounds of food to the hungry of Arizona in its history.	Hunger & Homelessness	Over 400 active programs by supplying 40,000 Emergency Food Boxes per month.	Our primary service area covers 81,000 square miles and includes two-thirds of Maricopa County and all of Northern Arizona, including Yavapai, Gila, Coconino, Apache, Navajo, and Mohave Counties.	Del Webb Warehouse Pack & Sort, Knight Transportation Distribution Center, Community Kitchen, CK Catering, Hunger Heroes, Mobile Pantry, Citrus Gleaners, Kids Cafe and our Backpack program. Food is dispersed throughout the state through more than 300 partner agencies.			
Parent Aid - Child Abuse Prevention Center, Inc.	http://www.parentaid.org	520-798-3304	EIN 74-2591577	2580 East 22nd St	Tucson	AZ	85713	USA	Child Abuse Prevention,Crime & Law,Domestic Violence,Family Services,Protection Against Abuse	To strengthen families and prevent child abuse.				Pima County in Arizona	Our mission parent aid fulfills our vision of every child in pima county growing up safe and free from violence by strengthening families and preventing child abuse our parent partners program adopted and integrated the nationally recognized evid ence-based home visiting program safecare through the fiscal year ending august 31 2012 our parent partners program positively impacted 103 families which included over 250 children our parenting classes and family enrichment workshops educat ed 422 participating parents over the year here in pima county within these holistic and complimentary programs we work to educate parents and support families in developing the skills and knowledge to be successful some key target areas inclu de improving parenting skills increasing knowledge of child development enhancing family communication assisting families to develop and utilize community and personal support systems improving family and child health and nutrition developing and strengthening life skills budgeting home safety and anger management empowering families to become self-sufficient and able to cope with life challenges			
Arizona Womens Education and Employment Inc	http://www.awee.org	(602) 223-4333	EIN 86-0412509	640 North First Avenue	Phoenix	AZ	85003	USA	Job Training	To move people to economic independence and well-being through the dignity of work.					Provide support classes and activities for ex-offenders, single parents, displaced homemakers, teen parents, veterans, and others to train and motivate them to seek assistance in searching for, obtaining, and retaining unsubsidized employment. More than 5,000 individuals served each year.			
Fallen Feathers Rescue Rehabilitation & Education Corp	http://	(623) 533-2348	EIN 01-0749446	9532 W Cielo Grande	Peoria	AZ	85383	USA	Animal Protection & Welfare,Animals	Rescue rehabilitation of birds					Provide care and rehabiliatation to domestic companion birds in the event an owner is no longer able to care for them. Provide education to the general public about birds and bird behavior.			
Fusion Foundation	http://thefusionfoundation.org	623-688-1278	EIN 26-3429018	PO Box 26002	Phoenix	AZ	85068	USA		The FUSION Foundation connects ancient wisdom lineages with emerging needs to educate, empower and inspire individuals to bring forth thriving, just, sustainable local communities in global connection.TeamFUSION seeks to set this in motion by transforming communities of conflict into communities of collaboration and creativity. TeamFUSION uses tools of our hearts and spirits with stories, traditional ceremonies, rituals, and local food, arts & culture to engage profoundly peaceful change. TeamFUSION builds bridges by matching needs with resources and resources with needs in our communities to co-create this dream of our Earth.TeamFUSION draws upon peace and wisdom traditions of all cultures as well as contemporary research and experience in order to share and teach the art of walking the powerful path of peace.The FUSION Foundation PurposeTo serve those who serve as exemplars of change they wish to see in our world.The FUSION Foundation VisionTo improve our world by living as a leading exemplar for co-creating Earth culture communities connected locally and across the globe.The FUSION Foundation GoalThe FUSION Foundation connects ancient wisdom lineages with emerging needs to educate, empower and inspire individuals to bring forth thriving, just, sustainable local communities in global connection. We seek to set this in motion by transforming communities of conflict into communities of collaboration and creativity. We use tools of our hearts and spirits with stories, traditional ceremonies, rituals, and local food, arts & culture to engage profoundly peaceful change. We build bridges by matching needs with resources, and resources with needs in our communities to co-create this dream of our Earth.The FUSION Foundation Core ValuesWe respect every individual in her/his own journey.We celebrate small steps toward individual and community health and healing.We value intuition balancing science and technology.We empower individuals to seek their own happiness and the happiness of others.We explore the mysteries of human body and soul within half-hidden wholeness.We remember to breathe with Earth. The FUSION Foundation CommitmentsThe FUSION Foundations first commitment is exemplifying principled values such as humility, perseverance, respect, honor, love, sacrifice, truth, compassion, bravery, fortitude, generosity, wisdom individually and in community.The FUSION Foundations second commitment is modeling peace, harmony and understanding of our relationship with one and another and our relationship with Earth through conversations, ceremonies, rituals and traditions.The FUSION Foundations third commitment is to sustainably support mother Earth and feed the people of our community with clean water and good, healthy, vibrant food.	The FUSION Foundation works in local communities to help transform communities of conflict into communities of collaboration by providing programs such as multi-cultural sensory experiences, community outreach, community leadership development, community incubation, Women'sFUSION, and community services.In 2013 we directly helped 5,000 people monthly to stay connected with needs and resources, 6,000 individuals through providing multi-sensory community experiences, outfitted 150 kids with bikes and helmets, trained 50 people in Compassionate Nonviolent Communication.Additionally, we our Community Incubation program provided Technical Assistance for more than 16 programs and supported the ongoing development of the following inspiring programs:Phoenix Allies for Community HealthGrow Organic KidsGarden of Eatin"Joshua Tree Feeding ProgramCause for Paws Cochise Community FUSION FoundationPeacePi Foundation	communities of conflict	In 2013 we directly helped 5,000 people monthly to stay connected with needs and resources, 6,000 individuals through providing multi-sensory community experiences, outfitted 150 kids with bikes and helmets, trained 50 people in Compassionate Nonviolent Communication.	United States	multi-cultural sensory experiences, community outreach, community leadership development, community incubation, Women'sFUSION, and community services.			
HopeKids	http://www.HopeKids.org	(612) 345-0933	EIN 86-1042378	P.O. Box 28471	Scottsdale	AZ	85255	USA	Children & Youth,Children & Youth Services,Health,Patient & Family Support,Personal Social Services	HopeKids provides ongoing events & activities and a powerful, unique support community for families who have a child with cancer or some other life-threatening medical condition.  We surround these remarkable children and their families with the message that hope can be a powerful medicine.		families that have a child with a life-threatening illness.	2,500 families	AZ, CO, MN, and TX	Our HopeDay Program which provides ongoing events and activities and a powerful, unique support community for families who have a child with cancer or some other life-threatening medical condition.  We surround these remarkable children and their families with the message that hope can be a powerful medicine.			
Tempe Community Action Agency	http://www.tempeaction.org	480-350-5882	EIN 86-0254820	2150 E Orange St	Tempe	AZ	85281	USA	Community & Neighborhood Development,Economic Development,Human Services,Senior Centers,Seniors,Single Parent Agencies	Tempe Community Action Agency works to alleviate hunger, poverty and homelessness in the Tempe community.	A mobile shower trailer was donated to the IHELP Program to help our homeless guests maintain employment and proper hygiene.	low-income individuals in the Tempe, AZ (East Valley area) between 0-100 years.			Homeless prevention services, life skills counseling, home-delivered meals and coordination of senior centers, Prenatal Education, homeless services			
ALTERED TAILS	http://www.alteredtails.org	(602)943-7729	EIN 02-0710228	950 W Hatcher Rd	Phoenix	AZ	85021	USA	Animal Protection & Welfare,Animals,Veterinary Services	The mission of Altered Tails is to provide accessible and affordable spay/neuter solutions for companion animals and free-roaming cats. Our vision is to eliminate euthanasia as a means of population control for companion animals and free-roaming cats.  We are a not-for-profit organization dedicated to providing high quality professional veterinary services and are committed to:Provide affordable spay/neuter service to owners who could not afford to do so otherwise.Offer affordable vaccines and other vital services to owners of companion pets and rescue organizations.Reduce the number of feral cats living in our communities through our Trap, Neuter, Return (TNR) program.Help eliminate euthanasia as a form of population control.		dogs and cats	over 20,000 animals for surgery, with an impact that helped lower euthanasia in Maricopa County	Arizona communities	high quality, low-cost spay and neuter surgeries			
