name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served	Results		 
Break the Silence Against Domestic Violence Inc.	http://www.breakthesilencedv.org	(619) 871-9025	EIN 46-0720615	4010 Sorrento Valley Blvd #400	San Diego	CA	92121	USA		The organization has been formed to instruct individuals for the purpose of improving or developing their capabilities, to educate the public on subjects useful to the individual and beneficial to the community, and to provide relief to the poor, distressed and underprivileged. Our organization has designed and developed a program to educate the community about domestic violence and help victims and survivors of this issue find resources if needed.	Annual wellness retreat for victims and survivors of domestic violence, child abuse or secual assault. Retreat includes breakout sessions, learning sessions, open mic sessions & fund exercises. They provide mental and emotional healing and support.   semi-annual education days for students in high school and college to learn more about domestic violence and how to get involved to stop it. Fliers, brochures, new beginnings emergency kits, and contact information will be provided.   Womens Revitalization Retreat: To support a leadership development program, which empowers female survivors of domestic violence as they partake in workshops devoted to promoting a positive self-image, individual development, life skills training, and enrichment courses. Empowerment Groups: Break the Silence against Domestic Violence offers a holistic and hands-on approach to connecting victims and survivors through a safe and welcoming meeting space bi-weekly for individuals to gain valuable community resources and self-empowerment. *We now provide these groups via webcast for survivors worldwide.  The Grants of Hope Financial Empowerment Program: provides survivors of domestic violence with financial assistance to help overcome economic challenges as a direct result from financial abuse.  National Scholarship Program: Break the Silence against Domestic Violence recognizes and honors victims, survivors, children, and relatives of those affected by domestic violence through our annual scholarship program. Recipients must be committed to academic excellence, leadership, and community service.  Holidays of Hope: Blessing families with hope during the holiday season with gifts as a small reminder that there will be better days.  BTS Talks: BTS Workshops provide education on domestic violence to help youth, young adults and professionals gain an overall understanding of domestic violence.						
City Seminary of Sacramento	http://CitySeminary.org	916 7195009	EIN 71-0935097	2020 - 16th Ave	Sacramento	CA	95822	USA	Education, Higher Education, Protestant, Religion	City Seminary's mission is to provide a sound, biblical theological education to pastoral students who cannot afford to leave home and travel to a distant institution.  We particularly strive to serve working students with families, and those involved in urban ministry.	2-year and 4-year seminary degree programs, including Master of Divinity.  City Seminary also has adopted a completely debt-free tuition model that assures no student incurs debt preparing for the ministry.	train ministers	59	Sacramento Region			
Ecumenical Hunger Program	http://www.ehpcares.org	650 323-7781	EIN 94-2476942	2411 Pulgas Avenue	East Palo Alto	CA	94303	USA	Food, Food Programs, Human Service Organizations, Human Services	EHPs mission is to work with families to eliminate their hunger and to break the cycle of poverty. By providing its programs with compassion and respect, EHP promotes the personal dignity of those it serves and encourages self-reliance.	EHP Programs Include: Emergency Food Assistance EHP provides boxes of food to meet basic nutritional needs of families, as well as to individuals experiencing temporary emergency needs or special circumstances, such as long-term illness.  The food boxes are nutritionally balanced, containing protein, vegetables, grains, cereals, and canned goods.  They are prepared with an understanding of the cultural and ethnic preferences of each family.   Monday Night Meal Program EHP, along with the St. Vincent De Paul Society, prepares and serves hot meals to needy individuals and families every Monday night at St. Francis of Assisi Church in East Palo Alto.  Some of those served are homeless, while others are families with children who take advantage of this program to conserve the limited funds they have.   Personal Support Many clients come to EHP with multiple needs that require personal, ongoing support as they wrestle with the crises that have led to their poverty and hunger.  As these needs have become more complex, EHP has implemented a case management program, which allows EHP?s staff to assist clients in addressing and prioritizing these problems in-depth, providing both the immediate and the long-term assistance essential for a family?s success.  This is a crucial element in the transition of client families from dependence on assistance to self-reliance. Furniture, Clothing, and Household Essentials EHP distributes clothing, furniture, appliances, and household essentials, such as blankets, sheets, and dishes.  Annually, over 4,000 visits are made, and 10,000 clients served, by EHP?s ?Clothes Closet.?  All goods are donations from the community.  This program matches the donated resources of the donors to the needs of the clients in an act of kindness and goodwill.  The most common furniture requests are for beds and refrigerators.  EHP also receives and distributes sofas, stoves, baby furniture, tables, and the like.  EHP assists an average of 100 families each month with furniture or large appliances.  At any given time there are 150-200 families on a waiting list for essential goods and basic living needs. Client Advocacy Information and referral assistance are provided to clients seeking housing, financial assistance for basic needs (e.g., PG&E), health care, child-care, employment, language skills, and other social services.  EHP works with other agencies in the community to facilitate access to critical resources. Children?s Resource Center (CRC) Programs ?	Back to School ?	Holiday Happiness ?	Crisis Referrals   ?	Celebrating Success  ?	Academic Mentoring  ?	Health and Enrichment			Northern California			
United States Veterans' Artists Alliance (USVAA)	http://	310 559 2116	EIN 56-2495323	10858 Culver Blvd	Culver City	CA	90230	USA	Arts & Culture, Music	United States Veterans Artists Alliance (USVAA) is a 501 (c) 3, non-profit, multi-disciplinary arts organization. Founded in 2004, we provide opportunities for military veterans in the arts by networking with veterans, artists, supportive individuals and organizations within the arts and veterans communities to find funding and support for individual artistic projects in theater, film, television and the visual/fine arts and a wide variety of crafts.  In addition to our work with veterans and artists, we strive -- as spokespersons in the veterans community and in our endeavors as artists to highlight -- through our work with a number of exceptionally talented artists who have served in the military --  issues of concern to veterans and their families. These issues include the transition from military to civilian life, education, employment and the effects of wartime and military service injuries.	opportunities for veterans to demonstrate their talents in theater, television, literature, photography, film, fine arts and crafts of all types.	veterans in the arts, humanities and entertainment industry	70 veterans in the arts, humanities and the entertainment industry	the United States			
Rico's Get Better Foundation	http://www.rgbf.org	(855) GET-BTTR	EIN 32-0250496	11664 National Boulevard., Suite 424	Los Angeles	CA	90064	USA	Amateur Sports Competitions, Children & Youth, Sports, Youth Development - Business, Youth Development Programs	Inspiring greatness in youth through sports, art, technology, and education.	Rico's Get Better League, The Get Better After School Art Program, East L.A. Sports Scene, Get Better Entrepreneurial Program	inspire greatness in youth through sports, art, technology and education.	inspire over 200 youth in the greater Los Angeles area	Metropolitan Inner-Cities Within the United States			
Shelter Partnership Inc	http://www.shelterpartnership.org	213-688-2188	EIN 95-3976214	520 So. Grand Ave. Ste. 695	Los Angeles	CA	90071	USA	Homeless & Housing, Homeless Centers, Human Services	Shelter Partnership, Inc. is a nonprofit organization collaboratively solving homelessness in Los Angeles County through policy analysis, program design, resource development, and advocacy in support of agencies and local government that serve the homeless.	-	Agencies serving the homeless and very poor throughout Los Angeles County.			During our fiscal year 2014/15, we distributed $11.4 million worth of new goods to 247 homeless shelters and projects in Los Angeles County through our S. Mark Taper Foundation Shelter Resource Bank.		
California State Parks Foundation	http://www.calparks.org	415-262-4400	EIN 94-1707583	50 Francisco Street Suite 110	San Francisco	CA	94133	USA	Environment, Environmental Beautification, Parks & Playgrounds	California State Parks Foundation is a member-supported nonprofit dedicated to protecting, improving and advocating for all of Californias state parks. With our community of supporters, we deliver innovative solutions for an excellent parks system by facilitating park improvements, inspiring stewardship, supporting partners, advocating for sound policies, and connecting people to parks. Together we ensure that the natural beauty, rich culture and history, and recreational and educational opportunities of our 280 state parks are available for all to enjoy now and for generations to come.	volunteer days, advocacy, capital improvements, and grant giving.	our 280 state parks		California	Since 1969, CSPF has raised over $243 million for state parks.		
Dancin Power	http://www.dancinpower.org	510-384-1199	EIN 27-3692974	P.O. Box 11454	Oakland	CA	94611	USA	Arts & Culture, Dance, Music	Dancin Power's mission is to improve and enhance the quality of life of  hospitalized childrens lives by inspiring self-expression through movement-based creative expression, music and dance!	Dancin Power Workshops Locations & Schedule:    UCSF Benioff Children's Hospital  Oakland, CA  Mondays  from 11:00 am to 12:00 pm at the Day Hospital/ Infusion Center  Oakland Campus  Tuesdays  from   4:00 pm to  5:00 pm at the Healthy Eating Active Living (HEAL) Program  Oakland Campus    *1st & 3rd Tuesdays at the OPC   Fridays    from  10:30 am to 12:30 pm at the Inpatient Building - School Program  and private bedside lessons as requested.  Fridays    from   1:00 pm to 3:00 pm at Day Hospital/ Infusion Center  Oakland Campus     George Mark Children's House      San Leandro, CA  Mondays  from  1:00 pm to 3:00 pm - Mostly private 1:1 bedside lessons.     Children's Hospital Orange County  Orange County, CA  Tuesdays  from   2:00 pm to  4:00 pm  Inpatient Building Playrooms       Shriners Hospitals for Children  Northern California - Sacramento, CA Special Programming scheduled for November and December 2015, due to the hospital's high demand of holidays visitors. Please check with Shriners Hospital's Child Life/Recreational Therapy Department for Dancin Power's workshop schedule.	sick hospitalized kids	Dancin Power helped improve the quality of life of over 15,000 hospitalized children and families since its inception.	Dancin Power program impacts the lives of children from Northern California who are served at UCSF Benioff Children's Hospital  Oakland & San Francisco, CA - Shriners Hospitals for Children  Northern California - Sacramento, CA - George Mark Children's House, S. Leandro, CA - Children's Hospital Orange County "CHOC"  Orange County, CA	Dancin Power has improved the lives of over 15,000 hospitalized children and families since it is inception.  Benefits of Dancin Power:  Help kids cope with emotions, sadness and fears.   Help improve recovery time.   Help kids get out of room to prevent further illnesses caused by long period of bed rest, such as  pulmonary diseases and other illnesses.		
CASA of Sonoma County (Court Appointed Special Advocates of Sonoma County)	http://www.sonomacasa.org	707-565-6375	EIN 68-0404770	P.O. Box 1418	Kenwood	CA	95409	USA	Centers to Support the Independence of Specific Populations, Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Human Services, Protection Against Abuse	Sonoma CASA Program is committed to serving the abused and neglected children in Sonoma County who come before the Juvenile Court for protection. The purpose of CASA is to humanize the complicated, unfamiliar, and frightening legal and child welfare systems for the child victim by providing a trained volunteer who will act as a consistent mentor, role model, support person, and advocate.	A safe, permanent home isn't something that a child should only dream about.. Volunteer Court Appointed Special Advocates (CASAs) are everyday people who are trained and then appointed by judges to advocate for the best interests of abused and neglected children. Our Program Goal: 1. Advocate vigorously for the rights of abused/neglected children in Sonoma County ensuring that all "reasonable efforts" have been made for a child at every stage of the court dependency process. 2. Improve the quality of information presented to the Juvenile Court on behalf of the child by informing the court of the child's adjustment and state of mind. Relevant information is gathered and appropriate case recommendations made in a written case report. 3. Develop and implement a sound program management plan which includes recruitment, retention, supervision, and training of a competent volunteer corps which is ethnically, racially, and linguistically representative of the population to be served.	To help the abused and neglected children of Sonoma County.	180-200 abused and neglected children in Sonoma County, on average.	Santa Rosa, Sonoma County, CA, USA	http://www.sonomacasa.org/aboutus/director.html		
Viet Dreams	http://vietdreams.org	408-410-4920	EIN 27-4115634	P.O. Box 360624	Milpitas	CA	95036	USA	Human Service Organizations	VietDreams is a 501(c)(3) organization founded by musicians, artists, journalists and music enthusiasts who all share a common goal  to provide disadvantaged children in Vietnam and United States with better educational opportunities and a more healthy, sustainable way of living. It is our duty to provide these children with vital medical supplies and educational assistance so that they may live better lives and one day fulfill their dreams.  Some of our projects include donating bicycles and helmets, granting scholarships, medical supplies, workshops and most recently, providing access to clean water, which will reduce water-borne illness among children. Our organization also collaborates with local networks and other non-profit organizations such as Hope for Tomorrow, ICAN, Friends of Vinh Son, and Because Vietnam in order to successfully create an environment where every child is safe, self-sufficient, and able to pursue their education.  But what sets our organization apart is our unwavering commitment and passion. We are devoted to giving these children a healthier lifestyle and a promising educational future. Our efforts are focused on children living in the poorer, rural areas of Vietnam. We do not discriminate among ethnic backgrounds, religions, minorities or medical circumstances. Every child deserves our assistance.  We use our musical talents to raise the necessary funds to support our projects. The majority of our funding coming from benefit concerts, auctions, sponsors, and selling CDs and various artworks. We hope that our efforts and commitment will serve as a powerful reminder that there are many children in Vietnam who still need our help. Our goal is to give these children an opportunity of a lifetime and to make their dreams a reality.	Clean drinking water for children at remote areas through out Vietnam				More than 8000 children at 30 locations throughout Vietnam benefit our clean water		
Circulo De Vida Cancer Support and Resource Center	http://www.circulodevida.org		EIN 51-0471693	2601 Mission St Ste 702	San Francisco	CA	94110	USA	Cancer, Counseling, Health, Mental Health	Circulo de Vida's mission is to walk alongside Latinos living with cancer and their families as they find their way through the fear, confusion, and uncertainty of a cancer diagnosis.  We aim to reduce the devastating effects of a cancer diagnosis by helping Latinos identify coping skills that will support their ability to meet the challenge of a frightening disease.	Support Groups for Women, Men & Children Home & Hospital Visits, In-hospital support Individual Counseling Las Angelitas Peer Mentoring In Hospital Support Spanish Lang. Look Good/Feel Better Program Educational classes Resources and Information Program Internships Program Development  Facilitator Training Outreach				We've worked very hard over the past four years to keep our doors open. As many non-profits, Circulo has been affected by the poor state of the economy. But we are hanging in and everyone referred to us has received the services they need to make it through a diagnosis of cancer.		
Global Fund for Women	http://www.globalfundforwomen.org	4152484800	EIN 77-0155782	222 Sutter St., Ste 500	San Francisco	CA	94108	USA	Civil Rights, Economic Development, International, International Economic Development, International Human Rights, Microfinance, Women, Womens Rights	The Global Fund for Women plays a leading role in advancing womens rights by making grants that support and strengthen womens groups around the world. We mobilize and redistribute resources that enable women to develop creative solutions to local, regional, and transnational challenges. We bring grantees and donors together in an international network that promotes womens action for social change, equality, peace, and justice worldwide.	The Global Fund is honored to work in a supportive, trust-based partnership with women's rights organizations in nearly 200 countries. The extraordinary courage, perseverance and leadership of these groups advance the international women's movement and promote social justice worldwide.  Our grants range from $500 to a maximum annual grant of $30,000. We primarily provide flexible, general support grants that address universal issues such as reproductive health and choice, access to education, economic independence, political participation, the rights of sexual minorities and the prevention of violence against women and girls.  To help link women's rights groups outside the United States, the Global Fund also funds a limited number of small, time-sensitive grants to participants and organizers of conferences that bring together and build the capacity of women's rights activists.  The Global Fund organizes its grantmaking into five geographic regions (Sub-Saharan Africa, the Americas, Asia and Oceania, Europe and Central Asia & the Middle East and North Africa) and six themes (Advancing Health and Sexual and Reproductive Rights, Building Peace and Ending Gender-Based Violence, Ensuring Economic and Environmental Justice, Expanding Civic and Political Participation, Access to Education & Fostering Social Change Philanthropy).						
Eating Disorders Resource Center	http://www.edrcsv.org	(408) 356-1212	EIN 68-0616393	15891 Los Gatos Almaden Rd	Los Gatos	CA	95032	USA	Health, Voluntary Health Associations & Medical Disciplines	Raise awareness of eating disorders through presentations to physician,educator and community groups. Promote recovery by providing resources for education, treatment and monthly support groups. Participate in local,state and national advocacy efforts to support mental health parity, eating disorder legislation, and effective insurance coverage.	Train physicians and health care professionals on how to recognize eating disorders; promote recovery among individuals who attended our monthly support group meetings; responses to requests for help via email, phone and website.						
Diabetes Hands Foundation	http://diabeteshandsfoundation.org	510-898-1301	EIN 26-2274537	1962 University Ave #1	Berkeley	CA	94704	USA	Health, Public & Societal Benefit, Specifically Named Diseases	We connect, engage, and empower people touched by diabetes.	TuDiabetes.org (in English), EsTuDiabetes.org (in Spanish); Big Blue Test; Diabetes Advocates	People touched by diabetes: those WITH diabetes as well as their loved ones, in the US and all over the world.	Every year, more than 2 million people receive support and information about life with diabetes through our work.	Global	We believe no one touched by diabetes should ever feel alone, because together we become stronger and have the power to generate positive change in ourselves and our community.  We provide platforms where people with diabetes and their loved ones can connect and have an open dialog about their experiences with this chronic condition.  Instead of looking at the disease, Diabetes Hands Foundation seeks to understand, connect and energize the millions of people living with this condition.		
National Firefighters Endowment	http://www.thethinredline.org/	9165721502	EIN 27-3919815	P.O. Box 191468	Sacramento	CA	95819	USA	Disaster Aid	National Firefighters Endowment is a non-profit, public charity with a driving passion to protect the lives of our firefighters. We believe that small actions can have life altering results and that the right equipment in the hands of our heroes can literally be the difference between life and death.   You can probably recall being asked as a child what you wanted to do when you grew up. If you are on our site its probably because you said something along the lines of a firefighter, or maybe a police man or woman. Probably even an astronaut for a bit. More than likely it wasnt because you were concerned with your career path or having a JOB. What you really wanted to be was BRAVE, ADVENTUROUS, and to have an impact that was larger than life itself.  It is that same child-like ambition that drives National Firefighters Endowment to spark innovative ideas, forge collaborations and shape creative grant-making to ensure that our childhood heroes have the proper equipment to carry on the legend of the fire service and to come home safely to their families.				USA	National Firefighters Endowment was on the ground shortly after Hurricane Sandy to place life-saving equipment that was lost or damaged in the storm.		
The Freedom Story (Formerly The SOLD Project)	http://thefreedomstory.org/	925-452-7653	EIN 26-1587576	337 17th Street  Suite 102	Oakland	CA	94612	USA	Children & Youth, Education, International, International Human Rights, International Relief, Scholarships, Scholarships & Student Financial Aid, Youth Development	Our mission is to prevent child prostitution through culturally relevant programs for vulnerable children and to share their stories to empower creative, compassionate people to act.	To prevent children from ending up in a life of exploitation and to share their stories to inspire creative, compassionate people to act, the sold project offered education scholarships to children at-risk to help keep them in school as well as other necessary programs to aid in prevention. During 2014, the organization provided scholarships to 115 children. Also these children were offered with after school programs, tutoring, computer classes, weekend english classes and weekly creative writing classes, as well as trafficking awareness programs and community trainings yearly at the organization's resource center in chiang rai, thailand. These programs are all being implemented by local staff passionate about education and the future of these children. In 2014, 99% of students graduated from 9th grade and many went on to high school and even university. Hosted an activist awareness trip in january 2014 to educate professionals and people of influence on the importance of prevention efforts to aid in the protection of children at risk of exploitation.		140 children at-risk and the communities they live in	Chiang Rai, THAILAND	As of 2013, 140 students are receiving a scholarship from The Freedom Story's FREEDOM fund, allowing them to stay in school. To date we have a 90% enrollment rate in a region with statistics that show 50% of students to drop out at grade 6.		
Stray Cat Alliance	http://www.straycatalliance.org	310-281-6973	EIN 95-4787231	PO Box 661277	Los Angeles	CA	90066	USA	Animal Protection & Welfare, Animals	Stray Cat Alliance educates and empowers the community to advocate for every cats right to be safe, healthy and valued. We are building a no kill nation, one stray at a time.	I Spayed LA in South Los Angeles; Care for Community Cats (Hotline, etc.); Adoptions greater Southern California; Return to Field at Long Beach Animal Care and Services	General public wherever cats reside with a focus on individuals and cats in underserved communities.	Thousands of residents annually are assisted with cat related questions/needs and thousands of community and/or "owned" cats and those impounded in municipal shelters.	Los Angeles County	Assisted in the spay/neuter, advocacy and/or free resources for over 175,000 cats in our 15 years history throughout Southern California.		
Friends of the Hollywood Cap Park	http://hollywoodcentralpark.org	(310) 274-8682	EIN 26-4236328	1680 Vine St Ste 1000	Los Angeles	CA	90028	USA	Environment, Parks & Playgrounds	In relation to the environmental impact report, the organization held a scoping meeting as required by ceqa. The event was the largest in la history with 270 stakeholders attending. Caltrans and larap worked to finalize the cooperative agreement. Caltrans psr was finalized and negotiated fee of $5,000 was paid in full. Caltrans and fhcp began discussions of air rights and scheduling ctc presentation. Governor brown signed two pieces of legislation, eifd and cria, that will assist fhcp in funding and creating affordable housing. Fhcp delegation visited millennium park and the highline to learn best practices and funding strategies; advocacy trips to washington dc and sacramento. Fhcp began initial work on comprehensive economic study. Fhcp board members and volunteers participated in the 4th consecutive hollywood christmas parade. Fhcp participated in successful meetings with the building trades, lacarguy, lambda alpha and southern california planning congress.	The hollywood central park is a landmark infrastructure project that will create more than 40,000 direct and indirect jobs over 10 years, provide economic stimulus and long term economic security, provide healthy communities and provide children with open green space in which to grow and thrive. The hollywood central park will transform hollywood's disadvantaged communities into thriving economic engines and is an investment in our children, our community and our future.   in accordance with us gaap contribution of services are recognized if the services received (a) create or enhance nonfinancial assets or (b) require specialized skills that are provided by individuals possessing those skills, and (c) the services and costs would typically need to be purchased if not provided by donation. Contributed services that do not meet the criteria are not recognized. Fhcp receives a significant amount of donated services from unpaid professional volunteers who assist in carrying out the organization's program services. See sch d and sch o for detail.						
Edu Designs	http://www.edudesigns.org/	626-940-4768	EIN 26-1576531		Arcadia	CA	91066	USA	Arts & Culture, Children & Youth, Printing & Publishing, Youth Development Programs	"EDU DESIGNS is dedicated to produce and distribute multimedia materials for the education, motivation and character development of children"  We are "Building Brains And Hearts Through The ARTS!"	Free Art Presentations,  Books and materials and Parenting Tools. Founded by Emmy Award Winning Animation artist & Author Ruth Elliott-Hilsdon, EDU DESIGNS provides tools for positive behavior and character development through the ARTS and through GoMommyGO, a registered trademark of EDU DESIGNS.	provide media for character development	thousands of students, parents and teachers.	Worldwide	Thousands of children and their parents get a positive impact from our outreach!  We donate our time and  materials to schools,  teachers and students, including my Art Book, SEE WHAT YOU'RE LOOKING AT:  http://www.edudesigns.org/booknews.html You can help too, by sharing my inspiring art book with them. To get a complimentary digital copy,  please click on "Write a Review" here: https://greatnonprofits.org/reviews/write/edu-designs and tell us how YOU think the arts help kids.   Then get a free download of Ruth's Art Book here!  http://www.edudesigns.org/blog/give-while-you-get/#ArtBook Thank you so much for helping!		
National Council of Jewish Women Incorporated	http://www.ncjwla.org	(323) 651-2930	EIN 95-1641433	543 North Fairfax Ave	Los Angeles	CA	90036	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Counseling, Human Services, Mental Health, Women, Womens Service Clubs	The National Council of Jewish Women (NCJW) is a grassroots organization of volunteers and advocates who turn progressive ideals into action. Inspired by Jewish values, NCJW strives for social justice by improving the quality of life for women, children, and families and by safeguarding individual rights and freedoms.	Women Helping Children (WHC) Art & Literacy Programs for Youth is committed to bringing art and literacy programs to over 6,500 children at 16 sites including several Title I Elementary Schools, LAUSD Teen Mom High School programs, and two mid-city shelters across Los Angeles and the San Fernando Valley. Over 100 volunteers help children build their confidence and foster their creative skills by teaching them to navigate in a library and providing after-school tutoring and art education programs.   Women Helping Women (WHW) Community Counseling & Support Services serving over 4,000 individuals each year offers individual, couples, and family counseling, Womens Empowerment (WE) support groups, school and community-based counseling, domestic violence support services and case management. WHW also maintains an Emergency Survival Fund to assist women and their families in crisis, and advocates on behalf of clients issues such as welfare reform and domestic violence. Trained paraprofessional Talkline counselors are provided to offer guidance, expert resources and someone to listen through NCJW/LAs WHW Free Counseling Talkline 877-655-3807.   Scholarship Program - In recognition of the organization's commitment to addressing the social and economic realities facing women and their families, the NCJW/LA WHW Scholarship Committee has awarded financial assistance to Los Angeles County residents for more than 20 years. Since its inception, it has provided more than $250,000 in grants that are focused on improving the quality of life through responsive social service programs distinguished by a vigorous commitment to self-sufficiency, education, and social responsibility. It distributes funds to women and men who have shown initiative and courage in facing the obstacles in their lives. They have also made a commitment to higher education in order to achieve a better future for themselves and their families.   Advocacy - At the forefront of social change, NCJW/LAs Advocacy Committee and supporters are outspoken champions for progressive policies at the federal, state, and local levels. Over the years, the National Council of Jewish Womens collective voice has changed the world for the better, impacting the lives of women, children, and families throughout California, the United States and Israel. NCJW/LA hosts programs that address issues facing the community; these include reproductive rights, domestic violence, human trafficking, access to contraception, separation of church and state, the environment, individual rights, and other important issues.  NCJW/LAs Council Thrift Shops have been known throughout the Los Angeles community as the place to find a great deal on one-of-a-kind items. NCJW/LA Council Thrift Shops were selected as the Best of the Best Thrift Shop Appraisal by Los Angeles Magazine in 2009. NCJW/LA s Council Thrift Shops are the key funding resource for NCJW/LA's implementation of wide-reaching programs and services to in need and at-risk women, children and families throughout Los Angeles through NCJW/Las Women Helping Women Community Counseling & Support Services and NCJW/LAs Women Helping Children Art &Literacy programs for Youth. There are currently nine Council Thrift Shops throughout Los Angeles. They offer free pickup by calling 800-400-6259.  Annual Clothing Giveaway & Resource Fair Through donations to Council Thrift Shops NCJW/LA is able to provide an Annual Free Clothing Giveaway distributing approximately 70,000 pieces of clothing and books to over 5,000 individuals in Los Angeles. Along with the Clothing Giveaway, NCJW/LA established a Resource Fair in collaboration with the City of Los Angeles, City of West Hollywood, LA Gay & Lesbian Center, JVS (WHEST), Saban Free Clinic, PATH (People Assisting the Homeless), and others to provide individuals with resources needed to help them.  Clothing Voucher Program  -Also, through the many donations to Council Thrift Shops NCJW/LA is able to provide clothing vouchers to other community organizations, to help their clients with clothing needs. The Clothing Voucher program helps over 1,000 individuals each year.  Women Making a Difference Reaching out to new supporters of NCJW/LA, our Women Making a Difference program affords individuals opportunities to help others through monthly community service projects.  Intern Program - NCJW/LA provides a training ground for students in both Bachelor and Masters degree programs at various universities including, UCLA, USC and Cal State Northridge. Intern field of study includes, Social Work, Non-Profit Management, Public Administration, Communication, Advocacy, etc.	Women, children and families in need and at-risk throughout Los Angeles	15,000 individuals	Los Angeles			
Erowid Center	https://www.erowid.org/		EIN 20-3256212	PO Box 1116	Grass Valley	CA	95945	USA	Education, Libraries	Erowid Center's mission is to provide and facilitate access to objective, accurate, and non-judgmental information about plants, chemicals, technologies, and related issues that affect the mind, body, and culture. Erowid Center supports and trains libraries, publishers, and other information distributors on issues related to these fields.  It is Erowid Center's goal to support medical, legal, scientific, academic, and independent experts in developing and publishing related resources.	Erowid.org, Experience Reports, New Drug Tracking & Monitoring, Drug Education, Research Improvement, Ecstasydata Laboratory Testing, Wisdom Cycle Project, Document Library & Archiving.	Students, educators, researchers, medical professionals, and anyone seeking facts and information about psychoactive plants and drugs.	18 million visitors to our online information.	World-wide, Internet			
Summer Search	http://www.summersearch.org	415-362-5225	EIN 68-0200138	500 Sansome Street, Suite 350	San Francisco	CA	94111	USA	Children & Youth, Education, Employment Preparation & Procurement, Job Training, Leadership Development, Youth Development Programs	The mission of Summer Search is to find resilient low-income high school students and inspire them to become responsible and altruistic leaders by providing year-round mentoring, life-changing summer experiences, college advising, and a lasting support network.	Summer Search has a uniquely successful four-pronged approach that supports students so they finish high school and go to college, and then helps them be successful in the real world, while encouraging them to give back in the process. We hold our students accountable for themselves while supporting them for the long haul.  Our leadership program services include:  - Individual weekly mentoring sessions with highly trained staff mentors, from sophomore year to high school graduation. Students are expected to be in weekly contact with Summer Search.  - Full scholarships to two summer experiential education programs, after sophomore and junior years. Summer Search connects more students with summer experiential educational opportunities than any other program in the U.S. - College and financial aid advisory services throughout high school.  - An alumni network offering support throughout college and beyond. Summer Search alumni follow their own paths to fulfillment, whether as investment bankers or videographers, but all of them show leadership in giving back to the program, their communities, and the world.	Summer Search students must demonstrate 1) reflection, an interest in learning about themselves, 2) altruism, a care and desire to help others and give back and 3) performance, a commitment to doing their best in school, in their family and community. We believe these three characteristics define leadership.	In 2010, we served 1696 students (including 1216 high school students and 480 Bridge students).	Boston, New York City, Philadelphia, Seattle, San Francisco Bay Area	In 2010, 995 of our seniors graduated high school and 95% went on to post-secondary school (including 92% to college). 91% were first-generation college students, and 369 of our seniors secured $8.98 Million in financial aid. 85% of our alumni are persisting in college.		
Ugandan Lambs Association USA	http://www.uglambs.org	(562) 344-5262 	EIN 26-4632172	2995 Hathaway Ct	Signal Hill	CA	90755	USA	Philanthropy	The meet the physical, education, and spiritual needs of orphaned and AIDS/HIV children living in Uganda.  Through our sponsorship program we are able to provide the children with a safe, nurturing environment, facilitate their education, guide their spiritual growth, monitor their health and obtain appropriate medical treatment when required.	We provide physical, educational and spiritual care for 72 (January 2013) children who have been orphaned primarily by AIDS/HIV.  Three children are HIV positive and receiving ongoing medical treatment.  One child has Down's syndrome and is attending special education classes.  Another child has cerebral palsy, requires total care and is confined to a wheelchair.	Orphaned children		Kayunga and Namugongo, Uganda, East Africa	Ugandan Lambs USA was founded in 2009 and has had several children complete technical training and obtain jobs in their chosen fields (cosmetology, hotel/restaurant management, plumbing, masonry, auto mechanics and construction) .  Additionally, 1 child received exploratory surgery in 2012 and has recently completed school and been accepted into the school of Pharmacy beginning Fall 2013. A house has been completed in Namugongo to replace the previous home that was extremely dilapidated. 90 acres of undeveloped land has been purchased for future expansion and construction of a church, school, medical clinic, and dormitories.		
