name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Goals	Objectives		Activities
Above and Beyond Family Recovery Center	http://aboveandbeyondfrc.org/	773-940-2960	EIN 47-3675424	2942 W Lake Street	Chicago	IL	60612	USA	Counseling, Crime & Law, Drunk Driving-Related, Mental Health, Mental Health Disorders, Substance Abuse Treatment	The vision of Above and Beyond is to build an individualized treatment experience that is available to anyone in need regardless of their economic status. Our clients and clinicians create therapeutic alliances that design and execute personalized programs of recovery that co-exist side-by-side personal development and growth goals. We believe that recovery is a process that requires meeting individuals where they are at as well as addressing their environmental life circumstances such as: education, employment readiness, interpersonal relationships, and social reintegrative abilities and activities.		those with substance use disorders who have no means, no money	a ravaged neighborhood of West Chicago (between hotspots)	state-of-the-art addiction treatments (REBT, Rage Management, Trauma, OP & iOP, DUI Counseling, Acupuncture, Yoga, Art, SMART Recovery & AA)	500 human beings				
Advocates for Adolescent Mothers	http://www.advocatesforadolescentmothers.com		EIN 26-2043670	PO Box 43234	Chicago	IL	60643	USA	Children & Youth, Family Services for Adolescent Parents, Youth Development	Advocates for Adolescent Mothers is a 501(c)(3) nonprofit organization and social enterprise committed to empowering young parents by providing them with the tools, resources, and support needed to break the cycle of poverty, establish prosperity, and prevent child abuse.	Advocates for Adolescent Mothers is most proud of our Educational Empowerment Grant Initiative due to its strong potential to accomplish our mission to break the poverty cycle among families headed by young parents. Through the Educational Empowerment Grant Initiative, young parents have the opportunity to earn a monetary grant up to the amount of $500, receive mentoring, and participate in bi-monthly workshops throughout the academic year that impart knowledge about managing the roles of being a parent and college student. This program is still in the piloting phase, and we are entering our second year in 2012.  Through our toy drive, we collect and donate toys to the children of homeless young mothers at Christmas time.  Through our signature event, the Back to School Celebration, we have provided approximately 100 young parents with backpacks that contained school supplies and toiletries.  The purpose of Advocates for Adolescent Mothers Back to School Celebration is to promote education and encourage young parents to return to school. Our Back to School Celebration is the only Chicago event to offer this level of much needed support to young parents.	Young parents between the ages of 13-24.		Active: Educational Empowerment Grant Initiative, Holiday Drive, Teen Parent Stable Housing Study Developing: Housing, Childcare, Scholarships					
Sheridan Carroll Charitable Works Fund Inc	http://		EIN 36-3224852	2015 N Harlem Ave	Chicago	IL	60707	USA											
Dupage Health Coalition	http://www.accessdupage.org	(630) 510-8720	EIN 36-4448208	511 Thornhill Dr Ste 3	Carol Stream	IL	60188	USA	Community Clinics, Health	To develop and sustain in dupage county, illinois, a system for effectively and efficiently managing the health of low-income populations across the continuum of care.				Provide access to medical services to low income, medically uninsured residents of dupage county, illinois. For the year ended june 30, 2015, there were 5,039 members enrolled in the access dupage program.					
Senior Care Volunteer Network	http://www.scvnmchenrycounty.org	(815) 455-3120	EIN 31-1712933	7105 Virginia Rd Ste 21	Crystal Lake	IL	60014	USA	Human Service Organizations, Human Services, Senior Centers, Seniors	To work with seniors of our community who live at home to assist them and their families in maintaining their independence, dignity and quality of life.				The agency provides services to seniors to help them remain independent and prevent early institutionalization. These services include, transportation, running errands, shipping, minor home maintenance, light yard work and friendly visits.					
Fiat Missionaries Inc	http://		EIN 75-3243732	2413 W Algonquin Rd	Algonquin	IL	60102	USA	Food, Food Programs										
SUN FOUNDATION FOR ADVANCEMENT IN THE ENVIROMENTAL SCIENCES AND ARTS	http://sunfoundation.org	(309) 246-8403	EIN 23-7367667	1276 Sun Rd	Washburn	IL	61570	USA	Education	Promote awareness of arts, integrated arts & sciences serve rural and urban communities, schools, and families by mobilizing local and regional resources to advance and increase access to the arts and sciences.				Art and integrated arts programs- professional writers and artists teach classes and present workshops on site at the foundation and in schools to advance access to the arts and integrated arts. (art & science in the woods)  clean water celebration-speakers and programs presented for school children to educate about environmental issues and awareness.   seasonal programs-provide specialized educational programs for children  other programs include re-granting program, to provide grants to schools and other non-profit organizations for programs related to arts and the environment, seasonal programs, and an annual publication.					
Jyoti Childrens Development Foundation Inc	http://		EIN 36-3445267	10s462 Carrington Cir	Burridge	IL	60527	USA											
HEAR Foundation	http://www.hearfoundation.org	312-604-6156	EIN 20-4221874	141 W. Jackson Blvd. Ste. 1404	Chicago	IL	60604	USA	Education, Health, Health (General & Financing), International, International Relief, Philanthropy, Public Foundations, Scholarships, Scholarships & Student Financial Aid	Health, Education & Relief (HEAR) Foundation invests in small, well-designed projects and programs that bring about permanent change in individuals lives, in communities and in environments. HEAR awards grants and provides direct services in the areas of health, education and relief.			Chicago, Greater United States, Guatemala						
Brighter Dawns	http://www.brighterdawns.org		EIN 27-4544006	7830 W. 87th Parkway Brighter Dawns	Bridgeview	IL	60455	USA	Community Health Systems, Health, Public Utilities	Brighter Dawns is a charitable organization that provides preventative care and health education to lessen health disparities in impoverished communities of Bangladesh.	Through our pilot project in 2011, we built 10 wells, 9 latrines, hired 3 community health officers to maintain our work and distributed 1,000 sanitary kits to families in Ward 12 of Khalishpur. In 2012, we have distributed 500 more sanitary kits, held sanitation seminars for over 100 women and 100 children, and made preparations to build 2 more wells and 2 sanitary bathing spaces for women in Ward 12. We have also devoted many hours to improving our project's design to maximize sustainability and positive outcomes for people in need in Ward 12.	Low-income people in the slums of Bangladesh	Khalishpur, Khulna,Bangladesh	repairing the many broken wells and latrines in slum areas, and holding health seminars on water and sanitation practices	5,500				
Good News Partners	http://		EIN 36-3107283	1600 W Jonquil Ter	Chicago	IL	60626	USA	Homeless & Housing, Housing Development, Construction & Management										
Higher Learning Network NFP	http://www.HigherLearningNetowrk.org	312-409-6619	EIN 20-5090499	P.O. Box 118305	Chicago	IL	60611	USA	Adult Education, Camp Fire, Media & Communications, Youth Development Programs	Higher Learning Networks mission is to empower and teach urban youth and adults how to develope their own natural gifts, talents and abilities: with a focus on life skills, job training and entreprenurial skills.   Higher Learning comes from within. Trust the process.  Mans knowlege is merely a drop of water in Gods oceans.   Higher Learning comes from within. Trust the process.	Remarkable with the limited resources we have.	youth 7-17	Chicagoland	Behind-The-Scenes TV Production Self Publishing	Chicago Youth				
Mercy Extended Inc	http://		EIN 83-0485041	908 Golden Ave	Woodstock	IL	60098	USA	Family Services										
Centerstage in Lake Forest	http://www.CenterStageLakeForest.org		EIN 23-7157023	400 E Illinois Rd	Lake Forest	IL	60045	USA	Arts & Culture, Dance, Music, Theater	Founded as "Group For..." in 1971, CenterStage has been providing a creative outlet and source of entertainment to the Lake Forest and Lake Bluff communities for over 40 years.  The mission of CenterStage is to produce theatrical events with people of all ages from Lake Forest, Lake Bluff, Knollwood, and surrounding communities. We attract, train, and retain talent in all aspects of the theater arts, while emphasizing a fun, rewarding experience.			Lake Bluff, Lake Forest, Knollwood, Highland Park, Waukegan	CenterStage in Lake Forest provides not only a source of live entertainment to its audiences but, more importantly, a wealth of educational opportunity in theater arts for all members of the community. Its mostly volunteer casts and crews represent a kaleidoscope of young and old, dedicated amateurs and aspiring professionals, seasoned veterans and rookies. Through the years, our productions have served as a foundation for many a career in theater and the related arts. Many more have discovered their lifelong love of theater, literature, music, art, design, and other creative pursuits while working on our shows.					
Paralyzed Veterans Of America	http://www.vaughanpva.org	(708) 947-9790	EIN 36-6156338	2235 Enterprise Dr Ste 3501	Westchester	IL	60154	USA	Civil Rights, Developmentally Disabled Centers, Disabilities, Recreation & Sports, Sports	Advocating for the special needs of member/veterans of the u. S. Armed forces who have experienced spinal cord injury and dysfunction				Advocating for the special needs of member/veterans of the armed forces who have experienced spinal cord injury and dysfunction including 1 quality health care 2 research and education 3benefits available as a result of our members military service and 4cival rights and opportunities that maximize the independence of paralyzed veterans.   programs - to improve the quality of life of paralyzed veterans and other persons with disabilities by assisting the expansion of both the quality and quantity of opportunities in sports and recreation, especially those activities which enhance lifetime health and fitness					
International Fellowship Of Christians & Jews	http://www.ifcj.org	(312) 641-7200	EIN 36-3256096	30 N La Salle St	Chicago	IL	60602	USA	International, Religion	Promote understanding and cooperation between jews and christians and to build broad support for israel and other shared concerns.				Isaiah 58: provided 349,687 poverty-stricken jews in the former soviet union (fsu) with food, clothing, medicine, and heating fuel; isaiah 58 also funds an extensive network of jewish children's homes in the fsu - providing a safe shelter, education, and security for orphans and children living on the streets. Isaiah 58 also provides emergency relief during times of crisis. In response to the crisis and war in the ukraine, the fellowship provided emergency humanitarian aid will provide medicine, food, supplies for soup kitchens, and security for synagogues and other jewish institutions in the embattled cities of the region. Isaiah 58 includes the following projects and the number of individuals assisted - total 349,687basic needs & security:-basic needs support for needy jews in fsu, 173,062 children & elderly-food aid (food packages, vouchers, hot lunches, food for holidays), 100,025 children & elderly-medical services & medicines, 15,600 children & elderly-food for school pupils, 10,000 children-security for jewish institutions worldwide, 51,000 people  guardians of israel: provided 1,010,825 poor israelis with food, housing, medical care, clothing, heating fuel, and other basic necessities; guardians is a lifeline for needy israelis, funding hundreds of special projects such as children's summer camps, therapy programs for war veterans and terrorism victims. Guardians also provides support to the israel defense forces (idf) and emergency relief during times of crisis. During the war, protective edge, the fellowship acted to meet the needs of israelis in the line of fire. We provided emergency equipment for first responders, installed mobile bomb shelters in under-protected areas, established a hotline for homebound elderly in need, offered free counseling to victims of trauma, and much more. Guardians of israel includes the following projects and the number of individuals assisted - total 1,010,825basic needs & community programs:-clothing for impoverished & orphaned children, 28,100 children-food packages, including holiday meals for the needy, 48,883-vouchers for food, 132,214 people-food for needy children, 810 children-19 soup kitchens (1,948,600 meals/year), 8,730 people-heating aid for the elderly, 24,750 people-fund for emergency basic needs, 69,664 people-backpacks & school supplies for needy students, 22,500 children-support to idf widows & orphans, 6,000 women & children-support to battered women, 180 women & children-support to secondhand furniture center for the needy, 1,680 people-basic needs (food, meals, medicine) for the elderly, 10,688 elderly-renovation of foster homes, dormitories & youth villages, 1,435 children & youth-fund for special community programs for children in foster homes and orphanages, 278 childrenstrengthening programs:-programs for the elderly (day centers & clubs), 14,665 elderly-programs for women (empowering centers, assistance to women without family support), 360 women-programs for children & youth at risk, 12,208 children-academic studies/scholarships for graduates of idf fighting units, 250 recently released needy soldiers-scholarships for students from the druze community, 50 students-community based activities in the south, 400 peoplesecurity-related emergency needs:-soldier's welfare programs (emergency aid, gift cards, food cards, adopt a battalion), 85,217 needy soldiers-support programs for former needy soldiers, 320 people-emergency renovation and equipment for hospitals, 104,950 peopleoperation protective edge 2014:-bomb shelter and mobile shelter construction and installation, 200,000 people-emergency equipment provided, 56,400 people-food cards for needy soldiers, 6,000 soldiers-respite for children and residents of the south, 73,593 children and adults-renovation of soldiers clubs, 67,500 soldiers-basic needs for needy soldiers, 33,000 soldiers  on wings of eagles: provided aliyah (immigration to israel) assistance to 21,437 oppressed and impoverished jews around the world. Wings also provided critical resettlement assistance (food, clothing, housing, job training, and hebrew lessons) to 30,287 jewish immigrants living in israel. In late 2014, to increase the number of olim (immigrants) and enhance the effective integration/ absorption process in israel, the fellowship established its own aliyah and klitah operation. By year-end the first two charter flights had brought 439 immigrants to israel from war-torn ukraine. On wings of eagles includes the following projects and the number of individuals assisted - total 51,724immigration:-aliyah from the former soviet union (fsu), turkey, middle east, and ethiopia, 20,000 people-recovery of jewish identity programs, 1,000 people-fellowship freedom flights from the ukraine, 437 peopleabsorption:-ethiopian community-based programs, 25,587 people-assistance for ethiopian immigrant soldiers, 700 soldiers-basic needs support for fsu immigrants, 4,000 people					
Captain Scott Corwin Foundation	http://www.captainscottcorwinfoundation.org/	(724) 218-1241	EIN 20-4847264	P O Box 2145	Darien	IL	60561	USA	Community Foundations, Education, Health, Military & Veterans Organizations, Philanthropy, Scholarships, Scholarships & Student Financial Aid, Specialty Hospitals, Veterans	The Foundation directs our funds to aiding injured soldiers and their family's needs, and encourages selfless commitment to high school athletes towards their schools, community and nation.				Support and honor those who have served our country in the military. Events held include ribbon cutting & scholarhsip ceremonies, fundraising, army/navy football games supporting army athletics for patients at walter reed and bamc,  scholarships for students who have exemplified the spirit of capt scott corwin in athletics, scholastics, citizenship, and leadership. This year one award was presented.   'portraits for the fallen' paintings for the families of fallen members of the military as a gift from the foundation upon request.					
GPS (God's People Serving) Ministries Inc	http://www.gpsministry.org	217-214-0904	EIN 42-1487050	412 North 24th Street	Quincy	IL	62301	USA	Human Services, Personal Social Services	Our mission is to work together to improve individual lives, and build relationships through non-judgmental love and support.    *Together we can accomplish what none of us can do alone."	Thousands of families, that have fallen through the cracks, are helped through our programs.	Call the office (217) 214-0904	Quincy, Illinois	Social services, food pantry, kids snack pack program, kid's power hour,  veteran program,  job skills program, personal care assistance, spiritual growth programs, and give back program (For those who may desire to give their time to help us help others)	Approx. 9, 283 individuals  this includes all programs that we offer.				
Vietnow National Headquarters	http://www.vietnow.com	(815) 227-5100	EIN 36-3420947	1835 Broadway	Rockford	IL	61104	USA		Vietnow is a national veterans organization with the following aims and purposes:1. Veterans helping veterans2. To help increase community awareness of the difficulties encountered by the veteran and their families3. To increase national awareness of the pow/mia status in supporting other organizations involved in the effort of accountability and release of veterans4. To preserve the integrity of vietnow national headquarters and to better serve the veteran. Vietnow will take no stand on religious, political, social, moral or any other issue which does not relate directly to the unique difficulties and issues of their families. 5. To help assist in solving the unique physical, social, and psychological difficulties of the veteran. These difficulties include, but are not limited to:a. Delayed stress of readjustement difficulitiesb. Agent orange. C. Unemploymentd. Substance abusee. Family and community services				Scholarships - providing college scholarships to dependents of vietnam and post vietnam era veterans. Homeless - several hundred homeless persons are provided meals on a weekly basis, as well as assisting in nationwide projects to benefit the homeless community. Pow/mia - awareness and education of the issues of prisoners of war and missing in action soldiersagent orange - awareness and resource referral veterans administrator volunteer projects - coordination and funding women veterans - providing information to and networking with women veterans about issues that concern them					
Grow in America	http://www.growinamerica.org	1-888-741-GROW	EIN 37-1102611	PO Box 3667 2403 Springfield Avenue	Champaign	IL	61826	USA	Mental Health, Residential Mental Health Treatment	GROW's mission is to promote mental health recovery, personal growth and prevention within our weekly mutual help support groups and throughout our supportive community. As members we strive first to take personal responsibility for changing ourselves, and ultimately as leaders we become gentle builders of a free and whole community by contributing to the recovery of others.		All are welcome to come to GROW. Most members are between the ages of 21 and 65. There are special groups in development for young adults in some areas. Also groups for military veterans, spanish speaking population and others are operating in some locations. Please call us for more information	We are eager to expand GROW beyond Illinois, New Jersey and Alaska. Consequently, we welcome your inquiries about bringing GROW to your area or state. Our goal is to develop GROW as a package that includes a network of groups. However, we usually need to begin conservatively, with one or two GROW groups and some local leadership training. Please contact us to discuss development possibilities in your state.	Facilitating of community mental health support groups to rehabilitate and prevent the need for hospitalization of the mentally ill.					
Barrington Youth & Family Services	http://barringtonyouthandfamilyservices.org	(847) 381-0345	EIN 36-2815350	110 S Hager Ave Ste 103	Barrington	IL	60010	USA	Counseling, Family Counseling, Family Services for Adolescent Parents, Mental Health	Substance abuse counseling and educational counseling, including interviews, telephone crisis interviews, peer counseling and community education				Drug and alcohol counseling programs  prevention and after-school programs  hispanic programs					
Babywearing International of Chicagoland	http://chicagoland.babywearinginternational.org		EIN 26-3172963		Grayslake	IL	60030	USA	Family Services	Babywearing International Inc. is a nonprofit organization whose mission is to promote babywearing as a universally accepted practice, with benefits for both child and caregiver, through education and support.	We help hundreds of parents and caregivers find the best baby carrier for their needs every year.	Parents and caregivers of young children	Chicagoland (Lake and Cook counties)	Monthly meetings around the Chicagoland area to teach new parents about the benefits of babywearing and how to babywear safely and comfortably.	Approximately 1200 parents and caregivers				
Us TOO International	http://www.ustoo.org	(630) 795-1002	EIN 36-3723349	5003 Fairview Ave	Downers Grove	IL	60515	USA	Cancer	The mission of Us TOO International is to be the leading prostate cancer organization helping men and their families make informed decisions about prostate cancer detection and treatment through support, education and advocacy.				In addition to the following list of Us TOO educational resources and support services, there are more than 200 support groups throughout the U.S. and abroad that also help men and their spouses/partners and families make informed decisions about prostate cancer detection, treatment options and related side effects.  - Us TOO website (www.ustoo.org) - Inspire online prostate cancer communities (UsTOO.inspire.com) - Toll-free Us TOO Prostate Cancer HelpLine (1-800-808-7866); including matching callers with similar survivors for       peer-to-peer conversations - Support group services & telephone support group - Monthly Hot SHEET newsletter - Frequent 'News You Can Use' updates and articles - Educational content  digital and printed - Educational events and presentations - Awareness through special events like the SEA Blue Chicago Prostate Cancer Walk & Run and numerous local events    across the country - Chapter News - Support group leader resources web page - New! - Educational video from a Community Conversation on Prostate Cancer - New! - Military veterans resources  Agent Orange information web page - New! - Anxiety & depression educational content  Coming soon!					
Neurofibromatosis Midwest	http://www.nfmidwest.org	630-945-3562	EIN 22-2580173	473 Dunham Rd.  Ste. 3	St. Charles	IL	60174	USA	Health, Neurology & Neuroscience Research	NF Midwest is committed to improving the lives of children, adults, and families impacted by neurofibromatosis. Our continued focus and foundation is on Clinics, Awareness, Research, Education and Support in the states of Illinois, Indiana, Iowa, Kentucky, Wisconsin, and the eastern half of Missouri.	We are able to fund vital research and clinical trials.  Also, approximately 12-14 kids get to attend Camp New Friends for one week in the summer.	All races and ages and both genders.	Families affected by neurofibromatosis living in Illinois, Wisconsin, Indiana, Iowa, Kentucky and Eastern Missouri	Annual Family Symposium, Ask the Doctor Sessions, Local Chapters, and Camp New Friends					
American Library Association	http://ala.org	(312) 280-5834	EIN 36-2166947	50 E Huron St	Chicago	IL	60611	USA	Civil Liberties, Civil Rights, Education, Libraries	The mission of the american library association is to provide leadership for the development, promotion and improvement of library and information services and the profession of librarianship in order to enhance learning and ensure access to information for all.				Mutual membership benefit programs, general/other-membership services provided in conjunction with member participation. Personal and organizational members totaled 55,300 members as of august 31, 2014.   mutual membership benefit programs, general/other-conferences enable members to keep abreast of the latest technological capabilities, new publications and trends in the profession. Four major conferences, several national forums and a variety of institutes were held during the year.   publishing-publishing of trade journals and books to aide the profession. Published 12 trade journals and 52 books on a variety of topics of interest to the profession during the year.					
Open Books Ltd	http://www.open-books.org	(312) 475-1355	EIN 20-4830666	651 W Lake St	Chicago	IL	60661	USA	Adult Education, Education, Literacy, Remedial Reading & Encouragement	Open books collects and sells used books, provides community programs and mobilizes passionate volunteers to raise awareness about illiteracy, improve reading and writing skills and spread the love of reading and writing in chicago and beyond.				During the 2013-14 academic year, open books served 4,958 unique students over the course of 20,910 hours of programming. We continued our work with 167 grade school students at 8 schools every week through open books buddies, helped over 4,500 4th-12th graders from 54 schools become confident, articulate writers at our adventures in creative writing field trips, created 240 published young authors through our readthenwrite program, granted 88,540 books to schools and nonprofit partners through book worm angels, and piloted our new summer publishing academy program with 12 aspiring teen writers. As always, we focused our passion on spreading the love of reading and writing, and our students, their teachers, and our volunteers joined in our enthusiasm.					
Center on Halsted	http://www.centeronhalsted.org	773-472-6469	EIN 51-0178807	3656 N Halsted St	Chicago	IL	60613	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Human Services, Lesbian & Gay Rights, LGBTQ	Center on Halsted advances community and secures the health and well-being of the LGBTQ people of Chicagoland.		LGBTQ community of Chicagoland	Chicagoland	Hiv servicesstate of illinois aids/hiv & std hotline: for a total of 20 years, coh has operated the state of illinois aids/hiv & std hotline, a free and anonymous service operating daily from 8:00 am to 10:00 pm. The hotline offers individualized risk assessments, comprehensive referrals, and the latest information about hiv/aids and stds to callers from all over the united states and even from abroad. With a database of 2,600 statewide referral services, health educators provide callers with a wealth of information regarding local health, social and support services. Yearly, we reach more than 10,000 diverse callers. Hiv testing and prevention: coh launched its highly successful hiv testing and prevention program in may, 2008. In fy14, we performed 3986 tests (1% positivity rate) reaching msm, hrh, mtf and spanish-speaking persons. The program provides free, rapid, and confidential hiv testing to clients on an appointment or walk-in basis. Clients who test positive for hiv, or who need additional support services, are linked to internal or external providers. Hiv support services: coh offers msm, mtf, hiv+, and spanish-speaking individuals who come through our testing program up to eight hours of free, short-term therapy/supportive counseling. This helps newly diagnosed individuals acquire a deeper understanding of their status and transmission risks, and lessens their anxiety. It has also proven to be an effective, safe opportunity for the health educator to elicit information about sexual and needle-sharing partners as well as to follow up on referrals to primary care. In fy14, 248 hiv+, high risk hiv negative and potentially high risk negative clients were provided with 200 hours of individual or couples counseling. Clients wanting more long-term mental health treatment can enroll in coh's behavioral health services, where hiv+ clients are eligible for low-cost or free therapy through our ryan white part a grant. Clinical health educators also offer five weekly hiv+ support groups, one for 18-34 year olds, two for 35+, one of mixed ages, and one hiv+ art therapy studio group. The model for the groups was developed after a thorough review of group services already available on chicago's north side. Because many groups in our area are open and peer-led, we developed a closed, therapist-facilitated model as an alternative. Group topics include disclosure of hiv status, medication, side effects, symptoms of hiv disease, dating, relationships, sex, safer sex, confidentiality, availability of medical and social services, aging, and substance use. In fy14, 75 unduplicated hiv+ clients were served through seventeen 10-week groups. In cy12, coh launched new risk reduction counseling and online programs targeting high risk adults on the north side of chicago and high risk youth throughout the city.   youth servicessince 1978, center on halsted has served the needs of lgbtq youth in chicago. Broadly, the youth program at center on halsted supports youth as they advance lifelong achievement goals and become productive adults through a comprehensive program which helps youth increase their sense of self-respect and confidence, while gaining the knowledge and skills needed to attain educational, personal, and other life goals. The youth program consists of the expect more program-the center's core program serving lgbtq youth and allies aged 13-24. Each week, 400 youth engage in comprehensive programming and services designed to support their transition to successful adulthood. Program components include health and wellness, arts and culture, sports and recreation, sexual health and identity, leadership and activism, vocational and professional development, and critical thinking and education.   community programming servicescoh hosts a wide variety of community and cultural offerings. The center has evolved into a lgbtq cultural destination within the city of chicago and throughout the midwest. Community programs are places for people to gather with friends and explore common interests such as sports and recreation, book clubs, family programming, women's groups and much more. The cultural programs at center on halsted offer a multitude of platforms for emerging and established lgbtq artists to provide an artistic voice for the lgbtq community.	365,000				
Trinity Services Inc	http://	(815) 320-7202	EIN 36-2194838	301 Veterans Pkwy	New Lenox	IL	60451	USA	Developmentally Disabled Centers, Disabilities, Family Counseling, Human Services, Job Training, Mental Health, Mental Health Disorders, Sheltered Employment	To assist developmentally individuals and mentally ill persons to live full and abundant lives.				Community integrated living arrangement (cila) a comprehensive array of individually tailored community residential alternatives for developmentally disabled individuals.   behavioral health (bh) - comprehensive array of individually tailored community residental alternatives for the mentally ill.   developmental traning (dt) - habilitation experiences for adults, twenty- one years or older in the areas of independent living, vocational and social leisure time activities.   school - educational services to children and adolescents, from the ages of three through twenty-one, under contract with several public school districts. Supported employment (sep) - vocational experiences for disabled individuals in regular work settings, alongside non-disabled persons with and without job coaches. Trinity living center i (tlc i) - a residential home serving 16 individuals each who need more assistance than would typically be available in the community integrated living program. Trinity living center ii (tlc ii) - a residential home serving 16 individuals each who need more assistance than would typically be available in the community integrated living program. Trinity living center iii (tlc iii) - a residential home serving 16 individuals each who need more assistance than would typically be available in the community integrated living program. Reno - program operates intermittent and 24 hour supported living arangements, an adult learning program and a work center in the reno / sparks, nevada area for developmentally disabled adults. Other - therapeutic horseback riding program (strides), home based support services, support services for children with autism, in home respite services and miscellaneous activities for the developmentally disabled. Upport for 501 c (3) organization of which one of its purposes is to promote public education of developmental disabled individuals and their needs. Mobile crisis team a mental health psr support service teams that provide on-site technical assistance and training persons with a develomental disability in a medical or behavioral situation that challenges their ability to live in the community. Mental health psr - day clinics with group and individual counseling, evidence based treatment and social and community integration activities.					
Countryside Association for People With Disabilities Inc.	http://www.countrysideassn.org	(847) 438-8855	EIN 36-2340304	21154 W Shirley Rd	Palatine	IL	60074	USA	Centers to Support the Independence of Specific Populations, Developmentally Disabled Centers, Disabilities, Job Training, Sheltered Employment	Incorporated in 1954, we currently serve approximately 700 individuals with developmental, physical and mental disabilities and their families in an area of over 600 square miles, including all of lake and northern Cook Counties in Illinois. Services provided include respite care, case management, advocacy and referral, work skills training, paid sub contract work opportunities, supported work in individual placement and group enclave settings at employer sites, socialization opportunities among others.	This last year we accomplished the following: * Added a new, 14-passenger paratransit vehicle to our fleet * Addisted townships in acquiring a Federal New Freedoms Transportation grant to pilot a coordinated multi-township paratransit service so people with disabilities residing in four northwest townships can access jobs * Expanded alternative support services at both our day program centers so that older adults with disabilities have opportunities to participate in healthy day activities that minimize the impact of aging * Completed major renovation of 1,200 s/f at our Waukegan Center to better support older adults with developmental disabilities residing in that area * Transition Services for students with disabilities were developed for Waukegan High School students through a collaborative project with another area service provider, NorthPointe Resources * Transition Services were resumed for students with disabilities from school district 211 (Palatine) * More than 28 adults were placed, trained and supported in a variety of community jobs at employer sites throughout Cook and Lake Counties * Countryside received the fifth largest award (out of 50 state applicants) from the American Recovery and Reinvestment Act of 2009 (ARRA) to support our community job development, training, and support efforts * In-Home Respite provided services to 150 families this year, including 14 new families * Increased availability of subcontract work by more than 21% compared to 2009 so that more than 300 participants with disabilities employed at our Work and Training Centers had access to paid work opportunities * Secured more than 50% of funds necessary to plan 9,000 s/f addition and building renovation at the Palatine Work and Training Center. A capital campaign titled "Building Opportunities" was launched in 2010 * We significantly expanded our donor base by securing many first-time donors in 2010 * Developed a social media presence on Facebook, Twitter, YouTube, and LinkedIn applications to better inform the public about the Countryside mission * Installed an electronic donor database to more efficiently track and analyze our progress in promoting donations and major gifts * Added the ability for contributors to support Countryside through online giving	Adults and children with developmental disabilities.		Client and Family Support Program gives children and adults with developmental disabilities needed support to remain at home with their families and opportunities to achieve thier dream to live and work at a semi-independent level.	650 individuals with developmental disabilities and their families				
Crossroads Kids Club	https://www.crossroadskidsclub.com	630-504-2630	EIN 36-4248716	1 E. Bode Road	Streamwood	IL	60107	USA	Children & Youth, Youth Development Programs	To mobilize Gods people to share the Good News in public schools through church-led clubs.		Children	Chicagoland, Rockford, Milwaukee, Louisville	Crossroads Kids Club: a fun, faith-based after school program for elementary school students	500 children through 21 clubs				
Kids Around the World	http://www.kidsaroundtheworld.com	1-815-229-8731	EIN 36-4007250	2424 Charles Street	Rockford	IL	61108	USA	Children & Youth, Children & Youth Services, Christianity, Environment, International, International Relief, Parks & Playgrounds, Religion	Kids Around the World is committed to reaching children around the world with the gospel of Jesus Christ and to help those who work with children. Our organization hasthree methods to attain these ends. The first is to reach children with the gospel through teaching and evangelizing. The second is to build playgrounds where children can play and where they can feel the happiness that is a gift of Gods love.	We have built over 375 playgrounds, trained thousands of teachers (potentially serving over 5 million children), and providing approximately 13 million meals to children who were on the brink of starvation.	We travel to areas where children's lives have been affected by war, poverty, illness, and natural disasters. We have built playgrounds in over 27 countries and trained teachers in over 41 countries.	Worldwide	Building playgrounds where children can enjoy being a kid. Research has shown that playground activities are essential for childrens proper physical, emotional, spiritual, and cognitive development.  Teaching Christian education workers how to develop better Bible lessons. We use storyboards that we have created as a visual aid in the lesson development and instruct the teachers on ways to involve children in the lesson activities.  Provide nutritious meals for children. We package food casseroles which are a rice and soy mix fortified with 21 vitamins and minerals, 6 dehydrated vegetables, and chicken flavoring. The ingredents are recognized and accepted worldwide and preparation involves cooking with boiling water.					
Chicago Community Chorus	http://		EIN 06-1744445	2204 E 73rd St	Chicago	IL	60649	USA	Arts & Culture, Singing & Choral Groups										
Land Connection Foundation	http://www.thelandconnection.org	(217) 688-2570	EIN 37-1413944	206 N Randolph St Ste 400	Champaign	IL	61820	USA	Agricultural Programs, Food	The land connection foundation (tlc) is an educational nonprofit dedicated to farmland preservation and farmer training. Our mission includes improving the economic viability and environmental stewardship of farms via farmer training and farmland preservation programming.				Farmer training programming: central illinois farm beginnings and related farmer training workshops, field days, and activities help farmers plan and launch and operate economically and environmentally sustainable farms that create and retain community health and wealth. Farmland preservation programming: midwest farm connection and related farmland access initiatives help landowners and new farmers assess their unique situations, prepare action plans with timelines, understand the full range of land tenure options including various farmland lease and purchase options, and learn about ways to transition and/or permanently protect farmland.					
