name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Humanitarian AidTrips and On-Site Assistance: 
French Bulldog Rescue Network a Nonprofit Corporation	http://www.frenchbulldogrescue.org	(804) 364-5226	EIN 01-0704651	PO Box 4764	Glen Allen	VA	23058	USA	Animal Protection & Welfare,Animals	Our mission is simple: We find homes for the French Bulldogs that need them.					Fbrn rescued, rehabilitated through foster care and verterinary care, and re-homed french bulldogs in need.	
Project Lifesaver Inc	http://www.projectlifesaver.org	(757) 546-8700	EIN 26-0000127	815 Battlefield Blvd S	Chesapeake	VA	23322	USA	Centers to Support the Independence of Specific Populations	The primary mission of project lifesaver is to provide timely response to save lives and reduce potential injury for adults and children who wander due to alzheimer's, autism, and other related conditions.					Since its inception, the organization and its participating agencies have conducted more than 3,000 successful search and rescue missions nationwide. It utilizes innovative technologies that significantly reduce both the costs local communities would otherwise incur in traditional search and rescue operations, as well as the amount of time required to implement and complete a search. The organization also installs and services electronic search equipment for other jurisdictions in the united states.	
Fairfax Choral Society, Inc.	http://www.fairfaxchoralsociety.org	703-642-3277	EIN 23-7061148	4028 Hummer Rd	Annandale	VA	22003	USA	Arts & Culture,Music,Singing & Choral Groups	The mission of the Fairfax Choral Society is to enrich the lives we touch through the performance, education and appreciation of choral art.		Everyone!	275+	Northern Virginia - Greater Washington Area	Production, promotion and performance of choral music programs for eleven concerts this season.  musical professional fees - music education & training	
Global Camps Africa Inc.	http://globalcampsafrica.org/	(703) 437-0808	EIN 91-2191939	1606 Washington Plaza West	Reston	VA	20190	USA	Camps,Sports	The mission of Global Camps Africa (GCA) is to change the lives of South Africas vulnerable children and youth by providing HIV/AIDS prevention education and training through high-impact residential camp and day camp experiences and continuing education, equipping young people with the life skills that will support them in becoming safe and productive adults who have hope for the future.	Global Camps Africa has had over 5,200 at risk or affected youths attend Camp Sizanani, and currently hosts 420 youths at camp yearly and between 600-100 at bi-weekly Kids Club meetings.	youths affected by HIV/AIDS		South Africa	a fun and engaging camp that teaches kids essential life skills primarily focused on HIV/AIDS prevention and how to recognize and avoid exploitation and abuse while teaching nutrition, teamwork, and gender equality. After camp, campers attend biweekly meetings that reinforce the skills and ideas introduced and the support system created at camp.	
INCIID Inc (InterNational Council on Infertility Information Dissemination, Inc.)	http://www.inciid.org	703-379-9178	EIN 54-1756450	PO Box 6836	Arlington	VA	22206	USA		The InterNational Council on Infertility Information Dissemination (INCIID  pronounced "inside") is a nonprofit organization that helps individuals and couples explore their family-building options. INCIID provides current information and immediate support regarding the diagnosis, treatment, and prevention of infertility and pregnancy loss, and offers guidance to those considering adoption or childfree lifestyles.In April of 2004, INCIID launched the first and only National IVF Scholarship Program for those who have medical need for IVF but who are without financial resources and insurance making the procedure out of their reach.				US/Canada Internation	General programs: inciid provides a site on the world wide web which is a permanent location for information, access to professionals in the field, and support for the latest on research related to infertility, pregnancy loss and adoption. All visitors have 24 hour access to an ever-growing repository of fact sheets and transcipts of seminars, and chats with world reknown experts in reproductive medicine and related fields. Inciid also provides a variety of forums (bulletin boards) where questions are directly addressed and consumers are directed to infertility resources by volunteer professionals in the field. Online sponsorship of periodic seminars and workshops using moderated chat rooms and auditoriums is also available. Inciid hosts weekly chats with an infertility or adoption expert and also e-mails a monthly newsletter to over 10,000 registered users.  from inciid the heart: a program established in 2004 to assist infertile couples who are trying to build a family. The costs associates with in vitro fertilization (ivf) and other medical treatments for infertility, the fact most insurance companies do not provide coverage for many types of fertility treatments, and the cost of alternatives such as adoption, leaves many couples suffering from infertility with little hope for realizing their dreams of a family. Inciid, as the world's leading infe	
Hardwood Forestry Fund	http://www.hardwoodforestryfund.org	(703) 435-2900	EIN 54-1674210	1825 Michael Faraday Dr	Reston	VA	20190	USA	Environment,Forest Conservation,Natural Resources Conservation & Protection	To promote hardwood timber growth, sustainable management, education, and environmentally-sound uses of renewable forest resources.					The hardwood forestry fund awards grants for tree planting, hardwood management, forestry education, and research for the purpose of replacing harvested trees, and to establish sustainable hardwood forests for future generations' natural needs.	
46th Special Forces Company Association Inc	http://		EIN 98-0440496	2838 Croix Ct	Virginia Bch	VA	23451	USA	Centers to Support the Independence of Specific Populations							
Virginia Space Flight Academy	http://www.VASpaceFlightAcademy.org	(757) 824-3800	EIN 54-2040355	7536  Kearsarge Circle PO Box 188 Atlantic, VA 23303	Wallops Island	VA	23337	USA	Education	Educational camp for students		boys & girls aged 11-18	146 residential campers, 120+ scouts	Wallops Island area	STEM initiatives of Science, Technology, Engineering, and Math through robotics and rocketry.   Week long summer residential programs. Day and weekend programs for school and scouting groups.	
Trinity Communications	http://		EIN 52-1404454	Po Box 582	Manassas	VA	20108	USA								
Tuckahoe Youth Football Association Inc	http://www.gotomahawks.org	(804) 364-1666	EIN 54-1898594	Po Box 4421	Glen Allen	VA	23058	USA	Football,Sports	Tuckahoe youth football and cheering association provides an instructional football and cheering environment that promotes self-confidence, teamwork, skill set development as well as focusing on good sportsmanship.					Provide approximately 230 kids an opportunity to play youth sports to learn teamwork and good sportsmanship through football and cheering.	
Christian Service Charities, Inc.	http://www.christianservicecharities.org		EIN 94-3193374	44330 Premier Plaza Suite 220	Ashburn	VA	20147	USA	Federated Giving Programs,Human Services,Philanthropy	The mission of Christian Service Charities is to glorify God by facilitating the inclusion of Christian charities you know and trust in charitable giving opportunities.CSC raises funds to support work of America's most effective Christian charities, doing work in the USA and all over the world. Member charities fulfill a variety of needed services including: feeding the hungry, disaster relief, housing the homeless, communicating the importance of family values, educating children, instilling spiritual and ethical values, providing health care, teaching skills, and promoting Christianity. CSC members work to provide hope, dignity, salvation, and life's basic needs.	Since our founding in 1996, CSC has directed millions of dollars to our member charities through workplace giving campaigns.			Serving America's Christian charities which do work in the USA and all over the world		
Vida Volunteer	http://www.vidavolunteer.org	1-888-365-VIDA	EIN 39-2077094	2612-C SOUTH ARLINGTON MILL RD, UNIT 3	Arlington	VA	22206	USA	Education	To positively impact the quality of life in underserved communities while offering volunteers a life changing experience.		underserved communities.		Costa Rica, Nicaragua & Guatemala	General Medicine, Dentistry, Veterinary Medicine	
Interfaith Humanitarian Sanctum, Inc	http://www.interfaithhumanitariansanctum.org		EIN 26-3985605	P. O. Box 163	Palmyra	VA	22963	USA	Emergency Assistance,Family Services,Health,Patient & Family Support,Personal Social Services	Constantly weaving a safety net for the patients and families at UVA Medical Center who need temporary assistance with lodging, food, travel,co-pays and medication assistance for the RemoteArea Medical (RAM) clinic in Wise, VA.						
Rock Recovery Inc	http://rockrecoveryed.org	(571) 255-9906	EIN 26-3931272	Po Box 100923	Arlington	VA	22210	USA	Health,Public Health	Rock recovery is a christian organization providing transitional					Recovery program operated at full capacity (average of 6 clients, up to 10 clients).  community empowerment programs: gave 33 talks, attended 3 health fairs, hosted 4 grub for good events, held 2 exercise classes.	
Mesothelioma Applied Research Foundation Inc	http://www.curemeso.org	877-363-6376	EIN 75-2816066	1317 King Street	Alexandria	VA	22314	USA	Cancer,Cancer Research,Health	The mission of the Mesothelioma Applied Research Foundation (Meso Foundation) is to eradicate mesothelioma as a life-ending disease. Malignant mesothelioma is a rare cancer of the linings of the chest or abdomen. Asbestos exposure is the only known cause. The Meso Foundation solicits and rigorously reviews applications, and then awards significant grants, for research on the prevention, early detection, and treatment of mesothelioma. Through its web site and literature, its direct communications, and annual International Symposium on Malignant Mesothelioma, the Foundation provides patients, family members and physicians with hope, encouragement, and information. The Meso Foundation employs a full-time mesothelioma nurse practitioner to help patients navigate their treatments. In addition, the Foundation works to enhance awareness of this disease and to encourage federal funding for research.					The Mesothelioma Applied Research Foundation (also known as the Meso Foundation) is the only 501(c)3 nonprofit organization dedicated to eradicating mesothelioma and easing the suffering caused by this cancer. It does so by focusing on four main program areas: RESEARCH: Funding and support of the highest level of peer-reviewed mesothelioma research; EDUCATION: Educating patients, their families, risk populations, and the public at large about mesothelioma; SUPPORT: Providing patient support services; ADVOCACY: Advocating Congress for increased federal funding for mesothelioma research.The Meso Foundation is the only non-government funder of peer-reviewed scientific research to establish life-saving treatments for mesothelioma. To date, the Foundation has directly awarded over $8.7 million and, through its advocacy efforts, has directed another $8.9 million to promising mesothelioma research.	
American Center For Law And Justice Inc	http://www.aclj.org	(757) 802-9191	EIN 54-1586817	1333 Regent University Dr Ste 101	Virginia Bch	VA	23464	USA	Civil Liberties,Civil Rights	Aclj is committed to ensuring the ongoing viability of freedom and liberty in the united states and around the world. By focusing on u. S. Constitutional law, european union law and human rights law, the aclj is dedicated to the concept that freedom and liberty are universal, god-given and inalienable rights that must be protected. The aclj and its worldwide affiliates engage in litigation, provide legal services, render advice to individuals and governmental agencies, as well as counsel clients on global freedom and liberty issues. The aclj and its affiliated organizations also support training law students from around the world in order to protect religious liberty and safeguard human rights and dignity. As a non-profit organization, the aclj does not charge for its services and is dependent upon god and the resources he provides through the time, talent, and gifts of people who share our concerns and desire to protect our religious and constitutional freedoms.					The organization has participated in numerous supreme court, circuit court, court of appeals and state superior and supreme court cases regarding freedom of religion, freedom of speech, and other us constitutional issues. Research staff at the center provides up to date information regarding various cases related to the protection of religious freedom and human rights.	
Citizen Guardian Inc	http://		EIN 27-3118521	7059 Courtyard Way	Haymarket	VA	20169	USA	Citizen Participation							
Lifesitenews Com Inc	http://		EIN 51-0634787	4 Family Life Ln	Front Royal	VA	22630	USA								
Birthmother Ministries Inc	http://www.birthmotherministries.org	(703) 261-6370	EIN 54-1826258	1804 Brooktrail Ct	Vienna	VA	22182	USA	Christianity,Family Services,Human Services,Religion,Victims Services	A christian nonprofit organization providing nonjudgemental assistance to women facing an unplanned pregnancy.					Training friends to minister to women facing unplanned pregnancies - including making referrals to other service providers such as maternity homes, professional counselors, private adoption attorneys and pastoral care.	
Patient Advocate Foundation, Inc.	http://www.patientadvocate.org	(800) 532-5274	EIN 54-1806317	421 Butler Farm Road	Hampton	VA	23666	USA	Education,Educational Services,Health						Patient Advocate Foundation's Co-Pay Relief, A Patient Assistance Program On 4/1/04, PAF opened Co-Pay Relief, a cash assistance program to provide co-payment assistance for medically and financially qualified insured patients who have prescription drug coverage but cannot pay to access their prescription drug coverage. Support is currently available for patients with Breast, Lung, Brain, Colon, Kidney, Head and Neck, Pancreatic and Prostate Cancers, Autoimmune Disorders, Diabetes, Lymphoma, Sarcoma, Macular Degeneration, Myelodsyplastic Syndrome, Myeloma, Osteoporosis and Chemotherapy Induced Anemia/Chemotherapy Induced Neutropenia. This premier program has been approved by the Office of the Inspector General. A Modification to Advisory Opinion 04-15 was received on 8/29/08, increasing the number of available disease categories from 27 to 43. Hispanic/Latino Outreach Program The Hispanic/Latino Outreach Program was implemented in 2001 with offices in New York and California staffed by bi-lingual case managers. This program seeks to improve access to healthcare for the Hispanic/Latino community. PAF also provides educational materials in Spanish. When the program was implemented in 2001, 1.24% of all PAF patients were Hispanic/Latino. For FY 07/08, 8.62% of all patients served were of Hispanic/Latino descent. National African American Outreach Program PAF's National African American Outreach Program was initiated towards the end of the 2004 fiscal year. This program is designed to reduce health care disparities and assist individuals by disseminating information to those who are generally unable to receive reliable health care. In FY 07/08, 17.07% of the patients served by PAF are African American. Local and National Outreach Initiative During FY 07/08, PAF staff attended over 600 local, regional or national conferences either as a participant or as an exhibitor. This included conferences such as the National Sickle Cell Disease Program Conference, the Association of Oncology Social Workers Conference, The Oncology Nursing Society Annual Meeting, The Association of Community Cancer Centers Conference, The National Comprehensive Cancer Network Annual Conference and American Society of Clinical Oncology. Publications Department The newest publication is within PAF's "A Greater Understanding..." series of brochures entitled "Second Opinions: Know Your Rights and Options." The majority of PAF authored publications are also available in Spanish. All of PAF published educational publications are provided at no cost and can be obtained via internet by downloading from the PAF website, www.patientadvocate.org. Med CareLine Division In November 2006, PAF launched the Colorectal CareLine (CCL), a patient/provider hotline, designed to provide sustained assistance to patients who have been diagnosed with colorectal cancer and are seeking educational resources, direct assistance with access to care issues and/or financial aid for select patient needs. In November, 2008, the second Med CareLine program was launched, the Lymphedema CareLine to assist breast cancer patients with access to a test the determine if the patient is prone to lymphedema and through early detection, can almost always avoid the disease. PAF/American Cancer Society Partnership In May 2008, PAF entered into a partnership with the American Cancer Society to receive referrals from the ACS Patient Navigator Program. These services are an extension of the services provided by ACS. The Lance Armstrong Foundation In FY 07/08, PAF celebrated it's 4th year of the partnership with the Lance Armstrong Foundation and the LAF LiveStrong SurvivorCare Program. Patients who reach out to LAF and are in need of social service programs and access to healthcare are referred to PAF for assistance. Since inception of the partnership, PAF has assisted 5,876 patient referrals.	
Maison Fortune Orphanage Foundation Inc	http://www.mfofoundation.org	(757) 463-7233	EIN 30-0007910	Po Box 3092	Chesapeake	VA	23327	USA		The mission of the foundation is to support maison fortune orphanage in hinche, haiti.					The foundation has only one overall program service that allows its exempt purpose. That program service is to support the children housed at the maison fortune orphanage in hinchi, haiti. The support includes providing funds for housing, food, education, clothing and medical care.	
Armed Services of YMCA of the USA, Hampton Roads branch	http://www.asymcahr.org	757-363-1884	EIN 54-0525308	1465 Lakeside Rd	Virginia Beach	VA	23455	USA	Human Services,Physical Fitness & Community Recreational Facilities,Sports,Young Mens or Womens Associations	Founded in November 1889.  The mission of  the Armed Services YMCA of Hampton Roads is to improve quality of life for junior enlisted military personnel and their families through values oriented, social, recreational, personal development, crisis prevention, deployment separation, and child care programs.  This branch of the Armed Services YMCA of the USA began as the Army YMCA on Fort Monroe.  This ASY like all Ys help people develop values and behavior that are consistent with Christian principles. Ys are for people of all faiths, races, abilities, ages and incomes. No one is turned away for inability to pay. YMCAs strength is in the people they bring together.In our ASY, we have a volunteer board of management which sets policy for its executive, who manages the operation with full-time and part-time staff and volunteer leaders. The ASYMCAHR  meets the  local military community needs through organized activities called programs. In this ASYMCA our programs include child care, military community center based activities, emergency food support, Operations Hero, support to ?Family Readiness Groups, and weekly free bread.  These programs and activities are tools for building the values of caring, honesty, respect and responsibility.				Hampton Roads, VA		
Barter Foundation Incorporated State Theatre of Virginia	http://www.BarterTheatre.com	276-628-3991	EIN 54-6000120	PO Box 867	Abingdon	VA	24212	USA	Arts & Culture,Theater	Barter Theatre is a resident company of passionate professional artists and leaders dedicated to serving and enriching our region by creating live theatre in repertory, by providing audiences, both youth and adult, with an extraordinary and enlightening experience each and every time they engage with us, by celebrating and embracing our Appalachian roots, by being stewards of the legacy of Barter Theatre, by using theatre as a vehicle for education, and by creating a nurturing environment for everyone.	Barter Theatre mounts over 900 performances, programs, and workshops annually with an annual attendance at its two stages of over 163,000.  In addition, Barter reaches over 75,000 children and youth a year through its unduplicated education programs.				Barter theatre creates live theatrical performances utilizing a professional resident acting company and performing in repertory in two theatres in abingdon, virginia. Barter also tours certain productions nationally. In 2014, barter produced 9 professional productions at barter theatre, 11 professional productions and 7 staged readings at barter stage ii, and 7 theatre-for-young audiences by the barter players at stage ii and barter theatre. In addition, the barter players toured 3 productions to 7 states for 136 performances and 11 workshops to approximately 40,000 students. Barter educational workshops reached over 6,200 children and over 35,000 children attended barter's student matinee performances in abingdon or on tour.	
Good Seed Good Ground	http://www.gsgg.org	(757) 244-0199	EIN 11-3662281	115 28th Street	Newport News	VA	23607	USA	Adult Education,Children & Youth,Community & Neighborhood Development,Economic Development,Education,Personal Social Services,Youth Community Service Clubs	To rebuild the lives of troubled and at-risk youth and young adults.	Since 2003, we provided summer job opportunities, job readiness training and college prep workshops to over 200 youth.  Within the last year, we have helped 145 unemployed men and women obtain gainful employment.	lift men, women and children out of poverty	145 low-income/no-income men and women obtain gainful employment.	Newport News, Virginia	employment programs for youth and adults, job readiness training, college preparation workshops.	
MusicLink Foundation	http://www.musiclinkfoundation.org	703-534-9490	EIN 54-2030766	1043 N. McKinley Road	Arlington	VA	22205	USA	Arts & Culture,Arts Education,Education,Music,Scholarships,Scholarships & Student Financial Aid	To provide long term musical training to promising children in financial need across the country by linking them with qualified music teachers willing to teach at a reduced rate.	We have reached over 6,400 disadvantaged children nationwide with active students in all 50 states and 4 Canadian provinces.. Our dedicated and caring teachers have logged over 456,000 hours of instruction time which equates to over $11 milllion in in-kind donation.	Low-income children nationwide from early childhood through age 18.	There are approximately 1,000 students actively involved in lessons at any one time throughout the year.	Nation-wide	Provide opportunities to children in musiclink programs to receive ongoing lessons perform receive achievement awards and attend music camps about 775 students benefitted acquire and distribute musical instruments and music to children in musiclink programs about 250 students benefitted recruit teachers for musiclink programs and provide them with grants and teaching materials about 300 teachers benefitted	
Mcshin Foundation	http://www.mcshinfoundation.org	(804) 249-1845	EIN 20-1327278	2300 Dunbarton Road	Richmond	VA	23228	USA	Mental Health,Substance Abuse Dependency, Prevention & Treatment	To help people recover from drug and alcohol additions.					Provided housing, counseling, and education to recovering addicts.	
MID-ATLANTIC PUG RESCUE	http://www.midatlanticpugrescue.org	704-452-7841	EIN 30-0217237	P. O. Box 42331	Henrico	VA	23242	USA	Animal Protection & Welfare,Animals	Mid-Atlantic Pug Rescue, Inc is a nonprofit 501(c)(3) organization, dedicated to providing for the short and long term needs of abandoned or surrendered pugs. We give rescued pugs veterinary care, a nurturing foster environment, and permanent placement into a loving home. In addition, we offer education to the public on the special responsibilities of pug ownership and the need for domestic animal population control.				North Carolina, South Carolina, Virginia, Maryland, West Virginia and Eastern Tennessee	Provided necessary medical care for surrendered or abandoned pug dogs.	
Midwives for Haiti Inc	http://www.MidwivesForHaiti.org	(804) 662-6060	EIN 27-2368581	7130 Glen Forest Drive Suite 101	Richmond	VA	23226	USA	Health,Nursing	-Reduce maternal and infant mortality rates in Haiti by teaching midwifery skills.-Enhance maternal health by providing regular prenatal and postnatal care, including preventative services by training midwives.-Provide safe, clean places for women to give birth.-Incorporate care of the newborn, vaccines, dehydration treatment and prevention along with breastfeeding support with maternal care.	1. We have trained 57 skilled birth attendants in Hinche, Haiti  and January of 2013 our Class 6th will begin in Hinche while our 1st Class will begin at our new training site in Leogane, Haiti.2. We have provided prenatal care to around 500 women per month through our Mobile Clinics, and local hospitals and clinics for over 2 and a half  years. We have been able to provide medications that both prevent and treat complications as well a vitamins. We have a vehicle that provides emergency transport for mothers and babies at risk.3. Our graduates deliver around 500 babies each month in 7 sites around Haiti as well as precept and teach our current students.		16 students to learn skilled birth attendant skills, gave prenatal care to over 3000 women in rural Haiti, and supported midwifery salaries in rural Haiti.		1. Training of Haitian nurses as skilled birth attendants.2. Offering mobile clinics that reach hundreds of women and infants in rural villages each month.3. Community outreach and basic skills workshops for Matwans (traditional birth attendants)	
Bully Paws Pit Bull Patriots Inc	http://www.bullypaws.org		EIN 20-3098504	Po Box 285	Fredericksbrg	VA	22404	USA	Animal Protection & Welfare,Animals	Provided medical and general wellness care, and found safe homes for dogs on a continual, successful basis.					Educate public spay & neuter effects on pet overpopulation and resulting in euthanasia of shelter animals educate public on breed specific information, rescue, rehabilitate and rehome bully breed dogs hold informative training and socialization training sessions for fosters, adopters & general public	
Able Forces Inc	http://www.ableforces.org	5406319600	EIN 27-0881311	115 Chester St Ste B	Front Royal	VA	22630	USA	Human Services,Personal Social Services	Able Forces, founded by veterans, is a 501(c)(3) non-profit, and an Ability One SourceAmerica Federal set-aside company.   Our Mission is to provide career-oriented employment exclusively to Wounded, Ill, and Injured veterans.	Able Forces currently supports contract in 7 states and provides employment and direct employment placement to our Wounded, Ill, and Injured veterans.  Our employee's and the warriors we serve support our employment needs in positions such as Subject Matter Experts, Intelligence Analysts, Program Managers, Quality Assurance Technicians, and Test Engineers.  We are currently supporting 8 Federal contracts, 7 are DoD, with 4 being at the highest security level.		Over 600 warriors and family members		We are currently executing contracts in seven geographic areas: the Washington DC  Arlington/Alexandria VA, Huntsville Alabama, Ft. Benning, GA, Ft. Worth TX, El Paso, TX, and Orlando/Tampa. Existing customers include:   U.S. Army PEO STRI   Missile Defense Agency   Special Operations Command   Ft. Belvoir Mark Center   Military One Source   Department of Energy	
Advanced Conservation Strategies	http://www.advancedconservation.org	607-227-9768	EIN 20-4002778	204 William Barksdale	Williamsburg	VA	23185	USA	Animals,Environment,Health,Land Resources Conservation,Protection of Endangered Species	We make lives and the environment better through science, human-centered design, and innovation. We focus on outcomes, incentives, and sustainable finance. Our foundation is science, yet we work and collaborate outside of science to design and implement new solutions and ventures. We work across sectors to integrate behavioral economics, finance, human-centered design, markets, science, and technology to solve problems.						
Gloucester-Mathews Humane Society	http://		EIN 51-0206238	Po Box 385	Gloucester	VA	23061	USA	Animal Protection & Welfare,Animals							
Partnership For Food Safety Education	http://www.fightbac.org		EIN 75-2977151	2345 Crystal Drive Suite 800	Arlington	VA	22202	USA	Consumer Protection,Education,Food,Food, Agriculture & Nutrition,Health,Public Health	The Partnership for Food Safety Education (PFSE), saves lives & improves public health through research-based, actionable consumer food safety initiatives that reduce foodborne illness.					The Partnership's Fight BAC! campaign was developed using public opinion research and expert scientific and technical review.  FightBAC! provides extensive free materials for consumers and for those who teach others about basic safe food handling through 4 key steps:  Clean, Separate, Cook and Chill.  To learn more visit www.fightbac.org or www.teamfoodsafety.org	
Highland Support Project	http://www.highlandsupportproject.org	(804)643-8635	EIN 54-1681703	PO Box 7185	Richmond	VA	23221	USA	International	We work to create models of Transformational Development that foster agency with indigenous communities of the Americas to address critical environmental, social, and economic issues	Each year we connect 300+ volunteers with indigenous communities, with about 14 partner Maya communities in Guatemala, a project with the Apache community in White Mountain, Arizona, and a new project growing in Peru that will work to support and empower women facing discrimination and domestic violence.				Symmetry Stoves & Trees, Holistic Health Program, Maya Arts Program, White Mountain High Adventure Youth Empowerment Program	
ProInspire	http://www.proinspire.org/	(703)741-0899	EIN 30-0543802	1305 North Taylor Street  suite 100	Arlington	VA	22201	USA	Nonprofit Management	ProInspire is building the next generation of nonprofit leaders by expanding the talent pipeline, developing nonprofit professionals, and increasing diversity.	Since 2009: Over 1100 candidates have applied and 48 Fellows selected 50% of Fellows over the programs history are persons of color 50% of Fellows stay at their organization after the Fellowship ends 80% of our nonpofit partners keep their current Fellow or hire a newFellow each year Over 90% of our partners rate their overall experience as good or excellent Nearly 100% of Fellows rate extremely high satisfaction with Fellowship as entry point into social sector				ProInspire has worked with leading nonprofits in the Washington D.C. region to provide talented professionals who bring critical skills and new perspectives to their work addressing major social issues like education, job creation, and poverty.	
Prostate Cancer International	http://www.pcainternational.org		EIN 26-3223978	P O Box 66355	Virginia Beach	VA	23466	USA	Cancer	Prostate Cancer International will transform global understanding of the risks associated with prostate cancer and the strategies to manage those risks until prevention is possible and a cure can be found.		Men who are concerned about their risk for or who are diagnosed with prostate cancer, and their familes	Between 1500 and 3000 people every single day of the year through our online initiatives	America and across the globe	The "New" Prostate Cancer InfoLink (a prostate cancer news service) and its associated social network  (a prostate cancer-specific discussion form with > 6,000 members), along with other communication and advocacy initiatives.	
Reading Connection, Inc.	http://www.thereadingconnection.org	703-528-8317	EIN 54-1628863	1501 Lee Highway Suite 170	Arlington	VA	22209	USA	Children & Youth,Children & Youth Services,Education,Homeless & Housing,Homeless Centers,Literacy,Remedial Reading & Encouragement	The Reading Connection is dedicated to improving the lives of at-risk children and families by helping them create and sustain literacy-rich environments and motivation for reading.  This mission is accomplished by - Volunteers who read aloud to children at shelters and community centers - Donations that provide children with free, new books to keep - Workshops that help parents encourage reading and literacy development - Trainings of family support workers who promote the importance of    reading.	In fiscal year 2014, we achieved the following results for our various programs.Read AloudVolunteers read aloud to children at 12 shelters and community centers throughout Washington DC andNorthern Virginia 518 children participated 4,837 books distributed 204 volunteers shared books with childrenBook ClubEnrolled families receive free, new books, ideas to promote family reading, and review forms by mail on amonthly basis 411 enrolled children 3,824 books distributedReading Families WorkshopsTRC staff and trained volunteers conduct workshops designed to increase parents confidence in sharing books with their children 347 parents reached 48 workshops held24 English, 9 Spanish, 16 Bilingual 1,541 books distributedLiteracy Advocates TrainingTRC staff train agency staff to promote the importance of reading aloud to children in home visits and after school programming to at risk families 14 participating agencies 100% of attendees report that they feel more confident talking with parents about sharing books with their children	at-risk children aged 0-18	Read-Aloud program: 518 children, Book Club: 411 children, Reading Families Workshops: 347 parents	the Washington D.C. metro area	reading motivation programs	
DUNGANNON DEVELOPMENT COMMISSION INC	http://www.ddcinc.org		EIN 51-0244870	344 Phoenix Street	Dungannon	VA	24245	USA	Economic Development	It is our mission to be a participatory membership organization that involves the people in building a better community through providing survival skills, environmentally sound economic development affordable and safe housing and youth empowerment programs.						
Carpenter's Shelter	http://www.CarpentersShelter.org	(703) 548-7500	EIN 54-1571849	930 N Henry St	Alexandria	VA	22314	USA	Homeless & Housing,Homeless Shelters,Housing & Shelter	Since 1998, Carpenter''s has been a leader in finding solutions to ending homelessness in the metropolitan Washington region. Four comprehensive and interrelated programs are designed to end homelessness (not accommodate it) for the 1,000 children, families and adults we serve each year. Our mission is to end homelessness through services, education and advocacy.  Open 365 days, 24 hours a day, Northern Virginia''s largest homeless program, Carpenter''s award-winning programs provide services ranging from meeting the basic needs of the chronically homeless to providing emergency shelter on freezing cold nights to keeping families together by providing temporary shelter and giving them the skills needed to return to a stable and productive existence to finally helping families remain self-reliant following graduation from the shelter.					Carpenter's offers four interrelated programs that reflect the diversity of the homeless community as well as Carpenter's efforts to fulfill the needs of the entire homeless population.  Its programs are: a DAYTIME DROP-IN SHELTER for the chronically homeless women and men; an overnight WINTER HYPOTHERMIA SHELTER; and 80-bed EMERGENCY RESIDENTIAL SHELTER; an AFTERCARE program for shelter graduates; TRANSITIONAL HOUSING PROGRAM; and an EDUCATION FUND (see descriptions below).Carpenter's day shelter, David's Place, is the only one of its kind in Alexandria, Virginia. Each year the shelter serves more than 200 adult men and women who do not, or cannot, utilize the residential services that are available.  Often these individuals are dually-diagnosed with mental health and substance abuse illnesses, and lack the social and personal skills needed to function in a structured environment.  David's Place offers a safe environment off of the streets, where our chronically homeless women and men can attend to their basic needs and participate in case management with programs such as health/substance abuse/mental health focus groups, HIV/AIDS awareness, art therapy and life-skills workshops.The overnight Winter Hypothermia Shelter provides a safe refuge for unsheltered children, women, and men to prevent illness, injury, and even death due to harsh weather.  Through this program we serve almost 300 individuals annually, including families with children.The Residential Shelter offers a comprehensive case management program that is goal-oriented toward self-reliance.  This program provides assistance with substance abuse and mental health disorders, life-skills and job readiness training, access and referrals to social services agencies and other partners and assistance with housing search.  The shelter also includes a Child and Family Services program for children and parents which ensures that all developmental, educational, medical and social needs of the children are met.  The residential unit operates 365 days a year, 24 hours a day.  Carpenter's serves over 300 homeless families and adults, including more than 105 children, who represent the working poor and families in crisis. The shelter assists in alleviating the crisis atmosphere and provides a supportive environment where healing and stabilization can occur.  Residents are required to have or be seeking full-time employment and all save 70% of their income.  Although there is no predetermined length of stay at Carpenter's shelter, most individuals stay between one to three months with families averaging at least six months.Our Aftercare Program continues case management and coordination of services for clients after their shelter stay.  The goal of this program is to prevent repeated episodes of homelessness. Carpenter's is committed to helping ensure that adequate housing options and resources are available to all residents leaving the emergency shelter.  In 2002, we began a Transitional Housing program, utilizing 2-4 off-site apartments for families and single adults.  This program is run in conjunction with our Aftercare program.Carpenter's believes that education is the key to self sufficiency. The Education Fund has awarded $86,000 in life-altering education related funds to Carpenter's clients for tuition, living stipends, computers and books.	
Co Partners Of Campesinas	http://www.copartners.org		EIN 56-1973794	901 Second St	Alexandria	VA	22314	USA	International,Philanthropy,Private Independent Foundations	We are dedicated to improving the lives of women and girls in Central America through training, education, and income generating projects.						
