name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
Southern Coalition For Socialjustice	http://www.southerncoalition.org	(919) 323-3380	EIN 26-0688375	1415 West Highway 54 Suite 101	Durham	NC	27707	USA	Crime & Law, Legal Services	The southern coalition for social justice promotes justice by empowering minority and low-income communities to defend and advance their political, social and economic rights, using the combined skills of lawyers, social scientists, community organizers and media experts to help underrepresented people develop strategies to achieve their visions for themselves and their communities, incorporating an international human rights perspective and linking their efforts to broader processes of political, legal, social and economic change in the south.				Voting rights - work to ensure that minority voting rights are fully protected, focusing on election administration policies that restrict voter participation, including laws requiring voter identification, limits on voting registration, administrative barriers at the polls, and protection of the voting rights act; and on the redistricting process that has resulted in redrawing of election districts after the 2010 census.   immigrant rights -eliminate the abuses of the 287(g) and secure communities programs; provide pro bono legal representation to individuals thrust into the unjust system of deportation proceedings; document human rights abuses involving immigrants.   human rights - general human rights and civil engagement issues which includes conducting educational events for families and advocates to raise awareness about heirs' property retention and black land loss in the south, and working to develop community-based solutions to criminal activity and counter police harassment and intimidation.						
Rock Against Cancer	http://www.rockagainstcancer.org	1-877-246-0976	EIN 52-2288097	4711 Hope Valley Rd	Durham	NC	27707	USA	Health, Health Care	Rock Against Cancer is a nonprofit organization that supports and empowers pediatric cancer patients by providing Music Therapy and innovative music programs.		Children with cancer								
God Speed Ministry Inc	http://		EIN 20-1120663	141 Ea Bingham Rd	Kings Mtn	NC	28086	USA	Christianity, Religion											
CHARLOTTE DOG TRAINING CLUB INC	http://Http://www.charlottedogtraining.com	(803) 396-0729	EIN 56-1382077	13607 Choate Circle	Charlotte	NC	28217	USA	Animal Services, Animals	To bring individuals together to work with their dogs in a controlled, organized manner		owners train their dogs	Charlotte, NC and surrounding area	Classes in preparation for therapy dog testing, obedience, rally, and agility training.  We also host an obedience and rally trial in February and agility trials in March and October.						
Classroom Central Inc	http://www.classroomcentral.org	(704) 377-1740	EIN 03-0455618	2116 Wilkinson Blvd	Charlotte	NC	28208	USA	Education	To equip students to effectively				The mission of classroom central is to equip students living in poverty to effectively learn by collecting and distributing free school supplies. We accomplish this through four distribution programs. Teachers and other school personnel in qualifying high-needs schools "shop" for free school supplies thoughout the academic year at classroom central's free store. All materials distributed are used to create inviting learning enviornments and to support the academic and personal growth of students living in poverty. Classroom central also distributes free school supplies though the mobile free store program, which serves educators in districts that are not able to visit our free store location. Once a quarter, we travel to gaston, union, iredell-statesville, the city of kannapolis and lancaster, sc school districts to distribute core school supplies directly to educators in high-needs schools. The classroom up online ordering program is the first of its kind in the united states and allows teachers to order essential school supplies and have them delivered directly to the school via couriers driving on their existing routes. Finally, the backpacks and basics program targets students in the highest poverty schools in our region (85% free/reduced lunch rate or higher). In fiscal 2014, we served the most schools ever in the history of the program, providing backpacks and supply kits to each student in eleven schools in three districts. As of june 30,2014, classroom central's product distribution programs combined supported over 100,000 students in over 200 schools in 6 school districts.						
Teens Destined To Succeed Outreach	http://		EIN 26-3024874	Po Box 2653	Burlington	NC	27216	USA	Children & Youth, Children & Youth Services											
North Carolina Arts in Action	http://www.ncartsinaction.org	919-619-0483	EIN 20-3029784	P.O. Box 51277	Durham	NC	27717	USA	Arts & Culture, Dance	We use performing arts as a catalyst to teach leadership and teamwork skills, build self-esteem and instill a high level of excellence in children, particularly at-risk children, through school partnerships throughout the Triangle.	We partnered with 5 schools in 2012-13.  Strategic plan completed in 2012, targeting 10 schools and 1,000+ children by 2014.  Capacity building, hired new administrative staff person and new artistic director in 2012.	Elementary school children, particularly at-risk students, from Durham, Chapel Hill-Carrboro and Wake County schools	Durham, Chapel Hill, and Raleigh	Year-long in-school programs for 4th grade After-school programs for 4th, 5th grade Summer programs for rising 4th - rising 8th graders Saturday alumni program for rising 5th - rising 10th graders	In 2012, NC AIA served over 500 children directly in in-school programs, after-school programs, summer and out-of-school activities					
Animal Advocates Of Moore County Inc	http://www.aamc-nc.org		EIN 01-0590995	Po Box 3399	Pinehurst	NC	28374	USA	Human Service Organizations	Our organization receives 50 calls a day from people needing help for sterilizing, or heart worm treatments or animals hit by cars. We pay for surgeries, shots and heartworm treatments.										
Stageworks	http://		EIN 56-1912359	38 Central Blvd	Wilmington	NC	28401	USA	Arts & Culture, Theater											
Cleveland Rutherford Kidney Association	http://www.crka.org		EIN 56-1443716	1017 N Washington St	Shelby	NC	28150	USA	Counseling, Health, Health (General & Financing), Kidney Diseases, Mental Health	Service to end stage renal patients				Dialysis transportation program provides transportation for kidney patients to dialysis centers  patient services program provides medication and supplies to local kidney patients who do not have the financial means to obtain these services						
Military Missions in Action	http://www.militarymissionsinaction.org	919-552-1603 or 	EIN 26-1379308	411-B North Judd Pkwy, NE	Fuquay Varina	NC	27526	USA	Military & Veterans Organizations, Veterans	Military Missions in Action is a 501(c) (3) non-profit, non-partisan organization. MMIA is strongly committed to helping those who have selflessly given to their country and have returned home with serious disabilities and injuries. We assist the men and women who have been injured in the Armed Forces, their immediate families, and those who continue to defend our freedom. Federal Tax Id#26-1379308			NC, SC							
Youth Empowered Solutions (YES!)	http://www.youthempoweredsolutions.org	919-878-8777	EIN 06-1813332	4418 Louisburg Rd Suite 131	Raleigh	NC	27616	USA	Education	YES! empowers youth, in partnership with adults, to create community change.	YES! hires high school students who learn skills, gain critical awareness and seize opportunities to create change in their communities. In 2013, YES! changed 20 policies, systems or environments, impacting 10,656,929 people. YES! staff work on local policy, system and environmental change, and then train other teams of youth and adults to replicate the work in their own communities. YES! also works with adults and organizations to help support youth-adult partnerships and advocacy efforts.			Youth empowered solutions (yes) is a nonprofit organization committed to creating a society where empowered high school-aged youth work alongside adults to create just, equitable and thriving communities. To accomplish this, yes equips high school youth and their adult allies with the tools necessary to take a stand in their communities and create change that will positively impact adolescent health. Yes developed and trademarked its nationally recognized youth empowerment model, a three-pronged approach that challenges youth to develop skills, gain critical awareness, and participate in opportunities that create community change. Yes provides professional development training and customized services on the model to organizations, adults, youth leaders, and its own youth staff. Yesenvisions communities where the valued standard is that empowered young leaders create extraordinary impact by working alongside adults. Yes's real food, active living team engages and empowers young people in community change efforts to increase access to healthy food and active living, and decrease the childhood obesity epidemic. Objectives include: - advocate for policy changes to support access to real food and active living - provide training and technical assistance to youth, adults and organizations on how to empower youth in sustainable community change efforts - provide capacity building for adults and organizations wanting to engage youth more effectively - help groups effectively assess their communities and create action plans driven by youth-adult partnerships - convene youth, adults and organizations statewide to foster a movement to reduce childhood obesity - collaborate with state and national initiatives to address childhood obesity the rfal team consists of 1 team lead, 2 program coordinators and 6 youth staff. From 7/1/14 to 6/30/15, the yes real food active living team provided 13 youth and 5 adult leader trainings, and 7 youth and 15 adult presentations/workshops. 8 groups received mini-grant funding and were a part of the rfal network. Of 574 youth and 313 adults exposed to yes, 311 youth and 74 adults were trained. Yes real food active living team partnered with agencies to accomplish the following 13 changes: - robinhood ymca opened a community garden that was used for programming for 7,000 members during the 2014 growing season. - the national association for the education of homeless children and youth in greensboro renovated a blighted area into a community garden. - the madison county health ambassadors initiative has been established with 3 students and 1 adult advisor. The health ambassadors work in partnership with the madison county health consortium and child health committee to make madison county a healthier place to live. - the madison county health ambassadors became a part of the larger madison county health consortium, which in turn changed the location and time of their meetings to be inclusive to the school staff and students. - summit charter school in western north carolina created a school garden used for classes and food was donated to community members in need. - capital area food network committed to adding a youth leader to their leadership team. - sugar free kids maryland/medchi/horizon foundation developed a structure, hr documents to support youth engagement and officially launched a youth leadership team. - durham city representatives have committed to working with durham public schools to see about using the sidewalk fees to use on improving the sidewalks around milton rd. As youth interns recommended. - carolinas healthcare system worked to develop and support a youth advisory council (yac) for the healthy weight, healthy child initiative. The yac recruited 12-15 youth to serve on the advisory council for the coalition. - the asheville city council voted to get rid of the fare free zone in the bus system without following legal protocol (opening the idea for public comment)-yes argued against this and they withdrew the votes. - madison county received agreements from 3 local corner stores to stock healthier options and to follow up with madison county health department. - william g white ymca purchased bee hives for the farm at the children's home to increase garden production, and sell the produce every tuesday and wednesday. - the pew charitable trust engaged youth in their national-level convening and adopted youth empowerment as a strategy for obesity prevention focused on the smart snack standards. Yes real food active living team participated in 8 national events: - genyouth conference in dallas, tx on youth engagement - voices for healthy kids grantee meeting in memphis, tn - southern obesity summit in louisville, ky - partnership for a healthier america conference in washington, dc - trained youth advocates with the american heart association for their national lobby day in washington dc to prepare youth to lobby for the reauthorization for strong school food standards. - attended the weight of the state conference in richmond, va - met with the georgia state health dept. In atlanta, ga - funder's collaborative on youth organizing, denver, co yes real food active living received 12 earned media hits through letters-to-the-editor, local news stations, and newspaper stories. Highlights include: - active living by design: http://activelivingbydesign. Org/youth-speaking- up-and-being-seen/ - lima, oh media: http://www. Limaohio. Com/news/home_top-news- news_education/50773926/teen-wants-healthy-food-at-school - madison county's news record and sentinel about our november food access advocacy training and the work that madison county youth and adults plan to do as a result - asheville groups competing in nc innovation challenge - asheville citizen times, 1/5/15. Http://www. Citizen- times. Com/story/money/business/2015/01/03/asheville-groups-competing-nc- innovation-challenge/21225423/ https://mountainx. Com/news/art-sunday-bus- service-gets-rolling-with-nine-routes/ - durham hub farm - press release about the survey about sidewalks near the community garden and overview of project - robinhood ymca - http://ymcanwnc. Org/2014/08/ymca-youth-and-government- students-fight-hunger-with-grant/; https://www. Facebook. Com/ymcaofnwnc; http://ymcanwnc. Org/2014/08/ymca-youth-and-government-students-fight- hunger-with-grant/; https://www. Facebook. Com/youthempoweredsolutions - robinhood ymca - garden opening/legislative event story was featured in the ymca nwnc connections - newsletter - asheville citizen times: let's get behind the healthy corner store initiative: http://avlne. Ws/1gkagnd - mountainx. Com-letter writer support healthy corner store initiative to address food deserts food insecurity: http://mountainx. Com/opinion/letter- writer-support-healthy-corner-store-initiative-to-address-food-deserts- food-insecurity/ the charlotte post opinion_3. 12. 15. Docx : food insecurity hits young hard - prevent obesity http://preventobesity. Net/inside-track-june-4-d - nc alliance of ymcas: http://www. Ncymcaalliance. Org/youth-teams-lead- opening-of-community-garden-at-robinhood-road-y/ - lima, oh: http://www. Limaohio. Com/news/health-home_top- news/50101992/group-seeks-youth-aides-to-help-kids. Vacpwicwlhi yes real food active living team received 3 awards: - nc spaces for innovation challenge award finalist - president's council on fitness, sports & nutrition: community leadership award 2015 - 40 under 40 award recipient http://www. Youthempoweredsolutions. Org/diana-manee-named-40-under-forty- leader/ yes real food active living team created at least 7 new resources: - video about youth involvement in the food access movement - yes food access mini grant documents - updated the healthy corner stores toolkit - youth advocacy training specific to sugar sweetened beverages, access to water and campaign building - health ambassadors job description and application - healthy school food prezi - created the smart snack healthy concession toolkit for the nc high school athletic association training  in fy15, a total of 1,169 adults and 1,156 youth (2,325 total) were exposed to the yes youth empowerment model through conferences, panels, webinars, and/or trainings. Of the 316 adults and 431 youth that attended a yes training, 99. 5% indicated that they learned new skills and 70% reported going on to take action. Yes partnered to create 37 changes that impacted at least 1,571,697 people. 86% of the youth participants were of color, live in rural communities, or live in low-wealth communities. At yes, youth make up more than 50% of the total number of paid staff: 13 youth staff to 9 adult staff. 100% of youth staff report feeling empowered working at yes. 100% of youth staff demonstrate an increase in skills, critical awareness, and opportunities. 100% of youth staff report working towards policy and systems changes, and 38% towards environmental changes. 77% of the youth staff represented youth of color, rural areas, or low-wealth communities. Yes continues to partner with its graduated youth staff, of whom 100% still feel empowered and 64% continue to develop skills, increase critical awareness, and take action on issues. Yes's tobacco use prevention team is working to engage and empower young people in community change efforts to support tobacco-free lifestyles and environments, create spaces with clean smoke-free air, reduce tobacco- related disparities, and create a tobacco-free generation. Objectives include: - provide training and technical assistance to youth, adults and organizations on how to empower youth in sustainable community change efforts - provide capacity building for adults and organizations wanting to engage youth more effectively - help groups effectively assess their communities and create action plans driven by youth-adult partnerships - collaborate with state and national initiatives to address youth tobacco use and exposure the team consists of 1 team lead and 6 youth staff. Yes administers a national network, through the national african american tobacco prevention network, to impact tobacco-related and cancer health disparities, educate and communicate support for evidence-based commercial tobacco use prevention and cancer prevention environmental approaches, and provide training and technical assistance to network participants. 27 agencies are a part of this network. Contacts from the following states are involved: north carolina, texas, florida, california, mississippi, pennsylvania, rhode island, new mexico, and indiana. From 7/1/14 to 6/30/15, the yes tobacco use prevention team provided 2 youth and 2 adult leader trainings, and 2 youth presentations/workshops. Of 375 youth and 52 adults exposed to the yes youth empowerment model, yes trained 49 youth and 52 adults. Yes tobacco prevention team partnered with agencies to accomplish the following 3 changes: - tobacco-free parks and government grounds policy in mecklenburg county, nc. On oct. 21, 2014, the mecklenburg, n. C. Board of county commissioners voted 8-1 to pass new smoke-free and tobacco-free policies for the county. The new policies ban smoking on government grounds and tobacco use in county-owned parks. - the lowndes school district in georgia adopted a model tobacco-free policy due to the education campaigns by the youth groups from the valdosta health district. - the irwin county school district in georgia adopted a model tobacco-free policy due to the education campaigns by the youth groups from the valdosta health district. Yes tobacco prevention team participated in 5 national events: - the campaign for tobacco-free kids youth symposium - lima, oh youth summit - rapides, la youth summit - georgia youth summit - yes presented at the cdc site visit for the national african american tobacco prevention network yes tobacco prevention team received the following 3 earned media: - ga division of public health website and e-newsletter. Http://dph. Georgia. Gov/blog/2014-11-03/130-georgia-teens-learn-power- policy-development-positive-change - herald sun regulates e-cigarettes http://www. Heraldsun. Com/opinion/letters/x761905286/letters-to-the-editor- jan-22 - former yes youth: "take action to prevent teen tobacco use in nc" - yes blog yes tobacco prevention team created at least 4 new resources: - tobacco point of sale policy manual, which will serve as a guide for local and state level advocates around pos policies. In conjunction with the tobacco pos consortium - merchant education training materials - template for the naatpn national youth network online newsletter - tobacco prevention one pager  yes media plan garnered 1,104 facebook likes; 811 twitter followers; 198 instagram followers; 13,583 youtube views; 2,227 newsletter subscribers; and an average of 2,562 monthly hits on the yes website. Yes received the following honors: - selected to participate in bcbsnc non profit leadership academy and received a 10k grant to support yes business planning process - received seeds of fire grant for a fy15 all staff retreat - awarded mead family foundation grant for operating support in fy15, yes provided training/consulting/summits in 11 states: ga; ky; la; md; nc; ny; oh; tx; wa; wi; washington dc, and yes participated in conferences in 7 states: al; co; in; or; ri; sc; tn yes's access to health team is working to engage and empower young people in community change efforts to increase access to health care and create oral health equity through the following means: - advocate for policy changes to support access to physical and oral health care - research and understand the limitations of access to physical and oral health services across nc - examine the impact of the public's perception of physical and oral health - establish tools to assist communities in supporting their community water being fluoridated - serve as a youth voice on the north carolina oral health collaborative the team consists of 1 team lead and 5 youth staff. Funding to support yes's efforts in oral health began in january of 2015 and time has been spent hiring staff and building capacity through 6/30/2015. From 7/1/14 to 6/30/15, the yes access/oral health team provided 1 youth leader training in which 33 youth were trained; 2 adult presentations/events in which 65 adults were exposed; and 3 youth leader presentations/events in which 52 youth were exposed. In total, the access team exposed 85 youth and 65 adults to yes yes access/oral health team partnered with agencies to accomplish the following 6 outcomes: - the north carolina school-based health alliance established a youth council committee who would oversee the development of the statewide youth council. - montefiore medical center in bronx, ny, contracted with yes for training and consulting. Five principals were approached to establish 5 new school-based youth councils connected to montefiore. All 5 schools got principal write-off approvals. - 50 youth connected to montefiore youth councils held their annual advocacy day and advocated to continue their state level funding (which was approved). - the nc oral health collaborative has invited yes youth to be active stakeholders on the collaborative and in the work groups. - the nc institute of medicine invited yes a youth staff to sit on the patient and family engagement task force, the first youth task force member documented. - the dentaquest foundation and bcbsncf supported a yes youth staff in attending the southern regional health equity convening and co-representing north carolina. Yes access/oral health team participated in 3 national events: - dentaquest south-southeast regional oral health network meeting in austin, tx - baltimore school based health centers contracted with yes to receive a webinar - project vida in el paso, tx contracted with yes for a training yes access to health care team had 4 earned media published, including: - guest editorial on the blog of oral health equity for all (oheall) on the importance of empowering youth in creating sustainable change in health equity http://oheall. Org/main/2014/12/19/creating-health-equity-through-youth- empowerment/) - "sidebar" for the north carolina medical journal for edition on patient and family engagement - twitter storm to support refunding the federal children's health insurance program - "as jobs become scarce, teenagers drive farther to find work" http://parenting. Blogs. Nytimes. Com/2015/03/30/as-jobs-become-scarce- teenagers-drive-farther-to-find-work/? Smid=tw-share&_r=0 yes access to health care team created at least 3 new resources, including: - redesigning the access 101 youth training - source credibility worksheet - dental board investigation worksheet  yes's substance abuse prevention team is working to engage and empower young people in community change efforts to reduce underage drinking: - convene youth, adults and organizations statewide to foster a movement to reduce underage alcohol use - collaborate with state and national initiatives to address underage drinking - advocate for policy changes to support the prevention of underage drinking - provide training and technical assistance to youth, adults and organizations on how to empower youth in sustainable community change efforts - provide capacity building for adults and organizations wanting to engage youth more effectively - help groups effectively assess their communities and create action plans driven by youth-adult partnerships the team consists of 1 team lead and 3 youth staff. Yes substance abuse prevention team is a training and technical assistance provider for the north carolina preventing underage drinking initiative. The team trains youth who are involved with local groups, sharing strategies to change environments in ways that eliminate youth access to alcohol, and trains adults on youth empowerment and topics such as alcopop awareness and advocacy. From 7/1/14 to 6/30/15, the yes substance abuse prevention team provided 4 youth trainings in which 38 youth were trained. Yes substance abuse prevention team partnered with agencies to accomplish 5 ongoing efforts: - the team attended the quarterly nc pudi taskforce and evaluation meetings. - 2 pledge drives for talk it up. Lock it up in which 34 pledges collected to get adults to commit to making their personal home a no underage drinking zone by securing and monitoring their alcohol. - yes youth visited 12 stores regarding alcopops and merchant education. - yes youth secured letters of support for alcopop free stores from high school and city of raleigh's substance abuse advisory commission. - yes thanked the raleigh transit authority for not allowing alcohol and tobacco ads on public transit. Yes substance abuse prevention team participated in 2 national events: - youth on the move conference in new market, tn at the highlander education center - prescription drug abuse at a samhsa conference in washington dc yes substance abuse prevention team 2 earned media included: - the nc pta publicly shared talk it up. Lock it up in their newsletter bulletin. - a blog post detailing experience with the city of raleigh's substance abuse advisory commission regarding the alcopop free stores letter of support. Yes substance abuse prevention team received 1 award: - a scholarship to attend the youth on the move conference yes substance abuse prevention team created at least 8 resources: - updated alcopop free store information, including a skit and prezi - revised merchant education training materials - alcohol mythbusters game - created outlines for 4 webinars: - effective meetings with youth - emerging alcohol products and marketing that targets youth - snazzy technology to work smarter not harder - how the abc system works						
Meeting Place	http://meetingplacemission.com		EIN 55-0863996	PO Box 2861	Morganton	NC	28680	USA	Centers to Support the Independence of Specific Populations	A local mission serving the homeless	In 2010, The Mission began to look at homelessness as a problem for families and women since Burke County had no options for them.  We have begun The FACES program for families and are currently working with the community to provide temporary emergency sheltering for women at Oak Hill UMC.  This project will lead to a permanent women's emergency shelter.	homeless men, women, and children, families in the local Burke County area	Burke County, NC	The organization provides basic necessities and counseling to individuals that are homeless, victims ofnatural disasters or calamity, out of work, addicts of drugs or alcohol, or have breakdowns whiletraveling.	In 2010, The Mission began to look at homelessness as a problem for families and women since Burke County had no options for them.  We have begun The FACES program for families and are currently working with the community to provide temporary emergency sheltering for women at Oak Hill UMC.  This project will lead to a permanent women's emergency shelter.  To date the Meeting Place Mission has assisted over 150 different men and have had over 10,000 night stays					
Angela's Angels Cat Rescue, Inc.	http://www.angelasangelscatrescue.org		EIN 27-1731947	78 Majestic Elm Lane	Columbia	NC	27925	USA	Animal Protection & Welfare, Animals	Our mission is to rescue felines in North Carolina from situations that are abusive, dangerous and neglectful, with a focus on cats in high kill shelters,We fully vet and alter cats while seeking out permanent homes for them. Our goals are to reduce the feline over population in and around Columbia, North Carolina, Reduce the euthanasia rate and promote responsible pet ownership.				Adoption and foster care.						
Armed Services Ymca Of The Usa	http://www.asymca.org		EIN 56-2159770	439 Westwood Shopping Center Fb 430	Fayetteville	NC	28314	USA	Human Services, Military & Veterans Organizations, Physical Fitness & Community Recreational Facilities, Sports, Veterans, Young Mens or Womens Associations	The mission of the Armed Services YMCA is to enhance the life of military personnel and their family members in spirit, mind and body, by providing programs that strengthen families, and are relevant to the unique challenges of military life.										
Alexander Youth Network	http://www.alexanderyouthnetwork.org	(704) 362-8495	EIN 56-0554413	6220 Thermal Rd	Charlotte	NC	28211	USA	Ambulatory & Primary Health Care, Children & Youth, Children & Youth Services, Health, Mental Health, Mental Health Treatment	Alexander youth network provides quality professional treatment to children with, or at risk of, serious emotional and behavioral problems. We deliver an effective and efficient array of services, enabling children and their families to exercise self determination, achieve their potential, and find long-lasting positive ways to connect with their community				The psychiatric residential treatment facility (prtf) consists of 6-bed treatment units serving children ages 5-14 who suffer from severe emotional, psychological and behavioral problems. Prtf provides a highly structured, therapeutic environment designed to address and meet the needs of each resident. Each resident has an individualized treatment plan designed by a team of licensed or certified professionals. Individual, group and family therapy are provided in combination with 24-hour psychiatric nursing care, psychological testing, special education services, recreation therapy and milieu therapy. All services are provided under the direction of a board certified child and adolescent psychiatrist. In 2013, prtf served 96 children.   the day treatment program is designed to meet the individual needs of children and their families and address classroom-based social and behavioral problems and academic delays. Day treatment is provided in mecklenburg, gaston, lincolnton, cleveland, rutherford and cabarrus counties. The program is supervised by a program manager and supported by a clinical psychologist and a child and adolescent psychiatrist. Individual, family and group psychotherapy may be provided by licensed clinical social workers as indicated by the child's individual treatment plan. In 2013, the day treatment program served 257 children.   the therapeutic homes at alexander youth network provide intensive therapeutic interventions for children and adolescents who are emotionally and/or behaviorally disturbed. The service is managed by professionals who are qualified and trained to provide individualized services to this population so that the highest level of functioning may be achieved by the child. In 2013, therapeutic homes served 485 children.						
Neuse River Foundation, Inc.	http://www.neuseriver.org		EIN 56-1281376	PO Box 15451	New Bern	NC	28561	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	The Neuse Riverkeeper Foundation protects, restores and preserves the Neuse River basin through education, advocacy and enforcement, in order to provide clean water for drinking, recreation and enjoyment to the communities that it serves.				The Muddy Water Watch project is a state-wide initiative to reduce stormwater runoff from construction sites by providing training workshops and materials developed specifically for citizens on the North Carolina sediment and stormwater laws and requirements associated with construction activity. Polluted stormwater runoff, including sediment from poorly maintained construction sites, is the number one reason for poor water quality in North Carolina. MWW volunteers are able to properly identify sedimentation and erosion violations from active construction sites, as well as poorly maintained Best Management Practices. These volunteers help increase the frequency of routine BMP maintenance and, most importantly, are proactive in keeping mud and sediment out of NC rivers and streams by working with local inspectors and developers to oversee enforcement of sediment laws on NC construction sites.						
PAWS OF THE HEART, INC	http://	010-785-3201	EIN 47-1526789	4104 Juniper Ct	Raleigh	NC	27612	USA	Animal Protection & Welfare, Animals	It is our mission to maintain an all volunteer organization dedicated to maximizing the quality of the lives of abandoned, stray, and feral cats with a focus on reducing the number of homeless cats in our communities and ending animal cruelty through advocacy, education, and service.	98% of the cats in our colonies have been spayed/neutered and received their first rabies shot. 100% are provided a healthy meal and water once per day.	abandoned, stray, and feral cats	Raleigh, NC area	animal welfare and advocacy	more than 100 cats per day for 352 days per year					
National Humanities Center	http://www.nationalhumanitiescenter.org	(919) 549-0661	EIN 59-1735367	7 Tw Alexander Dr	Rtp	NC	27709	USA	Arts & Culture, Humanities	The national humanities center seeks to ensure the continuing strength of the liberal arts and to affirm the importance of the humanities by encouraging the exchange of ideas. In the center's beautiful open spaces - and increasingly in the vaster spaces of electronic communications - scholars work together in a shared mission to seek a greater understanding of the human condition and infuse american life with the humanities' vital message.				Fellowships - the center identifies talented scholars to provide financial support and a stimulating environment for the best work in the humanities. Additional services provided to fellows include library services, copying, editing and dining.   communications - the center communicates with its fellows, trustees, and other friends through an annual report, a newsletter (news of the national humanities center), and occasional papers. The communications department's expenses are those that are incurred in creating and distributing the stated publications.   education - the center develops model programs that rekindle teachers' enthusiasm for the humanities they teach.						
Lowell Haynes Revivals Inc	http://		EIN 57-0878933	431 Misty Jump Ln	Millers Creek	NC	28651	USA												
The Potters House Community Outreach Ministries	http://		EIN 06-1575502	Po Box 1084	Lewisville	NC	27023	USA	Human Service Organizations											
Apparo	http://www.apparo.org	(704) 716-7767	EIN 57-1140089	301 S. Brevard St. Suite 300	Charlotte	NC	28202	USA	Community Improvement & Capacity Building, Nonprofit Management, Philanthropy, Voluntarism Promotion	Help nonprofit organizations leverage technology to better meet their goals and objectives and more effectively serve the needs of the community and their constituents.		nonprofits move their missions forward through better enabled and understood technology and business solutions.	the greater Charlotte, NC area	IT Coaching - one-on-one, on site at agencies on Microsoft Office tools Connections to the IT community Facilitated Skilled Volunteer Engagements User Groups Microsoft 365 conversions/implementations Collaboration Groups of diverse missions around common business process issues and technology challenges Technology Planning We are the "Roving CIO" for nonprofits in Charlotte, NC and nearby	45 area nonprofits with 1700 volunteer hours and technology projects valued at more than $100,000					
Charlotte Center For Urban Ministry Inc	http://www.urbanministrycenter.org	(704) 347-0278	EIN 56-1837620	945 N College St	Charlotte	NC	28206	USA	Arts & Culture, Cultural & Ethnic Awareness, Food, Homeless & Housing, Homeless Centers, Homeless Shelters, Soup Kitchens	The urban ministry center is an interfaith organization dedicated to bringing the community together to end homelessness, one life at a time by providing housing with case management, basic services and outreach programs.				1)housingworks:permanent supportive housing provided to 175 formally chronically homeless clients through scattered site, moore place, and meckfuse saving the community approximately $25,000 per individual2)saber (substance abuse treatment program with housing):52 new men were admitted, 86. 5% graduated treatment phase (3 months)3)room in the inn:17,191 bed nights provided to 1,402 during the winter (12/1/14 to 3/31/15) by 135 host sites4)basic services:98,470 lunches served in the soup kitchen, open every day71,000 bus rides11,400 phone service10,400 showers9,700 counseling sessions7,000 loads of laundry2,295 van rides843 prescriptions filled1,000+ mail servicein addition, community partners were invited onto campus and provided 1,800 patient visits (nurse from community clinic), 168 dental visits (ada jenkins dental van), confidential hiv testing and counseling (mecklenburg county health department), visits with the va, dss, and pro bono attorneys. 5)outreach & engagement:connected 35 chronically homeless individuals to housing and a medical home, 18 applications to social security disability approved6)communityworks:200+ clients offered life skills, goal setting and mentoring through programs including art, gardening, street soccer, choir, and running. 7)community education:1,000+ community members received awareness and education about homeless issues through programs including my name is rachel, walk in my shoes, framework for understanding homelessness and bridges out of poverty.						
Able Flight	http://www.ableflight.org	919-942-4699	EIN 20-5001037	91 Oak Leaf Lane	Chapel Hill	NC	27514	USA	Education, Scholarships, Scholarships & Student Financial Aid	Able Flight's mission is to offer people with disabilities a unique way to challenge themselves through flight and aviation career training, and by doing so, to gain greater self-confidence and self-reliance.	Able Flight was founded in June of 2006, and awarded its first flight training scholarships in December of 2006. As of  October 2016 it has awarded 78 scholarships (including flight training and aviation career training), and fifty three recipients are now licensed pilots.  Beginning in 2010, Able Flight partnered with Purdue University on a annual joint flight training program. To date, every student trained at Purdue and sent for a check ride has passed for a 100% success rate.  In 2011 Able Flight  began awarding Aviation Career Training Scholarships, and as of October 2016 has awarded fifteen career training scholarships..	Able Flight serves a diverse population of people with disabilities, including, but not limited to, those with spinal cord injuries, wounded and disabled  veterans, and those with Cerebral Palsy, MS,  and loss of limb(s).	National	Flight Training Scholarships Aviation Career Training Scholarships Scholarships for wounded veterans						
