name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Eden House	http://www.edenhousenola.org	(504) 407-0943	EIN 45-3303791	PO Box 750386	New Orleans	LA	70175-0386	USA		-	New Orleans	physical and mental healthcare, financial guidance and savings matching, access to education and job training, yoga, and anything else our residents need at no cost to them.	victims of sex trafficking and prostitution rebuild their lives			
Capital Region Builders Foundation Inc	http://	(225) 769-7696	EIN 74-3031988	10518 Kentshire Ct	Baton Rouge	LA	70810	USA	Community Improvement & Capacity Building	The corporation is organized for eductional and charitable purposes within the meaning of a 501(c)(3) of the internal revenue code as more fully stated in the articles of incorporation. Distributions are made only to organizations that qualify as exempt organizations under 501(c)(3), most specifically to organizations that benefit children. The corporation raises funds to provide assistance to needy children and families.		The foundation was formed to raise funds to provide assistance to needy children and families.				
Louisiana Pulmonary Disease Campinc	http://		EIN 72-0897336	Po Box 10235	New Orleans	LA	70181	USA								
Beauregard Community Action Association Inc	http://		EIN 72-6031055	Po Box 573	Deridder	LA	70634	USA	Human Service Organizations, Human Services	Provide assistance to low income familie		To provide assistance to low income families through various state and federal grants				
Northwest Louisiana Food Bank	http://www.foodbanknla.org	(318) 675-2400	EIN 72-1328890	2307 Texas Ave	Shreveport	LA	71103	USA	Food, Food Banks & Pantries	Our mission is to serve as the central resource for fighting hunger in Northwest Louisiana.Our vision is to ultimately end hunger in Northwest Louisiana by ensuring a consolidated network of effective food collection and distribution which will provide universal access to free food for the needy in our communities.		Food bank - distribution of food and other essential items to 501(c)(3) organizations who serve the needy. Food is also distributed to low-income seniors, half-way houses, and to individuals by emergency referral on a one-time walk-in basis.				
Lower Nine Org	http://www.lowernine.org	(504) 278-1240	EIN 11-3821601	6018 El Dorado Sreet	New Orleans	LA	70117	USA	Disaster Aid, Disaster Preparedness & Relief Services	Lowernine. Org is dedicated to training residents and volunteers in the lower ninth ward of new orleans, la in the numerous skills necessary to bring this century-old neighborhood back to life in the wake of hurricanes katrina and rita.		Reconstruction of housing destroyed by hurricane katrina to help resurrect the lower ninth ward neighborhood.				
Learn To Live	http://		EIN 45-4415554	1700 S Rampart St	New Orleans	LA	70113	USA	Health, Public Health							
Louisiana Porcelain Art School	http://		EIN 72-1137240	PO Box 6504	Alexandria	LA	71307	USA	Art Museums, Arts & Culture							
First Presbyterian Church	http://		EIN 72-0989784	204 N Lewis St	New Iberia	LA	70563	USA								
Shepherds Farm Child Development And Learning Center	http://		EIN 27-2366283	405 Hearne Ave	Shreveport	LA	71103	USA	Human Service Organizations							
Extreme Missionary Adventures	http://www.xmaonline.com	318-728-6346	EIN 72-1347807	16 Pierce Rd	Rayville	LA	71269	USA	Christianity, International, International Development, Neighborhood Centers, Protestant, Religion	At our core, XMA is about experiential missions  about helping American Christians obey Gods desire for us to take the Gospel to all nations.  As Jesus tells us in John 15:16, You did not choose Me, but I chose you.  I appointed you that you should go out and produce fruit  You have heard Gods call and we can help you answer that call.  Our volunteers share the love of Jesus with overlooked people in remote locations around our world and help with human needs such as medical, dental, clean water, construction, educational and other basic needs.  Our lives have been changed for the better by what Christ did for us.  We now want to help others with their physical needs but more importantly to show them how they can have lasting peace in their lives.   God has put within each of us a desire for excitement, a need to rise above the mere everyday existence, a passion for adventure.  We might suppress the burning urgency of this passion so that all that is left is a small glowing ember.  Or we may try to satisfy this need with vicarious, second hand adventure such as Facebook and YouTube.  But that God-given desire is still there.  It is still part of our basic make up.  Its part of our DNA.  God has also given each of us a purpose.   We are here for more than to just get all we can get.  Each of us have God-given talents and skills  evangelism, medical, teaching, prayer, listening and caring.  Our purpose and true satisfaction is found in using our unique gifts to help others, especially those who are not able to help themselves, those trapped in systems of spiritual darkness, poverty, and injustice..  XMAs calling is to combine these two often suppressed life needs into an Adventure with a Purpose.  On an extreme missionary adventure youll get all of the adventure you want but its not just adventure for adventures sake. Its an adventure with a purpose.  It could be preaching or showing an evangelistic film to the unreached, showing love to abandoned children in a small village orphanage in Honduras, a medical/dental team working in villages along an Amazon tributary in the Peruvian jungle, giving educational assistance to a pastor or teacher in a remote village in the mountains of Asia, or maybe helping rural Central Americans improve their standard of living with farm assistance projects.  Most importantly, through all of these and other activities, showing others how Jesus can give purpose, peace and meaning to their lives.	Worldwide					
H O P E Ministry Of Pointe Coupee	http://		EIN 72-1350536	Po Box 45	New Roads	LA	70760	USA	Domestic Violence, Emergency Assistance, Family Violence Shelters, Homeless & Housing, Human Service Organizations, Human Services	HOPE Ministry originated in 1995, when a group of local church pastors asked community leaders to join them in forming an organization that would provide coordinated assistance to the people who came to them for help. HOPE's programs are designed to meet immediate needs and to work on solving the underlying problems that create the needs. HOPE's mission is defined as meeting the needs of the community as they are expressed by its members at their initial point of need.  HOPE Ministry takes a holistic approach to problem-solving, including the physical, emotional and spiritual dimensions.						
Children and Arthritis	http://www.ChildrennAndArthritis.org	(318) 635-5682	EIN 72-1170530	2751 Albert Bicknell Drive Ste 2E	Shreveport	LA	71103	USA	Arthritis, Health	Children and Arthritis provides information and support to families with children who suffer from arthritis and other autoimmune diseases. Through our opportunities for education, encouragement and enjoyment, families discover ways to alleviate the frustrations of chronic illness.	the Southern United States	Jambalaya Jubilee, our annual camp.	children with arthritis and their families	over 300 children with arthritis, their siblings, and parents		
Hope Extreme Inc	http://		EIN 20-5871523	Po Box 936	Bourg	LA	70343	USA	Children & Youth, Youth Development Programs							
Agnes Hageman Trust 27074-3	http://		EIN 74-6044100	Po Box 61540	New Orleans	LA	70161	USA								
Louisiana Hayride Foundation Inc	http://		EIN 72-1355639	333 Texas Ave Suite 899	Shreveport	LA	71101	USA	Arts & Culture, Cultural & Ethnic Awareness							
GULF SOUTH LEADERSHIP INSTITUTE	http://www.legacy.gs-li.org		EIN 80-0297940	1290 Seventh Street Suite 5	Slidell	LA	70458	USA	Adult Education, Christianity, Economic Development, Education, Protestant, Religion, Urban & Community Economic Development		Greater New Orleans	Youth Career Mentoring, and Youth Workforce Readiness - specific to junior high and high school students.	youth and young adults	98 junior high and high school students and 69 households		
United States Power Squadrons	http://		EIN 72-6033347	333 Rossitter St	Shreveport	LA	71105	USA								
SHINE YOUR LIGHT INC	http://	(504) 309-6725	EIN 56-2672232	8311 Oak St Jill Donaldson and Margaret Bruzdzinski	New Orleans	LA	70118	USA	Education, Scholarships, Scholarships & Student Financial Aid	To provide christmas presents, clothes and meals for children of families in need.	South Louisiana	We adopt families for Christmas.  We ask local principals to recommend families to us where the parents are down on their luck for one reason or another but the parents are involved in their children's lives in a positive role.   We surprise these children by giving them an amazing Christmas complete with toys and clothes.  Sometimes we even get furniture for the families.	Families that are down on their luck	We helped over 50 children in the New Orleans, Slidell and Mandeville area celebrate a special Christmas.		
Alzheimer's Services of the Capital Area, Inc.	http://www.alzbr.org	225-334-7494	EIN 72-1082047	3772 North Blvd	Baton Rouge	LA	70806	USA	Alzheimers Disease, Health	The mission of Alzheimer''s Services of the Capital Area is to make a significant difference in the lives of those coping with Alzheimer''s disease in the community.	Baton Rouge, Louisiana	Alzheimer's Services of the Capital Area offers the following services: information and referral assistance, caregiver support groups,lending library, free educational materials, caregiver respite, monthly caregiver education, quarterly newsletter, family & caregiver consultation, education & support for individuals diagnosed with dementia, social opportunities for caregivers & patients, Safe Return registration, and ongoing training and annual conference for health care professionals.	teach, care for, and connect with those in our community affected by Alzheimers disease and other memory-related impairments.			
Wounded War Heroes of America	http://woundedwarheroes.org	(985) 960-1471	EIN 27-0794499	12360 Mill House Dr	Gonzales	LA	70734	USA		To provide benefits and activities for wounded war veterans.		To provide events and activities for wounded war heroes.				
River City Repertory Theatre	http://www.rivercityrep.org	(318) 868-5888	EIN 20-2784416	2829 Youree Dr Ste 4	Shreveport	LA	71104	USA	Arts & Culture, Theater	Operation of a professional theatre to contribute to the local growing culture economy by staging equity theatrical productions sanctioned by actors' equity, with the aim to provide opportunities for professional development of local actors, designers, and technicians.		The organization staged four theatrical productions, attendance for all four productions totaled 831 people				
Junior Achievement of North Louisiana	http://	318-861-5998	EIN 	3825 Gilbert Drive	Shreveport	LA	71104	USA		Junior Achievement (JA) inspires and prepares young people to succeed in a global economy. JA programs, facilitated by JA-trained volunteers, incorporate hands-on learning about financial literacy, work readiness and entrepreneurship while encouraging students to stay in school and to reach their boundless potential.	North Louisiana					
Love Thy Neighbor Ministries Of Springhill Inc	http://		EIN 58-1984680	105 1st St Se	Springhill	LA	71075	USA	Emergency Assistance, Human Services							
Toughlove International	http://		EIN 72-1335479	PO Box 24	Eunice	LA	70535	USA								
Southern United States Trade Association Susta	http://www.susta.org	(504) 568-5986	EIN 72-0767213	701 Poydras St Ste 3845	New Orleans	LA	70139	USA		Development of cooperative programs designed to increase the export of high value food and agricultural products.		Market access program(map) brand program- the map brand was designed for small businesses that desire financial support to launch a new branded export effort. For accepted participants susta reimburses up to 50% of certain international marketing and and promotion expenses, including eligible trade shows, in-store displays, and required label changes. For the fiscal year ended september 30, 2014 susta worked with 108 companies. These companies generated $218,518,752 in export sales through the brand program.   generic program- 38 events were held with 421 companies participating utilizing $2,793,312 of generic program funds generating $37,084,831 of export sales.   education outreach measures- 36 outreach seminars and events were conducted reaching out to 1,108 companies. New success stories totalled 80.				
Gulf Restoration Network	http://www.healthygulf.org	(504) 525-1528	EIN 72-1447742	PO  Box 2245	New Orleans	LA	70176	USA	Environment	Gulf Restoration Network (GRN) is a 16 year old environmental advocacy organization that works to unite and empower people to protect and restore the natural resources of the Gulf of Mexico region.   With an exclusive focus on the ecological health of the Gulf Coast, GRN quickly mobilized resources to respond to the 2005 hurricanes and 2010 BP oil drilling disaster.    GRN continues to fight for clean flowing waters, healthy coastal areas, and vibrant offshore ecosystems that are essential to resilient communities and healthy wildlife in the region.	Gulf of Mexico region	Gulf future campaign: the organization independently monitors and assesses the bp/federal government clean up, containment and restoration efforts in the face of the bp drilling disaster through boat excursions and seaplane flights; coordinates a collaborative "gulf future" campaign focused on ensuring ecosystem and coastal community restoration, and works to establish a robust public participation process to make the industry safer and more transparent and accountable to impacted communities.   water resources: the organization works to improve water quality by identifying pollution issues and providing technical assistance, training, and mentoring to numerous communities faced with pollution, as well to improve the development and implementation of watershed and coastal wetlands restoration plans and to prevent damaging projects that destroy wetlands and/or inpact water quality. The organization also works closely with citizen activists, providing frequent updates and action alerts, b  coastal rebuilding: the organization works to build an active and engaged national constituency to support natural storm protection and restoration efforts for the gulf coast region and is an advocate for the establishment of multiple coastal lines of defense to build resiliency and protect communities placed at risk due to the continuing loss of coastal wetlands and increasing sea levels.				
PILOT CLUB OF DENHAM SPRINGS LOUISIANA FOUNDATION	http://www.pilotclubds.org	225-304-6225	EIN 38-3739326	30999 Barnett Ln	Denham Spgs	LA	70726	USA	Community Service Clubs, Mental Health	To serve by furthering Pilot International's humanitarian efforts through charitable, educational, and research programs in communities throughout the world.	Livingston Parish	Pilots service focus involves promoting awareness of brain-related disorders, and helping those affected through volunteer activities, education, and financial support. Pilot works closely with national and international organizations that support this focus, including the National Organization on Disability, American Heart Association, Dana Alliance for Brain Initiatives, Alzheimers Association, Project Lifesaver and The Brain Injury Association.	the youth and elderly		- Completion of Kidz Korner Playland - Planning on Challengers' Ball Field	
Radio Bible Courses Ltd	http://	(225) 205-4473	EIN 58-1716780	12205 Lake Sherwood Ave S	Baton Rouge	LA	70816	USA		Present a program of bible study to the general public through radio media and in a live class setting.		Broadcast daily bible teaching on two radio stations  conduct weekly bible lectures on lsu campus  support of world missions				
ONE TRUE VINE OUTREACH MINISTRIES INCORPORATED	http://	225-778-5069	EIN 72-1248114	4343 Denham Street, Community Service Room Post Office Box 73295	Baton Rouge	LA	70805	USA	Protestant, Religion	To reach out to those who are lost and do not know Jesus Christ, Lord and Savior in a personal relationship.  It is our purpose to bring them to Christ.  Our motto is:  R U SAVED?	Infinite	Youth Leadership, Women's Outreach, International Mission Outreach & Education, Couples Ministry	Low income families around the world; children with sickle cell anemia or cancer, ages 0 - 17. international families that are in a disaster area.	100	Because of my illness, we did not spent a great deal of time on dundraising; however we have  501(c)(3) status and any donation, large or small is tax deductible.	
Bluetails	http://www.bluetails.org	504-617-8397	EIN 47-4352861	4212 Ames Blvd	Marrero	LA	70072	USA	Animal Protection & Welfare, Animals	Our Approach is Simple... Bring the best of both worlds together. Many pets today are adopted from shelters and rescue organizations. What better way to complete the circle,and have your pet pampered and cared for by us, which gives a second chance to another neglected or unwanted animal.  By providing Pet Care Services, that we enjoy doing , we in turn fund a a mission we are passionate about... Rescue.   We are dedicated to rescuing dogs left homeless for whatever reason  animals in public shelters where they are at high risk of euthanasia due to pet overpopulation, pets given up by their owners because of difficult circumstances, and those in danger of abuse or neglect.  We place dogs and cats in loving, responsible, committed permanent homes, following a comprehensive adoption process which includes taking considerable care in finding good matches and educating prospective adopters about the responsibilities and costs of bringing a pet into their homes and lives.  Animals in our care are spayed or neutered, receive all appropriate veterinary care and treatment, and placed in nurturing foster homes while they await placement in their permanent homes.   Our group remains interested in and committed to the welfare of the animal beyond the adoption process.  Finally, we strive to work with area shelters and other rescue and humane organizations to develop a network of supporters and volunteers in order to create a better world for homeless pets..	The Greater New Orleans Area and surrounding parishes	rehabilitation and socialization, medical and adoption	Louisiana dogs and cats			
H H S Dugout Club	http://	(985) 331-2766	EIN 72-1234812	Po Box 326	Boutte	LA	70039	USA		Provide moral, physical and financial support to hhs baseball & softball programs						
St. Michael Lutheran Church	http://		EIN 72-1230960	PO Box 26516	New Orleans	LA	70186	USA								
FACSA Foundation	http://facsasavethechildren.com	318-539-2571	EIN 26-3280565	505 South Street	Springhill	LA	71075	USA	Personal Social Services	We provide education and prevention services of child sexual assault, through programs like the FACSA Defense Program, Good Touch Bad Touch Program, Kid's SAfe ID Kits, and SART, neglect decreases lifelong adversemedical and emotional consequences for children and promotes their well being. It also reduces the costs of human services, delinquency and criminal justice services, and the loss of work productivity. We believe that our mission is best achieved by ensuring a childs right to achieve his or her full potential; and to prevent abuse and neglect before it happens.	State of Louisiana; and the USA	FACSA Defense Program; SART Program; Good Touch Bad Touch Program; Kid's Safe ID Kit's Program; Crisis Intervention; Support Groups; Child Sexual Assault Prevention/Education across our communities, our state, and our nation.	all ages; any race, religion, or nationality	everyone we are able to help in our schools,churches,    community organizations, and    businesses across our state	We raised funds to buy camera and other equipment for our Kid's Safe ID Kit Program. Now we are raising funds for our FACSA Defense Program, SART Program, and funds for the FACSA Foundation	
Boys Hope Girls Hope	http://www.bhghnola.org		EIN 72-0905785	Po Box 19307	New Orleans	LA	70179	USA	Group Homes	Our Statement of Values Founded on the belief that a loving God cares about the life of every individual, Boys Hope Girls Hope acts in accordance with the following values:  Education is critical to reaching one''s full potential. Spirituality and an active faith-life are essential elements of healthy personal development.  Children have the capacity to transcend their circumstances if given a safe environment, opportunities, and loving support. Integrity, honesty, respect, a willingness to love, and service to others are important measures of personal success.  Individuals are responsible for their destinies and actions, and all children deserve the guidance, support and opportunities to choose a path to reaching their full potential.  Respect for the dignity, value, unique perspectives, and talents of every individual is the foundation of positive social and emotional development, as well as strong and vibrant communities.		Our major operating programs include two residential facilities that include a maximum number of eight residents per home not including three full time residential staff and/or volunteers.  The children and full care for them (including food, clothing, shelter, education, and support) are the main beneficiaries of Boys Hope Girls Hope.  We also care for the residents through college graduation and prior to admission.				
National Performance Network Inc	http://www.npnweb.org	(504) 595-8008	EIN 06-1522546	1024 Elysian Fields Ave	New Orleans	LA	70117	USA	Arts & Culture, Management & Technical Assistance	The national performance network is a group of diverse cultural organizers, including artists, working to create meaningful partnerships and to provide leadership that enables the practice and public experience of the arts in the united states.		The residency program directly fosters community engagement by subsidizing one and two week residencies by performing and visual artists at npn partner sites. Residency activities take place in a variety of settings and bring artists and their creative tools to new constituencies and audiences.   the creation fund provides direct support to artists for the research and development of new performance works.   the national performance network convenes the npn/van partners and artists at an annual meeting and five mid-year meetings. The annual meeting includes performance and exhibition showcases, workshops, video screenings, performance showcases and artists' discussion groups. The five mid-year meetings include a partners meeting and a workshop for local artists.				
Livingston Association For Retarded Citizens Inc	http://	(225) 664-7384	EIN 72-0693167	10494 Florida Blvd	Walker	LA	70785	USA	Developmentally Disabled Centers, Disabilities, Human Service Organizations, Human Services, Job Training	Providing work programs for adult developmentally disabled citizens.		Providing day services and occupational therapy to challenged citizens. The program operates on a fiscal year basis and is open for 240 days each year.				
Community Center Carnival Club Inc	http://		EIN 72-1238888	PO Box 44	New Roads	LA	70760	USA	Public & Societal Benefit							
Bishop Noland Episcopal Day School Fund	http://		EIN 58-1693104	803 Division St	Lake Charles	LA	70601	USA								
Big Dreamers Youth Foundation	http://Bigdreamersyouth.wix.com/bdyc		EIN 		Thibodaux	LA	70301	USA								
Louisiana Symphony Association	http://www.brso.org	(225) 383-0500	EIN 72-6001959	7330 Highland Road	Baton Rouge	LA	70808	USA		The mission of the Baton Rouge Symphony Orchestra is to develop and maintain a financially sound, first-class symphony orchestra with a regional and national profile which will provide education and cultural enrichment for the people of Baton Rouge region and neighboring communities.	Baton Rouge Area and surrounding parishes	To provide performance of classical & pops symphony music (masterworks & pops)  to provide performance of classical chamber music.   to provide educational performances on classical music.		Direct beneficiaries are the Patrons of the BRSO (very diverse demographics), local school children (5000+) who attend our Young Peoples Music Discovery Programs.		
JUST THE RIGHT ATTITUDE	http://www.jtra.org/	(504) 309-2492	EIN 72-1446982	13150 I 10 Service Road	NEW ORLEANS	LA	70128	USA	Centers to Support the Independence of Specific Populations, Human Services	A GREAT CAUSE NOT JUST BECAUSE ,BUT FOR A CAUSE ! http://www.jtra.org/index.htm  My fellow bloggers and net heads this is a call to the masses, there is a very honorable cause going on in New Orleans That is doing some really great work that should be commended and applauded. (JTRA) is a charitable Organization/food bank that is going above and beyond it's duty to help the citizens in the New Orleans and surrounding area's, and I would like you to take a few minutes out of your busy schedule and take a look at some of the great work their doing. The site is located at: http://www.jtra.org/index.htm                    WHAT WE DO - THE NUMBERS: JTRA' s  Kitchen serves hot lunches to the community free of charge since they are still trying to rebuild , and get their homes , and lives together.  In 2007 JTRA distributed 4.187 million pounds of food.   We distributed groceries to 252,194 families for a total 517,800 individuals.  We cooked and served 127,181 hot meals in 2007.	NEW ORLEANS  ANE SURROUNDING AREAS	For the year ended december 31 2014, the organization served 8,756 unduplicated hot meals on site per day. We delivered 546 unduplicated meals to senior citizens complexes per day. There are 6 such complexes. We also feed and deliver 2000 homeless individuals per month.				
Hub City Rifle & Pistol Club	http://		EIN 72-0916117	102 N Mannering Ave	Lafayette	LA	70508	USA	Fishing & Hunting, Sports	THE ENCOURAGEMENT OF ORGANIZED RIFLE AND PISTOL SHOOTING, WITH A VIEW TOWARDS A BETTER KNOWLEDGE OF THE SAFE HANDLING AND PROPER CARE OF FIREARMS						
Villalobos Rescue Center Pets in the Hood Inc	http://www.VRCPitBull.com	(818) 700-1236	EIN 95-4734932	Po Box 771127	New Orleans	LA	70177	USA	Animal Protection & Welfare, Animals, Crime & Law, Wildlife Sanctuaries	Through the animal planet television show "pitbulls and parolees" villalobos demonstrates how they rehabilitate pitbulls to make them members of society.		The television show pitbulls and parolees has made many people aware of how pitbulls can be rehabilitated.				
Animal Welfare Inc	http://		EIN 72-0875470	2069 Pepper Ridge Dr	Shreveport	LA	71115	USA	Animal Protection & Welfare, Animals							
Yale Alumni Association Of Louisiana Term	http://		EIN 72-6033671	228 St Charles Ave Ste 1028	New Orleans	LA	70130	USA								
Christian Community Action Inc	http://	(318) 251-3282	EIN 72-1161498	108 S Bonner St	Ruston	LA	71270	USA	Emergency Assistance, Human Services	To address and meet crisis or emergency needs in lincoln parish, louisiana for food, clothing, and financial assistance for utility bills and prescriptions. Additionally, funds are made available for lodging, meals, fuel/transportation costs for transients.		Provided food/clothing and financial assistance to indigents. Number of times families were assisted during the period was 2,323.				
House Of Ruth Inc	http://		EIN 58-1766752	1111 Newton St	New Orleans	LA	70114	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations							
River Cities Humane Society For Cats	http://	(318) 322-4265	EIN 58-1867980	5302 Desiard St	Monroe	LA	71203	USA	Animal Protection & Welfare, Animals	Provide relief and adaption for approx 375 cats and kittens. To families for a nominal fee.		Provide relief and adaption for cats and kittens. Cats are rescued and accepted kittens. Cats are rescued and accepted from individuals and given free medical treatment spaying and neutering and adaption				
Survivors Through Faith Inc	http://		EIN 35-2319391	44104 S Airport Rd	Hammond	LA	70403	USA	Cancer							
St Luke Assembly Of God	http://		EIN 20-5879185	2201 Franklin Ave	New Orleans	LA	70117	USA								
Angels Learning Academy Inc	http://		EIN 72-1330199	53364 Cyprian Rd	Loranger	LA	70446	USA	Child Day Care, Children & Youth							
The Centennial Culture Center Inc	http://		EIN 72-1318799	Po Box 896	Olla	LA	71465	USA	Arts & Culture, Arts & Humanities Councils & Agencies							
Community Works Of Louisiana	http://	(504) 522-2667	EIN 26-4472656	3900 Gen Taylor Suite 206	New Orleans	LA	70125	USA	Arts & Culture, Arts Education	Community works of louisiana, inc seeks to support, promote and advance education for the benefit of youth in louisiana.		Community works of louisiana, inc upholds its mission by providing schools and organizations with comprehensive program management with an enrichment component for their after school and summer programs.				
Counterpoint Ministries Inc	http://		EIN 72-1371980	PO Box 5968	Shreveport	LA	71135	USA	Protestant, Religion							
Spirit Of Cheyenne	http://	(225) 261-1721	EIN 72-1460312	Po Box 592	Greenwel Spgs	LA	70739	USA	Animal Protection & Welfare, Animals	Spay & neutering of animals		Spay and neuter				
Animal Rescue New Orleans Inc	http://www.animalrescueneworleans.org	(504) 717-0614	EIN 51-0569173	271 Plauche Street	New Orleans	LA	70123	USA	Animal Protection & Welfare, Animals	Established as animal first responders at Katrina, our mission is to provide no-kill shelter and medical treatment to the homeless cats and dogs of the street and the storms. We intake the too young, too old, injured and/or sick that could not survive otherwise. We promote spay/neuter of all companion animals and promote no-kill options within our region.		 Pet Retention Program to help low income persons retain and maintain their pets  Feral Dog Rehab Program  Foster Program  Hospice Foster Program providing senior pets and/or pets with manageable and treatable diseases a loving home without the worry of veterinary costs that are paid for by our org.;  Volunteer Program Trapping Program for feral cats to TNR (trap, neuter, return), at no cost to public			Over 7400 healthy companion cats and dogs placed in loving, pre-screened homes. We successfully fundraise to keep our no-kill shelter running and financially healthy.	
Marian Central Catholic Middle School	http://		EIN 72-1328399	2221 Mendez St	New Orleans	LA	70122	USA								
Housing Authority Of New Orleans Resident Loan Corporation	http://		EIN 72-1245470	4100 Touro	New Orleans	LA	70122	USA	Homeless & Housing, Housing Support							
Psi Chi The National Honor Society In Psychology	http://www.psichi.org		EIN 52-1538340	1140 College Dr	Pineville	LA	71360	USA	Mental Health, Mental Health & Crisis Intervention	Psi Chi is the National Honor Society in Psychology, founded in 1929 for the purposes of encouraging, stimulating, and maintaining excellence in scholarship, and advancing the science of psychology. Membership is open to graduate and undergraduate men and women who are making the study of psychology one of their major interests, and who meet the minimum qualifications. Psi Chi is a member of the Association of College Honor Societies and is an affiliate of the American Psychological Association and the American Psychological Society.						
Upward Community Services Inc	http://	(985) 893-5880	EIN 72-1337783	1148 N Columbia St	Covington	LA	70433	USA	Mental Health, Mental Health Treatment	To improve the lives of the working poor in washington and st tammany parish by giving them the opportunity ans exposure needed to break the cycle of poverty, crime, neglect and substance abuse.		The entity provides eight weeks of summer camps caters to at risk children. We host an average of 100 children that learn arts and crafts, bible study, character building, conflict resolution swimming and other outdoor activities. The children are two hot meals and a snack during the day. Our teen councelors are given job, resume and interview training as well as a college tour at the end of the summer.   our drug and alcohol rehabilitation program services an average of 60 men each year. Of this number, approxiamately 15 will complete the program and graduate. Enrollees are taught tools to overcome their addictions in daily classes as well as participate in rewarding work activites. This program is instrumental in helping men be restored to their family with new hope.   our after school homework assistance and mentoring program serves an average of 25 children per day during the school year. The childrenare provided after school snacks, homework assistance and tutoring in weak subject areas as well as other various enrichment activites.				
Aspirations Wholistic Tutorial Services	http://		EIN 71-0944114	3966 Lanier Dr	Baton Rouge	LA	70814	USA								
St James Episcopal Housing Development Corporation Inc	http://		EIN 58-1979976	1620 Murray St	Alexandria	LA	71301	USA	Protestant, Religion							
Cest La Vie Center Corporation	http://promptsuccor.com/independent/independentli	(337) 948-3634	EIN 72-6029531	960 E Prudhomme Street	Opelousas	LA	70570	USA	Homeless & Housing, Housing Development, Construction & Management	Provide elderly and handicapped persons with housing		Provide elderly and handicapped persons with housing				
First Baptist Church Colored Inc Cullen Louisiana	http://		EIN 58-1744272	1008 Parish Road	Cullen	LA	71021	USA								
Lush Charter School Parent-Teacher- Student Association Ptsa	http://	(504) 865-5930	EIN 72-0951204	7315 Willow St	New Orleans	LA	70118	USA	Education, Parent & Teacher Groups	To provide continuing support to advocates for arts-based education corporation d/b/a lusher charter school (formerly named robert mills lusher alternative elementary school)		To provide continuing support to advocates for arts-based education corporation d/b/a lusher charter school (formerly named robert mills lusher alternative elementary school)				
Katog Choling	http://		EIN 20-1020772	Po Box 53753	Lafayette	LA	70505	USA	Buddhism, Religion	To provide teachings and empowerments for persons studying or interested in Buddhist philosophy and practice.						
Maison Desprit Of Lafayette Inc	http://	(337) 233-9577	EIN 58-2021964	Po Box 62190	Lafayette	LA	70596	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing	The organization provides low income housing on a non-profit basis pursuant to section 222 (b) (3) of the national housing act.		The organization provides low income housing on a non-profit basis pursuant to section 222 (b) (3) of the national housing act.				
St Michaels Home For Aspirant And Student	http://		EIN 58-1847640	2305 Choctaw Dr	Baton Rouge	LA	70805	USA	Unknown							
Sistaz With Faith	http://www.sistazwithfaith.org	225-636-3833	EIN 80-0473670	1762 St. Croix Ave.	Baton Rouge	LA	70810	USA	Cancer	*Pray for miracles *Hope for a cure *Pay it forward	USA	hope bags, phone support & motivational speaking	educate about breast cancer awareness	The Baton Rouge area		
Friends Of Delta Playground Inc	http://		EIN 58-2014296	8301 W Metairie Ave	Metairie	LA	70003	USA	Sports							
Waggin Tails Ranch	http://		EIN 77-0683266	1086 Mosswood Rd	Choudrant	LA	71227	USA	Animal Protection & Welfare, Animals							
Family Service Of Greater Baton Rouge	http://www.fsgbr.org	(225) 924-0123	EIN 72-0491100	4727 Revere Ave	Baton Rouge	LA	70808	USA		To support and strengthen the lives of children, individuals and families through direct services and positive social actions		The hiv center helps clients access services, resources, and programs that enhance health and well-being. Services include hiv testing, hiv peer prevention, case management, support groups, counseling, health/treatment education, transportation, childcare, and financial assistance toward rent, mortgage payments, utilities, medication, and eye and dental care.   the parenting center promotes healthy family development by providing ongoing workshops, consultations and classes to help parents increase their knowledge, skills and decision making in the important role of effective parenting. The program offers parenting classes and professional workshops for parents, teachers and community groups focused on child development, strategies for effective parenting and a variety of classes that teach proactive methods to promote healthy social emotional growth in children.   the child and family counseling center provides clinical services to children, individuals and families who need help in finding solutions to a wide range of emotional, behavioral and relationship problems. We have trained experts in alcohol/drug abuse issues, parenting issues, and family conflict/violence issues. Services are offered on sliding fee scale without excluding anyone due to income.				
Cancer Services Of Greater Baton Rouge	http://www.cancerservices.org	(225) 927-2273	EIN 72-0517180	550 Lobdell Ave	Baton Rouge	LA	70806	USA	Cancer, Human Service Organizations, Personal Social Services	To improve life for those living with cancer.		Direct assistance program - to provide financial services, equipment and supplies that bring help and hope to more than five thousand indivduals affected by cancer in our community each year.   support program - to provide emotional and educational services to almost two thousand individuals affected by cancer in our community each year.				
Greater Opelousa Mental Health Association Inc	http://		EIN 58-1824744	1044 Crouchet St	Opelousas	LA	70570	USA								
K Edward Popleon Foundation	http://		EIN 72-1272240	1414 Sora St	Baton Rouge	LA	70807	USA	Adult Day Care, Human Services							
