name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
Council On American-Islamic Relations Cair Seattle Chapter	http://www.cairseattle.org	(206) 367-4081	EIN 68-0547353	316 Maynard Ave S Ste 112	Seattle	WA	98104	USA	Human Service Organizations	Cair's mission is to enhance understanding				Civil rights defense: in 2014, cair-wa: *processed over 400 complaints received by our office during 2014 from local community members *delivered over 30 brief 'know your rights' announcements reaching live audiences of over 10,000 local muslim community members *secured federal prosecution and sentencing of hate-motivated attacker of local sikh american man  community empowerment: in 2014, cair-wa: muslim youth leadership program(learn more at www. Cairseattle. Org/mylp) *our 2014 muslim youth leadership program (mylp) provided over 40 students, and each of their parents, an opportunity to meet with over 30 executives at seattles top law firms, public relations firms, and media outlets, as well as with political leaders and top law enforcement officials. *connected at least 5 of these students with summer internships in political and media outlets for  public education: responsive media engagement (learn more at www. Cairseattle. Org/seattletimes) *released report analyzing coverage during 2012 by the seattle times of islam and muslims *held meetings with editors of the seattle times and other major media outlets to discuss findings and recommendations. *worked continuously with editors as well as with community members, leading to discussions among editors around the labels, terms, and context used in coverage of islam and muslims, resulting in  coalition building we continue to build upon our current group of over we continue to build upon our current group of over we continue to build upon our current group of over we continue to build upon our current group of over we continue to build upon our current group of over								
Post-Prison Education Program	http://www.postprisonedu.org	(206) 524-3333	EIN 20-4841958	810 3rd Ave Ste 180	Seattle	WA	98104	USA	Crime & Law, Inmate Support, Rehabilitation Services for Offenders	Providing prisoners and former prisoners with assistance post prison in the form of tuition, housing and support to decrease recidivism rates				The post-prison education program provides access to education and unwavering support through wrap around services including tuition, housing, groceries, daycare and intensive mentoring. The program's innovative approach provides extensive outreach in prisons and intensive support post-release. Currently, our rate of recidivism is less than 2%, which is a testament to our proven methods. The program only admits individuals who are at significant risk of recidivating based on their extensive prison sentences. The post-prison education program fights to create hope where there is none through inspiring presentations inside prisons and intensive support upon release.								
Compass Housing Alliance	http://www.compasshousingalliance.org	(206) 357-3100	EIN 91-0578229	77 S Washington St	Seattle	WA	98104	USA	Homeless & Housing, Homeless Centers, Homeless Shelters	The Compass Center was founded in 1920 to serve sailors & loggers headquartered in Seattle. After several transitions, the center is now a social services agency serving the homeless population.  By starting with basic needs, food, a safe place to sleep, people are given a chance to achieve a life of stability, security and independence.  Clients are offered one-on-one case management to address issues and to help each client to set and achieve goals.	homeless and low-income adults and families		Seattle and King County	Banking and mailing services, hygiene facilities, overnight emergency shelter, transitional housing, permanent affordable housing, eviction prevention, housing for veterans.								
THE INSTITUTE FOR SELF RELIANT AGRICULTURE	http://www.Feedtheworld.org	801-808-0603	EIN 27-1213552	718 Griffin Ave 26	Enumclaw	WA	98022	USA	International, International Relief	The Institute for Self-Reliant Agriculture (SRA) The Institute for Self-Reliant Agriculture (SRA) is a nonprofit organization that brings self-sufficiency to people in the developing world. We teach families how to grow what they eat, providing balanced nutrition through implementation of a small-scale agriculture model.	Families with children under 5 years old		South America, Africa	We currently have programs in Ecuador, Peru and Kenya. We have been invited to Guatemala, Malawi, and Zambia.	We have reduced malnutrition levels by over 50% in some of our projects in just one year.							
Cancer Patient Care Of Spokane County	http://www.cancerpatientcare.org	(509) 456-0446	EIN 91-6055019	1507 East Sprague Avenue	Spokane	WA	99202	USA	Cancer	To provide social service support to cancer patients and their families in our region who have limited financial resources.				Cancer patient care provides critical services including emergency funds for prescriptions, food, utilities, mammograms, transportation and medical supplies and equipment benefitting over 4,500 cancer patients and family members.								
Answer For Youth	http://www.theanswer4youth.org	(360) 670-4363	EIN 26-4089958	Po Box 633	Port Angeles	WA	98362	USA	Human Service Organizations	The answer for youth is a volunteer based, charitable, community centered, barrier free, at risk and homeless youth outreach center.				The answer for youth is a volunteer based, charitable, community centered, barrier free, at risk and homeless youth outreach center.								
Colfax Thrifty Grandmothers	http://	(509) 397-4661	EIN 26-0335623	Po Box 718	Colfax	WA	99111	USA	Corporate Foundations, Philanthropy	Raising money by selling donated items to give money to other charitable organizations and needy individuals				Raising money by selling donated items to give to other charitable organizations and needy individuals								
United Way of Snohomish County	http://www.uwsc.org	425-374-5500	EIN 91-0606507	3120 McDougall Ave. Ste  200	Everett	WA	98201	USA	Employment, Federated Giving Programs, Human Services, Job Training, Mental Health, Mental Health & Crisis Intervention, Philanthropy	United Way of Snohomish County is leading community change to improve people's lives in Snohomish County by focusing on the building blocks for a better life: successful kids, financially stable families and healthy communities. Founded in Everett, WA in 1940, our local United Way leads the community by bringing every sector together as a caring force to create change by giving, advocating and volunteering.	Infant, toddlers and preschoolers for school readiness; middle school youth and at-risk teens; low-income families; seniors and those with disabilities; recent immigrants.	300,000 plus.		Education - early learning and middle school achievement Financial Stability - free tax preparation; financial education; matched savings accounts; connecting people to benefits and savings Community Engagement - volunteer matching and training, providing connections to community resources	Over 3,000 children prepared to start school ready to succeed, 1000 adults trained to help youth; $7 million in tax refunds through free tax preparation for low-income working families, and millions each year in grants to organizations serving all aspects of health and human service needs in North Puget Sound.							
People Helping Horses	http://www.peoplehelpinghorses.org	360-435-9393	EIN 68-0513133	24717 43rd Ave Ne	Arlington	WA	98223	USA	Animal Protection & Welfare, Animals, Developmentally Disabled Centers, Disabilities	The power of one is considerable, while the power of many, united in passion and belief, is unstoppable!  Join us in our passion and efforts; with your help and support, you too can Change the Life of a Horse... FOREVER!				Rescue and rehabiliation - the organization provides rehabilitation and adoption services for abused and neglected horses.   education- the organization hosted several horse care and training education seminars.								
Safe Harbor Free Clinic	http://www.safeharborfreeclinic.org	425-870-7384	EIN 26-3825107	9631 269th St. NW PO Box 741	Stanwood	WA	98292	USA	Community Clinics, Health	To provide quality and respectful free healthcare and referral services to address physical, spiritual, and emotional needs in a safe and welcoming environment.			North West Washington	Walk in clinic every Friday night beginning at 6pm, Chronic Care clinic addressing the needs of those with diabetes, high blood pressure, thyroid and cholesterol issues on 1st & 3rd Friday of the month, Foot care on the 2nd Friday and Women's Health care on the 4th Friday of the month	We have expanded several of our programs to meet the needs of the community.  Access to healthcare is an issue in our area and we continue to expand services to try to bridge that gap.							
Abused Deaf Womens Advocacy Services	http://www.adwas.org	(206) 922-7088	EIN 91-1339173	8623 Roosevelt Way Ne	Seattle	WA	98115	USA	Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Human Services, Protection Against Abuse, Temporary Housing, Victims Services	Founded in 1986, the mission of ADWAS is to:- Address the needs of Deaf and Deaf-Blind victims of domestic violence and sexual assault.- Ensure that all the services victims need are fully accessible to them.- Provide professional, community education training, and consultation on Deaf culture, Deaf and Deaf-Blind victims'' needs, and domestic violence and sexual assault to professionals, hearing adults, lay people, children, youth, and members of the Deaf and Deaf-Blind communities.				Direct Service ProgramEducation/Training Program								
Youthnet	http://www.youthnetnw.net	(360) 336-1610	EIN 91-0850397	Po Box 217	Mount Vernon	WA	98273	USA	Children & Youth, Children & Youth Services, Education, Special Education, Youth Development Programs	Youthnet's mission is to provide caring and supportive educational and social services to youth and families to help them attain a productive and successful life. Founded in 1969, the agency has grown from a single group home to multiple programs across five counties in northwest washington. The agency specializes in meeting the needs of underserved at-risk youth and families. Youthnet's primary programs focus on foster care, alternative high school education, independent living skills training and parenting education. All of youthnet's programs promote the development of client confidence and competence to promote personal resilience and self-sufficiency. Youthnet utilizes evidence based practices and the effectiveness of youthnet's approach has been independently evaluated as effective in achieving results. The agency has been has received repeated recognition for its outstanding services.				Youthnet provides a secondary education program (emerson high school) that is an alternative to conventional public high school. Emerson serves students from multiple school districts. The program serves a significant number of youth at-risk of school failure due to homelessness, poverty, pregnancy, family violence, substance abuse, mental health, or other issues. Were it not for the program, many of the students would never be able to complete high school. It provides personalized instruction, comprehensive student support services, engagement to school and community through social, recreational and service learning activities. It places a strong emphasis on development of self-sufficiency and independent living skills. Students receive a regular diploma from their home district and the majority continue on to post-secondary college education.   youthnet provides independent and transitional living skills training/services to youth who are currently in or have been in foster care. They receive one-on-one independent living skills training and case management services at no cost to them. All clients have individualized plans based on an assessment. Youth receive hands-on training in self-sufficiency skills such as obtaining housing, creating and managing a budget, career and education planning, engaging in safe and healthy relationships, and securing employment. While the primary goal is safe housing and financial literacy (in an effort to decrease homelessness and dependence on public resources), these youth will also be connected to service learning opportunities and receive assistance in the application process for post-secondary or vocational training. Youthnet provides foster care licensing services and develops/supervises foster homes. It exercises exceptional diligence in both the licensing and supervision of homes - "we are creating families, not just placing children". Annually, a significant number (50%) of children in youthnet foster homes are adopted by their foster parents. Children in youthnet foster homes receive long-term case management support and mentoring. Foster parents are supported through ongoing 24/7 hour case management, training and respite care.								
Mujeres de Maiz Opportunity Foundation	http://www.MujeresDeMaizOF.org	360-683-8979	EIN 20-4289123	P O Box 1954	Sequim	WA	98382	USA	Civil Rights, Education, Educational Services, International, Women, Womens Rights	We are dedicated to partnering with and empowering indigenous women in Chiapas, Mexico, by providing them with access to education. Our goal is to help break the cycle of poverty, build self-esteem, and create positive role models.	Indigenous women and children who live in poverty.	Approximately 155.	12 communities in the highlands of Chiapas, Mexcio	Scholarships Zinacantan Saturday Children's Project Crucero Saturday Children's Project Altamirano adult literacy program Ocosingo Children's Project Eye exams and glasses Computers Eco-friendly composting latrines Twice a year toothbrushes and paste	In August of 2013, we will be welcoming 24 girls and women on scholarship. We are funding three full year children's programs to strengthen academic skills, develop creativity and foster environmental stewardship. We also fund an adult literacy program, now in its second year. We fund workshops, provide eye exams and glasses, toothbrushes and toothpaste. We have donated a laptop to each community. We have just completed our capital campaign which has enabled the cooperative to fulfill a dream of their own center and a legacy for their daughters. Our new composting toilet project is underway in 3 communities.							
Opal House	http://opalhouse.org	(206) 255-8596	EIN 02-0804908	18818 Ne 140th Pl	Woodinville	WA	98072	USA	International, International Relief	Opal house's primary exempt purpose is to provide a home, school and medical care to impoverished children and treatment for battered women in guatemala.				To provide a home, school and medical care to impoverished children and treatment for battered women in guatemala.   to provide a home, school and medical care to impoverished children and treatment for battered women in guatemala.								
Home Court NW	http://www.homecourtnw.com	425-487-1030	EIN 91-2005008	18600 Woodinville-Snohomish Rd. NE, #210	Woodinville	WA	98072	USA		To use the basketball experience to create a postive and productive environment where local youth can gain the skills and knowledge to be successful on and off the court.			Puget Sound	Creation of programs by which the use of basketball experience by local youth will introduce the practical skills and knowledge needed to become a valued member of the community.								
Peacock Family Center	http://peacockfamilycenter.org	206-780-1505	EIN 	305 Madison Avenue N	Bainbridge Island	WA	98110	USA		Our mission is to promote the healthy social and emotional development of children by providing nurturing childcare, open play, and enrichment within a community of support for parents and caregivers.			Kitsap County, Washington									
Taproot Theatre	http://www.taproottheatre.org	(206) 781-9705	EIN 91-0971237	204 N 85th St	Seattle	WA	98103	USA	Arts & Culture, Arts Education, Printing & Publishing, Theater	To present theatre that explores the beauty and questions of life while bringing hope to our search for meaning. Taproot theatre values faith, respects people, and celebrates theatre.				Taproot theatre creates experiences to brighten the spirit, engage the mind and deepen the understanding of the world around us while inspiring imagination, conversation and hope. Taproot theatre company produced six productions for its subscription season in the jewell auditorium, and three plays in the isaac studio theatre in 2014; the combined attendance was about 33,400 people.   the taproot theatre's road company consists of 5 actors who performsocial-issue plays at public and private schools. These plays focus on bullying,cyber-bullying prevention, making and maintaining friendships, andempathy and emotional management. In 2014 over 107,000 students saw theroad company perform in locations as far south as portland, or.   the taproot theatre acting studio creates a nurturing environment tohelp youth and adult students develop their unique theatrical talentsand gifts. During 2014, the acting studio offered about 50 classes andresidency opportunities, and served 3,200 students.								
Global Hydranencephaly Foundation	http://www.hydranencephalyfoundation.org	573-280-2412	EIN 45-2113600	PO Box 1150	Seabeck	WA	98380-9800	USA		The Global Hydranencephaly Foundation is a family driven nonprofit organization dedicated to providing families faced with a diagnosis of hydranencephaly, the opportunity to help their child live the quality of life he or she deserves. The family-to-family resource network is the foundation of this mission; an ideally structured, multi-faceted community for the dissemination of invaluable information, sharing of effective care management strategies specific to the unique circumstances a family faced with diagnosis of this rare neurological condition may encounter, and individualized, life-long support. Emphasis is placed on the development of empowered parent advocates, strengthened by availability of comprehensive information, geographically tailored resources, and a confident awareness of the rights children have to quality, compassionate care without discrimination. We embrace the opportunity for continuous growth through the expansion of additional collaborative partnerships with like-minded organizations and reputable community businesses. Through community-based awareness campaigns and the planned infiltration of the medical community, we aim to conquer the misconceptions that exist surrounding this diagnosis and portray a clearer picture of the possibilities that exist for these children; giving multiple reasons to Believe in the Impossible!	families of children with a diagnosis of hydranencephaly, or those undiagnosed but possessing of similar traits/characteristics, across the globe	network over 400 families across the globe and provided several new families with some light during the darkness of diagnosis. Individualized support is our specialty; and in providing this, we are learning in what areas our efforts can be of best benefit.	globally	Family-to-Family Resource Network; equipment lending closet "The Hive", patient advocacy for families navigating the medical system, support, information, and a long list of individualized resources making it possible for families to provide their child with the best quality of life possible!	GHF is a registered 501(c)(3) nonprofit organization incorporated in the Commonwealth of Virginia on June 14, 2011. We began doing business as Global Hydranencephaly Foundation in December 2011 under the parent corporation of Brayden Alexander Global Foundation for Hydranencephaly; registered as a foreign entity to do business in Washington state in October 2012; sponsored the first EVER global hydranencephaly conference in Dallas, TX the weekend of June 14-16; working to build our network of families and have reached families in the US, Mexico, Canada, Brazil, Africa, Greece, Philippines, Belize, Australia, Ireland, United Kingdom, Portugal, and more.  Recognizing our SECOND Hydranencephaly Awareness Month this June 2014 with several events, including our first Global-Wide Walk/Run for hydranencephaly awareness.							
Helping Hand House	http://www.helpinghandhouse.org	253-848-6096	EIN 91-1275046	PO Box 710	Puyallup	WA	98371	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Housing Expense Reduction Support, Human Services	Helping Hand House is dedicated to ending and preventing family homelessness.	homeless or nearly homeless families with children under 18, in Pierce County, WA.	260 families	Pierce County, WA	Emergency Housing (up to 3 months), Transitional Housing (up to 24 months), Permanent Supportive Housing (case by case determination), Rapid-Rehousing (up to 18 months).	Helping Hand House served nearly 260 families in 2011 who were homeless or on the brink of homelessness, including over 500 children.							
Homes First	http://www.homesfirst.org	360-236-0920	EIN 94-3124800	5203 Lacey Blvd SE, Ste A	Lacey	WA	98503	USA	Homeless & Housing, Housing & Shelter, Housing Rehabilitation	Our mission is to create and maintain safe, healthy, and affordable rental homes for those who need them most.	Low and extremely low income individuals, families, and adults with developmental disabiliteis	150	Thurston & Mason Counties, WA	Currently Homes First provides 90 units of scattered site affordable rental housing. All of our housing serves households with incomes at or below 50% of the area median income. Homes First is an Equal Housing Opportunity nonprofit agency.	In the last 26 years, Homes First! has given over 3500 individuals and families decent, affordable, rental housing.							
Free2Luv	http://free2luv.org		EIN 45-4158223	4701 SW Admiral Way Suite 378	Seattle	WA	98116	USA	Bullying, Children & Youth, Children & Youth Services, Civil Rights, Education, Educational Services, Lesbian & Gay Rights, LGBTQ	Join Free2Luv where youth are EMPOWERED, individuality is CELEBRATED, bullying is not tolerated & LUV ROCKS!   Free2Luv is an award-winning nonprofit dedicated to rockin' individuality, celebrating equality, spreading kindness & standing up to bullying through arts & entertainment. We empower, engage & enlighten youth globally to know that they are perfect just the way they are & they can use their voice for good.  We form partnerships with celebrities, corporations and youth advocates who are passionate about celebrating everyones individuality.  We make it our daily mission to empower & uplift our youth because when we raise confident, empowered children, we minimize bullying & teen suicide.   We are a movement of youth who are agents for change, inspiring other youth to be their best selves.  Success for us is one more child standing up, speaking out and letting their voice be heard.	Anyone who wants to stand up for our youth and be a voice for change!		Global	FRIENDS DON'T LET FRIENDS BULLY is a community program whose mission is to utilize music and the arts to promote kindness, build self-esteem and stand up to bullying.	We have reached over 50 million people through our global social media campaigns, partnered with over 25 celebrities to spread awareness and have created powerful community outreach events to share our message that LUV is STRONGER than hate and BRAVER than bullying.  In addition, we have been honored by Western Union's World of Betters as a company who is doing better in the world, won Amway's 'Who Cares' Challenge, received 2015 Charity Goody of the year, several 2014 Goody Awards, named the 2013 Team Goody of the Year, among other honors and recognitions.  With your support, we can expand our movement and create a kinder, braver and better world for our children.							
Freedom Project	http://freedomprojectseattle.org	(206) 325-5678	EIN 91-2129474	Po Box 31191	Seattle	WA	98103	USA	Civil Rights, Crime & Law, Domestic Violence, Inmate Support, Protection Against Abuse, Rehabilitation Services for Offenders					Freedom project provides ongoing trainings in nonviolent communication and mindfulness meditation in several prisons in washington state								
Wild Felid Advocacy Center of Washington	http://		EIN 38-3771133	P.O. Box 14142	Tmuwater	WA	98511	USA	Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	Conservation, education, sanctuary												
The Compassionate Listening Project	http://www.compassionatelistening.org	360-620-5421	EIN 91-1930503	PO Box 17	Indianola	WA	98342	USA	Adult Education, Education, International, International Peace & Security, Unknown	The Compassionate Listening Project is a non-profit organization dedicated to empowering individuals and communities to transform conflict and create cultures of peace and healing through: 	Trainings and workshops 	Facilitator certification; 	Multi-media communications; 	Skilled facilitation with families, workplaces and communities and; 	Training Delegations to conflict and post-conflict zones.	transform conflict and create cultures of peace	thousands trained every year.	World-wide: community, families, workplace, spiritual and religious groups	Compassionate Listening trainings; training delegations in war and post conflict zones; facilitator training; mentoring.	31 Training delegations in the Middle East; thousands of Compassionate Listening Trainings world wide. Tens of thousands trained on 5 continents. Award winning non-profit.							
WHATCOM WOMEN IN BUSINESS	http://		EIN 91-1912426	Po Box 1773	Bellingham	WA	98227	USA	Civil Rights, Women, Womens Rights	Whatcom Women in Business is comprised of business owners and managers developing and maintaining proactive role models within the organization and the community at large. Through teaching, learning, leadership and peer support, we strive to exemplify and promote the four areas we honor- leadership, professionalism, mentoring, and community.  The organization supports and promotes education by offering educational scholarships each year to women desiring to further their education.	Five local non-profit organizations each year, donating $1,000 to each.  Whatcom Women in Business awards $5,000.00 scholarships to four local women of any age.	4 local women with their education and 5 local charities.	The community of Whatcom County.	Scholarships & donations.								
The World is Fun	http://www.theworldisfun.org	1-206-414-8943	EIN 27-0751538	7551 B 15th Avenue NW	Seattle	WA	98117	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	The World is Fun is a 100% volunteer run 501(c)3 organization devoted to introducing individuals, businesses, and those in need and encouraging them to participate in a creative community that enriches Seattle with the common belief that: yes, the world is fun.			Seattle, WA	Community core: our community core program works within seattle to engage volunteers in active participation in their community and philanthropy by partnering with other local nonprofit organizations and planning group volunteer opportunities and events that serve as the catalyst in connecting new volunteers with organizations in need. In 2011, we developed 58 such events. We built a volunteer list of over 1,500 seattle volunteers and we provided 5,028 volunteer hours for the community. Through our beard & stache fest event we raised $5,311 for treehouse, an organization the helps foster kids in the area. We did this all with a 100% volunteer run staff comprised of 20 dedicated individuals.   critical core: our critical core provided over 900 meals for seattle's food insecure, served through three local organizations: jubilee women's center, rose of lima house, and youthcare's orion center. Twif also developed a program that meets the volunteer needs of an evening cooking program and the shelter's need for an early mealtime.   corporate core: our corporate core program worked with local businesses to create team building volunteer opportunities for them to strengthen their staff, build morale, and connect with their community.								
Olympic Animal Sanctuary	http://		EIN 26-0886993	1021 Russell Rd	Forks	WA	98331	USA	Animal Protection & Welfare, Animals													
Washington Green Schools	http://www.wagreenschools.org	206-290-8376	EIN 27-5411173	4649 Sunnyside Ave N Ste 303	Seattle	WA	98103	USA	Environment, Environmental Education	Washington Green Schools mission is to challenge schools and communities to create a sustainable region through educational experiences that transform school environments.	Everyone in Washington State!  Teachers, students, parents, volunteers, administrative, facilities, etc		Washington State	K-12 certification program, teachers training, student summits, and educational resources.	We have had several very successful student summits where everyone came out inspired, invigorated and excited about creating a sustainable atmosphere in their schools.  We also have held several teacher trainings to foster teachers through our program.							
Making A Difference Foundation	http://		EIN 54-2092145	PO Box 94754	Seattle	WA	98124	USA	International, International Relief													
WASHINGTON PRIDE SOFTBALL CLUB	http://www.wapridesoftball.org	253-234-5096	EIN 46-0975210	3800 Bridgeport Way West Ste A504 c/o Danny Williams	University Place	WA	98466	USA	Baseball & Softball, Children & Youth, Sports, Youth Community Service Clubs	By providing members with the highest levels of coaching, training, development opportunities, and competition, Washington PRIDE Softball Club will remove barriers and create access to the great game of softball; allowing members to compete to the highest level that they choose to compete.	young women ages 7-18 y.o.	over 100 young women.	the Greater Pierce County region	softball training, college prep, and general support/mentoring.								
Pink Daisy Project	http://www.pinkdaisyproject.com	425-785-0753	EIN 26-1160487	15600 NE 8th St Suite B-1 #632	Bellevue	WA	98008	USA	Breast Cancer	The Pink Daisy Project is a 501(c)3 organization dedicated to helping young women with breast cancer manage treatment a little easier.	Women under age 45 with breast cancer.	100+ women and their families	the USA	groceries and gas, medications and meals								
Northwest Youth Music Association	http://	(206) 367-6253	EIN 23-7411558	13717 Linden Ave N Apt 201	Seattle	WA	98133	USA	Education, Secondary & High Schools	The northwest youth music association (nyma) supports programs in the performing arts for youth ages 8 to 22 in the states of washington and oregon.				The northwest youth music association hosted the summer music game competitions in boise and seattle. The organization's "partners in education" program loaned instruments to several local high school marching bands and drum corps.   the cascades (a-corps) completed another successful season of world class competition with 83 student members, traveling approximately 11,000 miles and participating in 26 competitions.								
Kittitas County Friends Of Animals	http://www.kcfoa.petfinder.com		EIN 91-2028325	Po Box 1239	Ellensburg	WA	98926	USA	Animal Protection & Welfare, Animals	Our mission is to find a loving, forever home for homeless pets and to end pet overpopulation through spaying and neutering.  The goal we are working towards is that no animal will be euthanized because they are homeless, and that each animal will have a loving home.												
Cancer Is A Jerk	http://www.cancerisajerk.org		EIN 45-4419346	23316 NE Redmond Fall City Rd #522	Redmond	WA	98053	USA		We are dedicated to eliminating the middle man, and to make dreams come true, one small step at a time. When battling cancer, sometimes the smallest thing can be the biggest stress, and we plan to help alleviate that by providing assistance for basic bills, home/ care repairs, school supplies, food and more.  As we are all volunteer, and have a strong track record with operating a charity,you can be assured that not onlyyour funds will make the most impact, but that we will sustain- and little by little, we will prevail in the battle against cancer!		estimating approximately 100	Currently Rochester, NY; Redmond, WA	we provide family assistance to families facing cancer for basic necessities, bills or other needed goods and supplies	We have purchased tshirts and stickers to sell, to raise funds for our current and future families.							
Friends Of The Ridgefield National Wildlife Refuge	http://www.ridgefieldfriends.org	(360) 887-9495	EIN 91-2018749	Po Box 1022	Ridgefield	WA	98642	USA	Animals, Wildlife Preservation & Protection	We are a non-profit organization dedicated to promoting educational programs, increasing public awareness and to protecting and enhancing the natural and cultural resources of the ridgefield national wildlife refuge and lower columbia river area in washington including management and education propgrams related to the cathlapolte plankhouse.				Habitat restoration on the ridgefield national wildlife refuge  cathlapotle plankhouse cultural and historical education of the areas connection with the native american peoples - for adults and youth groups  birdfest is an event in which the organization invites the public into the refuge in order to acquaint them - over the course of a week of education - with the restoration work on the habit and species preservation work at the ridgefield national wildlife refuge.								
Gig Harbor Peninsula Historical Society	http://www.harborhistorymuseum.org	(253) 858-6722	EIN 23-7440330	PO Box 744	Gig Harbor	WA	98335	USA	Arts & Culture, History Museums, Museums	The mission of the Harbor History Museum is to create opportunities to experience the heritage of the greater Gig Harbor communities. We do this by collecting, preserving and sharing the history of this area. Our vision is to be the cornerstone that provides a sense of identity for our community. The museum fulfills its mission and vision by providing a museum and educational programs serving residents, visitors, researchers, and students. The Society distinguishes its museum from others in the area by its commitment to building bridges between the past, present, and future.				Opened on September 18, 2010, the Harbor History Museum programs include: a hands-on interactive historical museum, on-site education programs consisting of pioneer school experience in the restored one-room Midway School, restoration of the 65-foot Skansie-built purse seiner the Shenandoah, national traveling exhibits, and a robust schedule of lectures and workshops.								
St. Vincent de Paul of Seattle/King County	http://www.svdpseattle.org	206-767-9975	EIN 	5950 4th Ave. S.	Seattle	WA	98108	USA		St. Vincent de Paul Seattle/King County leads individuals to join together to offer person-to-person service to the poor and the suffering.  St. Vincent de Paul has been helping people in Seattle and King County since 1920. When people need help, well be there.	the poor	more than 200,000 of our neighbors in King County	Seattle & King County	Home Visits, Case Management, Help Line, Food Bank, and other social service programs.	Last year, we served over 200,000 people through our Home Visit, Food Bank, Case Management, Help Line, and related programs in Seattle and King County. We serve everyone without regard to faith, religion, age, sex, national origin, creed, or color. We serve everyone. Period.							
Blue Sky Charities	http://www.whiskercity.com	(206) 533-1423	EIN 91-1649531	1615 N. 183rd Street	Shoreline	WA	98133	USA	Animal Protection & Welfare, Animals	Blue Sky Charities dba Whisker City is dedicated to the rescue, rehabilitation and placement of abused, neglected and unwanted cats and kittens.	find homes for cats and kittens. Whisker City is a lifelong sanctuary.	cats and kittens and provide lifelong care for unadoptables.	Shoreline, WAshington	Whisker City rescues and rehabilitates abused, neglected and abandoned felines. There are no paid employees and is fully maintained by dedicated volunteers.								
User Experience Professionals Association (UXPA Seattle)	http://www.uxpaseattle.org	2066591260	EIN 47-1436001	24 Roy St Ste 105	Seattle	WA	98109	USA	Education	We help advance and promote the educational, scientific, professional, and academic welfare of individuals who are interested in the field of User Experience Design, Research, Information, Architecture, and Content, through a variety of educational events, forums, workshops, panels, lectures, and social events for the public at large.	professionals, students, and the general public	hundreds of interested people	Seattle, Washington in the USA	educational seminars, career and professional workshops, networking, and social events								
Community Lunch on Capitol Hill	http://www.CommunityLunch.org	206-322-7500	EIN 05-0566668	1710 11th Ave	Seattle	WA	98122	USA	Congregate Meals, Food	For more than twenty-five years, Community Lunch on Capitol Hill has been passionate about its mission to provide nutritious meals and hospitality to low-income and homeless adults, youth, and families.   Our mission statement:   Feeding the Community, Serving the Community, Creating Community.  Community Lunch creates community by bringing in volunteers from throughout the region to provide critical nutrition to the most vulnerable members of our community.	Community Lunch is open to all with no questions asked, but our primary demographic is homeless and low-income people in the Seattle area.		Seattle metro	In addition to the full, free hot meal Community Lunch provides other services to those guests who request them.  We have a social worker, information and referral specialists, mental health experts, medical advice, free flu shots (in season), clothing, toiletries and a book exchange	Community Lunch now serves over 30,000 hot meals each year, averaging 250 guests at each lunch. Hundreds of volunteers from throughout the region make this possible on a shoe-string budget							
Community Cat Coalition	http://communitycatcoalitionwa.org		EIN 46-0555983	P.O. Box 1236	Mukilteo	WA	98275	USA		To enhance the lives of community (feral) cats by promoting spay and neuter and by providing training and mentorship in TNR (Trap-Neuter-Return)	Community (Feral) Cats	-In 2015 veterinary medical supplies including vaccines, flea treatment, worming medication, snap tests, antibiotics (with veterinarian approval) were made available to community cat caregivers and trappers with over 100 people currently eligible to receive supplies. -A total of 964 vouchers were issued and used by 60 trappers to cover spay/neuter and/or vaccinations at not cost for free roaming cats and kittens at two local spay/neuter clinics and one contract veterinarian.  The CCC also sponsored 15 spay/neuter clinics with 435 cats being spay/neutered. -Four food distributions totaling 9,340 pounds of dry cat food and 11,992 cans of wet cat food were made to 35 community cat caregivers who care for over 750 community cats. -Assisted with veterinary expenses for over 40 free roaming cats that were found to be ill or injured. -Facilitated 10 classes in Trap-Neuter-Return offered free to the public.	Western Washsington	provide training in trap-neuter-return (TNR),  have humane traps and associated equipment available to loan to people doing TNR,  provide veterinary medical supplies including vaccines, flea treatment, worming medications, diarrhea medication and viral tests to independent rescuers, provide vouchers to independent rescuers for spay/neuter and vaccinations at local spay/neuter clinics, sponsor spay/neuter clinics, and provide food to people who manage community cat colonies								
