name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs		The Greenway Foundation (GF) 	Cub Scouting	Boy Scouting	Venturing
Tierra Sagrada The Sacred Earth Foundation	http://		EIN 45-0527549	633 Valley Rd	Florissant	CO	80816	USA	Arts & Culture, Museums											
CoNimby Fund Inc.	http://www.CoNimby.org	7204431758	EIN 45-5384783	3531 S. Logan St. D143	Englewood	CO	80113	USA	Community Improvement & Capacity Building, Philanthropy, Private Operating Foundations, Public & Societal Benefit	CoNimby Fund, partners with and fiscally sponsors organizations whose mission aligns with ours of serving the disadvantaged through research based life healing and empowerment methodology. #BeTheBlessing #WomenMatter		the disadvantaged		serving	Holiday food program for underprivileged families, clothes for vets, Research and literacy programs.					
Y360	http://www.y360.org	(719) 380-0505	EIN 84-1300954	915 Pinon Ranch View	Colorado Springs	CO	80907	USA	Arts & Culture, Children & Youth, Christianity, Media & Communications, Religion, Youth Development Programs	Y360 seeks to :  live inspired  be a catalyst for positive change  enable people to live the way they were designed	 Developed pilot episode for Caf 360 (tv series) and working on ongoing tv series production to impact urbanized young people   Helped establish fellowship and church for young Burmese refugees  Conducted several awareness events on topics such as Rainbow Town (story of civil war orphans in Liberia), Gendercide (in India and China), Environmental Stewardship etc.  Developed videos for outreach to disabled and poor Nepali villagers on Tibetan/Nepali border  Produced discipleship and cross-cultural mission videos  Conducted mission communication training programs across the world Served and developed several mission communication strategies for Youth With A Mission (YWAM) globally from 1992-2012 including websites, video and print news magazines  Served several non-profit organizations with videos, websites and print solutions	inspire, empower, and enable people to live the way they were designed	over 30 Burmese refugees, hundreds of internationals, served several non-profits with video production, websites and communication training	globally	 Caf 360 - a television series designed to help African young people develop critical thinking skills, enabling them to make great life choices (cafe360.tv)  our 'Taste & See' Initiative - awareness events to communicate needs, empowerment and change opportunities in other parts of the globe (y360.org/taste-see)  producing cross-cultural communication videos (y360.org/videos/)  Christmas Around the World - outreach to internationals & immigrants living in Colorado  Fellowship for young Burmese refugees					
Dreamcatchers Equine Rescue Llc	http://www.dcerinc.org	(719) 232-7365	EIN 26-1475922	19065 Wigwam Rd	Fountain	CO	80817	USA	Animal Protection & Welfare, Animals	To rescue, rehabilitate, provide sanctuary and when possible rehome equines of all breeds, genders, ages, physical and mental capabilities. Provide public education to raise awareness of the plight of the unwanted horse.					Adopton program - more than 45 horses were rescued from various situations. These horses, as well as previously rescued horses, were evaluated, rehabilitated , trained and placed in permanent adoptive homes.   wounded warriors program - providing a wholesome environment for veterans of all wars to interact with horses, help to care for them and in doing so, providing healing to both the abused horse and the mentally or physically wounded soldiers.   childrens programs - providing a learning environment for children of all ages teaching them the value of hard work and the reward of building a relationship with the horses as well as their peers in a wholesome, nurturing environment. Teaching each student horsemanship from the ground up.					
Rocky Mountain Puppy Rescue	http://www.rmpuppyrescue.org	303 521 3194	EIN 27-2214963	PO BOX 13	Berthoud	CO	80513	USA	Animal Protection & Welfare, Animals	Rocky Mountain Puppy Rescues mission is to save unwanted puppies and young adult dogs from being euthanized in overcrowded kill shelters. We place these rescues with foster families until they are adopted to their forever homes. We promote our mission through educating the general public about spaying and neutering their pets, proper exercise, feeding, grooming and training. We take pride in the fact that we are a no-kill rescue and placement program that does not euthanize the animals we rescue if they are not adopted within a certain length of time. Rocky Mountain Puppy Rescues intention is to find loving FOREVER homes for these beautiful creatures through careful adoption placement. RMPR spay and neuters all animals prior to adoption and promotes spay neuter of the publics owned animals by sponsoring monthly vouchers and two large mobile spay neuter clinics yearly.	RMPR has rescued, vetted and rehomed over 3400 animals since August of 2010. We have spay neutered over 1620 animals by SPAY NEUTERING all of our animals prior to adoption and by funding owned animal spay neuter clinics and vouchers in impoverished rural areas and will continue this mission in order to achieve NO KILL in the US Shelters. We believe by working together with other reputable rescues, shelters, rescue workers and the public that we can end the plight many animals face in municipal shelters , and that Together We Can Save MORE!	Abadoned animals of all ages and breeds/	890 animals in 2014 were rescue, vetted and found loving homes. Over 1100 pets were surgically altered by RMPR Vets	RMPR rescues and medically treats discarded shelter pets all over the desert south west to help them find loving furever homes	Rescue, rehoming, vetting, spay neuter of all our adoptable animals, and SPAY IT FORWARD clinics and vouchers offered to areas with high kill rates and low rates of spay and neuter.					
Grand Junction Area Chamber Of Commerce	http://www.gjchamber.org	(970) 242-3214	EIN 84-0215575	360 Grand Avenue	Grand Junction	CO	81501	USA		The grand junction area chamber of commerce will represent business and promote a vision for economic growth.					The grand junction area chamber of commerce worked towards creating a strong local economy through business referrals, business leads, educational seminars, group rate discounts and marketing opportunities; provided networking opportunities; promoted the community; and worked to support a sustainable future for businesses.					
La Plata Open Space Conservancy	http://lposc.org	(970) 259-3415	EIN 84-1204273	Po Box 1651	Durango	CO	81302	USA	Animals, Environment, Farmland Preservation, Food, Land Resources Conservation, Natural Resources Conservation & Protection, Wildlife Preservation & Protection	The organization's primary exempt purpose is to identify, preserve and protect open lands, parks and trails in southwest colorado for the benefit of wildlife, agriculture,and public open space.					Community outreach/education and membership: la plata open space conservancys community education program is key to connecting people to the lands we protect. During 2014, the conservancy gave educational presentations at durangos lyons club, kiwanis club, and rotary club meetings. The conservancy took part in career days at fort lewis college, and began hosting student interns. In addition to the annual outreach fundraising event and annual appreciation picnic, the conservancy expanded its community outreach program to include an educational film event to illustrate land conservation activities, a free concert to inspire younger community members to be involved, and began contacting real estate offices to schedule educational presentations. The conservancy also hosted an educational booth at the local farmers market, and during public environmental events at the durango arts center. La plata open space conservancy hosts a membership base of nearly 500 community members. The generous support of the members enables the conservancy to achieve its mission to protect valuable lands for generations to come. Our membership has increased as we have increased our community outreach/education program.   land protection/acquisitions: la plata open space conservancy experienced a record high level of landowner contacts regarding conservation easements in 2014. Thirty-seven landowners requested information on how land conservation may meet their wishes to protect their land. One conservation easement was finalized in 2014, adding 57 acres to a block of protected lands which now totals 319 acres adjacent to thousands of national forest system lands. An additional three easements began in 2014, and will be finalized in 2015 adding 270 acres of protected lands in la plata county (all significant wildlife habitat). Only lands hosting conservation values that benefit the greater good qualify for conservation easements. The conservancy has been involved in the permanent protection of nearly 30,000 acres across seven counties since it began in 1992. This number includes partnerships with other land trusts and land management organizations. Currently, the conservancy holds 176 conservation easements, protecting 20,000 acres of land.   land stewardship: as a certified conservation easement holder, la plata open space conservancy is legally obligated to monitor every protected property annually. This ensures that the natural resources are being stewarded as promised to the greater good in the terms of the easement. Annual monitoring also serves to connect conservation easement donors and subsequent landowners to the conservancy, to keep a friendly working relationship over time. In 2014, la plata open space conservancy began involving fort lewis college interns and community volunteers in the monitoring program as well as stewardship programs involving habitat restoration, further connecting our community to the landscapes the conservancy protects. Stewardship programs focused on habitat restoration are newly formed partnerships with other local, environmental nonprofit organizations.					
Healing Warriors Program	http://www.healingwarriorsprogram.org	970-776-VETS (83	EIN 45-5093751	1136 E. Stuart Street Suite 4202	Fort Collins	CO	80525	USA		We provide NON-NARCOTIC therapy for Pain and Post Traumatic Stress . Our mission is to advance individual wellbeing for Veterans and their families through complementary care services and education.	in 2015, we partnered with the US Air Force Academy Operations Research department on a capstone project analyzing our data results.  Findings included statistically significant results which were presented at a conference in West Point.  We have delivered over 4k sessions as of July 2016. We provide clinic sessions at our Fort Collins clinic, as well as free clinic sessions at our Pop Up clinics in Denver, Colorado Springs, at Yellow Ribbon Post Deployment events and at homeless Veteran events.	Service Members and their families	59 clients and delivered over 171 sessions.	Colorado and southern Wyoming	Acupuncture, CranioSacral and Healing Touch therapies for anxiety, pain management and PTS symptom support.					
Brain Injury Alliance of Colorado	http://www.biacolorado.org	(303) 355-9969 	EIN 84-0893049	1385 S. Colorado Blvd Suite A606	Denver	CO	80222	USA	Brain Disorders, Health	The Brain Injury Alliance of Colorado is the go-to resource for help and services for survivors of an injury to the brain, their families and providers. Vision That all persons with a brain injury thrive in their community.  Mission Through guidance, resources, support and education, we seek to facilitate lifelong growth of Coloradans affected by an injury to the brain.					Brain injury professional networks - these networks are groups of providers, all involved in the brain injury world who meet on a regular basis for networking, education and to undertake various projects for the benefit of the survivor community. Colorado brain injury program adult services - biac is the single entry point for the colorado brain injury program (cbip). Biac helps clients with the application process for the program. Biac approves the application for this program that offers statewide case management services to adults who have sustained a tbi. Colorado youth brain injury connections - a part of the colorado brain injury program, biac provides state-wide intake and referral of youths in the community with any type of brain injury to receive care coordination and education consultation. Biac works closely with the colorado department of education as well as school districts and schools to help the child and family to thrive in the education system post-injury. Workshops- several workshops designed for survivors of a brain injury and their family members/caregivers are held throughout the state. The workshops are very affordable and feature topics that survivors and caregivers can use at home. Community outreach & education - biac staff give presentations, exhibits, and seminars throughout colorado to many different community groups depending on their specific needs. Staff attend and exhibit at conferences and meetings in order to increase awareness of brain injury in the community and to share information on local resources. Emergency utility bill assistance - biac is able to help survivors of a brain injury and families facing life changes after brain injury with their heating and electricity bills if they have fallen behind in payments. Resource facilitation pathways program - "the pathways program makes life easier for a survivor and their family by providing them with the confidence and peace of mind that biac will be checking in with them at regular intervals to provide support. Calls are scheduled for every 6 months for a period of 2 years. If a need comes up or a survivor or family member just wants to talk between scheduled calls, biac staff is available and able to help. Public policy - biac engages in state and federal legislative advocacy to encourage policies that improve the lives of survivors of a brain injury. Biac also works towards the establishment of an organized system of care, which includes appropriate services and benefits for persons with brain injury. Online resource directory - extensive and up to date database of brain injury related providers available for public access on our website. This is the most comprehensive resource directory on colorado based brain injury providers in the state. Support groups - over 70 state-wide support groups meet on a regular basis for understanding more about brain injury, learning about resources in your community, emotional healing, socialization, an opportunity to be understood and to express oneself and exploring common needs and strengths.   conferences - annual conference that features some of the most well-known brain injury experts in the us. Presentations are cutting-edge and feature up to date research and treatment protocols.   recreation programs - survivors of a brain injury are given the opportunity to participate in one-day or multi-day outdoor programs. The summer activities include rafting, rock climbing, a ropes course and cycling. In the winter participants ski, snowboard, ice fish, dog sled and snow shoe. There is a strong social aspect of all the recreation programs. Music and art therapy classes - we offer art therapy classes as well as music therapy classes. The art therapy classes use a series of projects to explore and stimulate discussion around changes to self-image following a brain injury. Music therapy classes are led by a board certified music therapist who uses live music to engage group participants in exercises to address social, emotional, cognitive, and speech goals.					
Disabled Sports USA	http://www.asadurango.com	970-259-0374	EIN 94-2938093	125 E. 32nd St P.O. Box 1884	Durango	CO	81302	USA	Recreation & Sports, Sports	To provide outdoor, sport and recreational experiences for people with disabilities. The activities are provided regardless of individual financial limitations and create a safe, fun atmosphere for learning and enhanced self-esteem.				US	During the past fiscal year asa posted 1,406 participant days with 374 unduplicated individual clients served. Asa served children and adults from all over the us with all types of physical and cognitive disabilities. Participants came from special education/resource classes in local schools, through national scholarship programs, as individuals traveling with their families and as returning military veterans with recent disabilities. Through a broad variety of year-round outdoor activities asa was able to significantly impact lives, increase independence and boost self esteem.					
PLANNED PETHOOD INTERNATIONAL	http://		EIN 84-1522523	4170 Tennyson St	Denver	CO	80212	USA	Animal-Related, Animals	Train third world vets in surgical procs					Sponsor training clinic in mexico for vets conducted spray & neuter clinics involving thousands of animals giving free healthcare & surgery vet building funding					
Thirst-Aid	http://www.thirst-aid.org	720-982-7987	EIN 95-3656221	2855 Calkins Pl	Broomfield	CO	80020	USA		In a world where a child dies every 15 seconds from diseases associated with lack of access to safe drinking water, inadequate sanitation and poor hygiene, Thirst-Ed's goal is to make knowledge of household water treatment and proper hygiene as common as how to cook rice or fry an egg. Thirst-Ed promotes education and knowledge as the principal tools for safe-water intervention, inspiring the drive for improved water quality to come from within the community prior to the introduction of safe-water technologies.					Vendor of water equipment and education program for the manufacture of water filters.					
Lily Grace Foundation	http://www.lilygracefoundation.org	 (720) 625-1007	EIN 46-4368547	3000 Youngfield Street Suite 159  Wheat Ridge, Colorado 80250	Wheat Ridge	CO	80250	USA	Autism, Disabilities, Health	An award winning 501(c)3 non profit foundation providing children & families diagnosed with autism spectrum disorders to education, resources, and scholarships for integrative therapies.		individuals on the Autism Spectrum and their families	over 100 children	Colorado	Providing children & families diagnosed with autism spectrum disorders to education, resources, and scholarships for integrative therapies.					
Bessie's Hope	http://		EIN 84-1236504		Denver	CO	80212	USA	Child Day Care, Children & Youth, Human Services	Bessies Hope enhances the quality of life for nursing home/assisted-living elders and brings generations together in mutually rewarding relationships by honoring the human spirit and creating life-enriching volunteer opportunities for youth, families, individuals, community organizations and businesses.	Unduplicated service: Bessies Hope is the only organization in the world providing diverse multigenerational services for nursing home/assisted living residents, youth, families and businesses.   In 2010     Bessies Hope volunteers logged over 16,000 hours. Approximately 2996 nursing home/assisted living elders benefited from the Bessies Hope programs by having meaningful interaction with Bessies Hope volunteers. Many of these residents receive little or no visitation other than the meaningful interaction of Bessies Hope volunteers. Approximately 1912 youth participated as volunteers who cultivated relationships with nursing home/assistedliving residents. A large percentage of these youth were from at-risk programs. Because of Bessies Hope, they experienced the opportunity to find meaning and purpose in their lives.				Youth and Elders; Family and Elders; Community and Elders; Dreams Can Still Come True.					
Cancerclimber Association	http://		EIN 57-1121580	Po Box 3051	Breckenridge	CO	80424	USA	Cancer											
International Hearing Dog, Inc.	http://www.hearingdog.org	303-287-3277	EIN 84-0779444	5901 E 89th Ave	Henderson	CO	80640	USA	Animal-Related, Animal Services, Animals, Deaf & Hearing Impaired Centers, Disabilities, Human Service Organizations, Human Services	To train and place Hearing Dogs for the deaf and hard-of-hearing individuals, with or without multiple disabilities, at no cost to to the recipient.	Since our program started in 1979, we have placed over 1,260 Hearing Dogs in all 50 states and most of Canada.	deaf and hard-of-hearing individuals	33 deaf and hard-of-hearing individuals	Colorado	service dogs to help alert to sounds in their home and communities					
Colorado Miners Inc	http://coloradominers.org	(720) 329-6381	EIN 76-0821991	Po Box 7424	Denver	CO	80207	USA	Basketball, Sports	To inspire a sense of responsibility, self-worth, confidence and leadership within our community, for themselves and their families.					The colorado miners is dedicated to supporting today's youth. Established in 2004, the organization was founded to fill a void in the development of today's youth and to give young people as many advantages as possible to be successful in life. We understand the role athletics can play in the development of young people and we embrace the idea of rekindling hope through athletics. It is our goal to provide opportunities for today's youth to participate and engage in social and athletic programs in a positive and supportive setting.					
International Midwife Assistance, Inc.	http://www.midwifeassist.org		EIN 10-1180860	PO Box 916	Boulder	CO	80306	USA	Health, Health Support	International Midwife Assistance (IMA) is a nonprofit organization improving the standard of maternal and infant care in developing nations. We place midwives and other healthcare professionals in hospitals, clinics and homes to provide care. We also train midwives and other healthcare workers and deliver medical supplies, medications, and teaching aids to the supported clinics.				Africa, Asia, Carribean, Uganda, Afghanistan, Haiti						
Project V.E.T.S.	http://www.projectvets.org	303-819-2501	EIN 26-3938168	1630 A 30th Street #256	Boulder	CO	80301	USA		We are dedicated to improving the health and welfare of animals around the world.  We achieve this goal by collecting veterinary equipment, technology and supplies (V.E.T.S.) from veterinary hospitals, human hospitals, medical equipment/supply manufacturers, individuals and other non-profits. These donated items are then distributed worldwide to veterinarians working in non-profit or non-governmental organizations devoted to animal health. In this way, we not only help the animals of our planet, but we also conserve valuable resources by recycling these items.	In 2015, we have collect almost $100,000 worth of supplies and are currently distributing supplies to veterinarians working in 92 non-profits and non-governmental organizations in 42 countries.	Veterinarians, shelter workers and those working directly with animals in need.	thousands of companion animals, wildlife (free roaming and captive) and working animals who need emergency care, preventive treatment and general wellness exams.  In addition, the veterinarians and care workers serving these animals had access to additional supplies and equipment.	the U.S. and internationally and currently serve animals in 42 countries.	Collecting donated veterinary equipment, technology and supplies (V.E.T.S.) which we then distribute to veterinarians working worldwide in 92 non-profits or non-governmental organizations dedicated to improving animal health and welfare.					
Chihuahua & Small Dog Rescue Inc	http://www.chihuahua-smalldogrescue.org		EIN 20-3492450	P.O. Box 31653	Colorado Springs	CO	80931	USA	Animal Protection & Welfare, Animals	At Chihuahua & Small Dog Rescue, Inc., we are dedicated to finding the best possible home for each Chihuahua and small dog we have in our care. Also, we are committed to good health and quality of life for each and every little one that we rescue. All of our little furry friends are placed in healthy, safe and loving foster homes and, therefore, are not housed in a shelter situation.  Our Rescue's mission does not end with just placing dogs in new homes. We work hard to educate the public on how to meet the needs of small dogs and how to avoid abusive and neglectful situations with these little pets.		to help end the un-necessary euthanization of healthy, treatable and adoptable small dogs in shelters throughout Colorado.	179 small dogs we rescued and we placed 194 into their forever homes.	the state of Colorado	We take in the small dogs and provided them with any and all medical care that they need, provide training as needed and get them ready for their forever homes.					
Mother House Inc	http://www.mother-house.org	(303) 447-9602	EIN 74-2251033	Po Box 19589	Boulder	CO	80308	USA		Home for pregnant women in need.					Provide specific assistance and educational opportunities to individual women. Fourteen women and their children received such assistance and opportunities.   provide room, board, and counseling for pregnant women in need. Fourteen women and their children received these services.					
Grant Avenue Street Reach	http://		EIN 84-1244201	1600 N Grant St	Denver	CO	80203	USA	Human Service Organizations, Human Services											
Andrew Wommack Ministries Inc	http://www.awmi.net	(719) 635-2111	EIN 84-0780017	850 Elkton Dr	Colorado Spgs	CO	80907	USA	Christianity, Religion	Andrew wommack ministries is committed to teaching the truth of the gospel through tv, radio, printed material, audio and video media, the internet, and bible colleges throughout the world.					Andrew wommack ministries is committed to teaching the truth of the gospel, as presented in the holy bible, through america and the world. The message of god's unconditional love and grace is taught by andrew wommack in person through multiple venues: speaking engagements and seminars, books and other literature, the internet, and radio and television. The ministry reaches a potential viewing audience of three billion people worldwide with the gospel truth daily television program.   bible colleges: charis bible college, an extension of andrew wommack ministries, has over 600 students attending the main campus in woodland park, colorado. Through its world outreach program, it has an additional eighteen extension schools located across america and around the world that serve over 2,800 students. In addition, charis bible college has over 2,600 online and correspondence students. Through the ministry's foundation builders and woodland park expansion programs, charis bible college is continuing to develop the main campus in woodland park, colorado. When the 200,000 square-foot complex is completed,it will accommodate over 3,000 students on campus.					
Set Free Prison Ministries	http://		EIN 84-0915670	Po Box 19760	Denver	CO	80219	USA												
San Luis Valley Animal Welfare Society	http://	(719) 587-9663	EIN 84-1530392	76 El Rio Dr	Alamosa	CO	81101	USA	Animal Protection & Welfare, Animals	To shelter and provide vet services for homeless domestic animals					The organization sheltered and provided veterinary services for hundreds of homeless domestic animals and pets and found safe homes for the animals and educated the new owners.					
GJ Community Cat Care	http://		EIN 31-1736374	PO Box 4555	Grand Jct	CO	81502	USA	Animal-Related, Animals											
Partners in Housing, Inc.	http://www.partnersinhousing.org	719-473-8890	EIN 84-1188208	455 Gold Pass Heights	Colorado Springs	CO	80906	USA	Homeless & Housing, Homeless Shelters, Housing & Shelter	Partners In Housing (PIH) was founded in 1991 to help homeless families with children.Providing homeless families with children the hope and opportunity for self-sufficiency through supportive services and transitional housing. The main objective of the PIH program is to provide a holistic set of human services and safe, affordable housing in order to provide a foundation to achieve family self-sufficiency.				Pikes Peak Region						
Pueblo Community Health Center Inc	http://www.pueblochc.org	(719) 543-8711	EIN 84-0921521	110 E Routt Ave	Pueblo	CO	81004	USA		To provide primary health care to those in need.					Primary health care services, including preventative care, urgent and minor emergency care, and diagnostic laboratory and radiology, for low-income, medically uninsured and underinsured of pueblo and huerfano county.   preventative, restorative, and emergency oral health care services for low-income, medically uninsured and underinsured of pueblo county.   pharmaceutical services for low-income, medically uninsured and underinsured of pueblo county.					
METRO CARERING	http://www.metrocarering.org		EIN 84-6116951	1100 E 18th Ave PO Box 300459	Denver	CO	80203	USA	Emergency Assistance, Food, Food Banks & Pantries	Metro CareRing helps meet basic needs and advocates for solutions to hunger and poverty. We assist people through times of crisis and provide resources for self-sufficiency.					Metro CareRing served more than 126,000 people last year! In addition to food and toiletries, we provide utilities assistance, ID document assistance, over 10,000 referrals for other services, and a listening ear to our clients.					
Rowan Tree Foundation	http://www.rowantreefoundation.org	(303) 378-4300	EIN 65-1250976	PO Box 393	Parker	CO	80134	USA	Counseling, Family Counseling, Human Service Organizations, Interfaith Coalitions, Mental Health, Religion	Our mission is to provide ongoing support and resources for families who are coping with the devastating loss of a much-loved child.  We carry out this mission by offering online peer support forums, outreach services, memorial events, education, and awareness opportunities for families dealing with the loss of a child during pregnancy, stillbirth, or infant death.	Recently we completed installation of our Healing Garden at the RTF Angel Memorial Plaza in Parker, CO. We also created a Child Loss Awareness License Plate which was signed into law in Colorado in May 2012. In 2012 we held our 6th Annual Candlelight Memorial, and our 5th Annual Butterfly Release.				Remembering with Lovenotes Program, Sweetest Keepsakes Photo Retouching, Annual Butterfly Release Memorial Event, Annual Candlelight Memorial Event, Your Child's Page Online Memorials, Child Loss Awareness License Plate in Colorado, RTF Angel Memorial Statue and Healing Garden					
CENTER FOR GRIEF LOSS COUNSELING AND EDUCATION	http://centerforgrief.org	719-564-0500	EIN 20-1781206	2310-A South Prairie Avenue	Pueblo	CO	81005	USA	Counseling, Mental Health, Mental Health & Crisis Intervention, Public & Societal Benefit	To serve the Southern Colorado Region and provide counseling and education services surrounding issues of loss, including death, relationship problems, job loss, health and disability issues, and all life transitions.				Southern Colorado Region, Pueblo, Huerfano, Fremont Counties, etc.						
The Buddy Program Inc	http://www.buddyprogram.org	(970) 920-2130	EIN 74-2594693	110 E Hallam St Ste 125	Aspen	CO	81611	USA	Adult & Child Matching Programs, Children & Youth, Youth Development, Youth Development Programs	The buddy program empowers youth through mentoring experiences in order to achieve their full potential.					To pair young people in need with caring, responsible adult mentors. 1,098 roaring fork youth were serviced.   peer to peer program high school youth mentoring elementary and middle school youth from aspen to carbondale. 492 youth were served through this program.   lemonade day offers youth from aspen to glenwood an experiential learning program that teaches youth how to own and operate their own business, including lessons on philanthropy, banking and goal-setting. 432 youth were served through this program.					
Community Foundation Serving Southwest Colorado	http://	(970) 375-5807	EIN 84-1474900	Po Box 1673	Durango	CO	81302	USA	Community Foundations, Philanthropy	To develop and increase charitable giving that connects donors to community needs in the southwest colorado area.					Organizational and charitable support and scholarships for non-profits in southwest colorado.   the organization administers grants through fiscal sponsorships which have programs that enhance the community. Bear smart, strider safety institute, healthy lifestyles laplata, citizens health advisory council, dumpster beautification, durango botanical society, durango derailers, women's health coalition, sustainability alliance, pagosa skate pavilion, and durango high school cross country team are all fiscal sponsorships.					
The Right Step, Inc.	http://www.therightstepinc.org	303-731-9057	EIN 26-3916353	7990 S. Santa Fe Drive	Littleton	CO	80120	USA	Equestrian, Sports	The Right Step's mission is to better the lives of people with disabilities through the healing power of horses.		Anyone with a developmental, physical, or psychological disability.	92 clients who took 1868 lessons!	Denver Metro	Therapeutic riding lessons.					
Colorado Mission Of Mercy Inc	http://comom.org	(720) 626-9778	EIN 27-1586585	712 9th St	Penrose	CO	81240	USA	Ambulatory & Primary Health Care, Health	The mission of the colorado mission of mercy (comom) is to provide quality dental services, at no cost, to individuals of all ages who cannot afford and access dental care; eliminating dental pain, promoting oral health, creating smiles, and providing oral health education.					Comom is a large-scale dental clinic that is held annually in a colorado community. Each year comom holds a two-day event transforming a facility into a clinic with 125 dental chairs and is able to serve 1,500 patients. At comom patients initially undergo a health and dental evaluation, and then patients are provided with cleanings, fillings, root canals and extractions. When possible, comom dentists prepare porcelain crowns, and interim partial and complete dentures to enable patients to have a natural smile. In order to facilitate sustained oral health, patients are given home-care instruction on how to care for their teeth and the importance of a balanced nutrition and preventive dental care. Comom has demonstrated that nearly 200 volunteer dentists along with hundreds of dental hygienists, assistants, lab technicians, nurses, physicians, pharmacists, and a myriad of lay volunteers will travel to the community and work in tandem with community groups and agencies to better the oral health of those in need.					
A Childs Song Inc	http://www.achildssong.com	303-460-7408	EIN 84-1510927	12301 Grant, Unit 200	Thornton	CO	80241	USA	Arts & Culture, Arts Education, Education, Educational Services, Performing Arts Schools	A Childs Song, Inc. will provide music education and appreciation for the entire family in order to fully develop the brain on individual, group, and community levels in an atmosphere and environment that nurtures, advances, and preserves the art of creating music.				Metro Denver including Evergreen						
Saint Joseph Hospital	http://www.saintjosephdenver.org	(303) 812-2000	EIN 84-0417134	1375 E 19th Ave	Denver	CO	80218	USA	General Hospitals, Health	We reveal and foster god's healing love by improving the health of the people and communities we serve, especially those who are poor and vulnerable.					See schedule "o"					
The Greenway Foundation Inc	http://greenwayfoundation.org/	(303) 455-7109	EIN 51-0193575	1855 S Pearl St #40	Denver	CO	80210	USA	Children & Youth, Environment, Environmental Beautification, Environmental Education, Water, Water Resources, Wetlands Conservation & Management, Youth Development Programs			citizens connect to the South Platte River and it's tributaries	5000 students attend a trip along the River, held two riverside cleanups, employed and trained 12 youth and held over ten different weekend events along the River.	Denver, CO	trail and in-stream enhancements along the River, educational field trips, day camps, youth employment and weekend events.					
Miguel Pro Mission	http://www.miguelpromission.com/	(303) 908-1462	EIN 80-0522462	980 Nickel St	Broomfield	CO	80020	USA	International, International Relief	The Miguel Pro Mission's goal is to help bring about social justice and peace for the people of Juarez, one child, one student, one parent, one family at a time.   Miguel Pro Mission believes that social justice can be achieved. There can be peace. That hope is not lost. We can make a difference in the lives of each child, student, parent and family we touch. We will not change the whole world but we will change the world of those we touch.					Miguel pro mission has supported 100+ students in school from kindergarten through college. Several of thos students have graduated or will be graduating college this year.   the program has been supporting a daycare center that provides safety, early education, and love to the very young children of parents who work 10-12 hours a day. They can go to work knowing their children are well taken care of. As well as a montessori school for 120 low income children kindergarten to 8th grade.   as needed miguel pro mision has help support various construction projects including indoor bathrooms to replace outhouses. Chicken coops, goat pens and greenhouses for families to raise portions of their food supply as well as sell excess.					
Orient Land Trust	http://www.olt.org	(719) 256-5212	EIN 84-1582988	Po Box 65	Villa Grove	CO	81155	USA	Energy Resources Conservation & Development, Environment, General Science, Land Resources Conservation, Technology	Orient land trust is a nonprofit land trust dedicated to the preservation of valley view hot springs (vvhs) and its viewshed- including natural and biologic resources, agricultural lands, wildlife habitat, open space, and historic and geologic features of the northern san luis valley- for the education and enjoyment of current and future generations.					Visitor services: the orient land trust provided lodging and camping services to the public which added up to 28,863 visitors during 2014. Visitors enjoy the many attributes of the property including hiking, soaking, and viewing wildlife, discovery and camp hosts, geology, and bat conservation. Volunteer camp hosts provide assistance to visitors, especially during the busy summer months. Orient land trust facilities are a wonderful model for hydroelectric off-grid electric power.   natural resources conservation and protection: the orient land trust (olt) protects over 2,200 acres of land and is developing management plans to promote sustainability for all of its properties. It continues on-going projects to improve riparian areas, to protect indigenous species, and to eliminate invasive weeds. The reservoir at the ranch is home to a program protecting rio grande chub and rio grande sucker fish species. Olt continues to partner with other conservation organizations and agencies to pinpoint areas of critical concern for conservation through the northern san luis valley conservation roundtable which was created by olt. In addition, olt collaborates with another land trust, working under a memorandum of understanding, to more efficiently provide conservation options to area landowners.					
Ambassadors For Literacy Inc	http://www.ambassadorsforliteracy.net		EIN 84-1523498	2485 Red Hawk Pl	Broomfield	CO	80023	USA	Arts & Culture, Children & Youth, Cultural & Ethnic Awareness, Education, Elementary & Secondary Schools, Literacy, Student Services, Youth Development Programs	AFL is an intervention project that offers emergent literacy training to impoverished youth who utilize this training in Head Start preschool centers. We deposit educational stipends in their college-saver accounts to assist them in financing a college education.										
CDR Associates	http://mediate.org		EIN 84-0770962	3050 Braodway Ste. 300	Boulder	CO	80304	USA	Crime & Law, Dispute Resolution & Mediation, Environment, International, International Peace & Security, Natural Resources Conservation & Protection, Unknown			organizations thrive		Facilitation and Mediation	public involvement and engagement, grievance mechanism design, conflict coaching, training and staff development, public policy and environmental dispute resolution, organizational dispute resolution, contract ombunds services and more.					
Rehabilitation Living Foundation Inc	http://	(970) 568-6631	EIN 72-1608975	Po Box 7058	Loveland	CO	80537	USA	Mental Health, Substance Abuse Prevention	Sober living facility					Serenity houses is a sober living environment where people in recovery can live while getting through the difficult stages of recovery. We are a 12-step based recovery organization. We strive to create an enviroment that is focused on recovery. . In loveland, co, the residents can find a variety of healthy recreation activities, educational opportunities, 12-step meetings and employment opportunities. Our location allows residents an opportunity to continue to participate in a larger society while living in a safe home that will help ensure lasting recovery and sobriety.					
