name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Homeless Ecumenical Leadership Program Inc	http://	(401) 861-9733	EIN 22-3137519	17 N Country Club Dr	Warwick	RI	02888	USA	Unknown			Assist homeless and needy persons of providence and its environs in establishing temporary and permanent housing	Services to poor and homeless		
Parent Support Network Of Rhode Island	http://	(401) 467-6855	EIN 05-0473340	1395 Atwood Ave	Johnston	RI	02919	USA	Human Service Organizations, Human Services			The parent support network provides peer group support and training to families of children with challenging behavior, emotional disorders and mental health issues.	Parent support network of rhode island, inc. Is a non-profit corporation organized to support families with children, youth, and young adults who are experiencing or are at risk for serious behavioral, emotional, and/or mental health challenges. Parent support network of rhode island is an organization of families supporting families with children, youth, and young adults who experience or are at risk for serious behavioral, emotional, and/or mental health challenges. Psn seeks to strengthen and preserve families and reduce family isolation by promoting positive mental health and well being, and building a culturally and linguistically competent system of care, through advocacy, education, training, and increased public awareness.		
Healing Co-Operative	http://www.thehealingcoop.org	(401) 845-6777	EIN 05-0490501	272 Mitchells Ln	Middletown	RI	02842	USA	Counseling, Health, Health Care, Mental Health			Administered various support groups throughout the year	Support programs for women with cancer		
American Cancer Society, Inc.	http://		EIN 91-1925458	400 Main St	Pawtucket	RI	02860	USA							
Wickford Sailing Association Inc	http://	(401) 294-1210	EIN 22-2655514	165 Pleasant St	Wickford	RI	02852	USA	Sports, Swimming & Other Water Recreation			First accomplishment introduce children and adults to sailing, teach basic seamanship, first aid and water safety, advance interested students into intermediate sailing and racing and actually prepare students for collegiate and olympic sailing competition. More than 100 youngsters benefit per year. All other accomplishment expenses necessary to run sailing program	To teach sailing, water safety and first aid.		
New Urban Arts	http://www.newurbanarts.org	401-751-4556	EIN 05-0498654	743 Westminster St.	Providence	RI	02903	USA	Arts & Culture, Performing Arts		Providence, RI	To support the development of providence teenagers through arts and education programs including workshops, classes, unjudged art shows and mentoring programs.   providence youth acts collaborative-joint programs among different youth organizations.	Our mission is to build a vital community that empowers young people as artists and leaders, developing creative practices they can sustain throughout their lives.		
Sigma Phi Alpha Dental Hygiene Honor Society	http://		EIN 36-3825286	80 Upper College Rd Ste 1 Dental Hy	Kingston	RI	02881	USA							
Blackstone Academy Inc	http://www.blackstoneacademy.org	(401) 726-1750	EIN 80-0025718	334 Pleasant St	Pawtucket	RI	02860	USA	Charter Schools, Education			Blackstone academy charter school inc. Includes a free public secondary charter high school and related support services for students from the cities of providence, pawtucket, and central falls, ri. The school is authorized and evaluated by the rhode island department of education (ride). During fy '14, the school was named a "commended" school by the ri department of education for the third year in a row. This distinction occurred because of state assessment scores being at or above state average despite the fact that 80% of the students attending qualify for free/reduced lunch. The commended status also took into consideration the nearly non-existent drop-out rate and high graduation rate. It should be noted that blackstone academy was the only open lottery urban high school in the state to earn the distinction for three years in a row. College acceptances for the class of 2014 included a record number of very competitive colleges including amherst college, brown university, wellesley college, brandeis university, boston college, mount holyoke college, hampshire college and clark university to name a few. The high amount of merit scholarships awarded to this class made it possible for 10/36 students to attend competitive private colleges. Nearly all members of the graduating class were first in their family to attend college. The spirit educational program supports students from blackstone academy and surrounding school districts (providence, pawtucket and central falls, rhode island). The six week summer program engaged 115 students while the twice per month saturday academy and college visit program hosted at least 160 participants throughout the year. Student had a choice of twenty different college visits throughout the school year. This thirty year old program had a summer attendance rate of more than 90% of students all of whom were there on a voluntary basis. The students engaged in project-based learning activities in the community and completed substantial service learning projects. After completing pre/post math and writing assessments, 35% showed significant gains in math and 32% showed significant gains in writing. More than 80% of the students reported that spirit helped them to feel better about themselves, form positive relationships with adults and return to school with a positive outlook on learning. Boston university professor scott seider chose blackstone academy as one of seven schools in the northern united states to study as part of a five year research project. Blackstone was initially chosen because of the successful student academic outcomes and because there is early evidence that the school's focus on civic engagement and school culture is positively affecting these outcomes. Additionally, a boston university sociology phd. Candidate is focusing her research on the effects of blackstone's school culture on the positive cognitive and non-cognitive outcomes of special needs students.	The mission of blackstone academy charter school is to build a strong community of learners and leaders. Our small educational environment helps foster independent inquiry, teamwork, and communication. Our students develop the skills to solve problems and use their voices in ways that lead to success in the academic, social, and professional arenas. They demonstrate their achievements through a process of discovery, presentation, and reflection. Community involvement and community improvement are key themes at bacs. In addition to classes, our portfolio system structures the progression of their learning by having students study themselves and their relationships to others, move forward with an exploration of the local community, and ultimately integrate an understanding of the wider world as students become responsible, motivated, life-long learners.		
Civil Air Patrol 38001 Rhode Island Wing Headquarters	http://www.capnhq.gov/		EIN 23-7561402	PO Box 15233	Riverside	RI	02915	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services				For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.		
National Society Of The Sons Of The American Revolution	http://		EIN 05-6010774	85 Boylston Dr	Cranston	RI	02921	USA							
Carenet-Rhode Island	http://	(401) 941-2051	EIN 05-0439164	35 Greenwich St	Providence	RI	02907	USA	Health, Reproductive Health Care, Reproductive Rights			Provide free sexual integrity counseling as a preventative service as well as free pregnancy testing and follow up information regarding prenatal development as part of the center's new beginnings program.	To empower and educate individuals by teaching them		
Khmer Buddhist Society Of New England	http://		EIN 22-2778839	178 Hanover St	Providence	RI	02907	USA							
United States Power Squadrons	http://		EIN 23-7047430	42 Sleepy Hollow Dr	Cumberland	RI	02864	USA							
Catholic Youth Organization Of The Diocese Of Providence	http://		EIN 05-0258816	1 Cathedral Sq	Providence	RI	02903	USA							
Hellenic Womens Club Inc	http://		EIN 04-3105708	12 Jessica Ln	Narragansett	RI	02882	USA							
Greater Providence Youth Hockey Association Inc	http://www.gpyha.org	(401) 433-3636	EIN 23-7147452	Po Box 130	Barrington	RI	02806	USA	Sports, Winter Sports			To organize, teach and promote youth hockey and good sportmanship	To teach and promote youth hockey		
R H Norton Fund Trust 39214	http://		EIN 36-6037380	Po Box 1802	Providence	RI	02901	USA							
Saints Sahag And Mesrob Armenian Church	http://		EIN 05-6012480	70 Jefferson St	Providence	RI	02908	USA							
Saint Elizabeth Home East Greenwich	http://www.stelizabethcommunity.org	(401) 471-6060	EIN 05-0258998	1 Saint Elizabeths Way	E Greenwich	RI	02818	USA				Saint elizabeth home, east greenwich provides 24 hour nursing care in house and makes no disbursements other than to individuals and suppliers for care to residents of the home.	The organization provides nursing and rehabilitation services for 120 men and women with a 40-bed special care unit for individuals with alzheimer's disease and related dementias. Short-term transitional care provides individuals with the specialized therapy and rehabilitation needed to return home after hospitalizations.		
Neat Foundation Inc	http://		EIN 23-7083682	PO Box 9007	Providence	RI	02940	USA	Education						
Rhode Island Association Of Admissions Officers	http://www.riaao.com	(401) 865-2532	EIN 22-3027084	Po Box 6663	Providence	RI	02940	USA				April guidance counselor tour. Counselors throughout the us and canada travel to 10 ri colleges to learn more about each school. Provides access to education  fall college fair. 200+ colleges from around the country attend to provide access to education for thousands of ri high school students (in excess of 3,000 high school students	Non profit association of 10 ri colleges . The association holds a college fair and conducts guidance counselor tours		
International Berkeley Society Inc	http://		EIN 05-0371687	22 Savoy St	Providence	RI	02906	USA	Education						
The Confetti Foundation	http://confettifoundation.org	(401) 619-4333	EIN 46-4114252	78 Thames St	Newport	RI	02840	USA				Provide birthday celebrations to children while they are in the hospital on their birthdays.	The mission of The Confetti Foundation is to supply party starter kits to children who have to spend their birthday in the hospital. It will be a welcome distraction and a good reminder that every child deserves to be celebrated.	Since the start of The Confetti Foundation in January of 2014, we have celebrated 244 Birthdays in 52 hospitals in 29 states.	
Redeemer Community Chapel	http://		EIN 05-0424654	50 Parkwood Dr	Kingston	RI	02881	USA							
Team Providence	http://		EIN 80-0117843	570 Broad St Ste 301	Providence	RI	02907	USA	Basketball, Sports						
South Kingstown Cares Inc	http://www.skcares.org	(401) 360-1304	EIN 06-1482082	109 Kersey Rd Rm 57	Peacedale	RI	02879	USA	Education			Cares provides traditional classroom volunteers and mentors for students from elementary to high school for students who require help with academics and/or life skills	Education: mentoring & classroom volunteers		
Visiting Nurse Service Of Greater Woonsocket Tr 3-9109-004	http://www.visitingnursehc.org	(401) 769-5670	EIN 05-6085390	6 Blackstone Valley Pl Ste 515	Lincoln	RI	02865	USA	Philanthropy, Public Foundations			The foundation exists to provide support for visiting nurse home care.	The foundation was established to provide support for the visiting nurse service of greater rhode island (now visiting nurse home care).		
Ashaway Ambulance Association Inc	http://	(401) 377-8312	EIN 23-7130170	Po Box 96	Ashaway	RI	02804	USA				Provided medical transportation and ambulance emergency transportation to over 7400 people last year.	To provide ambulance service for an approximate popualtion of over 7000 for ashaway and surrounding communities.		
New Start Housing Incorporated	http://		EIN 05-0480096	807 Broad St Box 47 Ste 448	Providence	RI	02907	USA	Homeless & Housing, Housing Development, Construction & Management						
Moses Brown School Foundation	http://		EIN 23-7067506	Po Box 1802	Providence	RI	02901	USA	Education						
Hp Alliance Inc	http://		EIN 20-8045792	Po Box 10021	Cranston	RI	02910	USA	Civil Rights, Civil Rights, Social Action & Advocacy						
Auburn Public Library Association	http://		EIN 05-0263412	396	Cranston	RI	02910	USA							
Salem Gospel Mission International	http://		EIN 05-0433572	205 Unit St	Providence	RI	02909	USA	Protestant, Religion						
Hymen & Clara Sitrin Trust Ua Fbo Congregation Of Tiferith Zvi	http://	(888) 866-3275	EIN 15-6015022	Po Box 1802	Providence	RI	02901	USA							
Thomas Carr Watson Tr Uw Fbo	http://		EIN 05-6065386	Po Box 1802	Providence	RI	02901	USA							
Barrington Public Library Corp	http://www.barringtonlibrary.org	(401) 247-1920	EIN 05-6012516	281 County Rd	Barrington	RI	02806	USA				Provide membership in rhode island library association, and assistance to the barrington public library in the form of books, materials, services, and theatrical performances for both adults and children.	The organization provides assistance to the barrington public library by providing financial aids from various sources. In doing so, the library is able to broaden and enhance the services that it offers.		
Pawtucket Soup Kitchen	http://	(401) 258-4616	EIN 05-0475296	193 Walcott St	Pawtucket	RI	02860	USA	Community & Neighborhood Development, Economic Development			We operate a soup kitchen monday through friday for breakfast and dinner and saturday brunch for primarily homeless individuals and families in need. During 2014, 30,849 meals were served.	Operate a soup kitchen		
New Life Fellowship	http://		EIN 04-0380964	Po Box 187	No Scituate	RI	02857	USA							
New London County 4-H Foundation Inc	http://		EIN 23-7089970	67 Tom Harvey Rd	Westerly	RI	02891	USA	Children & Youth, Youth Development - Agricultural				Youth summer camp		
Hecht Memorial Fund	http://		EIN 36-6774670	Po Box 1802	Providence	RI	02901	USA	Philanthropy, Private Independent Foundations						
Healthway Inc	http://		EIN 22-2916670	229 Waterman St	Providence	RI	02906	USA							
Grupo Amigos Da Terceira Inc	http://	(401) 722-2110	EIN 05-0467928	Po Box 1002	Pawtucket	RI	02862	USA	Unknown			To assist the needy of new england community with food, rent, medical expenses and help with utilities and to assist orphanages overseas with food and clothing.   to provide scholarships to needy students based on financial need and scholastic aptitude.	Assist the needy and provide scholarships		
The Corliss Institute Inc	http://www.corliss.org	(401) 245-3609	EIN 22-2550175	292 Main St	Warren	RI	02885	USA	Deaf & Hearing Impaired Centers, Disabilities, Job Training, Nonprofit Management, Unknown, Vocational Rehabilitation			Residential program  vocational program	To provide social, habilitation, and employment services to deaf people with diverse disabilities.		
Scituate Ambulance & Rescue Corps Danielson Pike	http://		EIN 05-6011591	Po Box 333	N Scituate	RI	02857	USA	Disaster Aid, Search & Rescue Squads						
Parents And Friends For Alternate Living	http://	(401) 580-3435	EIN 05-0422986	3 Jennings Ave	Cranston	RI	02920	USA	Developmentally Disabled Centers, Disabilities, Human Services			Provided outreach to families of people with disabilities, respite models, and parent support groups	Outreach/advocacy for the disabled/their families		
Ocean State Theatre Company Inc	http://www.OceanStateTheatre.org	(401) 921-6800	EIN 26-0424612	1245 Jefferson Blvd	Warwick	RI	02886	USA	Arts & Culture, Theater	Everyone	RI, MA, CT, NY	Fools January 23-February 10 Rent February 20-March 10 Race March 27-April 14 King and I April 24-May 19 Legally Blonde July 10-July 28	The purpose set forth by Ocean State Theatre Company, Inc. is to preserve and pass on the tradition of live, professional, theatre - including the American Musical - and to pursue avenues of enrichment and education for the benefit of the state of Rhode Island and the surrounding region through the theatre arts	We have reached 80% of our Annual Campaign goal	
Movimiento Pentecostal Monte Sinai	http://		EIN 05-0491340	Po Box 25096	Providence	RI	02905	USA	Protestant, Religion						
Greene Camp Association	http://		EIN 05-0432214	323 Hopkins Hollw Rd	Coventry	RI	02827	USA							
Rhode Island Brotherhood Of Correctional Officers Adult Correc	http://		EIN 05-0371219	Po Box 8273	Cranston	RI	02920	USA							
North Smithfield Mini-Bus Service Inc	http://		EIN 05-0381562	805 Pound Hill Rd	N Smithfield	RI	02896	USA	Emergency Medical Services & Transport, Health				FREE BUS SERVICE FOR THE ELDERLY		
Project Goal Inc	http://www.projectgoal.org		EIN 13-4221810	79 Savoy St	Providence	RI	02906	USA	Children & Youth, Crime & Law, Crime Prevention, Education, Soccer, Sports, Youth Development				Project GOAL, Inc mission is to facilitate the development of Rhode Island's Disadvantaged Youth through after school tutoring and soccer related programs.  Our goal is to create a nurturing after school environment by providing tutoring, educational opportunity information, coaching, and safe facilities for the children involved.		
Block Island Health Services Inc	http://www.bihealthservices.com	(401) 466-2125	EIN 22-2570482	Po Box 919	Block Island	RI	02807	USA	Ambulatory & Primary Health Care, Health			Block island health services is the sole source of medical services on our island. Our staff includes a full time family practice physician, a full time family practice nurse practitioner, a full time rn, a full time receptionist/billing clerk, a part time finance specialist, and an executive director. The urgent care component requires clinicians to be on call 24 hours a day, seven days a week broken up by the clinitians on a bi-weekly rotation. Our population is extremely seasonal. We have about 1,000 full time residents, but fluctuates to 20,000 or more during the high season. There approximately are 5,000 patient visits annually which provide our patient revenues. To supplement our revenues we conduct multiple fundraising campaigns, grant writing and receive funding from the town of new shoreham for operating costs. The seasonality and remoteness of our facility does add to the complexity of the operations and budgeting process. In an effort to provide a wider range of service we rent space to specialists. At this time an acupuncturist, a chiropractor, a dentist, a massage therapist, an orthordontist, a podiatrist, and a psychologist come to the center to provide services to those needing them on block island.	To provide primary care and		
Wentworth Corporation	http://www.gatewayhealth.org	(401) 667-6502	EIN 05-0488520	249 Roosevelt Avenue	Pawtucket	RI	02860	USA	Homeless & Housing, Housing Support			To provide low income housing and access to support services to people with disabilities, primarily behavioral health issues. Wentworth has 5 units located at 91-93 wentworth avenue in cranston, rhode island, 6 units located at 95-97 wentworth avenue in cranston, rhode island, and 4 units located at 78 burnham avenue in cranston, rhode island. The occupancy rate was 98. 89% during the period covered in this return. The waiting list as of 6/30/14 consists of 50 individuals. The 91-93 and 95-97 wentworth avenue locations had no vacancies during the year, while the 78 burnham avenue location had a total of 61 vacant days. In the aggregate, wentworth had a total of 61 vacant days during the period covered in this return.	Wentworth is organized for charitable purposes to provide handicapped persons with housing facilities and access to services which are specifically designed to meet their physical, social, and physiological needs (see schedule o).		
Church Of The Acts	http://		EIN 05-0466920	116 Railroad Ave	Harrisville	RI	02830	USA							
Charlestown Senior Citizens Assoc	http://		EIN 05-0392686	Po Box 1061	Charlestown	RI	02813	USA							
Anyart Contemporary Arts Center	http://		EIN 51-0139414	71 Elmgrove Ave	Providence	RI	02906	USA							
Frances A Mccook Trust Uw 020668 Fbo Antiquarian & Landmarks Soc In	http://		EIN 06-6165876	Po Box 1802	Providence	RI	02901	USA							
Omni Development Corporation	http://omnidevelopmentcorp.com	(401) 461-4442	EIN 22-2721731	810 Eddy St	Providence	RI	02905	USA	Homeless & Housing, Housing Development, Construction & Management			Construct, rehabilitate, develop, sell and manage low-income housing for low-income individuals, families, senior citizens and veterans.	Developing low income housing for individuals, families and veterans in underserved communities in ri, ct and ma.		
Association Of Independent Colleges And Universities Of Rhode Island	http://www.aicuri.org	(401) 272-8270	EIN 05-0380940	50 Park Row W Ste 100	Providence	RI	02903	USA	Education			Collected, accumulated and disseminated information and data to the eight member institution independent colleges and universities in the state of rhode island. Communicated with individuals, organizations, and the general public to explain the contributions and impact of the eight independent higher education institutions' educational, social, cultural, and economic benefits to the people of rhode island and pursued appropriate partnerships to do so. Worked cooperatively and collaboratively with other institutions to assist in meeting the social, educational and health needs, particularly of school children in the city of providence and throughout the entire state. Worked cooperatively with the public institutions of higher education through the rhode island council on higher education and/or the rhode island board of governors for higher education on collection, sharing, and dissemination of information related to the economic, cultural, and educational contributions of higher education to the people of rhode island.	Interpret for the general public the role and contributions of independent institutions of higher learning in rhode island; serve as a central source of information for appropriate public and private agencies, as well as the general public; maximize interrelationships between the independent and public institutions of higher learning within the state in providing optimal educational service to the people and students of rhode island; encourage and facilitate consultation and cooperation among association members regarding academic programs, research, and community service; support joint study with member institutions and appropriate public and private organizations; review the current and future ability of independent institutions of higher education in rhode island to meet the educational needs of the state; provide federal and state level policy and program leadership on higher education issues and coordinate the activities of ri's independent colleges and universities.		
Irving W Mershon Scholarship Fund	http://		EIN 21-6016488	Po Box 1802	Providence	RI	02901	USA							
Operation Support Our Troops Inc	http://		EIN 20-2655437	325 Laurel Ridge Ln	N Kingstown	RI	02852	USA	Human Service Organizations						
Mill River Community Housing Corporation	http://www.gatewayhealth.org	(401) 667-6502	EIN 05-0427152	249 Roosevelt Avenue	Pawtucket	RI	02860	USA	Group Homes, Human Services			To provide low income housing and access to support services to people with disabilities, primarily behavioral health issues. Mill river has a total of 14 units in three locations: 3 units at 64 butler avenue in central falls, rhode island, 6 units at 151 liberty street in central falls, rhode island, and 5 units at 153-155 liberty street in central falls, rhode island. The occupancy rate was 98. 59% during the period covered in this return. The waiting list as of 6/30/14 consists of 49 individuals for a 1-bedroom unit and 7 individuals for a 2-bedroom unit. The 64 butler avenue location had 16 vacant days, the 151 liberty street location had 38 vacant days, and the 153-155 liberty street location had 18 vacant days, for a total of 72 vacant days during the period covered in this return.	Mill river is organized for charitable purposes to provide handicapped persons with low income housing facilities and access to services which are specifically designed to meet their physical, social, and physiological needs (see schedule o).		
Coventry Girls Softball League Inc	http://	(401) 397-4427	EIN 05-0488903	Po Box 454	Coventry	RI	02816	USA				Coventry girls softball league is a recreational and instructional softball league for girls ages 7-17. Approximately 560 girls are members of the league.	Recreation		
A New Leaf	http://		EIN 22-2529900	135 Gano St	Providence	RI	02906	USA	Community Mental Health Centers, Mental Health						
Blue Mitten Thrift Shop	http://	(401) 596-7526	EIN 22-2509176	135 Main Street	Westerly	RI	02891	USA	Human Services, Thrift Shops			The net proceeds from the thrift store are used to provide funding for chorus of westerly, which is a 501(c)(3) organization.	Charitable thrift store.		
In-Sight	http://www.in-sight.org	(401) 941-3322	EIN 05-0272278	43 Jefferson Blvd	Warwick	RI	02888	USA	Blind & Visually Impaired Centers, Disabilities, Eye Diseases, Blindness & Vision Impairments, Health, Health Care, Human Services			Insight radio is a unique radio reading service that provides the daily reading of local and national newspapers, magazines, books, and other printed materials of interest to our listeners. Each week approximately seventy-two local volunteers read everything from the providence journal to time magazine.   rehabilitation program - in-sight's independent living classes help to develop techniques for making the things we do each day easier, safer and more efficient. Working with in-sight's vision rehabilitation staff, as well as other older adult students, program participants work on a wide array of skills including labeling, organization, meal prep, laundry, home mechanics, personal grooming, finances, technology and leisure time activities.   low vision clinic - in-sight's low vision clinic offers evaluations for people who have some remaining vision. With the help of task lighting, magnifiers, glasses and other devices, many visually impaired people find it easier to accomplish common daily tasks.	Inspire confidence, build skills, and empower people who are blind and visually impaired to become fully integrated, equally valued memebers of society by providing diverse services that produce opportunities and choices.		
West Warwick Wizards Awards Association Inc	http://		EIN 23-7135212	Po Box 301	W Warwick	RI	02893	USA							
Friends Of The Barrington Public Library Inc	http://		EIN 22-2492219	281 County Rd	Barrington	RI	02806	USA							
Warm Center	http://warmcenter.org	401-596-9276	EIN 	56 Spruce St	Westerly	RI	02891	USA	Food, Food Programs, Homeless & Housing, Homeless Centers, Homeless Shelters		Southern RhodeIsland		The mission of WARM (Westerly Area Rest Meals) is to provide a continuum of care and service to the homeless and needy by providing affordable housing and assuring supportive services, and to help the homeless and needy build self-esteem and move toward independent and responsible living.		
Block Island Conservancy Inc	http://www.biconservancy.org	(401) 466-3111	EIN 23-7226378	Po Box 84	Block Island	RI	02807	USA	Environment, Land Resources Conservation			Acquisition and maintenance of open land and land interests for the purpose of preservation and conservation of natural resources.   educational program including the provision of informational tours of block island	The conservancy's mission is to preserve,		
Foster Senior Housing Inc	http://	(401) 949-0270	EIN 05-0384420	110 Foster Center Road	Foster	RI	02825	USA				Own and operate a 30 unit elderly complex under usda rural development guidelines	Own and operate a 30 unit elderly complex under usda rural development guidelines		
City Of Hope	http://www.cityofhope.org		EIN 94-3142690	200 Harrison Ave	Newport	RI	02840	USA	Cancer, Cancer Research, Health, Medical Research, Specialty Hospitals				City of Hope, an innovative biomedical research, treatment and educational institution, is dedicated to the prevention and cure of cancer and other life-threatening diseases, guided by a compassionate, patient-centered philosophy and supported by a national foundation of humanitarian philanthropy.		
Pta Rhode Island Congress Of Parents And Teachers	http://		EIN 05-6000670	600 Mount Pleasant Ave Bldg 6	Providence	RI	02908	USA	Education, Parent & Teacher Groups				Improve & promote health, education & welfare of youth & children		
Mosaico Community Development Corporation	http://	(401) 253-4627	EIN 05-0479029	240 High St	Bristol	RI	02809	USA	Community Improvement & Capacity Building			Mentoring, job training programs, workforce planning and facade improvement and neighborhood marketing and promotion.	Neighborhood redevelopment		
Sail Usa Inc No 2412	http://		EIN 22-2697970	19 Nooseneck Hill Rd	W Greenwich	RI	02817	USA	Sports, Swimming & Other Water Recreation						
Ronald Mcdonald House of Providence Inc	http://www.rmhprovidence.org	401-274-4447	EIN 05-0434218	45 Gay St	Providence	RI	02905	USA	Health, Patient & Family Support		RI,MA,CT,NY,USA	The cornerstone program, the Ronald McDonald House temporary home  offers comfort and care to families with children receiving treatment at local hospitals and medical facilities in Providence.	The Ronald McDonald House of Providence provides programs that directly improve the health and well-being of hospitalized children and their families.	Volunteers are the "Heart of our House." They serve in many ways and without their loyal support we would not survive. In 2012, we had over 150 volunteers who donated nearly 9,000 hours of their time between the House and Family Room. In addition, nearly 670 volunteers donated 11,122 hours towards our Special Event efforts.	
Meta Smith Tr Falmouth Hos Asc	http://	(888) 866-3275	EIN 04-6364164	Po Box 1802	Providence	RI	02901	USA	Health, Hospitals						
Westerly Senior Citizen Center Association	http://		EIN 06-6000576	39 State St	Westerly	RI	02891	USA	Human Services, Senior Centers, Seniors						
Charles F Barth Fbo St Georges Episcopal Church	http://	(888) 866-3275	EIN 38-6063156	Po Box 1802	Providence	RI	02901	USA	Protestant, Religion						
What Cheer Art Company	http://www.whatcheer.org		EIN 05-0480604	Po Box 23011	Providence	RI	02903	USA	Arts & Culture, Arts, Culture & Humanities, Fairs, Performing Arts, Sports				We enable Rhode Island artists to create and fulfill projects and visions that they would not otherwise be able to do themselves.		
Independent Living Authority Prov	http://	(401) 727-0150	EIN 05-0387502	500 Prospect Street	Pawtucket	RI	02860	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing			Eighty-one housing units are made available to handicap, elderly and low income families under sections 202 and 8 housing.	The organization provides housing assistance to be made available to the elderly and handicapped under sections 202 and 8 housing.		
Middletown Tree Association	http://		EIN 06-1493808	207 Vernon Ave	Middletown	RI	02842	USA	Environment, Environmental Beautification						
Church Of Gospel Ministry	http://		EIN 05-0371411	141 Doyle Ave	Providence	RI	02906	USA							
Visiting Nurse Services Of Newport And Bristol Counties	http://www.vnsri.com	(401) 682-2100	EIN 05-0258915	1184 E Main Rd	Portsmouth	RI	02871	USA	Health, Health Support, Public Health, Rehabilitative Care			Provides comprehensive home care and hospice services.	Visiting nurse services of newport and bristol counties provides community services that promote optimal health and quality of life for individuals and families.		
THE WEST WARWICK  JAYCEES  Alumni Association	http://		EIN 05-0458825	PO Box 348	W Warwick	RI	02893	USA	Leadership Development, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Public & Societal Benefit				We as Mentors and Alumni, help to foster individual enhancement and leadership development skills through community involvement, civic responsibility and social justice relations for young adults.		
Elizabeth W Hoffman Memorial Tr	http://		EIN 14-6014207	PO Box 1802	Providence	RI	02901	USA							
Interfaith Counseling Center Inc	http://		EIN 05-0357815	1 Richmond Sq Ste 106k	Providence	RI	02906	USA							
Jeanne Poli Tr Fbo Youville Hospital & Rehabil	http://	(888) 866-3275	EIN 06-6352906	Po Box 1802	Providence	RI	02901	USA							
Obed Apartments Inc	http://www.gatewayhealth.org	(401) 667-6502	EIN 05-0422771	249 Roosevelt Avenue	Pawtucket	RI	02860	USA	Mental Health, Residential Mental Health Treatment			To provide low income housing and access to support services to people with disabilities, primarily behavioral health issues. Obed has 10 units located at 154 obed avenue in north providence, rhode island. The occupancy rate was 99. 26% during the period covered in this return. The waiting list as of 6/30/14 consists of 75 individuals. There were 27 vacant days during the period covered in this return.	Obed is organized for charitable purposes to handicapped persons with low income housing facilities and access to services which are specifically designed to meet their physical, social, and physiological needs (see schedule o).		
Women & Infants Corporation	http://www.womenandinfants.org	(401) 681-1150	EIN 22-2885807	101 Dudley St	Providence	RI	02905	USA	Health			The corporation supports women & infants hospital of rhode island and other organizations affiliated with the corporation in a health system of publically related supported charities.	The mission of women & infants corporation is to support the women & infants hospital of rhode island and other organizations affiliated with the corporation. The hospital, a teaching hospital of the warren alpert school of brown university, is committed to improving health and well being of women and infants and to provide essential services regardless of ability to pay.		
