name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Love In The Name Of Christ Of The Tanana Valley	http://	(907) 452-3876	EIN 94-3047380	818 26th Ave	Fairbanks	AK	99701	USA		Mobilize the church to transform lives and communities in the name of christ. Local churches come together as a network. It is a cooperative partnership that enables churches to make a lasting impact on individuals, families, and children in need.				The clearinghouse is the foundation of love inc. Volunteers in the clearinghouse screen requests for help for extent of need and legitimacy and refers the request to a local church ministry, church volunteer, or community agency (to avoid service duplication). Through clearinghouse referrals, church volunteers are given opportunities to meet practical needs of the poor and needy in the fairbanks north star borough without regard to race, creed or religion. In 2014, the clearinghouse received 695 requests for help; 126 needs were referred to agencies and 287 needs referred to churches and love inc programs. Church volunteers deliver food boxes, shop and clean for shut-ins, pay for emergency rent, utilities and medical prescriptions, provide gratis counseling services, medical and dental care and so much more!  limited public transportation, a harsh climate and long distances between places of business all contributed to the development of the transportation department. Love inc is the only source of free, door-to-door rides in fairbanks. Since its' inception in 1992 through december of 2014, the transportation program has provided 75,500 rides. In 2014 the transportation department provided 1,166 rides to area citizens through this program. Clients must be first referred to the program through the clearinghouse. Love inc coordinates the ride schedules with volunteers who have set aside one day per week, either a morning or an afternoon, to be available to give rides. Additional rides are provided through church volunteers for clients whose needs didn't fit the eligibility criteria for a program referral.  thanksgiving food box deliveries and meals: each year, the local food bank prepares hundreds of special holiday food boxes with turkey and all the trimmings. Each year love inc provides deliveries of those food boxes to families who lack transportation and means to pick up their own food. Love inc also interviews and selects up to three dozen seniors for home cooked thanksgiving meals delivered to their door, warm and ready to eat! In 2014, 16 seniors received home cooked meals and other seniors had their food boxes delivered to them so that they could prepare the meal on their own. The create-a-gift bazaar: since 1991, the create-a-gift bazaar has been providing a means for teaching crafts to people from all parts of the community. Low-income families are able to provide christmas gifts to their families for no cost. In 2014 approximately 500 individuals attended to include low-income families. The others paid a nominal $10 per person or $40 per family entrance fee. In 2014, 167 volunteers helped the attendees make quality craft items to give as gifts for christmas. Adopt-a-family: churches, civic groups, and businesses "adopt" carefully chosen families needing help at christmas. The families in this program are referred into the program. This is not an assistance that a client can request. Referrals are gathered from school counselors, church pastors and from the love inc clearinghouse. The chosen families are interviewed to find out about their needs-things that would benefit the family such as groceries, fuel, clothing, household needs, etc. As well as "fun" ideas for the kids. Each group, upon being "matched" with a family, are provided with their customized list of needed items and ideas on the most beneficial ways to help each family. In 2014, 50 families including 63 adults and 143 children and six group homes were blessed at christmas through the adopt-a-family program by 46 sponsors. Santa's helpers: volunteers collect new & used toys from the community using drop off locations. In conjunction with the fairbanks community food bank, 236 needy families, including 354 adults and 607 children, received food boxes and toys for children in time for christmas.	
Saakaaya Corp.	http://		EIN 92-0087635	321 W Manor	Anchorage	AK	99501	USA	Children & Youth,Foster Care						
Arctic Slope Native Association Ltd	http://www.arcticslope.org	(907) 852-2762	EIN 91-0873623	Po Box 1232	Barrow	AK	99723	USA	Unknown	The arctic slope native association was organized as an alaskan non- profit corporation dedicated to the cause of native self-determination. Asna responds to the needs and priorities of the recognized tribal councils to encourage and support self-respect, pride and well-being of the native members of the arctic slope region.				Ihs hospital - to service the nedical needs of the approximately 8,000 residents or the north slope borough.  barrow replacement hospital construction.  social services - to provide child welfare, family and community services, foster care, bia assistance, and essential needs to eligible indian people.	
Alaska Womens Network	http://		EIN 92-0161506	8601 Sultana Dr	Anchorage	AK	99516	USA	Centers to Support the Independence of Specific Populations,Human Services						
Toastmasters International	http://www.toastmasters.org		EIN 94-2986043	2207 Spenard Suite 202	Anchorage	AK	99503	USA	Community Service Clubs	The mission of a Toastmasters Club is to provide a mutually supportive and positive learning environment in which every member has the opportunity to develop communication and leadership skills, which in turn foster self-confidence and personal growth.					
Anchorage Hockey Association Ltd	http://www.anchoragehockey.com	(907) 279-6828	EIN 92-0031799	Po Box 202069	Anchorage	AK	99520	USA	Sports,Winter Sports	The association's mission is to develop and promote recreational and competitive youth ice hockey programs and to promote the sport of ice hockey.				The association provides hockey clinics, coaching and tournaments to anchorage area youth, ranging in ability from beginners to competitive level skaters.  the association provides hockey clinics, coaching and tournaments to anchorage area youth, ranging in ability from beginners to competitive level skaters.	
Sigma Theta Tau Inc	http://		EIN 36-3479039	3211 Providence Drive Hsb 101	Anchorage	AK	99508	USA							
Ester Volunteer Fire Department	http://www.esterfire.org	(907) 479-6858	EIN 92-0111226	Po Box 229	Ester	AK	99725	USA		The ester volunteer fire department shall provide the citizens of the ester fire service area and the interior of alaska with progressive and effective protection of life and property from the impacts of emergencies.				Volunteer fire department providing ems services and fire protection and prevention for the community of ester and surrounding community of 3500 residents.	
Eagle Historical Society Of Alaska	http://www.eaglehistoricalsociety.com	(907) 547-2325	EIN 92-0093792	Po Box 23	Eagle	AK	99738	USA		Collect, preserve and share local history				History museum programs, general/other: maintain and operate tours history museum programs, general/other: maintain society office and redman community hall and collections of photography and archives (3600 archive materials) history museum curatorial & exhibition programs: museum exhibits, preservation and conservation (3500 exhibit objects)	
Vaccination News A Nonprofit Corporation	http://www.vaccinationnews.com		EIN 20-3923001	PO Box 111818 c/o Sandy Gottstein	Anchorage	AK	99511-1818	USA	Health	http://www.vaccinationnews.com/mission-statement	We welcome donations, large or small.	Anyone and everyone concerned about vaccine safety and health freedom.	The World		
Anchorage Concert Association Inc	http://www.anchorageconcerts.org	(907) 272-1471	EIN 92-6002302	430 W 7th Ave Ste 200	Anchorage	AK	99501	USA	Arts & Culture,Performing Arts Centers	Our mission is to promote and maintain performing arts excellence in the community.				Promotion and production of performing arts presentations and the generation of revenues from ticket sales. Enhances the artistic and cultural environment of anchorage and alaska.	
University Of Alaska-Fairbanks Alumni Association	http://	(907) 474-7081	EIN 92-0116506	201 Constitution Hall	Fairbanks	AK	99775	USA	Education,Student Sororities & Fraternities	The association furthers its exepmt purpose through various special events and promotional activities such as alumni mentors, alumni recruiters, job shadowing and alumni legislative activities. All are programs targeted towards the acheivement of the associations goals.				The association furthers its exepmt purpose through various special events and promotional activities such as alumni mentors, alumni recruiters, job shadowing and alumni legislative activities. All are programs targeted towards the acheivement of the associations goals.	
Chugiak-Eagle River Nordic Ski Club	http://		EIN 92-0118534	Po Box 770117	Eagle River	AK	99577	USA							
Alaska Society For Prevention Of Cruelty To Animals	http://alaskaspca.org		EIN 92-0068910	549 W Intl Airport Rd Ste B2	Anchorage	AK	99518	USA	Animal Protection & Welfare,Animal-Related,Animals,Veterinary Services	The Alaska SPCA's mission is to protect animals from cruelty: be an advocate for their moral and ethical treatment: provide them with adequate shelter when in need: educate the public on responsible pet ownership: provide a low cost SPAY/NEUTER Clinic and work toward the goal that all adoptable animals be placed into responsible homes.  The Alaska SPCA has successfully operated a SPAY/NEUTER Clinic in Anchorage since August 1978. To help accomplish our 'mission', a State-of-the-art Mobile SPAY Clinic was purchased and in February 1999 began serving other Alaskan communities.  Appreciation and response has been overwhelming!					
Christian Health Associates	http://		EIN 92-0152088	1825 Academy Dr	Anchorage	AK	99507	USA	Mental Health,Mental Health & Crisis Intervention						
The Entrepreneurs And Mentors Network Inc	http://		EIN 94-3091128	Po Box 244821	Anchorage	AK	99524	USA							
Ann Stevens Memorial Fund	http://		EIN 92-0072827	1605 W 12th Ave Apt 40	Anchorage	AK	99501	USA							
Bridges Community Resource Network Inc	http://		EIN 92-0151271	35911 Kenai Spur Hwy Ste 9	Soldotna	AK	99669	USA	Philanthropy,Philanthropy, Voluntarism & Grantmaking Foundations						
Older Persons Action Group Inc	http://		EIN 92-0038231	3340 Arctic Blvd Ste 106	Anchorage	AK	99503	USA	Human Services,Senior Centers,Seniors	Older Persons Action Group was founded in 1968 to improve services, develop programs, educate, promote and implement changes to foster self-determination of older Alaskans.					
Kegoayah Kozga Public Library, Inc.	http://		EIN 92-6002627	PO Box 53	Nome	AK	99762	USA							
Cordova Family Resource Center	http://		EIN 92-0146388	Po Box 863	Cordova	AK	99574	USA	Community Service Clubs						
Southeast Regional Resource Center Inc	http://serrc.org	(907) 586-6806	EIN 92-0058572	210 Ferry Way	Juneau	AK	99801	USA	Education	Serrc is alaska's educational resource center dedicated to delivering exemplary services and programs to alaska school districts.				Related services - during fy14 serrc remained the largest provider of related special education services. Related services include speech therapy, physical therapy, occupational therapy and school psychology.  technology operations - the serrc tech-ops team engineer, implement and maintain customized technology services to improve student achievement and district efficiences. In fiscal year 2014 tech-ops provided services to seventeen alaska school districts, including tech support and help desk services.  facilities - serrc's facilities services assists school districts to secure building and maintenance funding. In fiscal year 2014 serrc wrote eighty-two percent of the school construction applications and one hundred percent of projects funded. Serrc assisted twenty-three school districts with maintenance of nearly six hundred building and over five hundred thousand work orders.  other programs include: senior and youth employment programs, adult vocational and continuing education, and other support services provided to school districts throughout alaska.	
Juneau Community Garden Assoc	http://		EIN 92-0148764	Po Box 33395	Juneau	AK	99803	USA	Environment,Garden Clubs						
National Spiritual Assembly Of The Bahais Of Alaska Inc	http://		EIN 92-0035470	13501 Brayton Dr	Anchorage	AK	99516	USA							
Mcgrath Road Baptist Church	http://		EIN 92-0080784	1100 Mcgrath Rd	Fairbanks	AK	99712	USA							
Anchorage Grace Brethren Church Inc	http://		EIN 92-0066240	12407 Pintail St	Anchorage	AK	99516	USA							
Haines Foursquare Church	http://		EIN 94-3252311	PO Box 588	Haines	AK	99827	USA							
American Cancer Society, Inc.	http://		EIN 92-0018599	1057 W Fireweed Ln Ste 204	Anchorage	AK	99503	USA							
Pta Alaska Congress	http://www.alaska.net/~akpta/		EIN 94-3208774	722 Mill Bay Rd	Kodiak	AK	99615	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
Matanuska Valley Sportsmen Inc	http://www.mvsrange.com	(907) 746-4862	EIN 92-0097677	Po Box 1875	Palmer	AK	99645	USA	Education	To educate members and the general public regarding the safe handling of firearms, and to promote a better understanding of firearm use.				At the end of 2014, membership stood at 1,463 members, no change from last year. During 2014, 6,435 people fired at the range, a decrease of 5% from the previous year. Included in those numbers are 436 youth (9% more than last year) and 1,443 ladies (4% more than last year). The ladies night program continues to be successful. More classes have been provided and attendance is up. Over 1. 09 million rounds were fired at the range during the year. The sponsorship for the junior teams has continued and team members placed highly in local and national competition. A classroom continues to be well used and has a high occupancy factor. Volunteer range safety officers, instructors, board members, and others provided over 8,000 volunteer labor hours to the organization at a value of $20 per hour for a total value of $160,000.  a gun show was sponsored during 2014 to provide members and the public: 1) the opportunity to view new developments in the firearms industry, 2) the opportunity to upgrade personal and professional equipment, 3) to purchase new and specialized personal and professional equipment and supplies, 4) the opportunity to observe historically significant educational displays, and 5) to sell un-needed personal supplies and equipment. Over 99 vendors displayed and over 2,500 people attended.  competitions and training classes were offered an average of twice per week. Over 350 people were trained in both formal and informal training classes. The classes given provided training from introduction to firearms through advanced personal defense and included range safety officer training and refuse to be a victim training. We continue to develop new classes to add to the offerings.	
Straw for Dogs	http://www.strawfordogs.org		EIN 38-3847207	645 G St Ste 1175	Anchorage	AK	99501	USA	Animal Protection & Welfare,Animals	Quality care taking, resources and supplies for pets outdoors.		pets outdoors.	Alaska	free supplies: doghouses, straw, food, cable tie outs to replace chains, fencing to get a dog free from a tie out, bowls, toys ,treats as well as services like spay/neuter, vaccinations, vetting  and refuge/ rehoming when able.	
Alaska Korean Christian Reformed Church	http://		EIN 92-0133787	709 W Intl Airport Rd	Anchorage	AK	99518	USA							
Alaska Perinatal Research Foundation	http://		EIN 92-0112644	3340 Providence Drive	Anchorage	AK	99508	USA							
Marine And Environmental Education	http://		EIN 91-1829208	3804 Helvetia Dr	Anchorage	AK	99508	USA	Environment,Water,Water Resources, Wetlands Conservation & Management						
Seward Community Library Association Inc	http://		EIN 92-0018660	Po Box 2023	Seward	AK	99664	USA							
Kachemak Heritage Land Trust Inc	http://www.kachemaklandtrust.org	(907) 235-5263	EIN 94-3104608	315 Klondike Ave	Homer	AK	99603	USA	Environment,Land Resources Conservation	Land conservationkachemak heritage land trust preserves,for public benefit,land on alaska's kenai peninsula with significant natural,recreational or cultural values by working with willing land owners.				Acquire: continued our work to acquire priority parcels on the anchor river identified as cold water habitat for salmon. Anchor river acquisition projects were in progress through 2014. Worked towards transforming our poopdeck platt property into a community park to demonstrate conservation on our landscape with the help of nps's rivers, trails, conservation assistance program (rtca); continued work to increase the acreage in our anchor river salmon conservation area, protecting critical salmon habitat; continued work on our mountain to sea project to protect salmon bearing streams from the headwaters to the ocean.  maintain: completed construction and installed interpretive signs on a light penetrating boardwalk on our effler property for public access to a wetland that feeds the city of homer water supply. Transferred ownership of the victor holm property that is on the national register of historic places to the kasliof regional historical association. Worked with local outdoor education organization to reconstruct fencing on poopdeck platt property.  outreach: continued work on wings over western waters initiative to bring western land trusts together working with bird conservation organizations to form partnerships contributing to large scale conservation initiatives, including work with cornell laboratory of ornithology on a national survey of land trusts. Worked in collaboration with science partners on anchor river outreach. Conducted tours of khlt-conserved lands and made a presentation as part of the homer shorebird festival. Increased community presence through social, radio and print media.	
Regional Citizens Advisory Counsel	http://www.pwsrcac.org	(907) 277-7222	EIN 92-0133631	3709 Spenard Rd Ste 100	Anchorage	AK	99503	USA	Environment	Promoting environmentally safe operation of the alyeska terminal in valdez and the oil tankers that use it. The council performs a variety of functions aimed at reducing pollution from crude oil transportation through prince william sound and the gulf of alaska. The council increases public awareness of the valdez marine terminals oil spill response, spill prevention and environmental protection capabilities, as well as the actual and potential environmental impacts of terminal and tanker operations.				Oil spill prevention and response-works to minimize the risks and impacts associated with oil transportation through strong spill prevention and response measures, adequate contingency planning, and effective regulations; terminal operation and environmental monitoring-identifies actual and potential sources of episodic and chronic pollution at the valdez marine terminal; port operations and vessel traffic systems; monitors port and tanker operations.	
Polynesian Association Of Alaska Inc	http://		EIN 03-0552932	8060 Country Woods Dr	Anchorage	AK	99502	USA	Ethnic &  Immigrant Centers,Immigration						
Alaska Christian Church	http://		EIN 92-0154091	12020 Timberlane Dr	Anchorage	AK	99515	USA	Protestant,Religion						
Alaska Legal Services Corporation	http://www.alsc-law.org	(907) 272-9431	EIN 92-0034754	1016 W 6th Ave Ste 200	Anchorage	AK	99501	USA	Civil Rights,Crime & Law,Legal Services,Public Interest Law	To provide meaningful access to justice in resolving civil legal problems for low-income clients, thus promoting family stability and reducing legal consequences of poverty.				With funding from the legal services corporation, alsc took in applications from 747 households during 2014, providing legal advice or representation to 238 of those households containing 522 individuals. During the course of the year, including carryover and new cases, 389 households received lsc-funded assistance from alsc. Additionally, alsc used lsc funds to develop and distribute self help legal resources through our website and through conducting multiple community legal education clinics. It is estimated these resources provided assistance to thousands more low-income households.  with a designated legislative grant from the state's department of commerce, community, and economic development , alsc provided legal advice and/or representation in non-criminal matters to additional indigent alaskans throughout the state.  with funding from dhss grants (title iii nts and family caregiver), alsc took in applications from 1326 households, providing legal advice or representation to 767 of those households containing 993 individuals. There were 1471 open cases during the year.	
Little Bears Playhouse	http://www.littlebearsplayhouse.org	(907) 783-2003	EIN 92-0087993	Po Box 350	Girdwood	AK	99587	USA	Child Day Care,Children & Youth	To provide a safe, caring environment that promotes sound economic, social, cognitive and physical development of children while strengthening and encouraging positive relationships among childcare professionals, families and our community.				We successfully operate a high quality early learning center for children ages one year to pre-kindergarten age. We operated 251 days per year and served over 40 families. Our average daily attendance was between 14-16 children per day. Our objective is to continue to operate at this level for the future. In addition, our long term goal is to obtain a lease for our property and design and build a new facility so that we can increase our enrollment to better serve our community.	
Iditarod Trail Committee Inc	http://www.iditarod.com	(907) 376-5155	EIN 92-0043991	Po Box 870800	Wasilla	AK	99687	USA						To promote and preserve the historic iditarod trail, most notably through the annual staging of a sled dog race from anchorage to nome, alaska.	
Delta-Greely Youth Hockey & Skating Assoc	http://		EIN 92-0137854	Po Box 395	Delta Jct	AK	99737	USA	Sports,Winter Sports						
King Cove Bible Church	http://		EIN 94-3116603	Po Box 45	King Cove	AK	99612	USA							
Sitka Conservation Society	http://www.sitkawild.org	(907) 747-7509	EIN 92-0096633	Po Box 6533	Sitka	AK	99835	USA	Environment,Forest Conservation,Natural Resources Conservation & Protection	Educating the public about conservation issues				Distributing information on local and regional conservation issues and generating related information for public use	
Dimond Boulevard Baptist Church	http://		EIN 92-0120504	3616 W Dimond Blvd	Anchorage	AK	99502	USA							
Alaska Association Of Fire And Arson Investigators Inc	http://		EIN 94-3090828	Po Box 671468	Chugiak	AK	99567	USA	Disaster Aid,Fire Prevention						
Gustavus Community Clinic Inc	http://	(907) 697-3008	EIN 92-0151711	Po Box 334	Gustavus	AK	99826	USA	Community Clinics,Health	Medical clinic for the community of gustavus, alaska				Provide primary and emergency medical care to the community and citizens of gustavus, alaska	
Mccarthy-Kennicott Community Church Inc	http://		EIN 92-0152686	Po Box Mxy	Glennallen	AK	99588	USA	Christianity,Religion						
Manna Independent Baptist Church	http://		EIN 92-0081982	Po Box 1048	Palmer	AK	99645	USA							
Abundant Living Inc	http://	(907) 279-8551	EIN 92-1051102	5313 Arctic Blvd Ste 206	Anchorage	AK	99518	USA		To improve the lifestyles of anchorage senior citizens				The organization works to improve the lifestyles of senior citizens of the south side of the municipality of anchorage. The organization has developed a residential senior facility which provides 48 low-rent appartments to senior citizens allowing them to work together to improve their quality of life.	
Afn Foundation	http://		EIN 94-3123119	1577 C Street 300	Anchorage	AK	99501	USA	Philanthropy,Philanthropy, Voluntarism & Grantmaking Foundations						
Horizons Unlimited	http://		EIN 92-0107424	P O Box 1310	Valdez	AK	99686	USA	Developmentally Disabled Centers,Disabilities,Human Services						
Stewards Inc	http://		EIN 92-6004571	900 W Dimond Blvd	Anchorage	AK	99515	USA							
Toastmistress Clubs International Knik Toastmistress Club	http://		EIN 23-7079399	Box 395	Eagle River	AK	99577	USA							
Anchorage Cooperative Preschool Inc	http://	(907) 279-0923	EIN 92-0038797	3031 Latouche St	Anchorage	AK	99508	USA		Preschool				Preschool children (ages 3-6) are provided with educational program 5 mornings, 3 afternoons per week from september to may. 31 children benefited.	
Haines Art Council Inc	http://		EIN 92-0104554	Po Box 505	Haines	AK	99827	USA							
Ninilchik Senior Citizens Incorporation	http://		EIN 52-1323828	Po Box 39422	Ninilchik	AK	99639	USA	Food,Meals on Wheels	WE ARE DEDICATED TO MAKING LIFE EASIER, MORE INTERESTING AND PROVIDING ASSISTANCE TO OTHERS IN NEED AMONG OUR MEMBERS AS WELL AS THE SURROUNDING COMMUNITY IN WAYS WHICH LIFT THE SPIRIT & GIVE A FEELING OF LOVE TO EACH OTHER. WE ARE DEDICATED TO ASSISTING ONE ANOTHER THROUGH COOPERATION, RESPECT & STRENGTH OF SPIRIT, SO THAT EVERYONE FEELS WELCOME & THEIR CONTRIBUTIONS VALUED.					
Juneau International Folk Dancers	http://		EIN 92-0069996	Po Box 241031	Douglas	AK	99824	USA							
Pioneer Memorial Park Inc	http://		EIN 92-0042250	Po Box 70176	Fairbanks	AK	99707	USA							
Spiritual Assembly Of The Bahais Of Palmer	http://		EIN 92-0075276	Po Box 2	Palmer	AK	99645	USA							
Jesus Video Project Alaska	http://		EIN 92-0156707	P.O. Box 91280	Anchorage	AK	99509	USA	Protestant,Religion						
Eagle River Lions Foundation	http://	(907) 694-9958	EIN 94-3055546	Po Box 771046	Eagle River	AK	99577	USA		Contribution to civic, educational and medical needs of members of the community				Contribution to civic, educational and medical needs of members of the community	
Alaska Junior Theater Inc	http://www.akjt.org	(907) 272-7546	EIN 92-0081984	430 W 7th Ave Ste 30	Anchorage	AK	99501	USA	Arts & Culture,Theater	To present a live theater experience to the junior citizens of the community of anchorage and the state of alaska.				Production - includes all functions necessary to plan and perform theater productions of the alaska junior theater including: - school performances for students where 2,300 scholarships valued at $15 per seat were given to students. - public family shows were presented and 537 complimentary tickets were given to the public.	
Moose Pass Public Library Inc	http://		EIN 92-6002638	Po Box 154	Moose Pass	AK	99631	USA							
Friends Of The Glory Hole	http://		EIN 91-1822884	PO Box 211231	Auke Bay	AK	99821	USA	Christianity,Religion						
Trout Unlimited	http://		EIN 52-1491936	799 Quasar Dr	Fairbanks	AK	99712	USA	Environment,Natural Resources Conservation & Protection,Pollution Abatement & Control,Water,Water Resources, Wetlands Conservation & Management	Founded in 1959, TU is the leading conservation organization dedicated to conserving, protecting, and restoring, North America's trout and salmon fisheries and their watersheds. Our 100,000 members are organized into 450 local chapters nationwide.  These volunteer chapters are the "watchdogs" of their local rivers and streams.  They conduct stream restoration projects, monitor legislation, and fight for "fish friendly" policies with state and local officials.  Through its Washington DC-based national headquarters, TU conducts valuable scientific and economic research to foster more enlightened trout and salmon management practices, lobbies to strengthen environmental legislation like the Clean Water Act and Endangered Species Act, and provides a voice for its 100,000 members.					
Law Project For Psychiatric Rights Inc	http://		EIN 55-0805233	406 G St Ste 206 No 206	Anchorage	AK	99501	USA	Civil Rights,Disabilities,Disabled Persons Rights	ADVOCACY IN DEFENSE OF PEOPLE FACING UNWARRANTED PSYCHIATRIC DRUGGING					
Denali Arts Council	http://		EIN 92-0083375	Po Box 404	Talkeetna	AK	99676	USA							
Bristol Bay Development Foundation	http://		EIN 92-0087035	PO Box 310	Dillingham	AK	99576	USA	Science & Technology,Technology						
TRUSTEES FOR ALASKA	http://www.trustees.org	907.276.4244	EIN 92-6010379	1026 W 4TH Ave Ste 201	Anchorage	AK	99501	USA	Environment	Trustees for Alaska is a nonprofit public interest environmental law firm working to protect and sustain Alaska's most valuable assets -- its lands, waters, wildlife, and people. We provide legal counsel to diverse constituencies, free-of-charge, on the major environmental policy issues facing Alaska. We work on behalf of community and citizen groups, Native villages, statewide coalitions, local and national conservation groups, hunting and fishing groups, and individual Alaskans, clients that could not otherwise access or afford legal counsel to address a public interest environmental issue.	Established in 1974, Trustees for Alaska has defended Alaska most vulnerable assets from a variety of threats for four decades. Highlights from our legal work include: protecting the Arctic National Wildlife Refuge from oil and gas development, ensuring governmental agencies follow established natural resources rules for development, listing the Cook Inlet beluga whale as a threatened species, and protecting the world's largest remaining wild salmon fishery in Bristol Bay from mining threats.	People who want Alaska's natural assets protected.	Alaska	We provide legal counsel in five key programmatic areas: America's Arctic, Climate Change, Clean Air and Water, Wildlands and Wildlife, and Marine Environments.	
Tanalian Outstanding Performance Scholarships	http://		EIN 92-0151642	1 School Road	Port Alsworth	AK	99653	USA	Education,Scholarships,Scholarships & Student Financial Aid						
Palmer Senior Citizens Center Inc	http://	(907) 745-5454	EIN 92-0078503	1132 S Chugach St	Palmer	AK	99645	USA		Our primary mission is to promote honor, dignity, security, and independence for older alaskans and to assist them in maintaining meaningful, quality lives.				Nts services - provide transportation services and nutritionally balanced meals five days per week to senior citizens:congregate meals - each weekday, msss serves nutritious noon meals at our community dining facility. During fiscal year 2014 (july 1, 2013 through june 30, 2014), we provided 25,976 congregate meals to more than 1,000 individuals. Home-delivered meals - utilizing our transportation fleet, we delivered 47,930 nutritious meals to over 240 eligible homebound seniors and disabled adults during fiscal year 2014. Transportation - msss provides door-to-door transportation services for seniors and disabled adults providing access to medical facilities, senior centers, adult day services, etc. During fiscal year 2014, we provided 22,301 one-way rides to over 350 individuals totaling more than 265,000 vehicle miles in a vast geographical area covering approximately 2,500 square miles.  senior employment and older workers specialist - provide employment and training for low-income senior citizens:employment assistance - msss's older workers specialist helps older alaskans develop employable skills and transition into regular employment by coordinating job training opportunities and providing assistance with resume writing and interview skills. During fiscal year 2014, over 42 individuals were assisted with locating employment.  adult day care - provide day care services for the elderly with alzheimer's or related diseases:msss's adult day services program provides a safe, healthy environment for frail, elderly individuals, developmentally disabled adults, and persons with alzheimer's disease or dementia who are at risk of being left unsupervised during the day. During fiscal year 2014, 70 individuals attended the adult day services program for a total of 36,944 hours. Adult day services now available in two locations.	
Turning Point Community Church Inc	http://		EIN 92-0158148	Po Box 111964	Anchorage	AK	99511	USA	Christianity,Religion						
Haines Senior Citizens Center Inc	http://	(907) 766-3199	EIN 92-0095820	Po Box 835	Haines	AK	99827	USA		To provide for the welfare of senior citizens residing in haines alaska.				Provide affordable housing to senior citizens of haines alaska. Number of tenants served during 2013 was approximately 15.  manage facilities which allow preparation of low cost food for the senior citizens of the greater haines alaska area. Aproximately 6385 meals were served during 2013. Also provide low or no cost transportation, and recreational facilies to the senior citizens of haines, alaska.	
Alaska Alpine Rescue Group	http://		EIN 92-0078755	1736 Farmers Loop	Fairbanks	AK	99709	USA							
Valley Fiber Arts Guild	http://		EIN 92-0095938	Po Box 876142	Wasilla	AK	99687	USA							
First City Best Effort Cage Camp	http://	(907) 247-3050	EIN 92-0138646	Po Box 1374	Ward Cove	AK	99928	USA	Environment,Environmental Education					Teaching the fundamentals of basketball as well as sportsmanship to ketchikan youth ages seven to eighteen.	
Pet Pride Of Alaska Incorporated	http://		EIN 92-0094506	Po Box 70229	Fairbanks	AK	99707	USA							
Northwest Section Of The Ninety-Nines	http://		EIN 91-1852811	PO Box 33157	Juneau	AK	99803	USA							
Zach Gordon Teenage Club Inc	http://		EIN 92-0014675	Po Box 21153	Juneau	AK	99802	USA							
Hospice Of The Central Peninsula Inc	http://		EIN 92-0118643	Po Box 2584	Soldotna	AK	99669	USA							
Trapper Creek Bible Church	http://		EIN 51-0172427	Po Box 60a	Willow	AK	99688	USA							
National Spiritual Assembly Of The Bahais Of Alaska Tok	http://		EIN 92-0084036	Po Box 615	Tok	AK	99780	USA							
Providence Health & Services - Washington	http://		EIN 92-0154835	3760 Piper St Ste 1047	Anchorage	AK	99508	USA							
Alaska Rural Electric Cooperative Association Educational Foundation	http://	(907) 561-6103	EIN 94-3137784	703 W Tudor Rd Ste 200	Anchorage	AK	99503	USA	Energy Resources Conservation & Development,Environment	Granting student scholarships to customers of member utilities, children of those customers, or others designated by the member co-ops.				Student scholarships	
Brevig Memorial Lutheran Church	http://		EIN 92-0123168	Box 12	Brevig Mission	AK	99785	USA							
Voice For Christ Ministries Incorporated	http://www.vfcm.org	(907) 832-5426	EIN 92-0085008	Po Box 474	Nenana	AK	99760	USA	Arts & Culture,Radio	Religious radio ministry. I-am radio network - 4 radio stations & 18 translators throughout rural alaska.				Ministry expenses and expenses not allocated directly to any radio station.  24 hour - 7 days a week christian radio stations with 18 translators. Station kiam - am & fm. Broadcasting throughout rural alaska including central interior villages. Also used by other broadcasters use the program streaming. See 4b & 4c below for other stations.  24 hour - 7 days a week christian radio stations with 18 translators. Station kagv - am. Broadcasting throughout matanuska-susitna valley and surrounding areas in alaska.	
Turning The Tides	http://		EIN 92-0108526	1991 Hughes Way	Juneau	AK	99801	USA	Arts & Culture						
Boys & Girls Clubs - Alaska	http://www.bgcalaska.org	(907) 248-5437	EIN 92-0036082	2300 West 36th Avenue	Anchorage	AK	99517	USA	Boys & Girls Clubs,Children & Youth	The mission of Boys & Girls Clubs of America is to inspire and enable all young people, especially those from disadvantaged circumstances, to realize their full potential as productive, responsible citizens.		Our Mission:  To empower and inspire the diverse youth of Alaska to reach their full potential by offering hope, opportunity and a safe environment.	Alaska	Academic Achievement, Healthy Lifestyles, and Character & Leadership	10,000 youth
4020111 Far North Ll	http://www.littleleague.org/		EIN 22-2501484	Po Box 232446	Anchorage	AK	99523	USA	Amateur Sports Competitions,Baseball & Softball,Children & Youth,Recreation & Sports,Sports,Youth Development Programs	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.					
Nami Of Fairbanks Alaska Inc	http://	(907) 456-4704	EIN 92-0109272	Po Box 72543	Fairbanks	AK	99707	USA	Education,Educational Services	Advocacy for families who cope with mental illness				Advocacy for families who are coping with mental illness of a family member and education and public awareness of mental illness and provide assistance where needed	
