name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results	 	Bay Grasses In Classes 	Best Buddies Colleges	Vision Statement
My Angel with Paws, Inc.	http://www.myangelwithpaws.org	386-490-4949	EIN 26-3926996	3098 Marsh Rd	Deland	FL	32724	USA	Animal-Related, Animals, Centers to Support the Independence of Specific Populations, Health	My Angel with Paws is committed to expanding public understanding and knowledge of the needs of children and adults with physical disabilities through the breeding, training, placement and continuing education of service and therapy dogs.									
Shriners Hospitals for Children	http://www.shrinershospitals.org	(813) 281-0300	EIN 36-2193608	PO Box 31356	Tampa	FL	33631	USA	Ambulatory & Primary Health Care, Health, Specialty Hospitals	It is the mission of Shriners Hospitals for Children to: -Provide the highest quality care to children with neuromusculoskeletal conditions, burn injuries and certain other special health care needs within a compassionate, family centered and collaborative care environment-Provide for the education of physicians and other health care professionals-Conduct research to discover new knowledge that improves the quality of care and quality of life of children and families.This mission is carried out without cost to the patient or family, and without regard to race, color, creed, sex or sect.				Shriners Hospitals for Children specializes in treating children with orthopaedic conditions, burn injuries, spinal cord injuries, and cleft lip and palate.  This includes treating conditions and injuries like scoliosis, cerebral palsy, spina bifida, club foot, missing, amputated, or deficient limbs; burns; spinal cord injury, and cleft lip and palate.Shriners Hospitals for Children also specializes in research and education in the pediatric orthopaedic, burn and spinal cord injury fields.					
Positive Images Enterprises, Inc.	http://		EIN 65-0750172	2700 W Oakland Park Blvd Ste 22	Oakland Park	FL	33311	USA	Job Training, Mental Health, Microfinance, Philanthropy, Small Business Development, Substance Abuse Treatment	Positive Images' mission is to assist women and their families to become self-sufficient by providing workshops/seminars, a professional outfit for the interview.									
Mosaic Outdoor Clubs of America Inc	http://www.mosaics.org	888-MOSAICS  (88	EIN 31-1468696	10863 Denver Dr	Hollywood	FL	33026	USA	Environment, Environmental Education, Judaism, Natural Resources Conservation & Protection, Religion	FURTHERING ENVIRONMENTAL AWARENESS			North America	Attendance at forest wilderness retreat that includes seminars on clean water, survival techniques, wildlife protection, endangered species survival and the inpact of hiking and camping on the environment.					
SIDES (Sydney's Incredible Defeat of Ewings Sarcoma)	http://www.sidescharity.org	954-659-9322	EIN 45-3368209	2893 Executive Park Drive Suite 204	Weston	FL	33331	USA	Health, Pediatrics	SIDES is committed to helping families suffering from Ewing's Sarcoma and other pediatric cancers, while at the same time, helping fund research to find a cure for this disease.	Raise money to help families dealing with pediatric cancer.		Florida	Financial assistance					
Aum Home Shala	http://	(305) 441-9441	EIN 27-0334306	3104 Florida Ave	Miami	FL	33133	USA	Physical Fitness & Community Recreational Facilities, Sports	Public education teaching of yoga				Public education teaching of yoga					
Girl Power 2 Cure Inc	http://www.girlpower2cure.org	904-277-2628	EIN 20-8011668	1881 South 14th Street, Suite 1	Amelia Island	FL	32034	USA	Health	To raise awareness and research funds for Rett Syndrome, a severe neurological disorder that primarily affects girls.				Through outreach, we provided essential awareness and education about rett syndrome as well as supported families who have a child with rett syndrome.   a portion of funds were granted to the rett syndrome research trust and other organizations that are seeking a cure for rett syndrome.					
Cancer Alliance of Help and Hope, Inc.	http://www.cahh.org	561-748-7227	EIN 90-0101236	PO Box 3038	Tequesta	FL	33469	USA	Cancer	The Cancer Alliance of Help and Hope, Inc.is a Palm Beach County not-for-profit organization that provides  financial and informational resources to local cancer patients and their families to fill a need in the community.	Patients who are having financial hardships while receiving radiation and/or chemotherapy.	100 + patients	Palm Beach County and patients receiving radiation and/or infusion chemo in Palm Beach County	Provided need based financial assistance to cancer patients and their families for rent,mortgage, utilities, car payments and car insurance	CAHH has assisted at least 1,000 patients and paid out over $1 million in support.				
Panther Ridge Conservation Center	http://www.pantherridgecc.org	(561) 795-8914	EIN 57-1152111	14755 Palm Beach Point Blvd	Wellington	FL	33414	USA	Animal Protection & Welfare, Animals	To provide educational information and tours to inform the public about the growing conservation needs of wild exotic cats. To provide a lifetime home and superior care for abandoned, neglected, or abused exotic felines.				Provided educational information and tours to the public informing them about the problems associated with captive exotic cats and the growing conservation needs of wild exotic cats. Operated a facility that provides lifetime homes and superior care to 15 previously abandoned, neglected or abused exotic felines.					
Women of Tomorrow Mentor & Scholarship Program	http://www.womenoftomorrow.org	305-371-3330	EIN 65-0862995	22 E Flagler Street, 6th Floor	Miami	FL	33131	USA	Adult & Child Matching Programs, Children & Youth	The Women of Tomorrow Mentor & Scholarship Program mission is to inspire, motivate and empower at-risk young women to live up to their full potential through a unique mentoring program with highly accomplished professional women and scholarship opportunities.  Our program is specifically designed to meet the needs of at-risk teenage girls in our nations public high schools and help them turn obstacles into opportunities by providing the exposure, motivation, confidence and opportunities required to create a better future for themselves, their families, and society. The program exposes at-risk girls to opportunities otherwise unavailable to them; teaches vital personal and professional skills necessary for life success; helps them set and achieve goals; increases their self-esteem, and helps to reduce and prevent engaging in risky behaviors.	at-risk girls in public high schools		South Florida, Metro Detroit & Greater Philadelphia	mentoring & scholarship opportunities.		93% high school graduation rate 	Over 90% go on to higher education 	Statistically significant increases in grade point averages (GPA) each year  	Statistically significant improvement in self-esteem				
We Care of Lake County Inc	http://wecarelakecounty.org	(352) 742 - 0051	EIN 59-3275830	4709 N. Hwy 19A	Mt. Dora	FL	32757	USA	Community Clinics, Health	"Helping people overcome serious health problems by providing case management for specialty medical care, utilizing volunteer physicians and accessing community solutions." We achieve our mission by working closely with our 117 volunteer specialty physicians and the 16 free and sliding scale local clinics who refer people who are in need.  Since its creation, We Care has been the only organization in Lake County that provides personalized case management to confirm eligibility, and constant oversight to place clients with a volunteer specialist physician. Starting 21 years ago with just one employee who handled the organizational oversight as well as case management, We Care has grown to a total of four employees and has expanded and streamlined processes, earning recognition and accolades. From Community Service awards from Disney World, to Non-Profit of the Year from the local Chamber of Commerce, We Care of Lake County is an institution that remains steadfast, committed and reliable. Thanks to a board of directors comprised of doctors, local hospitals and other service providers, We Care has remained focused and deeply committed to the people we serve.	the uninsured access specialty medical care, community resources and durable medical equipment.	over 600 people	Lake County, Florida	We Care We Share, making gently used durable medical equipment available to help people recover, recuperate and live with dignity.	After 21 years of service to more than 300,000 people in which more than 41,000 live below the poverty line, this organization provides a powerful and critical resource for those who need specialty medical care. One in four adults residing in Central Florida continue to live without health insurance, relying on free/sliding scale clinics for health care.  We have helped thousands of people who are in dire need, to achieve good health outcomes.				
Grodysh Intl Inc-The Future of Haiti Organization	http://www.futurehaiti.org	(727) 330-3500	EIN 30-0659644	411 Cleveland St. - Suite 248	Clearwater	FL	33755	USA		Helping orphans & underserved children in haiti.	under-served children & families		Haiti	Humanitarian School serving 423 below-poverty-level students, Orphanage raising 98 children					
We Are R.A.R.E. Inc.	http://www.wearerare.org/	4076174111	EIN 80-0810112	4208 chateau rd	Orlando	FL	32808	USA		We Are R.A.R.E., INC. is a 501(c)(3) company that is comprised of a group of parents who volunteer their time to reach out globally to advocate for rare brain disorders like Schizencephaly, and Microcephaly. We collectively set up events and community & professional education programs throughout the year to help with our efforts.  The event registration fees and donations we collect go to help with our organizations operational cost, advertisement, education seminars for medical and education professionals, advocating for more awareness about rare brain disorders (including but not limiting to Schizencephaly, Microcephaly, and encouraging research by medical professionals through scholarships/grants. All proceeds go back to families and educational training. We are an unpaid board as registered with the federal government	Families touched by rare neurological disorders like Schizencephaly	74	Florida	Fundraisers, Medical training and education, assistance for communication devices and support  This year we will be seeking community and US grants to assist in finding researchers	over 57 iPads raised for children.   2014 Senate approved May 19th as national Schizencephaly awareness day thanks to Senator John Hoeven  18 foot banner sailing on the famous Liana's Ransom   Publications. Schizencephaly:  angels with broken wings   Nancy grace award 2008  2016 medical conference  Listed on many national health organization websites				
Ouaganet, Inc.	http://www.ouaganet.com/	7273852030	EIN 11-3737328	7840 Glascow Dr	New Port Richey	FL	34653	USA	Ambulatory & Primary Health Care, Arts & Culture, Cultural & Ethnic Awareness, Education, Elementary & Secondary Schools, Health, International, Literacy, Promotion of International Understanding	1.	To empower women living in extreme poverty in the rural villages of Burkina Faso through the provision of goats to raise.  2.	To sustain life and prevent illness by working to obtain donations of medical supplies, first aid equipment and vitamins for the very poor people in the village..     3.	To assist the poor youth with primary educational supplies (i.e. pens, pencils, backpacks, erasers, etc.).  4. To fight hunger and malnutrition by helping the poor communities with drip irrigation gardens and high quality seeds.	poor women and youth in rural areas if Burkina Faso, Africa.	850							
Children's Impact Network	http://		EIN 65-0230590	PO Box 541900	Lake Worth	FL	33467	USA	Children & Youth, Children & Youth Services, Christianity, Religion, Youth Development - Religious Leadership	To demonstrate Gods love through mission projects around the world - to children and youth at-risk - and train, equip and network leaders to do the same.									
600 Million Stray Dogs Need You	http://www.600MillionDogs.org	954-464-9331 	EIN 33-0601340	Box 1065	Pompano Beach	FL	33061	USA	Animal Protection & Welfare, Animals	Our mission is to end the daily killing of 11,000 dogs and cats in the U.S., and end the cycle of suffering for the 1 billion homeless strays that are born each year (to the 600 million stray dogs and 100 million stray cats around the world) - by developing species specific, permanent birth control dog and cat food -  which is safe for the animals, safe for people and safe for the environment - food that will only need to be eaten one time to produce infertility.    This includes dramatically ending human deaths from rabies around the world, and saving human lives at the same time.	the environment, animals, and children			Clinical trials - Pilot Pups	Please contact 600 Million Stray Dogs Need You for additional information.				
Judeo Christian Health Clinic Inc	http://www.JudeoChristianHealthClinic.org	(813) 870-0395	EIN 59-1605647	4118 North MacDill Avenue	Tampa	FL	33607	USA	Ambulatory & Primary Health Care, Health	In the belief that we should do justly, love mercy, and walk humbly with our God, the Judeo Christian Health Clinic provides free, quality, timely and compassionate healthcare to medically indigent residents of the Tampa Bay area who have no other resources for their health care needs.			Tampa Bay Area	The clinic operates a free medical clinic and lab for the medically indigent. The clinic recorded 36,437 patient encounters during the year. 4,999 of these encounters were medical patient visits.   the clinic was formed to provide health care to all who are unable to pay for such care. The clinic operates a pharmacy in providing such health care. The clinic recorded 36,437 patient encounters during the year. 27,617 of these encounters were filled prescriptions.   the organization operates a free dental clinic. The clinic recorded 36,437 patient encounters during the year. 628 of these encounters were dental visits.   the organization operates an eye clinic to provide eye exams and eye glasses to clinic patients. The clinic recorded 36,437 patient encounters during the year. 962 of these encounters were eye patient visits.					
Big Dog Ranch Rescue, Inc.	http://www.bdrr.org	561-747-9099	EIN 26-3184971	1930 D Road	Loxahatchee	FL	33470	USA	Animal Protection & Welfare, Animals	The mission of Big Dog Ranch Rescue is to provide shelter, care and affection to homeless dogs of all breeds and adopt them out into loving homes. We also promote animal welfare and celebrate the special bond between dogs and families through education, awareness and community outreach.				Our current outreach programs include: Palm Beach Countys Department of Therapeutic Recreation, the Place of Hope, the Veterinary Magnet Program at Wellington High School, Pets for Patriots and Special Olympics. We have also established a program with the special needs class from ARC of Palm Beach.					
Northeast Florida Area Agency on Aging Inc	http://www.myeldersource.com	(904) 391-6600	EIN 59-1569867	4160 Woodcock Dr	Jacksonville	FL	32207	USA	Congregate Meals, Food, Human Services, Meals on Wheels, Senior Centers, Seniors	To empower individuals to age with independence and dignity by providing leadership direction, advocacy, and support for a comprehensive coordinated continuum of care.				We provide $21.4 million in grants to underwrite a range of services for the elderly and their families and caregivers in our seven county service area through a network of local service agencies. The services we offer through these contracts include, but are not limited to, emergency energy assistance, congregate and home delivered meals, recreation, education, shopping assistance, case management, health support, home repair and modification, adult day care, homemaker, personal care, legal assistance and transportation as well as support, training, counseling and respite for caregivers including grandparents raising grandchildren. We also manage the Elder Helpline, SHINE Program (Serving the Health Insurance Needs of Elders) and Resource Center.					
Christian Help Foundation Inc.	http://www.christianhelp.org	407-834-4022	EIN 59-3107271	450 Seminola Blvd.	Casselberry	FL	32707	USA	Hot Lines & Crisis Intervention, Mental Health	Christian HELP is devoted to preventing homelessness by helping people find jobs while providing for them spiritually and materially.	Unemployed, Underemployed	15000	Central Florida	Christian HELP provides one on one employment counseling, resume assistance, and employment seminars for job seekers. Additionally a resource guide is maintained for referrals toother organizations for additional needs.	Connected over 91,000 with jobs Given away over 10 million pounds of food Given away over $24 million in services Saved taxpayers over $220million				
Ohana Rescue Inc.	http://www.ohanahorserescue.org		EIN 27-2098579	7416 Cr 659	Bushnell	FL	33513	USA	Animals	Our mission is to help as many horses as we are able too. We work with authorities, owner surrender, abandonment, and animal controls.	The horses have a second chance. Children in schools.	Local cub/boy scouts. Several school students were able to fulfill their required community hours.	The rehabbing of equine.	We open our facility to local schools, and colleges for the students to come learn about caring for equine. They are also able to gain the required community hours that they need for school. Our facility is also opened to special needs children and adults alike.					
Angel Flight Southeast Inc	http://angelflightse.org/	(352) 326-0761	EIN 59-2697223	8864 Airport Blvd	Leesburg	FL	34788	USA	Emergency Medical Services & Transport, Health, Human Services, Transportation Assistance	Arrange free flights so children and adults can have access to the far-from-home doctors that can save their lives.				What Your Donation DoesBy adopting part, or all of a mission, you are supporting Mercy Flight Southeast in its mission to coordinate these badly need flights. Our office in Leesburg Florida receives inbound calls from those in need, and coordinates between the patient (or other person in need) and the pilot and aircraft. The organizations administrative costs are funded by donations from individuals, companies, and philanthropic organizations. We receive no funding from any government entities. How it Works	Over the years, Angel Flight Southeast has been recognized with many awards for its outstanding service to communities including: 	The Presidents Volunteer Service Award from the Presidents Council for Service and Civic Participation 	The Distinguished Volunteer Pilot Award from the National Aeronautic Association and Air Care Alliance 	2012 Healthcare for Heroes award from the Greater Miami Chamber of Commerce in the institution category 	2012 Healthcare Champions Award from Scripps Newspaper Treasure Coast 	2012 Best Human Care Charities by the Federal Times				
CMB Visions Unlimited Inc	http://www.cmbvisions.org	(786) 242-4209	EIN 65-1090966	10385 S.W. 186th St Homestead	Miami	FL	33157	USA	Family Services	The mission of CMB Visions Unlimited, Inc. is to provide resources, goods and services to disadvantaged youth and families.				Through the exemplary service provided in previous years, the organization was able to expand into additional school districts within the sate of florida in order to provide additional services.					
Hogar Crea International Of Florida Inc	http://	(407) 240-6464	EIN 59-3673027	3030 Eunice Ave	Orlando	FL	32808	USA	Mental Health, Substance Abuse Treatment					Provideing residence to homeless people and teaching them job skills to improve self-esteem. It is focused in jacksonvilee, miami and orlando.					
Parents Encouraging Confident Choices Inc	http://www.pecc.us.com	407-929-5864	EIN 38-3802054	5001 Log Wagon Road	Ocoee	FL	34761	USA	Children & Youth	We propose to educate, communicate and share information and life experiences with our youth and their families regarding the importance of the choices they make and the impact of those choices on the lives of those that love them.  In addition, we hope to increase awareness of organ, tissue and corneal donation and encourage informed decision making on donating the gift of life.					To date, Jamie McWilliams has presented "Make The Right Choice" to more than 30,000 students in 3-states.				
Okaloosa Walton Homeless Continuum of Care Opportunity, Inc.	http://www.okaloosawaltonhomeless.org	850-409-3070	EIN 34-2056892	203 Cloverdale Boulevard	Fort Walton Beach	FL	32547	USA	Homeless & Housing, Homeless Shelters	Our organization is pivotal in assisting homeless persons in becoming both sheltered and self-sufficient.	Homeless and precariously housed families and individuals	500 clients	Okaloosa and Walton Counties, Florida	Opportunity Place: shelter for women and families Homeless Veterans Reintegration Program: employment program for female veterans and veterans with families Satellite Offices: Outreach and case management to rural areas Lead Agency of Continuum of Care - forge partnerships, mutual support, service coordination among community stakeholders Homeless Management Information System: web-based computer database system for collecting data, facilitating case management for 2-county region	We house over 250 family members per year at Opportunity Place, providing up to 90 days of food, shelter and programs designed to enable self-sufficiency. Almost 87% transition to permanent housing and employment.  We helped an additional 500 families using federal stimulus dollars to keep near-homeless families housed and homeless families rehoused. Our employment program serves 50 veterans and their families each year, with an 80% success rate in gaining occupational skills,employment, and housing. Each case manager provides resources to 100 clients per year.				
Childrens Advocacy Center of Volusia & Flagler Counties Inc	http://www.childrensadvocacy.org	386-238-3830	EIN 59-2065914	1011 W International Speedway Blvd	Daytona Beach	FL	32114	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	Prevent, Advocate & Heal:  The Childrens Advocacy Center is committed to providing quality forensic, therapeutic and prevention services to all child abuse and sexual assault victims in a gentle and professional manner.	Victims of child abuse and sexual assault and their families.  Families at-risk or in need of assistance in managing threats to their children's health and safety .	The Children's Advocacy Center provided prevention, intervention, counseling, or education services to 7,281 people in our community.	Volusia, Flagler, Putnam, Lake, Sumter, St. Johns Counties, Florida	Child Protection Team, Family and Child Trauma Treatment Services, Specialized Trauma and Offender Prevention, Sexual Assault Response Team, Early Steps Program, Comprehensive Behavioral Health Assessments					
Jewish Family Services of Greater Orlando, Inc.	http://www.jfsorlando.org	407-644-7593	EIN 59-1873758	2100 Lee Road	Winter Park	FL	32789	USA	Family Counseling	Jewish Family Services mission is to provide vital, high quality and innovative social services to people in need, regardless of their background.	low-income, children, families, individuals, counseling, emergency, adults		Greater Orlando/Central Florida/Winter Park	Emergency Assistance includes traditional financial aid for rent/mortgage and utilities in a one-time assistance program as well as the distribution of food through the Pearlman Food Pantry. Once eligibility is determined, emergency assistance services are scheduled by appointment. Food clients are generally eligible for food once every six months. JFS caseworkers receive more than 120 telephone calls a day for help. With the current economic conditions, JFS is experiencing a 33% increase in requests for emergency services. The Family Stabilization Program (FSP) is a preventative, solution-based long term case management program designed to increase self-sufficiency in low income families through intensive 6-month case management and education.	JFS extends a helping hand or listening ear to more than 10,000 people on an annual basis. We have provided more than 100,000 meals to children and families in need.				
No Paw Left Behind	http://www.nopawleftbehind.org		EIN 20-4590807	11352 W SR 84 #33	Davie	FL	33325	USA	Animal Protection & Welfare, Animals	No Paw Left Behind is a 501c3 nonprofit organization comprised of an all-volunteer team of pet rehabilitation specialists. All pets are housed in foster homes, affording us the greatest possible opportunity to provide individualized care and get to know our pets' personalities. This information helps us create customized rehabilitation programs and match the pets with the best possible forever homes.  We accept dogs, cats, birds and small companion pets, regardless of breed, age, size, type or special need. If we have the resources to provide for the pet, they are welcomed into our program.	pets in extreme need	50-150 pets in dire need per year, the worst of the worst cases	in a network of foster homes across South Florida	rescue from the streets, foster homes, medical care, behavioral rehabilitation	At the end of 2015, we have proudly rescued, rehabilitated and placed close to 4000 dogs, cats, birds and small companion pets. Our #nopawalumni include survivors from a life on the streets, from high kill shelters, being hit by cars, sick with parvo and distemper, abandonment in the Everglades, from high profile criminal cruelty cases, and many more unfortunate situations which left them in need.				
Traveling Tutus Inc.	http://travelingtutus.org	407-908-1166	EIN 90-0524606	795 E. Lakeshore Blvd.	Kissimmee	FL	34744	USA		"Bringing the Gift of Dance to Children Around the World." TRAVELING TUTUS is a charity program offering under privileged children previously used dance attire and accessories. We want to bring joy to orphans through the gift of dance!  Company Overview:  TRAVELING TUTUS is a 501 (c) 3 Non-Profit charity organization that offers under privileged children around the world previously used dance attire and accessories. We want to bring joy to children through the gift of dance! TRAVELING TUTUS is currently collecting items to send to orphanages around the world. Contact us to learn how you can be a part!	share the gift of dance with children around the world!	over 1,000 children around the world	various countries	new/ gently used dance attire, shoes, accessories, hosting free dance classes, etc.					
Horse Protection Association of Florida, Inc.	http://www.hpaf.org	(352) 466-4366	EIN 65-0191969	20690 Nw 130th Ave	Micanopy	FL	32667	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	To provide equine rescue, rehabilitation, education and adoption services within the state of Florida.To provide assistance to law enforcement and animal agencies with cruelty investigations and the care and placement of horses.To promote and teach horse care and humane, natural methods of training for horses.	horses who are victims of neglect, starvation and abandonment	countless horses who were suffering and gave them a new lease on life.	North Central Florida	cruelty investigations, assistance to law enforcement, rehabilitation, natural horsemanship training for the horses and adoption to qualified homes.					
Barbara Bush Foundation for Family Literacy	http://www.BarbaraBush.org	850.562.5300	EIN 26-0587238	516 N Adams Street	Tallahassee	FL	32301	USA	Education, Literacy, Remedial Reading & Encouragement	Our mission is to establish literacy as a value in every home in America. Our vision is to achieve 100% literacy in America.	Children and Families	3,700 children and families	United States	Family Literacy programs that teach children and their parents to read and learn together. The Teen Trendsetters (TM) program pairs Middle School/High School student mentors with low-performing 1st, 2nd, and 3rd grade students who are at least six months behind in reading.	For more than 25 years, this public charity has benefited thousands of families in America by supporting community classrooms where parents and their precious children learn and achieve together.  The Barbara Bush Foundation has sponsored 1,500 family literacy programs in 50 states.  Were building a compassionate movement where we engage the public to be a part of the solution:  with over 36 million adults in this country either illiterate or possessing extremely low reading skills  illiteracy IS America's Biggest Challenge.    We believe literacy is a right that provides equal opportunity to achieving the American dream, which every child deserves. If we help the nations children get on the path to learning in the earliest years, even before they enter kindergarten, they are far more likely to succeed in school and life. We also believe in investing in low-literate parents who are unable to provide the stimulating learning environment that young children need to jumpstart their education.  We help families understand:  The childs first school is the home.  The parent is the childs first teacher.  The childs first subject is reading.  The Barbara Bush Foundation for Family Literacy is focused on fulfilling its mission by providing low-income families across the nation with scholarships to learn together. We partner with a network of high-performing local family literacy programs that help both young children and their parents learn how to read and write. When families share a love of reading, children have a far greater chance to live more productive and healthier lives, graduate from high school and obtain a better job. Supporting family literacy programs is a win-win for parents and children where they acquire basic literacy skills that help them advance their education and provide greater opportunities to succeed.				
Broward Women In Network Inc	http://www.womeninnetwork.com		EIN 65-0287695	Po Box 9744	Ft Lauderdale	FL	33310	USA		Provides programs and events for south florida women that afford opportunities for social and business interaction				Annual golf tournament, dinner and dance raises monies for charitable organization and provides social and recreational venue per exempt purpose.					
A Spring of Hope, Inc.	http://www.aspringofhope.org	954-775-4997	EIN 25-0851887	7741 Nw 39th Ave	Coconut Creek	FL	33073	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	A Spring of Hope is a non-profit 501(c)(3) public foundation that builds water wells in rural African schools to improve community health conditions and to promote education at a grassroots level. A Spring of Hope's mission and goal is to invest in the sustainable futures of impoverished rural communities in sub-Saharan Africa.	School children in Africa	5,000	Sub-saharan Africa		22 wells, 7 in Uganda and 15 in South Africa				
Gail Foundation Inc.	http://www.gailfoundation.org		EIN 45-2442712	1013 N. Pine Hills Road	Orlando	FL	32808	USA		Give Abundantly In Life through the GAIL Foundation to projects that benefit children in need. The GAIL Foundation was formed by Immigration Attorney Gail Seeram in 2011 for the advancement of charitable initiatives to benefit children globally. The GAIL Foundation is a IRC 501(c)(3) organization so donations are tax deductible.	children in need	build a playground and therapy room at a Special Needs School in Guyana and shipped 72 Christmas Shoebox to special needs children in Guyana	countries around the world	playgrounds, educational tools and toy	2013 SHOEBOX CHRISTMAS GIFTS FOR CHILDREN AT THE NEW AMSTERDAM SPECIAL NEEDS SCHOOL - 72 ShoeBoxes filled with Christmas gifts were collected and shipped to children in Guyana.   2013 PROJECT: BUILD PLAYGROUND & THERAPY ROOM FOR NEW AMSTERDAM SPECIAL NEEDS SCHOOL, BERBICE, GUYANA - The Special Needs School is attended by 75 children with various special needs such as autism, ADHD, down syndrome, hearing impaired, and other disabilities. Donors partnered with the GAIL Foundation to build a playground & furnish a therapy room at the School.  2012 PROJECT: FURNISH TODDLER ROOM AT ORPHANAGES - The GAIL Foundation through private donors, furnished two toddler rooms at Red Cross Convalescent Home and Children of Promise Eden Orphanage in Guyana.  2011 PROJECT: BUILD PLAYGROUND AT ORPHANAGE - In September 2011, the GAIL Foundation through private donors, built a playground for the Children of Promise Eden Orphanage in Smythfield, New Amsterdam.				
Shining Warrior	http://www.shiningwarrior.org		EIN 65-0917661		Myakka City	FL	34251	USA											
Haiti Clinic Inc	http://www.haiticlinic.org	(772) 226-0403	EIN 26-1960750	865 37th Pl	Vero Beach	FL	32960	USA	Health, Public Health	Haiti clinic is a 501(c)(3) non-profit organization that is dedicated to improving healthcare and health education in the impoverished nation of haiti since 2007. Our goal is to provide the resources necessary to utilize the vast knowledge and abilities of healthcare practitioners and other volunteers to impact the lives of some of the poorest people in the western hemisphere. This includes access to medications and physicians, basic necessities such as clean water and adequate nutrition, as well as education and sanitation to an underserved community where there is no running water, no electricity and no sewers. About 78% of haitians survive on less than 2 a day, and more than half them live in extreme poverty, less than 1 a day.	Cite Soleil is a 3 square mile area in which 200,000 to 400,000 people live in conditions that would defy the imagination of most Americans. Most of the people that we treat at the clinic are young adults and children as most of the residents don't live past the age of 50.	The clinic supports at least 15,000 to 20,000 visits per year for the people of Cite Soleil.		Haiti clinic is a 501(c)(3) non-profit organization that is dedicated to improving healthcare and health education in the impoverished nation of haiti since 2007. Our goal is to provide the resources necessary to utilize the vast knowledge and abilities of healthcare practitioners and other volunteers to impact the lives of some of the poorest people in the western hemisphere. This includes access to medications and physicians, basic necessities such as clean water and adequate nutrition, as well as education and sanitation to an underserved community where there is no running water, no electricity and no sewers. About 78% of haitians survive on less than 2 a day, and more than half them live in extreme poverty, less than 1 a day. During 2014, haiti clinic provided care for over 7,500 haitians; provided health and dental education classes to the community; provided a pediatric vaccine program; provided deworming medication to over 4,500 children and adults; provided 5 schools and 4 orphanages with dworming medications, antibiotics and first aid supplies. Services and treatments were provided free of charge.	Our clinic is entirely staffed by Haitians including: a doctor, three nurses (one specializing in prenatal care), a pharmacy worker and a manager. Donated money is used to pay the Haitian staff and to provide all medications and supplies for the clinic. Our long range plans include strong educational and advocacy components aimed at improving the living conditions of the residents of Cite Soleil.				
Jacksonville Children's Chorus	http://jaxchildrenschorus.org/	904.353.1636	EIN 59-3583678	225 E Duval St	Jacksonville	FL	32202	USA	Arts & Culture, Singing & Choral Groups	The mission of the Jacksonville Childrens Chorus is to provide a high-quality, choral music education for children of diverse backgrounds, fostering teamwork, self-discipline, accomplishment and pride while filling an important cultural need in the community and sharing the beauty of the choral art form through artistically excellent performances.	Children ages 18 months to 18 years	500 children from five counties, representing 150 schools.	Northeast Florida and Southeast Georgia	Five performance choirs, a summer preschool music program, weekly Vocal Exploration music classes, and the First Coast Honors Choir Festival.					
Big Cat Rescue, Corp.	http://www.BigCatRescue.org	813-920-4130	EIN 59-3330495	12802 Easy Street	Tampa	FL	33625	USA	Animals, Children & Youth, Children & Youth Services, Education, Protection of Endangered Species, Wildlife Sanctuaries	Caring for cats - Ending the trade  Care of our cats. The narrow mission of Big Cat Rescue is to provide the best permanent home we can for the abused, abandoned and retired cats in our care. We do this by building enclosures in a very natural habitat with foliage and shelter on our 45 acre site, by providing the best nutritional and medical care possible, and by having active operant conditioning and enrichment programs to provide for their physical and psychological well being.         Education. The broader mission of the sanctuary is to reduce the number of cats that suffer the fate of abandonment and/or abuse and to encourage preservation of habitat and wildlife. We urge people to behave in a way that will support these goals by teaching people about the plight of the cats, both in the wild and in captivity. We accomplish this through educational guided tours, educational programs for young people, and by maintaining a website that is the worlds largest and best resource for information about exotic cats.	cats	70+ big cats		Rescuing and providing permanent care for big cats.  Saving cats in the wild.	See our annual report at http://bigcatrescue.org/2012/2011-annual-report				
Breast Cancer Survivors Foundation Inc	http://www.breastcancersurvivor.org	(800) 338-1740	EIN 27-2827805	18851 Ne 29th Ave Ste 700	Aventura	FL	33180	USA	Breast Cancer					Breast cancer survivors foundation (bcsf) is committed to "helping women survive". The foundation offers grants to health care facilities providing free mammograms and breast diagnostic services to uninsured and low income women. Any free clinic or health care facility providing breast diagnostic services to women is encouraged to request an application for funding. The foundation has no coprorate sponsors, all funds raised are through individual donations. The foundation has a volunteer board of directors that do not receive compensation. In 2014 bcsf provided more than 3,900 mammograms and breast cancer diagnostic. Since incorporation in june 2010-bcsf has funded 28 programs and helped over 11,000 women receive free mammograms and breast diagnostic services. It's all about saving lives. To learn more about breast cancer survivors foundation visit the web site www. Breastcancersurvivor. Org.					
Florida Boxer Rescue Inc	http://www.FLBR.org		EIN 59-3630500	2501 W Shell Point Rd	Tampa	FL	33611	USA	Animal Protection & Welfare, Animals	To rehome needy Boxer Dogs, and to help educate the public on the need for spay and neuter programs.									
HANDY, Inc.	http://www.handyinc.org	954-522-2911	EIN 	501 NE 8th Street	Fort Lauderdale	FL	33304	USA		HANDY is a unique organization, providing a lifeline for the abused, neglected, disadvantaged youth in Broward County.  We respond to their needs and enrich their lives on a day to day basis...one child at a time.			Broward County Florida						
