name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Direct beneficiaries per year	Geographic areas served	Programs	Target demographics
Baltimore Humane Society	http://bmorehumane.org/	410-833-8848	EIN 52-0623165	1601 Nicodemus Rd	Reisterstown	MD	21136	USA	Animal Protection & Welfare, Animals	The Baltimore Humane Society, founded in 1927 by Mrs. Elsie Seeger Barton, is an independent, non-profit, no-kill animal shelter, which offers low-cost veterinary care to the public, and a pet cemetery with grief support services. We receive no operational funding from the local or federal governments, or any national animal welfare organizations. For more information about BHS, and how you can contribute, volunteer, adopt, or foster, please visit www.bmorehumane.org. Baltimore Humane Society		1000's of animals	Baltimore, Maryland	no-kill animal shelter, pet memorial park, low cost Spay, Neuter & Vaccine Clinic, Pets for Patriots, Bmore Kind Pet Food Bank, Read to the Animals, long term care animal visitation, educational outreach programs, DogFest, Black Tie & Tails, Pet Memorial Sunday, Kitten Shower...	animals and pet owners live safe, healthy, happy lives and to end pet homelessness.
Tas Place	http://www.tasplace.org		EIN 80-0229332	P.O. Box741 Monica Lynne Swann	Waldorf	MD	20601	USA	Children & Youth, Youth Development Programs	Our mission is to cultivate, encourage and empower todays youth to become leaders by providing a safe haven where they will obtain leadership development tools that will facilitate the development of effective critical thinking and problem solving skills and techniques in order for them to become positive and successful members of their family, the community and society.		40 students learn basic etiquette that included mini-lessons in the art of drinking tea.	Maryland, Virginia and the District of Columbia	Etiquette, Financial Planning, Image Development, Leadersip Development	
Cornerstone Montgomery, Inc.	http://CornerstoneMontgomery.org	301-493-4200	EIN 52-0937199	6040 Southport Dr	Bethesda	MD	20814	USA	Mental Health, Mental Health Treatment	Cornerstone Montgomery empowers people living with mental health and co-occurring substance use disorders to live, work, and integrate successfully within the community.		more than 2,400 of Montgomery County's most vulnerable citizens	Montgomery County Maryland	residential rehabilitation, vocational supports, psycho-education, integrated dual disorder treatment and outpatient mental health clinical services.	individuals with mental health and co-occurring substance use disorders
Sisters in Christ & So Much More	http://www.brothersnsistersinchrist.org	301/710-6514	EIN 36-4637998	P O Box 184	Suitland	MD	20752	USA		Our mission is to join together in love, support, encouragement and unity throught the Word of God.	We have just received a George Strawn award and a certificate from the Department of Corrections for the services done inside the DC Jail. A mother and daughter were reunited with a renewing of love and peace after an intervention. There is so much more SIC is doing to make a difference.	20-50		Housing, food bank, elderly, transitional housing, credit repair, mentoring etc	Low income, homelessness, youth, domestic violence, patients of all illness, Washington Metropolitan Area, all ages
Chesapeake Climate Action Network	http://www.chesapeakeclimate.org	(240) 396-1981	EIN 11-3644283	6930 Carroll Ave Ste 720	Takoma Park	MD	20912	USA	Climate Change, Energy Resources Conservation & Development, Environment	Prevention of global warming				The primary mission of ccan is to raise awareness about the impacts and solutions associated with global warming in maryland, virginia, and d. C.	
Disabled Sports USA	http://www.dsusa.org	(301) 217-0960	EIN 94-6174016	451 Hungerford Dr Ste 100	Rockville	MD	20850	USA	Amateur Sports Competitions, Sports	Disabled Sports USA provides national leadership and opportunities for individuals with disabilities to develop independence, confidence, and fitness through participation in sports.	Over 60,000 people with disabilities served this past year through our 100+ chapter network.	Over 60,000	Nationwide	Warfighter sports: offers sports rehabilitation for severely wounded warriors in military hospitals and communities across the u. S. Through a nationwide network of over 100 community-based chapters. Since 1967, disabled sports usa has proudly served wounded warriors, including those injured in the iraq and afghanistan wars, offering over 30 winter and summer sports at more than 100 events each year. Warfighter sports rebuilds lives through sports by improving self-confidence, promoting independence and uniting families through shared healthy activities. Contributions cover all expenses for participation of the warrior and a family member, including individualized adaptive instruction, adaptive sports equipment, transportation, lodging and meals. Since 2003, more than 6,000 of the most severely wounded and their families have been served, including those with amputations, traumatic brain injury, spinal cord injury, visual impairments, and significant nerve and muscle damage.   ski spectacular: each year for over 25 years, disabled sports usa has conducted an annual national winter sports symposium that offers instructional programs in adaptive winter sports. Each year, the ski spectacular attracts over 800 participants from over 30 states and several foreign countries, for a week of activities. This includes training of local ski instructors and coaches in the latest adaptive ski techniques for amputees, spinal and head injured, blind, those with neuromuscular disabilities like cerebral palsy and developmentally disabled. It also includes race training clinics for youth, wounded warriors and others; learn to ski and snowboard classes; nordic ski training; fun races and chapter development seminars.   chapter services: disabled sports usa provides services to its community based chapters operating locally in over 100 locations in 38 states. These services are designed to enable the local community non profit chapter to provide safe and effective sports rehabilitation programs to people with disabilities in their communities. Services include: instructor and coach training in adaptive sports; grants to operate programs and purchase adaptive equipment; seminars in program administration, volunteer recruitment and training, marketing, fundraising, and risk management; insurance; promotion of local activities on a national level and other ongoing technical assistance.   skitour and summerfest: disabled sports usa also supports a nationwide series of "learn to", race training and instructor training clinics held by local dsusa chapter in states throughout the usa. This includes "skitour" for winter sports and "summerfest" for summer sports. Sports include: alpine and nordic skiing, snowboarding, snow shoeing; golf, water skiing, kayaking, sailing, outrigger canoeing, rafting, scuba, equestrian, cycling, rock climbing, and other activities. Disabilities served include those with amputations, spinal and head injury, neuromuscular disabilities such as multiple sclerosis, cerebral palsy and muscular dystrophy and developmental disabilities.	
Kylees Dancing Angels Inc	http://		EIN 46-5008334	14110 N Leford Ln	Baldwin	MD	21013	USA	Arts & Culture, Dance						
Emerge Inc	http://www.emergeinc.org		EIN 52-1073386	9180 Rumsey Rd D-2	Columbia	MD	21045	USA	Developmentally Disabled Centers, Disabilities, Human Services	Emerge was established to provide developmentally disabled citizenswith community residential housing, vocational training and limited counseling in an effort to maximize the quality of life of each individual.				Emerge was established to provide developmentally disable citizens withcommunity residentil housing, vocational training and limited counselingin an effort to maximize the quality of life of each individual.	
Walker Cancer Research Institute Inc	http://		EIN 52-1233437	18 N Law St	Aberdeen	MD	21001	USA	Cancer	CANCER RESEARCH AND PUBLIC INFORMATION					
United Support Against Multiple Sclerosis	http://www.usagainstms.org	(410) 561-4411	EIN 52-1376483	201 W Padonia Rd Ste 600	Timonium	MD	21093	USA	Centers to Support the Independence of Specific Populations, Health, Nerve, Muscle & Bone Diseases, Patient & Family Support	To provide and promote physical, emotional, educational, and recreational services to those persons suffering from various diseases and afflictions, such as, but not limited to multiple sclerosis and neurological diseases.				Grant - kernan hospital - therapy for multiple sclerosis patients  grant - ymca - swim and bowling programs for multiple sclerosis patients	
United Ministries, Inc.	http://www.umhousing.org	410-522-0225	EIN 52-1857927	1400 E. Lombard Street	Baltimore	MD	21231	USA	Homeless & Housing, Homeless Shelters	United Ministries is a housing and social justice organization dedicated to assisting homeless men who want to change their lives and to changing community attitudes toward the homeless.	Since our beginnings in 1997 almost three hundred men have been provided with a safe space, help  and hope for the future.  They have gone on to reunite with their families, continue their education, obtain employment and permanent housing.	Approximately 30 men	Baltimore City	Earl's Place Transitional Housing Program and soon Prospect Place Permanent Support Housing Project	Men who are homeless and in recovery from alcohol or substance abuse in the Baltimore area.
Bread Of Life Ministries Of Maryland Inc	http://		EIN 75-3008038	13110 Ridge Brook Ct	Ft Washington	MD	20744	USA	Christianity, Religion						
Homecoming Project	http://hcpi2006.org	(410) 399-2905	EIN 20-4172230	502 S Tollgate Rd	Bel Air	MD	21014	USA	Education, Educational Services, Mental Health, Substance Abuse Treatment	To provide the facilities and staff necessary to develop, establish, and maintain a safe, supportive environment for women, in a comprehensive family-centered program of recovery from alcoholism and/or drug addiction.				The homecoming project seeks to provide a healing environment to strengthen and empower women recovering from chemical dependency for their return as fully functioning members of society. This is done through a 9+ month program offering transitional housing, counseling, and life training. Homecoming project is able to accommodate 8 clients. The homecoming project seeks to further assist their clients after leaving the in-house program by monitoring their continued success and providing support as needed. Homecoming project continues to work with the tenant based rental assistance program to help clients find housing after leaving the in-house program. The alumni program encourages graduates of the program to return and assist new program participants in their journey. The homecoming project seeks to help the community by helping individuals that may otherwise be incarcerated and by providing housing for their children that may otherwise be placed in the social service program. They also assist the community by teaching clients to be responsible employees and members of society. They further assist the community by providing a place for individuals charged with community service obligations to fulfill such obligations.	
National Remember Our Troops Campaign	http://www.nrotc.org	410-687-3568	EIN 	111 North Stuart Street	Baltimore	MD	21221	USA		The National Remember Our Troops Campaign is a 501(c)(3) military and veterans charity dedicated to remembering the service and sacrifice of all military servicemembers, all veterans and their families, supporting those in need and letting them know they are not forgotten.   NROTC is proactive combating major stress, PTSD and suicide among servicemembers and veterans.  NROTC provides recreational therapy for wounded troops and veterans, employment for unemployed veterans and emergency financial aid to veterans who are homeless or have fallen on hard times.   NROTC works to RAISE AWARENESS in local communities throughout our population, of military and veteran's issues, and to provide ways for Americans to become involved in supporting our troops and veterans.			USA		
All God's Children Camp	http://www.childrenspeace.org	410-467-1399	EIN 	4 East University Parkway The Childrens Peace Center Board	Baltimore	MD	21218	USA		We believe all children have gifts and we provide a safe haven for personal growth within a welcoming camp community. We provide C.I.T. Counselor in Training programming for young adults ages 16 to 20 with meetups throughout the year and fabulous residential camp, All God;'s Children Camp in Buckeystown, Md  for kids ages 7 to 12 every August, just before they begin the academic year. All Gods Children Camp is a safe communithy and place where kids can learn to swim, fish, hike, paint, draw, make jewelry, and canoe, and explore their creative spirit! We welcome today tomorrow and always kids from all backgrounds. The opportunities for growth and community are ever-present, and we utilize proven programs such as ropes courses and ziplines, wildlife presentation, dance presentation and evening music and campfire.	Camp has a 20-year history with its beginnings steeped in an urban mission for children sponsored by the Childrens' Peace Center and various Episcopal churches in Baltimore	80-100	MD and DC		
Camp Sonshine International Inc	http://www.campsonshineinternational.org		EIN 71-1029215	16819 New Hampshire Avenue	Silver Spring	MD	20905	USA	Children & Youth, Youth Development Programs				countries around the world	day camps, feeding programs, leadership opportunities	bring God's love and purpose to children
AboutEdu Inc	http://www.aboutedu.org		EIN 26-4288598		Baltimore	MD	21201	USA	Adult Education, Education	Online Education Consumer Group. Increasing access to affordable and credible online higher education to low income and under represented student populations.			online education	Online Education - Buyer Beware Informational Program; Listing of Lowest Cost Online Education Programs at US Community Colleges, and co-developing partner sites that increase education access to low income and underserved student populations; including: www.OnlineCommunityColleges.org; www.MOOCs.co, & others.	educate online education consumers
New Horizons Supported Services Inc	http://www.nhssi.org	(301) 249-0206	EIN 52-1174407	16000 Trade Zone Ave Ste 109	Uppr Marlboro	MD	20774	USA	Job Training, Vocational Rehabilitation	New horizons is dedicated to supporting people with disabilities in gaining and maintaining the skills and resources needed to maximize their potential for independence in their communities both vocationally and socially.				The day program is committed to supporting each individual to reach their greatest potential, both vocationally and socially by providing each individual with skills that prepare them for independence and productivity in their vocational lives and beyond.   supported employment provides vocational training through job coaching and work experience for individuals with developmental disabilities.   the personal supports program provides assistance to individuals and families both at home and in the community to support each person in identifying and achieving their goals, to maximize independence and to increase community presence and participation.   other miscellaneous program service revenues and individual/community/behavioral support service revenues.	
AICE, Inc.	http://www.JewishVirtualLibrary.org	301-565-3918	EIN 52-1865861	2810 Blaine Dr	Chevy Chase	MD	20815	USA	International, Promotion of International Understanding	AICE strengthens the U.S.-Israel relationship by emphasizing the values our nations share. Tangibly, this means developing social and educational programs in the U.S. based on innovative Israeli models that address similar domestic problems, and bringing novel U.S. programs to Israel. AICE also sponsors research and the exchange of views concerning nonmilitary cooperation; facilitates the formation of partnerships between Israelis and Americans; publicizes joint activities, and the benefits accruing to America and Israel from them; serves as a clearinghouse on joint U.S.-Israeli activities and maintains the worlds most comprehensive online encyclopedia of Jewish history and culturethe Jewish Virtual Library.				Israel scholar development fundto address the critical need to develop new scholars and place established israel scholars on campus, aice has created the israel scholar development fund (isdf). This fund will:identify u. S. And israeli scholars who could be placed in visiting professorships. Offer universities matching funds to hire a visiting scholar. Identify students who want to become israel/middle east scholars and offer them scholarships for graduate study.   dream team initiativethe dream team initiative helps students deal with the deligitimization of israel on campus.   jewish virtual librarythe jewish virtual library is the most comprehensive online jewish encyclopedia in the world, covering everything from anti-semitism to zionism. So far, more than 25,000 articles and 6,000 photographs and maps have been integrated into the site. The library has 13 wings: history, women, the holocaust, travel, israel & the states, maps, politics, biography, israel, religion, judaic treasures of the library of congress, vital statistics and reference. Each of these has numerous subcategories. Under religion, for example, we have the complete text of the tanakh, information on jewish holidays and material on relations between jews and christians and muslims. The politics wing includes collections on u. S. -israel relations, the united nations and the peace process. The reference section has bibliographies of more than 1,000 books and 1,000 web sites, and a glossary of more than 1,000 words and a time-line for the history of judaism. The library also includes the virtual israel experience, an educational tool and virtual tour of israel designed especially for students going on birthright and other trips to israel. Using virtual israel as a model, we are now creating a virtual jewish history tour that allows jewish students and other internet users to "visit" jewish communities around the world to learn about their history and culture. The goals are to educate visitors about jewish heritage, the development of judaism, the changing nature of jewish communities and the connection between the jewish past and present. Much of the information in the library cannot be found anywhere else in the world, such as material on joint u. S. -israel projects, cooperation between israel and the individual states and the treatment of americans during the holocaust. We received permission from the library of congress to put its judaic and hebraic treasures on our site. We have also received permission to use material from the american jewish historical society, anti-defamation league, the simon wiesenthal center, the israeli foreign ministry and prime minister's office, rabbi joseph telushkin (author of "jewish literacy") and dozens of other sources. One of our goals is to offer visitors a single source for information so they dont need to search thousands of other "jewish" web sites.   myths and factsmyths & facts is a book published and sold by the american-israeli cooperative enterprise to help teach readers about the arab-israeli conflict. It clarifies the conflict in a concise and helpful way. The book is meant to promote knowledge on the conflict and the issues today.	
Hope Connections For Cancer Support Inc	http://www.hopeconnectionsforcancer.org	(301) 634-7500	EIN 20-3792198	9650 Rockville Pike	Bethesda	MD	20814	USA	Breast Cancer, Cancer, Counseling, Mental Health	The mission of hope connections for cancer support, inc. Is to help people with cancer and their loved ones deal with the emotional and physical impact of cancer through participation in professionally facilitated programs of emotional support, education, wellness and hope. The organization offers support groups for people with cancer and their caregivers; educational workshops with top oncology professionals; stress reduction and nutrition classes; and opportunities for people affected by cancer to connect with and support each other.				Programs include newcomer orientation held twice a week to allow adults with a cancer diagnosis, family members, and friends an opportunity to learn about hope connections for cancer support and its programs. The organization also holds ongoing weekly support groups facilitated by licensed professionals for caregivers, family members, and anyone who has been affected by cancer. Monthly networking groups allow participants and their loved ones to connect with others who have a similar cancer diagnosis or similar life circumstances. Hope connections for cancer support also offers educational programs and workshops which provide participatory learning opportunities on a variety of topics related to fighting for recovery.	
Immune Deficiency Foundation	http://www.primaryimmune.org	800-296-4433	EIN 52-1214782	110 West Rd  Ste 300	Towson	MD	21204	USA	Health, Medical Disciplines Research	The Immune Deficiency Foundation is the national patient organization dedicated to improving the diagnosis, treatment and quality of life of persons with primary immunodeficiency diseases through advocacy, education and research.					
Dysautonomia Youth Network of America, Inc.	http://www.dynainc.org	301-705-6995	EIN 33-1028242	1301 Greengate Court	Waldorf	MD	20601	USA	Health, Heart & Circulatory System Diseases & Disorders	*To give all those impacted with dysautonomia hope for the future.*To Provide a positive focused outreach program / support network for young people who are afflicted with childhood dysautonomia conditions.*To heighten awareness of dysautonomia conditions and their treatments within the pediatric and adolescent medical community.*To provide information on dysautonomia conditions through a newsletter and internet site and conference.					
Red Butterfly Foundation Inc	http://		EIN 45-3839614	11620 Reisterstown Road Number 210	Reisterstown	MD	21136	USA	Health, Health Care						
Chesapeake Baysavers	http://www.chesapeakebaysavers.org	(443) 837-6857	EIN 27-5430524	200 Forbes Street, Suite 100	Annapolis	MD	21401	USA		Chesapeake BaySavers is an Annapolis-based environmental organization dedicated to restoring the health of the Chesapeake Bay through legislative efforts, community outreach and hands-on, environmental education programs for youth. Chesapeake BaySavers is comprised of two separate entities that each play a vital role in the organization: Chesapeake BaySavers Foundation, a 501(c)(3) non-profit organization focuses on restoring the health of the Chesapeake Bay through education, community outreach and hands-on environmental work, and Chesapeake BaySavers, Inc., a 501(c)(4) non-profit organization focuses on preserving, protecting and promoting the health of the Chesapeake Bay through legislative efforts, with an emphasis on legislation that affects oysters.			Annapolis, Maryland	oyster educational programs, water monitoring, restoration projects and much more.	restore the Chesapeake Bay for future generations to come
One Love 4 Kids	http://www.onelove4kids.org		EIN 20-8962689	PO Box 2704	Germantown	MD	20875	USA	Children & Youth, Education, Human Services	Our Mission:   One Love 4 Kids's mission is to improve educational, economic, and health outcomes for impoverished children and families.   The organization supports parents and caregivers so that they can empower their children and support community-wide enhancements in education, health, and development.   Our Vision:   One Love 4 Kids's vision is to create a fully educated and empowered society by: supporting children, parents, and communities and by removing barriers to education in Jamaica and the Caribbean.	CURRENT INFO 2016 - Launched Children's Charity Shop 2016 Resumed FREE weekend tutoring for 40 children  2015 UPDATE 2015 - Served more than 350 children and families in MD and Jamaica 2015- Provided Free tutoring services to and average of 30 children on a weekly basis _____ HISTORY 2010 - Served 400 children 2012 - Founded Summer Literacy Program in Jamaica 2013 - Serve 200 children through summer literacy program and One Love 4 Kids Give Back  2013 - Launched STEM based tutoring program in MD 2013-2015 provide tutoring and resources to more than 200 children in MS 2014 - Hosted holiday giving program for 74 children 2015 - Supply 200 children in Jamaica with school supply	350 children	DC Metro Area & Jamaica	Clothing distributions, Free tutoring, academic support and resources, scholarships and more.	Under-resourced at risk youth and families affected by poverty, abuse, and disabilities
Womens Microfinance Initiative Corporation	http://wmionline.org	3015200865	EIN 26-1384627	8609 Fenway Dr	Bethesda	MD	20817	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations	WMIs mission is to work with village-level organizations to provide loans to poor women in East Africa so that they can engage in sustainable income generation, build savings and accumulate assets. Its goals are to help women stabilize their income, raise their household standard of living, secure better opportunities for their children and trigger regional growth.	WMI has established a $175,000 revolving loan fund and issued over 1,200 loans to impoverished women living in over 60 rural villages in Kenya and Uganda.	500	East Africa	Loan program, Training in bookkeeping and financial planning, After-school tutoring, Children's Library	Impoverished women in East Africa
Ben's Run / Ben's Gift, Inc.	http://www.bensrun.org	301-602-7288	EIN 45-3550053	18 Jaystone Court	Silver Spring	MD	20905	USA	Health	Our mission is simple:  to help kids fight cancer.  That means improving cancer treatments, combating side effects of treatment and ultimately, finding a cure for  childhood cancers.	In 2011, which was the first year of our run, Ben's Run sent $33,000 to Children's Center for Cancer and Blood Disorders.  In 2012, another $47,000 was sent to Children's for a total to date of $80,000!	Children's has approximately 300 new diagnoses in cancer each year and it has conducted 50 Bone Marrow Transplants (BMTs) each year.  Childrens National receives over 19,000 annual visits from children fighting cancer.  Cancer treatment requires children, once diagnosed, to return for treatment often multiple times a week for months to three years depending on diagnosis.  Once active treatment is completed, children must return annually for up to 5 years while in maintenance.	Greater Washington, D.C. area, including Maryland and Virginia and surrounding states	Proceeds will benefit Children National Medical Centers Divisions of Oncology and Blood and Marrow Transplant.	Children with cancer at the Center for Cancer and Blood Disorders at Children's National Medical Center
Irvine Nature Center	http://www.ExploreNature.org	443-738-9200	EIN 52-1231286	11201 Garrison Forest Road	Owings Mills	MD	21117	USA	Environment, Environmental Education	Irvine is an environmental education organization. Our mission is to educate and inspire current and future generations to explore, respect and protect nature.  At Irvine, we guide learning. We live green. We foster respect. And we thrive outdoors.		70,000 visitors connect with the environment.	Maryland	field trips, The Nature Preschool at Irvine and Growing Green Leaders.	children, families and adults
Food For Life Global	http://www.ffl.org	(301) 987-5883	EIN 52-1952901	Po Box 59037	Potomac	MD	20854	USA						To support plant-based (prasadam) meal distribution to the disadvantaged, malnourished and victims of disaster (natural or manmade), wherever there is a need in the world. To help establish food for life education centers throughout the world. These centers will provide free or inexpensive plant-based meals, counseling, yoga, and survival skills training. To help establish rural academies for youth ("food for life r. A. Y. Of hope"), whereby youth are trained in sustainable agriculture centered on spiritual values. To produce promotional and training materials for the development of food for life projects worldwide. To represent food for life to the government, media and public through public lectures, newspaper articles, the internet, and through mail. To raise funds on behalf of food for life projects worldwide and to support them with grants. To coordinate and sponsor emergency relief efforts conducted by food for life volunteers.	
ALLEGANY COUNTY ANIMAL SHELTER MANAGEMENT FOUNDATION	http://alleganyanimalshelter.com	(301) 777-5930	EIN 52-2292769	716 Furnace Street	Cumberland	MD	21502	USA	Animal Protection & Welfare, Animals	The Allegany County Animal Shelter serves as a Shelter of Hope for the lost, abandoned, and homeless animals of Allegany County. We strive to expand and strengthen our leadership in animal care, humane education, and progressive animal welfare programs and to find common-sense solutions for animal-related problems in our community.	This year our community and our Shelter team placed 1,400 animals in adopted homes, fosters and rescues or were returned to owners saving the lives of well over 95% of the animals that came into our care. Its a huge undertaking but one that our community has come to value. Allegany County has the first, and only one of two, municipal no-kill shelters in the Maryland. Thats something to celebrate.	1400 animals	Allegany County Animal Shelter is the first and only one of two municipal no-kill shelters in Maryland.	The allegany county animal shelter serves as a "shelter of hope" for the lost, abandoned, and homeless animals of allegany county. We strive to expand and strengthen our leadership in animal care, humane education, and progressive animal welfare programs and to find common-sense solutions for animal-related problems in our community. Statistics for 2014 are as follows: - saved over 94% of the animals in our care for the 3rd straight year - gained increasing national and regional recognition as maryland's only municipal shelter of hope - reached the "lucky 33" in time to save more than 3 dozen dogs and their expectant puppies from abandonment and neglect - improved animal control telephone support and procedures - energized and proactive new appointments to the animal control board	The homeless domestic animals in Allegany County, Maryland.
Critters for the Cure Inc	http://www.crittersforthecure.org	301.977.3776	EIN 33-1122111	301 High Gables Dr Suite 307	Gaithersburg	MD	20878	USA	Cancer	Critters For The Cure (CFTC) is committed to improving the quality of life for local women who are battling breast and gynecological cancers. CFTC provides emergency funds for everyday living expenses as well as therapeutic services for women living in MD, VA, and The District of Columbia.	1) $.85 of every dollar donated is used to make a direct and dramatic difference in the lives of local women who battle cancer.  2) CFTC has experienced a 22% increase in fundraising along with a 220% increase in grants distributed this year. 3) 40+ area hospitals and cancer centers refer their patients to CFTC for support.	provide emergency financial assistance to help with transportation to and/from treatment, medical and prescription copayment, rent, groceries, utility bills, childcare, prostheses and wigs, etc. In the past 12 months, CFTC increased the amount of emergency funds awarded to women in need by 200%. CFTC receives patient referrals from over 40 area cancer centers.	MD, VA & The District of Columbia	CFTC provides emergency financial assistance, life coaching and moral support to women battling breat and gynecological cancers . We promote 3 projects each year to help bring awareness about women's cancers: (1) Annual CFTC Fashion Show Gala in March, (2) Annual Critters On The March 5K in the Kentlands in June and our (3) Annual CFTC Calendar featuring women cancer survivors and their critters in October.	to women battling breast and gynecological cancers.
Integrity Research Institute	http://www.integrityresearchInstitute.org		EIN 52-2265766	5020 Sunnyside Ave Ste 209	Beltsville	MD	20705	USA	Science & Technology, Technology	Integrity Research Institute is an organization that investigates emerging, clean energy inventions, assists qualified new energy research, and informs the public of advancements in emerging energy.Integrity Research Institute, founded in 1991, grew out of the need for a long-term solution to the increasing dependence on fossil fuels and the associated environmental degradation. Through volunteer efforts, evaluation reports, books, videos and two IRI conferences have been produced to accurately depict many emerging energy technologies that do not use fossil fuels. Much of IRI's efforts are directed at educating the public about future energy technologies. IRI's goal is to assist energy inventors who qualify to bring their discoveries to the prototype stage of development. In that regard, IRI has begun a Clean Energy Program that evaluates emerging energy inventions and assists in finding funding for their work. IRI's goal is to implement a new energy infrastructure that provides local, on-site power and new transportation possibilities.					
Maryland Family Network	http://www.marylandfamilynetwork.org	410-659-7701	EIN 52-1486702	1001 Eastern Ave, 2nd Floor	Baltimore	MD	21202-4325	USA		Our mission is to ensure that young children and their families have the resources to learn and succeed.				Network - established and coordinated the operation of the statewide networks of 21 family support centers that served approximately 2,394 families of infants and toddlers and 12 child care resource centers that serve over 10,043 child care programs.   training & technical assistance - provided approximately 24,807 hours of training and technical asssistance on infant & toddler care, family support, parent leadership, early childhood development, and early childhood best practices to early childhood profressionals, programs, and parents.   locate - maintained exclusive database of all regulated child care programs in maryland, provided phonebased child care referrals to 5,229 parents and facilitated web-based searches for 26,482 users. Compiled data and trends about the demand for and the supply and cost of child care in the state.	
Advocates for Survivors of Torture and Trauma, Inc.	http://www.astt.org	(410) 464-9006	EIN 52-2025813	431 E Belvedere Ave	Baltimore	MD	21212	USA	Ethnic &  Immigrant Centers, Immigration, Mental Health, Mental Health Treatment, Victims Services	The mission of Advocates for Survivors of Torture and Trauma is to alleviate the suffering of those who have experienced the trauma of torture, to educate the local, national, and world community about the needs of torture survivors, and to advocate on their behalf.ASTT seeks to carry out its mission by 1) providing comprehensive services, -- including mental and social services, and referral for medical and legal services -- to individuals who have experienced torture and/or war trauma;  2) expanding the network of services available to torture survivors and war trauma survivors through training other professionals;  3) increasing public knowledge about the consequences of torture and war trauma; 4) working with others to increase the resources available to survivors and to advocate against the use of torture as a political tool.				Astt has served approximately 170 clients for the year ended september 30, 2014.	
Protect Yourself 1, Inc	http://protectyourself1.org/	443-491-3634	EIN 81-0644880	2938 Kidds Schoolhouse Rd	Parkton	MD	21120	USA	Health, Health Support, Nonprofit Management, Public & Societal Benefit, Public Health	PY1's mission is to increase precautionary awareness and individual responsibility with respect to HIV/AIDS through music, art, STEM and other media via educational events, programs and activities. PY1 strives to eliminate the taboos, myths and stigma associated with HIV, and to reduce risky behaviors and new infections.	Since the SAFE2LIVE Program inception we have directly served 350 students in school settings and 500 children at community events. PY1s Safe2Live Program educates pre-adolescents and helps them to understand and identify risky behaviors, enhance their decision-making skills, and alleviate their fears.  Safe2Live empowers youth with the information they need to take charge of their future, and the knowledge to make healthy lifestyle choices and changes. Based on our pre- and post- surveys, we can report that youths knowledge of HIV and other related diseases increased over 25% after participating in Safe2live.   Since its inception Project Arrowhead has served 320 adolescents at-risk youth from different organizations in Baltimore Maryland and Washington, DC: United Planning Organization (Providing Opportunities with Educational Readiness), Guide Program, Inc., Woodbourne School and Park Heights New Fellowship Christian Community; UMAR (Boxing and Youth Development Center) and Boys Hope - Girls Hope. The youth expressed satisfaction with the program and service workers and parents commented on increased positive behaviors of attendees.	100 At-Risk Youth scholars	Maryland and Washington DC, nationally and internationally.	Protect Yourself 1 has three complementary signature programs:  Safe2Live Program  An HIV/STI awareness, education and prevention program that integrates dynamic health education and STEM skills acquisition in a student avatar-based virtual reality simulation.  The Safe2Live curricula and content are certified and authorized by the Maryland Department of Health and Mental Hygiene and Baltimore City Public Schools.  Project Arrowhead  An award winning HIV and well being awareness, education and prevention program that incorporates health education, life skills and leadership development though horse husbandry, community gardening, nature education and physical challenge.  The program strengthens disenfranchised youths abilities to achieve their potential through teamwork and collaboration.  Be A Protector Campaign  A social media and distance learning campaign to promote environmental education and sustainability.	Educate At-Risk Youth about HIV/AIDS/STIs
Aid For Africa, Inc	http://www.aidforafrica.org		EIN 06-1703295	6909 Ridgewood Ave	Chevy Chase	MD	20815	USA	Education, Health, Health Care, Philanthropy, Public Foundations	Helps African children, families, and communities through a network of charities providing healthcare (HIV/AIDS, malaria), education, food, economic improvement, conservation, wildlife protection, and arts programs.	Aid for Africa has helped empower thousands of families in Sub Saharan Africa to build better lives through our support of more than 80 US-based nonprofits in our network.  Activities included building schools, providing scholarships to students, providing women with capital to start small businesses, training mentor mothers to help stop the spread of HIV to the unborn, conserving rare wildlife, protecting rainforests in Tanzania, providing support to families in Northern Uganda, disseminating new agricultural technologies, and more.  The Aid for Africa Girls Education Fund increases the number of girls in primary and secondary schools as well as college.  Aid for Africa also partners with the Friedman School of Nutrition at Tufts University through its Aid for Africa Endowment for Food and Sustainable Agriculture, which supports graduate students undertaking research in Africa.  Through its blog and other social media outlets, Aid for Africa reaches thousands of followers with information about the complex issues facing Sub Saharan Africa how the challenges they present are being met.		Sub Saharan Africa	Provide support for nonprofits working in Sub-Saharan Africa undertaking programs in healthcare, education, food security, micro-enterprise, wildlife protection, environmental conservation, and the arts. Educate U.S. citizens about Sub-Saharan Africa.	Poor and marginalized communities throughout Sub Saharan Africa.
Extra-Ordinary Birthdays	http://		EIN 27-3134087	4804 Greenbelt Rd	College Park	MD	20740	USA	Gift Distribution						
Kids Into Discovering Science	http://		EIN 47-2175179	3145 Eutaw Forest Dr	Waldorf	MD	20603	USA	Education, Educational Services						
