name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served
Foster Care Coalition of Greater St Louis Inc	http://www.foster-adopt.org	800.FOSTER.3	EIN 43-1570225	1750 S. Brentwood Blvd. Suite 210	Saint Louis	MO	63144	USA	Adoption, Children & Youth, Education, Foster Care	The Foster & Adoptive Care Coalition is a non-profit agency that strives to create permanency in foster childrens lives by recruiting and retaining foster/adoptive families.	Recruitment Programs like 30 Days to Family, A Place To Call Home,    Extreme Recruitment, Wendys Wonderful Kids, Child In Need; and support services like educational advocacy, 24/7 crisis Intervention, support groups, trainings, resources for clothing for foster and adoptive youth ([RE]FRESH and the KidStore), newsletters, financial education for youth, and more!	Learn about our groundbreaking work: http://www.foster-adopt.org/about-us/reports-financials/  Awards & Recognition: http://www.foster-adopt.org/about-us/awards-recognition/	create permanency in every foster childs life by recruiting and supporting foster and adoptive children and families	2,801 children and families in the St. Louis Metropolitan area, and touched the lives of 12,347 foster and adoptive families	the St. Louis Metropolitan community
White River Valley Electric Trust Inc	http://	(417) 335-9335	EIN 43-1629456	Po Box 969	Branson	MO	65615	USA	Emergency Assistance, Human Services	To provide financial assistance to the needy.	To provide financial assistance to individuals in need and to organizations which provide assistance to the needy.				
GREEN PARK LUTHERAN SCHOOL	http://www.greenparklutheranschool.org	314-544-4248	EIN 43-0781056	4248 Green Park Road	Saint Louis	MO	63125	USA		Green Park Lutheran School's mission is to provide an exceptional education in a Christ-centered environment which fosters the development of a God-pleasing academic and spiritual life. We believe in: - A Christ-centered environment - A strong partnership between church, school, parents, and students - A comprehensive approach to academics - The development of the whole child				over 200 students and their families.	
Grace Hill Settlement House	http://www.gracehill.org	314-584-6907	EIN 23-7216273	2600 Hadley	St. Louis	MO	63106	USA	Children & Youth, Neighborhood Centers, Youth Development Programs	Grace Hill Settlement House MISSION is to provide direct services cost-effectively within the self-help traditions of the Settlement House movement through community organization;  to work for social change within society to foster greater support and understanding of the disadvantaged;  to work in disadvantaged neighborhoods creating strong, healthy, helping communities by encouraging and supporting neighbors as they help themselves and others.	See schedule oearly childhood:grace hill settlement house works toward ensuring that every child, every family, and every community has the opportunity to succeed. The cornerstone of grace hill's program offerings is head start - serving hundreds of children at community centers across the city of st. Louis. Excellent education and a comprehensive network of support uplift the entire family. In partnership with parents and community members, children have the opportunity to attend events at the saint louis science center, art museum, and symphony as well as the missouri botanical gardens. By creating enriching, hands-on learning experiences, children are prepared to become lifelong learners and parents are engaged as their child's first educators.   see schedule ocommunity and economic development:two community hubs - one in the college hill neighborhood and one in the patch neighborhood - anchor multiple community and economic development resources to one location. This model creates a "one stop shop" for services such as banking, housing, job training, a women's business center, and a continuum of education supports. In college hill, 15 units of housing, family support programs at local elemetary schools, and over 40 partner organizations come together to create a strong, supportive environment for children and families. At two hub locations and three head start centers, grace hill settlement house services more than 3600 individuals each year.   see schedule ofamily resource and support:grace hill's family support network helps guide multiple generations toward economic stability. Each head start center has case managers who work closely with families on connecting them to the services they need. Partners such as st. Louis community credit union and connections to success are located on-site for easy access to opportunity. The women's business center works with entrepreneurs from across the region on long term-business development. Grace hill also stabilizes families through rent, utilities, legal assistance, and the provision of other basic needs. Together, staff, volunteers, and community members represent a strong, intentional system of supports that empower families to succeed.				St. Louis City
Gateway Festival Orchestra Of St Louis	http://www.gatewayfestivalorchestra.org		EIN 43-0815081	Po Box 50211	Saint Louis	MO	63105	USA							
Republic Paw Pantry	http://www.republicpawpantry.org	417-893-0086	EIN 45-5293656	PO Box 670	Republic	MO	65738	USA	Animal Protection & Welfare, Animal-Related, Animals, Emergency Assistance, Food, Food Banks & Pantries	Our mission is to prevent animals from being abandoned or surrendered due to financial crisis. We believe in providing temporary assistance to those families affected by unemployment, chronic illness, and to seniors on fixed incomes. Unconditional love and companionship is what we all need in times of hopelessness, need and uncertainty. That is exactly what our pets provide: hope.	Preventing animals from being abandoned or surrendered due to financial crisis by providing temporary assistance of food and/or supplies to families.	We have been able to assist 187 with pet food and supplies.	household pets	187 pets	Republic, MO
Ronald Mcdonald House Charities Of The Four States	http://www.rmhjoplin.org	(417) 624-2273	EIN 43-1758397	Po Box 2688	Joplin	MO	64803	USA	Health, Patient & Family Support	Provide a home away from home, temporary lodging and resources to families of seriously ill children being treated at local hospitals.	Provide a home away from home, temporary lodging and resources to families of seriously ill children being treated at local hospitals.				
Missouri River Relief	http://www.riverrelief.org	573-443-0292	EIN 03-0425187	P.O. Box 463	Columbia	MO	65205	USA		Missouri River Relief is a community and equipment based not-for-profit organization dedicated to connecting people to the Missouri River through hands-on river clean-ups, education events and restoration activities.	River relief inc hosted or participated in 26 river cleanups in 2014. The number of volunteers at the cleanups was 1442. The number of teachers and students at the educational events was 1029. River relief removed trash and debris from 107 miles of the missouri river, which amounted to 45 tons of trash and debris and 564 tires. The approximate number of volunteer hours in 2014 was 8,547.	2011 marks Missouri River Relief's 10th anniversary of hands-on river work.  In just ten years, the organization has made a visible and lasting difference in over 20 river communities, bringing together more than 14,200 volunteers to haul more than 1 million pounds of trash (592 tons to exact) from 667 miles of river, and were  just gaining steam.	Groups, individuals, and all ages & abilities are welcome!		
Midwest Biomedical Research Foundation	http://www.midwestbiomed.org	(816) 921-8311	EIN 43-1496422	4801 E Linwood Blvd Va Medical Cent	Kansas City	MO	64128	USA	Health, Medical Research	To support and facilitate innovative va research and education in a search for new treatments and cures for human disease and illness.	Supported clinical research studies that improve treatment andcure of health problems prevalent among veteran patients and therelevant general population. Special emphasis is placed onprojects that develop new technology, drug therapies andrehabilitation for the aging population. Support is also providedfor basic science research projects designed to acquire newknowledge leading to improvements in the prevention, diagnosis andtreatment of diseases and disabilities.   supported education and training related activities for thebenefit of veterans, their families, staff and the community atlarge. Included in the program is life science research seminar. The foundation supported eleven seminars entitled: targeting mutant p53 for cancer therapy; microrna in barrett's esophgus: small molecules with big potential; gradient and raw materials in tissue engineering; nanostructured carbon and boron compounds: applications in cancer therapy; breast cancer progression: what matter most; how to prepare a fundable va hsr&d investigator-initiated research (iir) grant application; targeting pancreatic cancer cells by regulating ccn1: a paradigm change; aspirin in breast cancer prevention: an old medicine in a new bottle; cytokines of the il-6 family and chronic kidney disease (ckd); and exploring va national database outcomes research.				
Champ Assistance Dogs	http://www.champdogs.org	(314) 653-9466	EIN 43-1803006	4910 Parker Rd	Black Jack	MO	63033	USA	Centers to Support the Independence of Specific Populations, Human Services	Raising & training service dogs to assist people with physical disabilities.	Service dog program - promotes healthy living to those with physical disabilities via the placement of custom trained service dogs, including teaching basic obedience and socialization skills to puppies, teaching advanced skills to meet the needs of the dog's disabled partner, and placement service training for service dog users.   community educational program - providing disability awareness education through presentations and demonstrations.   therapy dog program - trains and provides human-canine teams to collaberate with healthcare professionals at rehabilitations centers, hospitals and nursing homes for the purpose of therapeutic change.   rescue dog program - partnership with rescue/shelter organizations for offender-trainers in the prison program to teach rescue dogs basic house manners, tricks and basic obedience skills, making them more attractive for adoption.				
St Louis Learning Disabilities Association Inc	http://www.ldastl.org	314-966-3088	EIN 30-0079611	13537 Barrett Parkway Dr Ste 110	Ballwin	MO	63021	USA	Developmentally Disabled Centers, Disabilities, Education, Educational Services, Human Services	St. Louis Learning Disabilities Association (LDA), Inc. is a not-for-profit organization dedicated to enhancing the understanding and acceptance of learning disabilities.  Education, support, and advocacy are provided to children, parents, and professionals to help children and adults reach their full potential.	St. Louis LDA operates a program called Comprehensive Educational Services for Children with Learning Disabilities. This program includes the following services as they relate to learning and attentional disorders: cognitive educational evaluations, speech/language testing & therapy, workshops/educational seminars, individual tutoring, summer study school classes, individual observation and consultation, professional development institute, clearinghouse of informational packets and referrals, early childhood program, informational newsletter, and resource library.				
Children International	http://www.children.org	1-800-888-3089	EIN 44-6005794	2000 E Red Bridge Rd	Kansas City	MO	64131	USA	International, International Relief	Children International is a nonprofit worldwide humanitarian organization serving needy children and their families since 1936. Our mission is to help children living in dire poverty. This is accomplished through the generosity of our contributors by providing children with program benefits and services that meet basic needs, enhance their self-esteem and raise their physical and educational levels in a meaningful, lasting way. Our goal is that each child will grow into a healthy, educated and self-reliant adult.	See schedule o  see schedule o	We currently aid more than 340,000 children and their families in 11 countries, including the United States.			
Lees Summit Soccer Association	http://www.lssa.org	(816) 554-2255	EIN 43-1608569	705b Se Melody Ln Pmb 303	Lees Summit	MO	64063	USA	Soccer, Sports	Operate soccer programs for children	Provide a soccer program for children that gives them two playing sessions each year to learn the game, develop skills, develop coaches, provide uniforms, playing fields, referees, etc.				
Child Abuse Prevention Association	http://www.childabuseprevention.org		EIN 43-1067711	503 E. 23rd Street	Independence	MO	64055	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	To prevent and treat all forms of child abuse by creating changes in individuals, families, and society that strengthen relationships and promote healing.	Professional psychotherapy services for victims of abuse and persons seeking to prevent abuse or improve family life. Child Abuse Victims Services; General Counseling; JOURNEY, Womens Empowerment Groups.				
Arts Council of Metropolitan Kansas City	http://www.ArtsKC.org	816.221.1777	EIN 43-1840674	906 Grand Blvd. Suite 10B	Kansas City	MO	64106	USA	Arts & Culture, Arts & Humanities Councils & Agencies		Our programs include:    The ArtsKC Fund, a united arts fund providing grants to local artists, arts programs and arts organizations  Arts@Work, a corporate arts challenge aimed at engaging the creativity of employees of participating businesses  Arts & Issues, a luncheon series which explores the cross section between the arts and business  Now Showing, a program that matches local artists with corporate spaces to show their work  KCArtistLink, a website with resources for local artists working to build their business  Artist INC, a seminar series training artists in entrepreneurial skills				We serve the five county area directly surrounding Kansas City, MO.  This includes Jackson, Clay and Platte Counties in Missouri and Johnson and Wyandotte Counties in Kansas.
Jamestown New Horizons	http://		EIN 43-1372620	15350 Old Jamestown Rd	Florissant	MO	63034	USA	Equestrian, Sports						
Order Of The Eastern Star Of Missouri Grand Chapter	http://		EIN 37-1583370	54 Kimberling Blvd	Kimberling City	MO	65686	USA							
PARALYZED VETERANS OF AMERICA Gateway Chapter	http://www.gatewaypva.org	1-800-426-4058	EIN 51-0217506	1311 Lindbergh Plaza Center	St. Louis	MO	63132	USA	Human Service Organizations, Military & Veterans Organizations, Veterans	We are the leading advocate for quality healthcare, research & education relating to spinal cord injury and dysfunction, benefits available as a result of military service, and civil rights and opportunities which maximize the independence of our members.	Major programs are PATIENT SERVICES-serving our members while in the hospital; MEMBERSHIP SERVICES-reaching out to our more than 625 members; SPORTS & RECREATION- providing opportunities to participate in sports or other social activities to meet the diverse physical abilities our members represent; ADVOCACY & LEGISLATION-to help our leaders at the local, state and national levels to understand the needs or this group of military veterans; TRANSPORTATION-helping our veterans and other disabled to get to the Jefferson Barracks and John Cochran VA Medical centers; HOSPITAL LIAISON-committee that serves our members at the hospital level by representing them and assuring that they receive excellent care, all geared toward meeting the needs of the honorably discharged spinal cord injured/diseased veterans of the armed forces of the United States of America.		Veterans with spinal cord injury or disease.	650	The state of Missouri
The Silver Star Families of America	http://www.silverstarfamilies.org		EIN 20-3940415	525 Cave Hollow Rd.	Clever	MO	65631	USA	Human Service Organizations, Human Services, Military & Veterans Organizations, Veterans	To remember, honor and assist the wounded and ill of our Armed Forces from all wars.		ACCOMPLISHMENTS OF THE SILVER STAR FAMILIES OF AMERICA  THE SILVER STAR FAMILIES OF AMERICA IS PROUD TO ANNOUNCE THAT WE HAVE REACHED THE 2 MILLION DOLLAR MARK IN DONATIONS to THE WOUNDED AND ILL.  The SSFOA was founded in 2004 with one mission:  To remember, honor and assist the wounded of our Armed Forces from all wars.  Since that time, our members have donated more than 2 million dollars in volunteer time and material all while operating on a shoestring budget.    Membership in 2005     8 Membership in 2011     Approx. 5000  Over two thousand Silver Star Banners and Certificates have been provided free of charge to our wounded and ill valued at approx, $40,000.  The SSFOA has become a Veterans Administration Volunteer Services Advisory Board Member and we have donated hundreds of care packages and cards and letters to our wounded, ill and homeless valued at approx.  $30,000 dollars of donated material being given to Veterans Facilities in all 50 states and Puerto Rico.  Volunteers with the SSFOA have donated 47,912 hours valued at $934,763.00.  http://www.volunteer.va.gov/APPS/VOLUNTEERNOW/calculator.asp  The SSFOA is a certifying organization with the Presidential Volunteer awards program and have issued 21 awards.  The SSFOA has become one of the leading advocates for those wounded with Post Traumatic Stress with testimony given before Congress.  Testifying organization with the Senate Veterans Affairs Committee.  The SSFOA is a member of Guide star and 97.6% of every dollar donated goes to program services.  The SSFOA is the sponsor of Silver Star Banner Day on May 1st of every year.  In 2011, 50 states, the District of Columbia, the U.S. Virgin Islands and over 2,900 cities and counties signed proclamations for our wounded.  May 1st has been approved as Silver Star Service Banner Day by the United States House and Senate.  The SSFOA now has a program to honor Care givers and MWD.          We have started a wide variety of programs geared to our wounded and ill:   SILVER STAR PROGRAMS FOR WOUNDED AND FAMILIES  Silver Star Families assists our wounded and families thru programs geared to help the healing process. It is our wish to help you find avenues to meet your need. We also extend an invitation to join our online community.  JOIN SSFOA  Visit www.silverstarfamilies.org to see programs details.  SILVER STAR BANNER  SSFOA wishes to honor all service members injured in the combat zone and/or those with related illnesses including PTSD, Gulf War Syndrome, Agent Orange, and injured by friendly fire. We also honor Purple Heart recipients. To Request a Banner go to HOME page and to REQUEST BANNER    GAMES FOR WOUNDED Silver Star Families joins with Soldiers' Angels in their Lend a Hand Program. "Poly Trauma patients enjoy the games, and increase their hand eye coordination," said Steve Newton, Co-founder of The Silver Star Families of America. An article on The Washington Post site quotes the folks at Walter Reed hospital in DC, who report that videogames make excellent therapy sessions for soldiers wounded in the Iraq conflict. In addition to the obvious medical benefits of refining motor control via controllers, the entertainment allows soldiers to reconnect to experiences they may have had prior to their combat experiences. Therapists see the games benefiting patients with nearly any kind of injury, including patients with traumatic brain injuries. Click on GAMES FOR WOUNDED on HOME page to request games for wounded during their hospital stay.   HONORING HUNGRY HEROES WITH FOOD CARDS National SSFOA has launched a new program "Honoring Hungry Heroes."  McDonald's and Taco Bell gift cards treat our Wounded Heroes to a meal or two at these restaurants and possibly their family too. Wounded or family member may request Food Cards during your hospital stay by clicking on HONORING HUNGRY HEROES. Use the same link if you wish to donate to this worthy cause.   SILVER STAR LETTER WRITING TEAM SSFOA members join together in supporting our wounded overseas, statewide and in Veterans hospitals and homes with letters and cards. The team plans to reach a goal of 10,000 letters during the National Salute to Hospitalized Veterans. Please fill out the form at  JOIN SSFOA  to become a Silver Star volunteer and indicate that you wish to join the Writing Team.  PTS  and TBI  RESOURCES GIVE AN HOUR SSFOA teamed up with Give an Hour  an organization dedicated to developing and maintaining a national network of volunteers capable of responding to both acute and chronic conditions that arise within our society.  Their first target is the Soldiers and their families who are being affected by the current conflicts. Click on GIVE AN HOUR for details.  WHAT IS PTS Symptoms of post-traumatic stress disorder (PTS) can be terrifying. They may disrupt your life and make it hard to continue with your daily activities. It may be hard just to get through the day. PTS symptoms usually start soon after the traumatic event, but they may not happen until months or years later. They also may come and go over many years. If the symptoms last longer than 4 weeks, cause you great distress, or interfere with your work or home life, you probably have PTS. More details on www.silverstarfamilies.org  FIND HELP IN YOUR AREA I am an American Veteran. Who do I contact for help with PTS?  See  Area Map   Contact your local VA Hospital or Veterans Center located in your telephone book, or call the VA Health Benefits Service Center toll free at 1-877-222-VETS. In addition to its medical centers, VA also has many CBOCs (Community Based Outpatient Clinics) around each state so you can look for one in your community. You can also use any of the information on treatment for the general public.    PTS RESOURCES  for list of resources go to  www.silverstarfamilies.org   PTS NEWS   DoD Receives Mental Health Task Force Results. Secretary of Defense Robert Gates received the Department of Defense Task Force on Mental Health results and forwarded them to the Congress on June 14.The department will have six months to develop and implement a corrective action plan.  REMEMBRANCE OF SERVICE Dedicated to John A. Courant the "Destroyerman" The Silver Star Families of America and the Thank You Foundation wish to say THANK YOU to our many Patriots who have been wounded while actively serving the United States of America by presenting them with a Certificate. Click on REMEMBRANCE OF SERVICE   found in the links on www.silverstarfamilies.org  Hospice Program Prayers Blankets are provided for our dying veterans.  VETERANS PROGRAMS HOMELESS VETERANS: To see a list of of stand downs planned for 2008 and other homeleses Vets resources. INCARCERATED VETERANS   The Silver Stars will never forget any wounded Veteran be they homeless or incarcerated.  We are there. WOMEN VETERANS   See a list of resources to benefit women veterans. VA COMPLAINTS   Process for complaints and VA Hotline  National Headquarters Silver Star Families of America   525 Cave Hollow Road,  Clever, MO  65631-6313	The Wounded and Ill of our Armed Forces	Thousands	National/International
NEW AGE TRUTH OF MISSOURI	http://www.newagetruth.org	314-355-4751	EIN 43-1146587	1832 Partridge Berry	Florissant	MO	63031	USA		To improve our community through lectures, philanthropy, events, and humanitarian work	counseling services, home items, teachings about life and living it	We have assisted 100's of families within 40 years	All people	Flint Michigan community, 2 scholarship recipeints, 20+ families through turkey drive, 100+ children during our youth improvmen events	St. Louis/Metro East area
Dbldoc Tricycle Racing Inc	http://www.dbldoc.com	(417) 546-3333	EIN 26-3890702	183 Dixie Hieghts	Kirbyville	MO	65679	USA	Philanthropy, Public Foundations	This corporation is organized exclusively for one or more of the purposes as specified in section 501c3 of the internal revenue code	Tricycle racing non profit				
Franklin County Dental Network Inc	http://		EIN 30-0202483	104 S Mckinley Ave Ste E	Union	MO	63084	USA	Ambulatory & Primary Health Care, Health						
Children's Center for the Visually Impaired (CCVI)	http://www.ccvi.org	(816) 841-2284	EIN 44-0574397	3101 Main Street	Kansas City	MO	64111	USA	Centers to Support the Independence of Specific Populations, Human Services	CCVI''s mission is to prepare children who are blind or visually impaired, including those with multiple disabilities, to reach their highest potential in the sighted world.	School whose purpose is to prepare children with visual impairment, including those with multiple disabilities, to function at their highest potential in the sighted world.				
Habitat For Neighborhood Business	http://		EIN 20-4480392	3674 Lindell Blvd Suite Ds 100	St Louis	MO	63108	USA	Community Improvement & Capacity Building						
Scientific Arts Foundation	http://www.scientificartsfoundation.org	314-440-1156	EIN 75-3003722	11469 Olive Blvd. PMB 80	St. Louis	MO	63141	USA	Arts & Culture, Cancer, Cancer Research, Health, Medical Disciplines Research, Music, Neurology & Neuroscience	The Scientific Arts Foundation is committed to developing research studies that explore the benefits of creative expression from both the artist/creators perspective and from the recipient/observers perspective. The Scientific Arts Foundation was founded in 2002 to increase the awareness and research the value of creative expression in the healing process. The medical community has made the mind/body connection and is recognizing the spiritual/belief component to healing. The Scientific Arts Foundation proposes that the 4th leg of the healing table is creative expression.		To increase the awareness of the SAF's philosophy of creative expression within the community, the SAF has presented workshops and presentations to elementary schools, middle schools, high schools, colleges, medical groups, cancer support groups, professional organizations, and community groups.		Approximately 500-750 people per year attend presentations	
National Childrens Cancer Society Inc	http://www.thenccs.org	(314) 241-1600	EIN 37-1227890	500 N Broadway Ste 800	Saint Louis	MO	63102	USA	Cancer, Health, Health (General & Financing), Pediatrics	The mission of the national children's cancer society (nccs) is to improve the quality of life for children with cancer and their families worldwide.	Program service - the national children's cancer society, through its patient and family services division, offers programs that provide a range of services responsive to the needs of children with cancer and their families. The family support program, transportation assistance fund, and emergency assistance funds provide emotional and financial support to families throughout the united states during their child's cancer treatment. By eliminating some of the psychological and financial hardships associated with cancer, families can stay focused on the health and well-being of the child. Beyond the cure: life after diagnosisan individual is considered a cancer survivor from the time of diagnosis through the balance of his or her life. The goal of the beyond the cure survivorship program is to provide the most up-to-date information on survivorship to help survivors adapt and celebrate life after diagnosis. It provides a web-based information center providing late effects information and proprietary assessment tool, college scholarships, links to additional resources and educational materials.   public information and education - the national children's cancer society provides information to the general public to educate them about cancer's youngest victims, children, and to educate the public about the services offerred by the national children's cancer society to benefit children with cancer. The national children's cancer society also provides informational brochures to educate the public on how they can help children with cancer by donating blood for needed transfusions and by volunteering to donate marrow or cord blood for potentially life-saving transplants.   global outreach program - providing pharmaceuticals and medical supplies to treat children with cancer around the world.				
Pike County Sheltered Workshop Inc	http://	(573) 324-2205	EIN 43-0899115	Po Box 346	Bowling Green	MO	63334	USA	Job Training, Sheltered Employment	To provide work opportunities and job training for state-approved handicapped persons.	We provide jobs and job training to mr & mi employees approved by dese				
Humanity For Children	http://www.humanityforchildren.org	866-406-2006	EIN 20-5235379	2101 W Broadway #103-131	Columbia	MO	65203	USA	Philanthropy, Public Foundations	Humanity for Children is committed to improving the quality of life of children in remote areas of East Africa through community-based, sustainable initiatives that empower individuals and positively affect health, education, safety, and economic conditions.	Medical Clinics - Humanity for Children is committed to providing basic health care such as vaccines, examinations, and medicines to children around the world that do not have access to basic medical needs.  Humanity for Children has projects in the areas of health care, microfinance, community partnerships, and more.				
Childrens Peace Education and Community Enrichment Center	http://www.childrenspeacecenter.org	770-917-8815	EIN 71-0939003	203 E 12th St.	Kearney	MO	64060	USA	Arts & Culture, Children's Museums, Children & Youth, Education, Primary & Elementary Schools, Youth Development - Citizenship, Youth Development Programs	"Encourage and equip children of all ages to develop peacemaking skills that enrich their lives and those around them."  By providing a fun, safe, educational learning environment, we hope to eliminate violence in schools and communities, encourage children to discover their gifts and talents, equip them with skills needed to recognize harmful behaviors, and empower them to make better choices that develop good morals and values and enrich their lives.	Peace Mobile which is a mobile classroom focused on developing good peacemaking skills.	Every child that has experienced the peace programs as come away with improved skills for making better choices and developed peacemaking skills.  From the youngest to the oldest they have learned that they can make a difference in their world and environment.  We have proven pre and post tests that show statistics, but we prefer to look at the observable improvements in attitude and behavior changes.	children make better choices, deal with bullies, conflict management, self worth, getting along with others, protecting the environment.	1000 children and their families	Missouri
Atai Orphanage Fund	http://		EIN 01-0884039	Po Box 1966	Saint Charles	MO	63302	USA	Disaster Aid						
Royal Way Ministries, Inc.	http://		EIN 43-1418111	PO Box 2	Bowling Green	MO	63334	USA							
Baptist Home Inc	http://thebaptisthome.org	(573) 546-2709	EIN 43-0662474	Po Box 87	Ironton	MO	63650	USA	Christianity, Health, Nursing Facilities, Religion, Seniors, Supportive Housing for Older Adults	To provide a place of residence and care for the aged. To enable each resident to live up to their highest potential by providing care in a retirement community, including apartments and nursing facilities.	To provide intermediate residential care and independent living facilities for the aged. To provide these residents with accomodations, meals, medical care and activities that enhance their quality of life.				
Southern Webster County Food Pantry	http://thekingsfoodpantry.com		EIN 26-2713542	Po Box 176	Seymour	MO	65746	USA	Food, Food Banks & Pantries	Distribute food to needy	Distributed food to needy general population distributed to needy kids through the weekend backpack program distributed food to needy senior citizens				
National Chronic Fatigue Syndrome And Fibromyalgia Association	http://		EIN 43-1504766	12106 E 54th Ter	Kansas City	MO	64133	USA							
Congenital Heart Defects Families Association	http://www.chdfamilies.org	913-535-4970	EIN 20-0391453	PO Box 46744	Kansas City	MO	64188	USA	Birth Defects & Genetic Diseases, Health, Heart & Circulatory System Diseases & Disorders, Heart & Circulatory System Diseases & Disorders Research	The Congenital Heart Defects Families Association is a Midwest not-for-profit 501(c)(3) corporation working to bring comfort and support to area families affected by congenital heart defects. Support groups, distribution of educational literature, meals cards, care packages and comfort items for children undergoing cardiac procedures are the Associations main focus. Additionally, the Associationfunctions to raise money and awareness to promote congenital heart defects research through a variety of projects. One hundred percent volunteer run, the CHD Families Association strives to maximize investment in its work, not its overhead.We are the only support system in the midwest area for children with heart defects and their families.					Kansas, Missouri and surrounding areas
Della Lamb Community Services	http://www.dellalamb.org	(816) 842-8040	EIN 44-0549931	500 Woodland Ave	Kansas City	MO	64106	USA	Federated Giving Programs, Philanthropy	A national mission institution (nmi) in a covenant relationship with the national united methodist women to serve low-income kansas city families with education, immediate assistance, and welfare-to-work supportive services. The organization operates six centers to serve low-income kansas city families, including a child care program, an elementary charter school, early education, social services, youth services, adult education services and refugee resettlement services. Annually, over 10,000 low-income families are served with welfare-to-work supportive programming.	Charter school  to provide safe, low-cost, door to door transportation, and access to medical and nutritional services for the lower-income, elderly, and handicapped.   to provide quality state-licensed and state-accredited child care for children of low-income families, especially single parents who are seeking job opportunities, working, or receiving education.				
Back at You	http://backatyou.org	314-498-9129	EIN 47-2423511	5010 Murdoch Ave	Saint Louis	MO	63109	USA	Gift Distribution	BACK@YOU works to help the homeless survive life on the streets. We give them each a backpack filled with essential supplies and a handmade scarf as a sign to the recipient that these are gifts of kindness, comfort, and respect. The homeless are not invisible to us, they matter to us, and we care about them. We see the homeless, and weve got their backs.	custom-made backpacks, essential supplies, and comfort items		our homeless neighbors	over 225 of our homeless neighbors and several local homeless services providers.	St. Louis
Missouri Council Of The Christian Union	http://		EIN 43-6056180	18024 N Union Rd	Lawson	MO	64062	USA							
Ready Readers	http://www.readyreaders.org	314-564-8070	EIN 43-1841631	1974 Innerbelt Business Center Drive	St. Louis	MO	63114	USA	Children & Youth, Education, Literacy, Public & Societal Benefit, Remedial Reading & Encouragement, Youth Development Programs	Our mission is to inspire preschool-age children from low-income communities to become readers by reading aloud to them, increasing their exposure to quality books, and providing literacy-related activities.  The vision of Ready Readers is to have all children, regardless of socio-economic status, enter kindergarten with strong early literacy skills and print motivation, which are necessary to become successful readers when they are ready to read.	Ready Readers is a St. Louis-based nonprofit organization dedicated to inspiring preschool age children from low-income communities to LOVE books and to have the literacy skills necessary to become readers when they are ready to read.  Trained, passionate volunteers read high-quality books aloud to the same classroom of children for 30 minutes every week, and then provide stimulating reading-related activities.  Six times during each school year and once during the summer, the volunteer readers also distribute new books for each child to take home and keep.	This school year, an independent evaluator has pre-tested a sample of the preschool-age children in our program using the  early  literacy skills standards outlined by the Missouri Early Learning Goals. These same children will be tested again at the end of the school year and progress will be evaluated. Our short-term targeted goal is that 75% of the children in our program acquire the emergent literacy skills as defined by state standards.  Teachers and our volunteer readers always complete an end-of-the-year evaluation form, asking them about the early literacy skills that their children have acquired over the year	preschool-age children (2-5 yrs old) who live in low-income communities	10,000 preschool age children living in low-income communities	the St. Louis metro area and surrounding Missouri and Illinois counties
Missouri Youth Cricket Association	http://		EIN 46-1698068	57 Towerbridge Pl	Saint Charles	MO	63303	USA	Recreation & Sports, Sports						
Raintree Arts Council	http://		EIN 43-1169680	Po Box 251	Clarksville	MO	63336	USA	Arts & Culture, Arts & Humanities Councils & Agencies	Promote artistic creation and expression through local events and projects.	Community special events and projects  community special events and projects.				
Neosho Youth Basketball Association	http://		EIN 46-4325089	Po Box 1081	Neosho	MO	64850	USA	Basketball, Sports						
All Paws Rescue Inc	http://	(636) 474-5303	EIN 43-2004702	Po Box 1274	Ofallon	MO	63366	USA	Animal Protection & Welfare, Animals	To provide for the adoption and humane treatment of animals	To provide for the adoption and humane treatment of animals				
Masters Peace Clinic Of Hope	http://www.mpcoh.org	(573) 729-6767	EIN 47-1057047	703 County Road 6350	Salem	MO	65560	USA	Community Clinics, Health	To provide free christian healthcare services which will include chiropractic adjustments, massage therapy, pharmacy, lab, imaging, physical/occupational therapy, dental care, vision exams, counseling, educational programs and spiritual needs programs	We are still in the process of getting things organized and hopefully will be in operation starting june 1, 2015.				
Apostles To The Orphans	http://www.apostlestotheorphans.org		EIN 46-1002864	Po Box 1361	Joplin	MO	64802	USA	Human Service Organizations						
LAST - Latin American Sea Turtles	http://www.latinamericanseaturtles.com	+506 2236 0947	EIN 	From the Municipal Building, 200 metres north, and 50 m east	Tibas		63011	Costa Rica	Animals, Biological & Life Sciences, Protection of Endangered Species, Technology	Working through active partnerships in more than 40 nations, WIDECAST's goal is to realize a future where all inhabitants of the Wider Caribbean Region, human and sea turtle alike, can live together in balance.  To this end, we provide Government and NGO stakeholders with updated information on the status of sea turtles, specific recommendations for their management and recovery, and a framework for effective collaboration among nations.  WIDECAST is a Partner Organization to the UN Environment Programme in the Caribbean Region, providing a model for other regions to follow with regard to international collaboration in the protection of migratory marine species.	research projects		sea turtles	two rural communities save thousands of baby turtles, and take vital data from hundreds of adult turtles	coastal areas of Costa Rica
