name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Furkids'' Main Goals: 	ACR REF Rheumatology Investigator Award
Captain Planet Foundation Inc	http://www.captainplanetfdn.org	(404) 522-4270	EIN 58-1959421	133 Luckie St Nw 2nd Fl	Atlanta	GA	30303	USA	Environment, Natural Resources Conservation & Protection	Captain planet foundation funds, supports and serves as a catalyst in the development of hands-on environmental projects for children and youth. The objective is to encourage innovative programs that empower children and youth around the world to work individually and collectively to solve environmental problems in their neighborhoods and communities. The focus is to educate and inspire children to become great stewards of the planet and live eco-friendly lives. Through environmental education, we believe that children can achieve a better understanding and appreciation for the world in which they live.					Grants are awarded to public schools and nonprofit organizations that serve youth in grades k-12 for hands-on environmental education projects. Grants are given based on the positive environmental impact that should result from the proposed project, the ability for the project to be sustainable over time and the project's effectiveness in using an investigative approach and student direct learning. Through the grants awarded, students have the opportunity to repair damage to ecosystems in their communities and in many cases prevent further deterioration. The students become more connected with their school and community surroundings while gaining the skills needed to apply what they learned in the classroom to situations in their everyday lives that require critical thinking and interpersonal skills.		
Toy Annes Web Pages	http://www.guidestar.org		EIN 30-0133538	195 Benedict Ct	Athens	GA	30605	USA	Children & Youth, Mental Health, Youth Development Programs	The organization was founded to help fulfill a need for the services of guidance and counseling to be offered to the target population that cannot afford to pay for those service. The organization will aid in lowering the violence that occurs among our families. We believe that violence levels increases due to poor communication. Educating the target population (mostly parents) will help to improve communication and reduce crime, violence, and abuse among our children. Parents (males, and females),will gain the knowledge needed to withstand adverse conditions without resorting to violent behavior. We believe that a healthy family grows through communication.					TAWPINC programs include workshops on personal guidance activities: character education, anger management, small group activities, large group activities, grief counseling, which includes, face-to-face contact, consultations, modeling, and overall good communication. We serve up to 10-12 families per year.		
Nexgenpak Corporation	http://		EIN 47-4749588	Po Box 3433	Alpharetta	GA	30023	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion								
Faith Equestrian Therapeutic Center Inc	http://www.faithetc.org	(912) 655-1480	EIN 72-1600917	243 Appaloosa Way	Guyton	GA	31312	USA	Health, Rehabilitative Care	Therapeutic horseback riding lessons					Horseback riding lessons to children and adults with physical, mental and emotional barriers.   special olympics event  summer camp - program for children and adults that have physical, mental and emotional barriers.		
Fulton County Taxpayers Foundation Inc	http://		EIN 14-1859505	309 E Paces Ferry Rd Ne Ste 607	Atlanta	GA	30305	USA	Community & Neighborhood Development, Economic Development								
Trinity Rescue Incorporated	http://www.trinityrescueinc.org	877-71HORSE	EIN 45-5636465	5826 Forest Drive	Acworth	GA	30102	USA		It is the mission, duty, and purpose of Trinity Rescue to provide sanctuary, rehabilitate and rehome unwanted, abandoned, neglected, and abused horses within Georgia, as well as the rest of the southeastern United States. Trinity Rescue is based in Acworth, Georgia, but we will work diligently with other trustworthy rescue organizations to provide help for horses that may be out of our region.					Dedicated to the rescue of horses that will otherwise be kill.		
Brain Tumor Foundation for Children, Inc.	http://www.braintumorkids.org	(404) 252-4107	EIN 58-1524616	6065 Roswell Rd Ne Ste 505	Atlanta	GA	30328	USA	Brain Disorders, Cancer, Health	The mission of the Brain Tumor Foundation for Children is to provide financial assistance, social support, and information for families of children with brain and spinal cord tumors; fund research projects that improve treatment options and search for a cure; and raise public awareness of the disease and advocate on behalf of children who are affected.	In the 2012 fiscal year (7/1/11  6/30/12), we provided $360,000 in emergency financial assistance for 300 families in the southeast through our Butterfly Fund.  Since being established in 2000, this one program has provided over $1.8 million in assistance for hundreds of families  helping with items that include rent and utilities, car payments and repairs, gasoline, treatment-related travel expenses, and much more. We will continue to Help Families Cope, as long as needed through this and other programs that are described on our website.	Families of children aged birth through 21 years in the southeast who have brain and spinal cord tumors.		Southeast	The Brain Tumor Foundation for Children provides a financial assistance program (Butterfly Fund) for the families of children treated for the disease at certain hospitals in eight southeastern states (GA, FL, LA, MS, AL, KY, SC, TN); it provides information and education for families; it provides hands-on support to families (mostly in the state of Georgia); it supports research for a cure.		
Zone Busters Llc	http://		EIN 80-0068359	7704 N Main St	Jonesboro	GA	30236	USA	Protestant, Religion								
North Fulton Child Development Association Inc	http://www.CDAkids.org	770-992-4339	EIN 58-1085443	89 Grove Way	Roswell	GA	30075	USA	Child Day Care, Children & Youth, Education, Preschools	The CDA''s mission is: To enable to preschool children of low-income, working families to make a great start toward a bright future by providing affordable childcare and early learning education programs.		Children (ages 1-5) with low-income, working parents in metro-Atlanta.	~500	Metro-Atlanta	The CDA provides two state-funded Pre-Kindergarten classrooms with the following goals:1. Promote the cognitive, social and physical development of young children2. Prepare children for academic and social success in school and in life3. Provide Extended Care for full-time working parents		
Technocademy Inc	http://		EIN 47-1105679	1625 Silverleaf Way	Alpharetta	GA	30005	USA	Education								
Good Samaritan Health Center of Gwinnett Inc	http://www.goodsamgwinnett.org	678-280-6630	EIN 27-0080400	3700 Club Dr	Lawrenceville	GA	30044	USA	Community Clinics, Health	The mission of the Center is to demonstrate the love of Christ by providing affordable and accessible health care services to the uninsured indigent and working poor. We are the only full-time charity medical practice exclusively serving the uninsured in Gwinnett County.   We believe our calling to serve mankind is without limitation; services are provided to all patients regardless of race, color, religion, sex, sexual preference, national origin or immigration status. Further, we provide critically necessary medical services even in cases of an inability to pay our fees. We do not require confessions of the Christian faith from anyone in order to receive services, to volunteer or to complete student rotations. Our patient, volunteer and student population groups include members of the Christian, Jewish, Muslim, Hindu, Buddhist and secular belief systems. Our doors are and will remain open wide to anyone and everyone.	We have experienced tremendous growth in the last two years. We provided just more than 3100 appointments during 2011, then provided 5860 patient visits to 2687 unique individuals during 2012, and project to provide 10,000 appointments by end of 2013. If we meet that projection, we will have provided the community with 45,000 medical appointments since our opening in 2005.	low cost medical services to the poor and uninsured	Provided 5860 low cost medical appointments	healthcare	Women's Wellness, Primary Care, Chronic Disease Management, Pediatric Care, Counseling, social Work and Health Education.		
Planters Operation Roundup Inc	http://		EIN 20-3816369	Po Box 979	Millen	GA	30442	USA	Corporate Foundations, Philanthropy								
Saint Simons Christian School Inc	http://www.sschristianschool.com		EIN 58-2141244	1060 Coquina Dr	St Simons Is	GA	31522	USA	Education, Primary & Elementary Schools	To provide a christ-centered education for students in pre-kindergarten through middle school in the golden isles.					The organization provided quality christian education at the pre-school, elementary, and middle school levels for 90 students on a daily basis during the current fiscal year.		
Vision 2 Hear Ministries Inc	http://www.vision2hear.com	704-472-5339	EIN 33-1023776	911 Ember Ct	Stockbridge	GA	30281	USA	Religion, Religious Media & Communications	To inspire, empower and impact students artistically, athletically and academically through creative and passionate worship.					WAVE Teams (Sign Language Outreach) Elevate (Skateboard Outreach) Shockwave (Mission Trips)		
Sandy Springs Education Force Inc	http://www.sandyspringseducationforce.org	(770) 399-6181	EIN 58-2051101	7580 S Spalding Lake Dr	Sandy Spgs	GA	30350	USA	Education	Ssefs mission is to inspire and support all sandy springs public school students to graduate and pursue productive lives beyond high school by providing educational and enrichment programs through community collaboratives. Over 55% of sandy springs public school students are economically disadvantaged and are at risk of dropping out of school. Ssefs work in sandy springs public schools is specifically targeted to impact this population.					After school all stars 175 students participated in this comprehensive five day per week/ two hours per day after school program at sandy springs charter middle school incorporating academic remediation and enrichment. The program was implemented in collaboration with the georgia state university research foundation and after-school all-stars atlanta. Transportation was provided by the school. Ninety seven percent of the students in the program were economically disadvantaged and, thus, did not pay to attend the program. Students showed an increase in their crct test scores, decrease in disciplinary infractions and an increase in attendance as a result of participation in this program.   science technology engineering mathematics (stem) program ssef partnered with georgia tech research institute to bring the fifth annual ssef stem event focusing on communication technology to the eleven sandy springs public schools in march 2015 impacting over 2000 students. The opening event took place at north springs charter high school in which over 700 students viewed over 20 stem communication technology focused exhibits with student guides geared to the curriculum. In the evening, over 250 community, business and civic leaders participated in the event. This program was followed by outreach stem events, field trips and programs in ssefs feeder schools. Exhibitors then participated in the riverwood international charter school career fair to showcase the career opportunities in the field. Ssef then offered grant opportunities to sandy springs public schools for ongoing afterschool stem clubs and programs. Ssef was awarded the 2014 and 2015 georgia stem award for extracurricular programs by the technology association of georgia for this program.   reading/literacy programs ssef also partners with a number of community and civic organizations to provide reading and literacy initiatives in sandy springs public schools. 120 students at ison springs elementary school participated in the reading literacy program in partnership with altrusa, a community service organization. Ssef partnered with art sandy springs to bring the sandy springs reads program to first graders at ison springs elementary, dunwoody springs elementary and lake forest elementary schools. Ssef also requested a grant from build a bear foundation to provide science books for home libraries for students at lake forest elementary.		
Ultimate Destiny International	http://		EIN 20-3105880	5306 Riva Ridge Ln	Norcross	GA	30093	USA	Residential Care & Adult Day Programs	Support the life of orphaned children					The organization's main purpose is to provide support to sustain the lives of orphaned children.   the organization's main purpose is to provide support to sustain the lives of orphaned children.		
GEORGIA MOUNTAIN FOOD BANK INC	http://gamountainfoodbank.org	(770) 534-4111	EIN 26-2787610	1647 Calvary Industrial Drive	Gainesville	GA	30507	USA	Food, Food Banks & Pantries	Through a network of community partners, the georgia mountain food bank addresses hunger, health, and quality of life by serving those in need.					Georgia mountain food bank (gmfb) is a nonprofit organization with the mission to mobilize resources to fight hunger in our community. The core work of gmfb is the collection and distribution of donated food and other grocery products to charitable agencies in a five county service area in northeast georgia, including dawson, forsyth, hall, lumpkin and union counties, serving low-income and needy people. Gmfb supplements donated and surplus food and products with the purchase of specific food and grocery items. On a monthly basis approximately 22,000 individuals are served in the gmfb service area through partner agencies. Gmfb is affiliated with the atlanta community food bank which is a member of the feeding america network.		
Herosupport Inc.	http://www.herosupport.us		EIN 26-3385865	9290 Bayhill Drive	Gainesville	GA	30506	USA		Providing supplies to military personnel					Donation of mattress toppers to troops		
Diamond in the Rough Youth Development Inc	http://www.ditr.org	678-376-9676	EIN 83-0428456	2140 McGee Road Suite C640	Snellville	GA	30078	USA	Children & Youth, Girls Clubs	Diamond In The Rough (DITR), is an award winning, faith-based, non-denominational, youth development and leadership program dedicated to "Transforming the world . . . One child, one family, one community at a time".  DITR offers a variety of preventative programs and enrichment activities designed to build self-esteem, character, and leadership among girls of all ages.  Visit our website at www.ditr.org to learn more.	Diamond In The Rough has successfully served over 4,000 youth and families since our inception in 2004.  Working in collaboration with local schools, churches and organizations, it is our goal to provide programs and services to girls around the globe.	Girls ages 4-18 and their families.	150 youth	metro Atlanta	Group mentoring, leadership training, career training & family enrichment activities.		
Artists' Guild of Columbia County	http://www.artistguildcc.org		EIN 20-1342002	PO Box 2205	Evans	GA	30809	USA		The Artists' Guild of Columbia County provides opportunities for artists to exchange creative ideas and business information, to show and sell their work, and to increase their knowledge through workshops.  We promote the visual arts, sponsor exhibits and offer projects of interest to artists and those interested in the arts.				Columbia County and the greater Augusta area	Art After Dark: Our annual Art show offers the community the opportunity to enjoy the artwork of a wide array of artists. This year we displayed the work of 42 artists and enjoyed performances by several local groups including the Columbia County Choral Society, Members of the Columbia County Civic Orchestra, and the Da Capo Chamber Players.  Our artists provide artwork for several local venues. MCG HEaling Arts program: Our artists display artwork at the Medical College of Georgia throughout the year in an effort to enhance the hallways of the hospital for both patients and staff. In addition Guild artists work with hospitalized children to create artwork for the hospital.  The Guild offers $1,000 in scholarhips annually to help local high school graduates pursing a degree in art.   Members collaborate to participate in community art shows throughout the year.		
Atlanta GLOW	http://www.atlantaglow.org	678-870-GLOW	EIN 35-2234918-001	PO Box 670653	Marietta	GA	30066	USA	Education, Job Training, Leadership Development, Scholarships, Scholarships & Student Financial Aid, Vocational Counseling	Our mission is to encourage, educate and equip young, low-income women to be thriving, self-sustaining leaders and effective agents of economic growth within their communities.	Atlanta GLOWs mission is to encourage, educate and equip young, low-income women to be thriving, self-sustaining leaders and effective agents of economic growth within their communities. We believe that poverty is a generational battle that must be fought on a grassroots level. And, since we know that when you empower one young woman, you empower her future generations, we consider it of the utmost importance to empower young women in vulnerable communities who are transitioning into adulthood, a time when they will make some of lifes foundational decisions about who they want to be and where they want to go in life.    Through one-on-one mentoring, summer workshops focusing on soft skills and workplace leadership, and quarterly trainings focusing on college and career, we help prepare more and more women to make a positive transition into postsecondary education, entrepreneurship and/or early career. Our programs are not just intended to get them there, but also to equip them with the support and tools they need to build sustainability and long-term success. Founded in 2014, and heading into our fourth year of service, Atlanta GLOW has experienced a lot of growth and momentum in accomplishing that and more. We have been rated a Top-Rated Nonprofit two-years in a row by GreatNonprofits.org, and have grown to engage more than 200 volunteers and serve more than 50 women in our programs within our first three years.	young, low-income women between 16-25 years old		Cobb, DeKalb, Fulton, and Gwinnett counties	mentoring, summer leadership workshops, internships, college and career prep workshops, service referrals		
Adventures In Missions Inc	http://		EIN 65-0133113	6000 Wellspring Trl	Gainesville	GA	30506	USA	International, International Development								
EFFINGHAM COUNTY NAVIGATOR TEAM INC	http://www.effinghamcountynavigatorteam.com/about-us.html	912-247-1335	EIN 46-3121658	Po Box 185 402 Weisenbaker Rd	Rincon	GA	31326	USA	Public & Societal Benefit	Our mission is to provide an outlet to advocate, give a voice and strengthen famiiles with special needs children.  Our goal is to provide children with disabilities of Effingham County and surrounding areas a better quality of life through community awareness, support, resources, training, and recreation.	We have supported over 30 families to date. We have supported each other. We are growing stronger and strengthening families and communities.	Children and adults with developmental and intellectual disabilities a better quality of life through community awareness, support, resources, training, and recreation.	30 families.	Effingham County, Georgia and surrounding areas	community awareness, support, resources, training, and recreational programs.		
Sober Living America Inc	http://www.soberlivingamerica.org	404-634-4974	EIN 02-0618530	2530 Peachwood Circle Suite 4	Atlanta	GA	30345	USA	Centers to Support the Independence of Specific Populations, Counseling, Mental Health, Substance Abuse Treatment	Join Sober Living America and Fight the Addiction Epidemic - Stand Up/Friends Care.  SLA grew out of the need to provide a safe, sober and structured living environment for men and women who are beginning their recovery from alcoholism and drug abuse, regardless of their financial condition.  Their target recipient is unemployed or underemployed, often homeless, and without the means to utilize expensive medical recovery facilities.  With facilities in 6 states and housing more than 325 residents, Sober Living America strives to provide a hand up for those who want a sober, productive life.	60,000 Families Served 6 States 325 Beds Serving over 2,700 families annually	homeless/destitute suffering with substance abuse	1,150 families suffering the pains of addiction	Atlanta	Housing, food, recovery, spiritual, and work development.		
Institute Of Student Financial Aid Inc	http://isfaonline.org	(404) 288-8117	EIN 58-2248174	4260 Clausell Ct Ste 100	Decatur	GA	30035	USA	Education, Scholarships, Scholarships & Student Financial Aid	To train, inform and direct historically black colleges and universities (hbcus') and the public in all areas of student financial aid laws and regulations. To assist and help other non-profit organizations in understanding and maintaining sound internal financial controls.					The purpose of this organization is to inform, train, and educate parents and students in the area of post-secondary educational opportunities, particularly minority high school students and faculty. Also assists hbcus in financial aid administrative procedures,technical procedures and representation of institutions before governmental agencies. To establish financial systems and assist non-profits in the the understanding of accurate and proper financial and statistical reporting. To establish a financial reporting model for community action agencies through out the united states.   to assist hbcu's in understanding and maintaining compliance with the title iv regulations of the higher education act and code of federal regulations. To train and educate the students, parents and others in the area of post- secondary educational opportunities,particularly minority and disadvantaged students.		
Hosea Feed The Hungry And Homeless Program Inc	http://		EIN 90-0056349	1035 Donnelly Ave Sw	Atlanta	GA	30310	USA	Protestant, Religion								
Rally Foundation Inc	http://www.rallyfoundation.org		EIN 20-1950849	5775 Glenridge Drive Building B Sui	Sandy Springs	GA	30328	USA	Cancer, Cancer Research, Health, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Philanthropy, Voluntarism & Grantmaking Foundations	Childhood cancer is the number one disease killer of children and adolescents in America and research is underfunded by an estimated 30 million a year.Rally Foundation supports all phases of childhood cancer research from science at the bench (very early research) to Phase I, II, and III clinical trials.							
Rhg Management Services Inc	http://	(404) 364-2900	EIN 58-2366152	1819 Peachtree Rd Ne Ste 520	Atlanta	GA	30309	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing	To provide management and consulting services to affiliated publicly supported charities.					To provide management and consulting services to affiliated publicly supported charities.		
Grady County Fine Arts Project Inc	http://		EIN 20-4472909	175 Smith Rd	Cairo	GA	39828	USA	Arts & Culture, Music								
Bridging the Gap of Georgia	http://www.btg-foundation.org		EIN 45-0817010	P.O. Box 5065	Gainesville	GA	30504	USA		Our mission at Bridging the Gap (BTG) is to PROVIDE military veterans with what they need to fight the good fight against Post-Traumatic Stress Disorder (PTSD), Traumatic Brain Injury (TBI) and other crippling Combat Stress issues.   This includes a stable environment, quality food, safe harbor, work programs, and much more.  Unlike many national Veterans organizations, BTG is NOT a call center  our assistance is direct.  If a Veteran seeks aid from BTG  and we have the space available  aid will begin that very same day.  To gain access to our services a person simply has to prove that they are a United States Military Veteran  thats it.  Theres no red tape to cut thru		Veterans	63 Veterans	the United States	Residential Housing, Homes for Heroes, Field Trips & Activities, Health & Wellness Services, BTG Rental Deposit Guarantee , BTG Utility Deposit Program, BTG Mentorship Program, Counseling and Therapy, Healthcare Assistance, Transportation Program		
Quest Of Heart Corporation	http://		EIN 35-2411446	Po Box 373	Douglas	GA	31534	USA	Health, Medical Research								
Jatson Chumig Educational Corporation	http://www.jatsontibet.org		EIN 35-2355827	1177 Druid Walk c/o Brian McClatchy	Decatur	GA	30033	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness, Fund Raising & Fund Distribution, International, International Relief	The mission of the Jatson Chumig Educational Corporation is to improve the housing, health, educational and vocational opportunities available to the orphaned and handicapped students who attend The Jatson Chumig Welfare Special School in Lhasa, Tibet ~ P.R. China	We built a new kindergarten room, a new physical therapy room in 2010. Also in 2010, new greenhouses were built to help defer the cost of buying vegetables and instead, we grow our own to help feed the children. In November, 2011 ~ a new girl's dormitory was completed (home to 78 girls) and a new toilet house was built which improved overall sanitation for everyone. In 2012, a new boy's dormitory was completed adding a new home for 80 boys. In 2016, four new handicraft workshops were built along with new apartment/housing for the handicapped employees of Jatson Chumig / Lhasa. Currently, donated funds also pay for the educational cost of the children of which 27 are now attending colleges & universities in Tibet and mainland China.	Serving orphaned and disabled orphaned children living in Lhasa, Tibet.	150+ children	Lhasa, Tibet ~ PRC	Handicraft Workshops help continue the Tibetan art of papermaking, boot making, incense making and making clothing. Education provides the children an opportunity to truly change their life.  Jatson Chumig provides a full primary education (K-6) and children in middle school through high school and even university gives these kids tremendous opportunities to improve their lives in the future.		
HENRY FOR MUSIC	https://www.facebook.com/HENRY-FOR-MUSIC	770-342-9045	EIN 58-2089785	240 Brooks Drive	Stockbridge	GA	30281	USA	Arts & Culture, Arts Education	Obtain donations of used or unwanted musical instruments for children in a music band, orchestra or class who can not participate because of the cost.	Within 3 months in our partnership to Communities in Schools-Henry, we have received donations of 13 instruments (trumpets, clarinets, trombones, keyboards, violins and guitars).  Seven kids have now been placed into their middle school band allowing to begin participation in 2016	a child in a music band, orchestra or class who can not participate because of the cost, to have a musical  instrument to learn to play.	Seven (7) kids to get into their middle school band with instrument in hand.	Communities In Schools - Henry County Schools, Georgia	Obtain donation of used musical instruments for school kids.		
Heating Energy Assistance Team Inc	http://		EIN 31-1713867	2167 Northlake Pkwy Ste 112	Tucker	GA	30084	USA	Homeless & Housing, Housing Expense Reduction Support	Energy assistance to qualified low income families							
Son Safaris Inc	http://Http://www.sonsafaris.com		EIN 27-0818582	224 Cavalier Rd c/o Son Safaris	Athens	GA	30606	USA	Environment, Environmental Education, Protestant, Religion, Water, Water Resources, Wetlands Conservation & Management			Conservation of animals. Improve the lives of local people in both body and spirit.	Anti poaching teams,  2 children homes, water filters for 2 townships, donated 500 Bibles to local pastors in South Africa, 25 people took short term trips	South Africa and USA	Short term trips to game reserves in South Africa to do conservation projects and assist in local children homes.		
Ronald McDonald House Charities of the Coastal Empire Inc	http://www.rmhccoastalempire.org	(912) 356-5520	EIN 58-1630107	4710 Waters Avenue	Savannah	GA	31404	USA	Health, Human Service Organizations, Human Services, Patient & Family Support	The mission of Ronald McDonald House Charities (RMHC) of the Coastal Empire is to create, find and support programs that directly enhance the health and well-being of children and families. Our cornerstone program is the Ronald McDonald House, a "Home away from home" for more than 300 families each year whose children are receiving medical treatment in area hospitals. Other core programs include the Ronald McDonald Family Room and the Ronald McDonald Care Mobile.					Established in 1987, Savannah's Ronald McDonald House serves as a "Home away from home" each year for 250 families of critically injured and seriously ill children receiving treatment at area hospitals. RMHC of the Coastal Empire is an independent, 501(c)3 registered non-profit that operates solely on donations. The cornerstone programs include the 10-bedroom Ronald McDonald House, the Ronald McDonald Family Room located inside St. Joseph's/Candler Hospital and the Ronald McDonald Care Mobile, a mobile dental clinic providing free dental cleanings and examinations to underserved, school-age children in Beaufort County (SC).		
Guitars not Guns	http://www.guitarsnotguns.org	770-861-2443	EIN 91-2069334	PO Box 3562	Peachtree City	GA	30269	USA	Arts & Culture, Arts Education, Children & Youth, Music, Youth Centers & Clubs, Youth Development	Provide guitars and lessons to foster kids, at risk youth and other deserving children in a classroom setting with qualified teachers	Kids and teens are served across the USA and Canada.  Our program is open to thousands of kids at Boy's & Girl's Clubs, community centers, teen centers, schools and churches.	Underprivileged kids an youth that may engage in gang activity.	Students 500	National	Lessons given on a 8-week schedule through out the year. We help kids that can't be with their parents, at least for a while.		
Angels Among Us Pet Rescue, Inc.	http://www.angelsrescue.org	877-404-5874	EIN 27-1228232	PO Box 821	Alpharetta	GA	30009	USA	Animal Protection & Welfare, Animals	Angels Among Us Pet Rescue is a 501(c)(3) non-profit charity dedicated to saving dogs and cats from high-kill shelters in north Georgia. We operate through a network of volunteers and foster homes in the metro Atlanta area. Our efforts are funded by tax-deductible contributions from compassionate people and organizations who care and want to help make a difference... one pet at a time.  Our mission is two-fold: 1) To educate the public on the plight of animals that have found themselves in high kill shelters throughout Georgia and on the responsibilities involved with pet ownership, such as spay/neuter and heartworm prevention.  2) To save as many animals as we can from high kill shelters and to see each animal through from the actual rescue to the loving foster home and ultimately to the "forever" home they were meant to have.	Since our inception in 2009, Angels Among Us Pet Rescue has saved over 11,000 animals as a mostly volunteer-based organization.  With no physical facilities to maintain, we operate through a network of volunteers and foster homes.	rescue, rehabilitate and find loving homes for homeless pets	save over 2,000 homeless pets	metro Atlanta, GA,	fostering, veterinary care, spay/neuter, and adoptions.		
Homeaid Atlanta, Inc.	http://www.homeaidatlanta.org	678-775-1401	EIN 58-0024106	1484 Brockett Rd	Tucker	GA	30084	USA	Homeless & Housing, Homeless Shelters, Housing Development, Construction & Management, Job Training	The mission of HomeAid Atlanta is to build and maintain dignified housing where temporarily homeless families and individuals can rebuild their lives.  HomeAid acts as the housing developer and liaison between homeless service providers, builders, trade partners and community volunteers.    HomeAid Atlanta strives to improve the conditions of Atlanta's temporarily homeless families and individuals by focusing on increasing capacities at local transitional housing facilities, providing more homeless children, women and men with an opportunity to restore their lives.  Founded in 2001, HomeAid Atlanta is a 501(c)(3) nonprofit organization working in partnership with the Greater Atlanta Home Builders Association, and is a local chapter of HomeAid America, a leading national provider of transitional housing for the temporarily homeless.	Since 2001, HomeAid Atlanta has completed 16 housing developments that serve the temporarily homeless, including victims of domestic violence, teen mothers, abused and abandoned children, and homeless families. These developments serve more than 750 homeless children, women and men each year.			Metro Atlanta (Cherokee, Clayton, Cobb, DeKalb, Forsyth, Fulton, Gwinnett, Henry and Rockdale counties)	Through the generosity of metro atlanta's home builders, their trade partners, financial institutions, sponsors and the public, homeaid atlanta has built 18 transitional housing facilities and one free-of-charge health clinic for the homeless, with additional projects currently in development. More than 1,000 temporarily homeless people are provided housing each year in metro atlanta through homeaid atlanta-built transitional housing facilities. In addition, thirty-four (34) homeaid cares projects have been completed, assisting local service providers with repairs and improvements to their facilities serving the homeless.		
DRAKE HOUSE INC	http://www.thedrakehouse.org	(770) 587-4712	EIN 20-0943038	PO Box 1103	Roswell	GA	30077	USA	Homeless & Housing, Homeless Shelters	The Drake House provides comprehensive assessment and immediate residential housing with a support program for homeless mothers and their children.					The drake house, inc. Is a crisis residential assessment center for homeless women and children in north fulton county, georgia. It provides immediate residential housing, combined with an empowerment program designed to provide stability for the children and assist the family in working toward housing self-sufficiency. The drake house, inc. Addresses the long-standing need for emergency housing for women and children in the north fulton community. It offers residential housing and in-depth assessments to approximately forty to fifty families a year. Each family stays approximately ninety days. The target population is single mothers with minor children. These mothers may be unemployed or underemployed and lack sufficient income to meet all expenses of life in the north fulton community. Women and children entering the drake house are offered a variety of support services to empower and educate them and move them towards self-sufficiency. Residents participate in a goal setting process and an empowerment plan. Initial goals include addressing medical needs of the mother and the children, and the educational needs of the children. Onsite life skills classes are conducted every monday evening on topics such as job readiness, personal finances, parenting skills, and health and wellness. An advocacy program provides encouragement, motivation, and support during the family's stay. The goal of the drake house, inc. Is to create an environment that allows homeless families to be included in north fulton community life, enjoy a stabilized, improved quality of life, make increasingly responsible choices, exert greater control over their life competencies, develop and exercise their competencies and talents, and experience personal security and self-respect.		
Camp Gideon	http://www.campgideon.com	7709747744	EIN 58-2122839	3545 Walden Lane Camp Gideon	Acworth	GA	30102	USA		Our mission is to influence culture by positively impacting the lives of individuals. We accomplish this through camp programming, leadership training and providing year-round facilities for recreation, community and spiritual growth.	In 2012, Camp Gideon ran 10 different camps, with approximately 284 campers (not including leaders & volunteers!). 38% of these attended through full or partial scholarships. Over 236+ Leaders, Leaders-in-training, Interns & Volunteers received hands-on leadership experience in 2012 and left instilled with skills that can be utilized within their homes, churches, schools and communities.  Our campsite hosted 50 different church and organizational Groups consisting of 2000+ Children, Youth & Adults throughout 2012.			Metro Atlanta	IMPACT Leadership Program, Princess Camp, Discovery Day Camp, Adventure Camp, D24, Knights Camp		
World Water Relief	http://www.worldwaterrelief.org	(404) 242-1602	EIN 58-2577304	8343 Roswell Road	Atlanta	GA	30350	USA	Water	World water relief's mission is to significantly improve the health and clean water sources in undeveloped countries including dominican republic and haiti					Wash (water, sanitation, hygiene) provides services to schools in the dominican republic and haiti. During the year, twenty school water purification systems were either installed or maintained in the dominican republic and haiti. The organization also continues to provide youth hygiene education and monitoring of all water purification systems installed by the organization.		
DIAN FOSSEY GORILLA FUND	http://www.gorillafund.org	404-624-5881	EIN 52-1118866	800 Cherokee Ave Se	Atlanta	GA	30315	USA	Animals, Protection of Endangered Species, Wildlife Sanctuaries	The Dian Fossey Gorilla Fund International is dedicated to the conservation and protection of gorillas and their habitats in Africa. We are committed to promoting continued research on their threatened ecosystems and education about their relevance to the world in which we live. In collaboration with government agencies and other international partners, we also provide assistance to local communities through education, training and economic development initiatives.				Africa			
Bend Your Knees, Inc	http://www.BendYourKnees.org	877-389-1560	EIN 45-3913636	124 Timberland Drive	Canton	GA	30114	USA		The Bend Your Knees Foundation is a Georgia 501(c) 3 non-profit started in memory of Collins Dixon to raise money to be able to give back to others. Our focus is to spread awareness of Brain tumors in children, support families with a child that has a brain tumor and support other organization that work with children with brain tumors such as the Brain Tumor Foundation for Children.  How do we do this?  1  Raise Awareness of kids with brain tumors.  We raise awareness through t-shirts sales, Collins Scholarships, support of community events,  and the various fund raisers we do or support.  2  Support  Families with a child with a brain tumor.  We support local families that have a child with a brain tumor by giving directly to a family and help the family with fund raising efforts.  3  Support other organizations and events to reach families in other communities.  Giving Back to others is only part of the mission of Collins foundation. Collins faith in the Lord Jesus Christ was strong. As his body grew weaker, his faith grew stronger. Jesus was real to Collins. He showed us how to FINISH STRONG!  Thank you for your interest in Collins foundation.   God Bless and FINISH STRONG!	Through the funds we raised over the past 2 years we have been able to help several families not only locally in Cherokee County, but throughout the Southeast. For instance, working with the Brain Tumor Foundation for Children through the Collins Dixon Memorial fund we have been able to give to children outside of our local reach. By doing so we were able to help the families of 14 children in the following states this past year: Alabama, Florida, Georgia, Kentucky, Massachusetts, South Carolina and Tennessee.	families of a child with a brain tumor	18 children in 7 different states	the United States	Support for Families for treatment related cost		
Friends of Camp McDonald Park	http://www.campmcdonaldpark.org/index.html		EIN 27-1916239	P. O. Box 1356	Kennesaw	GA	30144	USA	Environment, Parks & Playgrounds								
