name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
World Renew	http://worldrenew.net	(616) 224-0773	EIN 38-1708140	1700 28th St Se	Grand Rapids	MI	49508	USA	Community & Neighborhood Development, Economic Development, International, International Development, International Relief	World renew's mission is to engage god's people		World renew works in community development by training people in agriculture, health, income earnings, literacy, justice education, small business development, and leadership skills. Over 289,000 individuals were served this fiscal year.   world renew provides disaster survivors with volunteer assistance. Almost 2,600 volunteers offered almost 181,000 volunteer hours serving to clear debris, assess needs, repair & build homes and start community organizations.   world renew educates constituency and provides opportunities, through work groups and volunteer positions, for people to serve in north america and overseas in community development. In this capacity, 170 volunteers contributed almost 21,500 hours.				
Michigan Military Technical Historical Society	http://mimths.org		EIN 26-3923943	PO Box 137	Eastpointe	MI	48021	USA	Arts & Culture, History Museums							
Just Speak Incorporated	http://www.JustSpeak.org	888-429-9299	EIN 86-1082417	P O Box 618	Royal Oak	MI	48068	USA	Children & Youth, Children & Youth Services, Civil Rights	To empower survivors of child sexual abuse, as well as the community to use their voice to protect children from becoming victims; and to increase society's intolerance of child abuse.	Southeast Michigan	For the Safety of the Children Community Outreach Program  In carrying out the mission of Just Speak, Inc. to support the holistic healing of young victims of abuse, the organization seeks established organizations whose proven history and philosophy coincide with that of Just Speak, Incorporated.   Our Community Outreach Program Partner enable us to extend our collaborative efforts to organizations that offer, and promote the following professional services to children through the funds we raise.  We support child advocacy that meets the following needs of children who have been abused or neglected:  Psychological/Health Issues       Legal Issues  Adoption/Foster Care  Education/Support groups       Mandated Reporting	Young victims and survivors of child abuse in Southeast Michigan	Started new mentor program. Partnered with SAFE for teen dating violence workshop October 2012; Volunteered at two 2012 "Take Back the Night events; Conducted mini training sessions, and held 1st Meet & Greet in November 2011. Planning for our 3rd annual 5K walk/run. Our affiliations include organizations and groups we have presented to, conducted workshops for, and partnered with the following groups and organizations: Alpha Kappa Alpha, Iota Chapter; Angelic Impact; Bow Elementary, Detroit; Childhelp Michigan; Elan Anti-Aging and Longevity; Men Against Domestic Violence; Om Day Spa; Omega Psi Phi, Phi Chapter; Reach LA, California; Take Back the Night Detroit; University High School, Detroit; University of Michigan-SAPAC, Southfield Domestic Violence Group, and many individuals throughout Southeast Michigan.  Just Speak held its first annual community walk to raise awareness and funds to support our community outreach program. We have provided support to our communities partners, which include our newly formed collaborative partner, Childhelp Michigan and SAFE.	Childhelp Michigan; Parents, Mentees, caregivers Take Back the Night; SAFE (beginning in October 2012).	
Fox Island Lighthouse Association	http://www.southfox.org	231-947-1926	EIN 20-2376767	PO Box 851	Traverse City	MI	49685	USA	Environment, Environmental Beautification			Power point presentations are give around the area about our volunteer work.		LOTS! Since 2006, we have spent countless hours at the island saving buildings, moving rocks, touring visiting boaters.		
Helping Hand For Relief & Development Inc	http://www.hhrd.org		EIN 31-1628040	21199 Hilltop St	Southfield	MI	48033	USA	Emergency Assistance, Human Services	Reconstruction and rehabilitation of the disaster affected areas, mainly by providing emergency relief, food, shelter,vocational and skills development, education, water for life, orphans and widow support programs, health facilities and economic empowerment and livelihood programs.		Emergency  seasonal  orphans  education health and medical water for life family support community development				
Camp Michi-MAC	http://www.campmichimac.org/	586-465-0163	EIN 38-3071949	39694 Suzan Ct	Plymouth	MI	48170	USA	Asthma, Camps, Health, Sports		Michigan		Children entering 3rd through 10th grade who  live in Michigan with moderate to severe asthma requiring daily medications.		50	
Momsbloom Inc	http://www.momsbloom.org	616-828-1021	EIN 26-0578009	3292 North Evergreen Drive NE	Grand Rapids	MI	49525	USA	Civil Rights, Reproductive Rights	MomsBloom, building strong families  through peer support and advocacy  to successfully navigate the challenges of early motherhood.	Kent County and surrounding areas	Flourishing Families and Cameron's Garden (grief support)	families with a newborn or those that have experience loss through miscarriage or stillbirth.	We have trained over 300 volunteers since conception (2008) and serve 250 families yearly.	250 families by building strong families  through peer support and advocacy  and successfully helped navigate the challenge of early motherhood.	
Looking For My Sister	http://www.lookingformysister.org		EIN 20-0926399	PO Box 37129	Oak Park	MI	48237	USA	Counseling, Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Homeless Shelters, Mental Health, Spouse Abuse Prevention	Our mission is "to continue the efforts of the groundwork laid a little more than 20 years ago - to work in the direction of a society where women are protected, life is esteemed, home is sacred, fear is unknown and domestic violence is unthinkable". Looking For My Sister is committed to developing and promoting efforts aimed at the elimination of domestic violence through faith and by taking action.						
Mosaic Youth Theatre of Detroit	http://www.mosaicdetroit.org	313-872-6910	EIN 38-3069610	2251 Antietam	Detroit	MI	48207	USA	Arts & Culture, Children & Youth, Music, Theater, Youth Development Programs	Mosaic Youth Theatre of Detroit is a leader in youth development delivering rigorous, high quality performing arts education and connecting that education to a promising future for its young artists. Mosaic's mission is to empower young people to maximize their potential through professional performing arts training and the creation of theatrical and musical art that engages, transforms and inspires.	Detroit	Mosaic has pioneered a unique model of youth development, which is grounded in current research, theory and practice. The Mosaic Model includes three core elements which are hallmarks of positive youth development, engendering success throughout life and in many realms. Mosaic engages the youth of our community through the following current programs.   Mosaic First Stage Programs (Ages 7-18): Mosaic First Stage programs provide entry level performing arts training to approximately 400 area youth annually. These workshops are presented in collaboration with community partners within the low income and underserved Northend, Osborn and Southwest Detroit neighborhoods.   Mosaic Main Stage Training Programs (Ages 11-18): Main Stage is the core program of Mosaic, providing nine months of free, intensive education and training in acting and vocal music to young artists. This year, approximately 150 young artists were selected for the youth ensemble by audition and interview. Ensemble members work with professional actors, writers, musicians, and designers. Mosaic's critically acclaimed local perfomrances and tours promote a positive image of metropolitan Detroit area youth and provide a model of multicultural cooperation.   Next Stage Touring Company (Ages 14-18): Approximately 12 senior members of Mosaic's Main Stage youth ensemble are selected each year by audition to perform in the Next Stage Company. These young artists recieve leadership training opportunites, act as peer mentors and leaders to Mosaic's less experienced young artists; and are paid for small group community performances.	Mosaic is a national model for arts education and youth development, providing accessible theaatre and music training for Metropolitan Detroit area young artists, ages 7 - 18, annually, regardless of economic ability to pay.	Mosaic has served (trained) more than 7,000 metropolitan Detroit area young artists since its inception.  Honored by the National Endowment for the Arts and the President's Committee on Arts and Humanities with the Comning Up Taller award as on of the top 10 youth arts programs in the nation Named Best-Managed Nonprofit by Crain's Detroit Business in 2006 Recieved the prestigious Governor's Art Award and organizational excellence awards from New Detroit, DTE, Wayne State University and Detroit Youth Development Commision Performed by invitation for President Barack Obaman, President Bill Clinton, Vice President Al Gore, 5 Governors and 4 Mayors.		
Book Industry Charitable Foundation	http://www.bincfoundation.org	(734) 477-4789	EIN 38-3279018	713 W Ellsworth, Suite A Suite A	Ann Arbor	MI	48108	USA	Corporate Foundations, Philanthropy	Established in 1996, the centerpiece program provides financial assistance to booksellers, who have a demonstrated need, arising from severe hardship and/or emergency circumstances. Since its inception, the organization has provided over $5M in charitable assistance to bookstore employees.		emergency personal financial assistance and higher education scholarships.	bookstore employees			
Kalamazoo Gay-Lesbian Resource Center	http://www.kglrc.org	(269) 349-4234	EIN 38-2800996	629 Pioneer St	Kalamazoo	MI	49008	USA	Civil Rights, Lesbian & Gay Rights, LGBTQ	The Kalamazoo Gay Lesbian Resource Center grew out of a need to provide support to gay and lesbian people and to create a bridge of understanding between all people regardless of sexual orientation.  The Resource Center provides the only support group for LGBT youth in Southwest Michigan, as well as a support group for transgender individuals throughout west Michigan. KGLRC believes that youth and adults who are in a minority status because of their sexual orientation need support, understanding and advocacy within the larger community.		Resource Center Programs include: RESOURCE CENTER YOUTH GROUP--weekly support group for LGBT youth under age 21.				
Community Administrative Services Inc	http://		EIN 38-2319248	33592 Harper Ave	Clinton Twp	MI	48035	USA		We operate residential group homes for developmentally disabled persons in a community setting.		To provide residential homes and care for developmentally disabledindividuals. We provide care to 36 clients in ten homes.				
Summer Camp Scholarships Incoporation	http://campscholarships.org		EIN 20-5002737	4033 S Michael Rd	Ann Arbor	MI	48103	USA	Camps, Children & Youth, Sports	Statement of needs/problems to be addressed; description of target population and how they will benefit.  The destiny of this community has been closely tied to that of the automobile industry; both GM and Ford have plants which have either downsized or closed in the past decade within the boundaries of this small school district. Lacking a broad base of economic opportunity, the fortunes of Willow Run and its residents have declined along with those of the American auto industry. 	In 2006-2007, over 70% of the children in four of the five elementary schools were eligible for the free school lunch program; the percentage at the fifth school was 68%. (Willow Run Food Services, 2007)	Single parent households, which are uniquely challenged to provide economical, wholesome activity in the summer, comprised almost four out of five families in Willow Run in 2000. (City-Data.com, 2000)	These children are educationally at risk, as indicated by low MEAP scores; using combined math and reading scores, all five elementary schools scored in the bottom third of the state in 2005-2006 (SchoolDigger.com, 2007). 	In 2004-2005, 68% of the senior class graduated; in 2005-2006, 52% graduated. (Center for Educational Performance & Information, 2006)						
Crashs Landing	http://www.crashslanding.org	(616) 821-6065	EIN 06-1646360	1545 Diamond Ave Ne	Grand Rapids	MI	49505	USA	Animal Protection & Welfare, Animals	To rescue, neuter/spay/microchip,		Our organization rescued 155 cats in 2014 and found adoptive homes for 149. We are a "no-kill" facility, euthanizing animals only when they are suffering and can no longer be helped medically. The ones who are not adopted continue to reside at our facilty either permanently or until homes are found. We have 2 buildings, one whuch currently houses 100 cats who are for the most part healthy and adoptable, and the other of which houses 115 cats with either feline leukemia of fiv(feline immunodeficiency virus). The cats with feleuk or fiv are adopted much less frequently than the others, but all cats who are not adopted will live out their days with us, receiving the same attention and medical care as the adoptable cats. Through 2014, we have taken in 3,438 cats and have aopted out out 2,597 to permanent homes.				
Rusty Warriors Foundation	http://www.rustywarriors.org		EIN 45-4927669	6511 BENTREE CT SE	Grand Rapids	MI	49508	USA								
Good Charity Inc	http://www.goodcharityfund.org	(888) 551-9336	EIN 27-4293728	20750 Civic Center Dr Ste 180	Southfield	MI	48076	USA	Philanthropy	For those forced to seek out private philanthropy, good charity is dedicated to serving and being a resource to individuals, families, and large institutions in need.		Michigan disabled and paralyzed veterans fund is dedicated to helping disabled and paralyzed american veterans in michigan. We do so by financially supporting va hospitals and other organizations that provide extended care, rehabilitation, spinal cord injury treatment and women's health programs. Additionally, mdpvf provides direct funding to veterans in need and for programs that create jobs and that aim to end chronic homelessness amongst our nation's veterans.   disabled and paralyzed veteran fund is dedicated to helping disabled and paralyzed american veterans. We do so by financially supporting va hospitals and other organizations that provide extended care, rehabilitation, spinal cord injury treatment and women's health programs. Additionally, dpvf provides direct funding to veterans in need and for programs that create jobs and that aim to end chronic homelessness amongst our nation's veterans.   national breast cancer awareness fund was created to help save lives through early detection and breast cancer awareness. Nbcaf provides funding for education and research with the hopes of finding a cure. Additionally nbcaf provides direct financial support for patients and families who are affected by breast cancer.				
Lahc Leaders Advancing And Helping Communities	http://		EIN 38-3081799	835 Mason St Ste A160	Dearborn	MI	48124	USA	Arts & Culture, Cultural & Ethnic Awareness							
Mount Hope Church of Lansing	http://www.mounthopechurch.org	517-327-HOPE	EIN 38-1785664	202 S Creyts Rd	Lansing	MI	48917	USA		Mount Hope Church is a community of loving disciples of Christ filled with an atmosphere of love and grace.				A Christian faith community with 4,000+ members serving the Lansing and Mid-Michigan region through Gilead Healing Center's natural health approach, Kidz Connect's Champion's Club Inner City mentorship and ministry programs, //SPYN student ministries, and Mount Hope Missions.		
Guardians for Animals	http://www.guardiansforanimals.org	(248) 457-8024	EIN 20-0823234	6353 Canmoor Dr	Troy	MI	48098	USA	Animal Protection & Welfare, Animal Services, Animals	To aid small rescue groups in need through emergency funding, networking support, education and animal placement. GFA wants to ensure no rescue  closes it's doors due to lack of funding.		We provide support for over 20 rescues who focus on death row shelter animals. Support includes food, supplies, spay/neuter, emergency medical,special events and adoption venues. Last year we helped to save over 3,000 animals in peril.	rescue groups save death row shelter animals			
South End Community Outreach Ministries Secom	http://secomministries.org		EIN 38-3038706	1545 Buchanan Ave Sw	Grand Rapids	MI	49507	USA	Food, Food Banks & Pantries, Human Service Organizations, Human Services, Recreation & Sports, Sports	To minister to people living with hunger and poverty in kent county. Secom provides help today through addressing basic needs such as food and building hope for tomorrow through health and education programs.		Maintenance of key food pantries serving more than 8,600 people with emergency food, personal care and infant items, referrals, and benefits assistance. Through the food pantry, individuals who qualify are able to obtain a three day, emergency supply of nutritious food once per month. Secom also partners with spectrum health for nutritional options for wellness, designed to help referred individuals with chronic health conditions manage those conditions through nutritious foods. Finally, secom is a community site at which individuals may sign up for dhs benefits, including the my bridge program, medicaid, and medicare. In addition, secom partners with other community organizations to refer pantry clients for employability, health, esl, and other services.   as a key resource center, secom provides services in the areas of basic needs, health, and education. Currently, secom is a healthy living hub for the ymca, which provides exercise, healthy cooking, gardening, and nutrition programs for area residents. In addition, secom partners with area health and educational institutions to provide basic health services, including blood pressure and blood sugar screenings. Finally, secom is a member of the early learning neighborhood collaborative, providing preschool programming for vulnerable children.   as a member of the early learning neighborhood collaborative, secom operates a free, licensed preschool designed to prepare vulnerable three and four year old children for kindergarten. 32 students spend 12 hours per week learning through play, honing skills in 38 areas including early literacy, early math, gross and fine motor, and social skills.				
CREATING HOPE INTERNATIONAL	http://		EIN 38-3288402	PO Box 1058	Dearborn	MI	48121	USA	International, International Development	TO EXPAND EDUCATIONAL, HEALTH AND TRAINING OPPORTUNITIES FOR THOSE IN NEED THROUGHOUT THE WORLD.						
Tri-Rivers Little League	http://www.littleleague.org/		EIN 38-3481632	532 Indian Woods Trl	Indian River	MI	49749	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.		Tee Ball Baseball and Softball, Minor League Baseball and Softball, Little League Baseball and Softball (also called the Major Division), Junior League Baseball and Softball, Senior League Baseball and Softball, Big League Baseball, Challenger Division, and Second Season or, the Training and Development Program, are offered for boys and girls.				
Inspiring Our Heroes	http://www.inspiringourheroes.org	6164819956	EIN 37-1768407	7209 Flannigan Rd	Orleans	MI	48865	USA		To bridge the gap between Veterans and the healing opportunities that lie just our of reach.	United States	healing opportunities such trips, VA assistance, service dogs, health and wellness and mentoring.	Veterans		starting our organization	
Emmanuel House	http://	(313) 384-3913	EIN 38-3303758	18570 Fitzpatrick Ct	Detroit	MI	48228	USA	Centers to Support the Independence of Specific Populations, Human Services	To minister to the needs of the individuals that have addictions and to assist in the rehabiliation process by establishing a christian support base.		We serviced over 300 veterans.				
NORTHWEST COOPERATIVE PRE SCHOOL	http://www.nwco-oppreschool.com		EIN 38-1690576	1934 Bridge St Nw	Grand Rapids	MI	49504	USA			Grand Rapids	our 2 day and 3 day preschool classes and informational family nights.	preschool aged children and their families		21 families prepare their children for Kindergarten	
Voiceless-MI	http://www.voiceless-mi.org	517-993-8600	EIN 27-0725920	P.O. Box 730	Charlotte	MI	48813	USA		Voiceless-MI is a  federally recognized 501(c)(3) non-profit and State of Michigan non-profit established in August 2009 . We work to create change for companion animals by caring for those in need through our foster-care system, helping to reduce the unwanted pet population with spay/neuter programs, and supporting efforts and initiatives that benefit the protection of animals. We advocate abolishing pound seizure and are against animal cruelty. Voiceless-MI supports humane education programs for the public and encourages respect and compassion for all animals. We strive to be the voice for the voiceless.	Michigan	dog & cat fostercare, low income spay/neuter program, Trap-Neuter-Return program, community education	shelter animals & to help end pet overpopulation	We have gotten many grants to support our low income spay/neuter program. We have also taken on many high cost emergency medical problems for our fosters.	to fix over 1,100 dogs/cats for Michiganders	
Ann Arbor Center For Independent	http://www.aacil.org	(734) 971-0277	EIN 38-2133063	3941 Research Park Dr	Ann Arbor	MI	48108	USA		To support and enable people with disabilities to live in the community independently.		To recruit and support the formation of community based groups of people with different types of disabilities and advocates to provide independent living skills.   to provide groups of people with different types of disabilities with their disability rights and to educate on the programs available to them.   to provide groups of people with different types of disabilities with business and employment services to allow them to function as normally as possible in modern society.   evaluating the effectiveness of certain programs through case studies, participant surveys and employer surveys.				
Lake Orion Foundation For The Enhancement Of Public Education	http://		EIN 38-2990046	2550 Topsham Dr	Rochester Hls	MI	48306	USA								
Ambedkar Association Of North America	http://		EIN 26-2793893	7080 Foxridge Dr	Canton	MI	48187	USA	International, International Relief							
Moredances Contemporary Dance Company	http://		EIN 38-3386371	Po Box 99558	Troy	MI	48099	USA	Arts & Culture, Dance							
Women In Touch	http://hlconnection.com		EIN 33-1076510	7737 Poe St	Detroit	MI	48206	USA	Counseling, Homeless & Housing, Hot Lines & Crisis Intervention, Housing Search Assistance, Human Services, Mental Health	Encourage women in developing strong relationships through biblical principles that will foster spiritual maturity						
Nyaka Aids Orphans Project	http://www.nyakaschool.org	517-575-6623	EIN 35-2153719	PO Box 339	East Lansing	MI	48826	USA	Camps, Education, Elementary & Secondary Schools, Literacy, Sports	The Nyaka AIDS Orphans Project is working on behalf of HIV/AIDS orphans in rural Uganda to end systemic deprivation, poverty and hunger through a holistic approach to community development, education, and healthcare.	Southwest Uganda	--Providing a free, quality education to students at Nyaka & Kutamba Primary Schools and at the Nyaka Vocational Secondary School, providing scholarships for students continuing their secondary studies. --Grandmother Program --The Mummy Drayton School Clinic --Desire Farm --Gravity fed Clean Water Program		We serve 724 students, 7,004 grandmothers and have an indirect life-saving impact on more than 43,000 HIV/AIDS orphans living in southwest Uganda.	724 students and 7,004 grannies	
All Species Kinship	http://www.allspecieskinship.org	(517) 596-7777	EIN 20-0498076	P.O. Box 4055	Battle Creek	MI	49016	USA	Animal Protection & Welfare, Animals	To use direct-outreach methods:  to identify and reach animals of ALL species in need   to prevent companion animal neglect and suffering by offering free pet supplies and services  to assess, humanely capture and mobilize wildlife that are injured/orphaned and transport them to highly-qualified licensed rehabilitators &/or wildlife vets that have a specality in the given species rescued; this includes transfers to accredited facilities out of state  to educate pet guardians and the general public about companion animal issues and wildlife concerns  to advocate for the enforcement of local animal ordinances  to implore a change in human values and behaviors as they relate to the treatment of companion animals; this is the underlying foundation of our direct-outreach programs	Southern Michigan	Creature Comfort Program Fix-it Blitz Service Wildlife Assessment and Mobilization Service Duck and Goose Refuge; Animal Sanctuary		Transforming human values and behaviors one family at a time; when A.S.K. first started people did not know what "straw" was. Now, nearly every dog we find outside has straw and the requests for straw pour into our hotline!  At minimum 600 24/7 outside dogs are reached annually.  At minimum 500 wildlife calls are assessed and responded to.		
Greater Midland Community Centers, Inc.	http://www.greatermidland.org	(989) 832-7937	EIN 38-1534400	2205 Jefferson Avenue	Midland	MI	48640	USA	Community Recreational Centers, Racquet Sports, Sports	Our mission is simple - we seek to make lives better.	Midland,  Michigan	health and wellness, recreation, child care, preschool, summer camps and more.	families			
A2 Raptor Rescue	http://Http://www.a2raptorrehab.com	734-368-6608	EIN 46-1400705	4042 Ann Arbor Saline Rd	Ann Arbor	MI	48103	USA	Animals, Protection of Endangered Species	To rescue, rehabilitate and release back into the wild sick, injured and orphaned birds of prey.	Southeast Michigan	Wildlife rehabilitation, educational programs and conservation projects	Rescue sick, injured and orphaned raptors with the goal of returning them to the wild		75 raptors	
Little Dresses for Africa	http://www.littledressesforafrica.org	734-637-9064	EIN 26-1654262	24614 Curtis Dr Rachel ONeill	Brownstown	MI	48134	USA	Arts & Culture, Fund Raising & Fund Distribution, Gift Distribution	To plant in the hearts of little girls that they are worthy through the distribution of handmade little dresses, made of pillowcases by loving hands from all over the world.	distributed over 41 million dresses in 81 countries across the world, built 2 schools, 6 wells...	clothing, teaching lessons on sanitation, clean water, nutrition, building primary schools, providing clean water.	clothe little children who are in need and instill self-esteem.  "We're not just sending dresses, we're sending hope!"	well over 4 million dresses and "britches for boys",  a Distribution Center in Malawi, two primary schools, 6 wells, 2 school master's houses, a soccer field and support of mobile clinic when our teams of 12 go at least once a year since 2008.	4 million dresses throughout the world	
Sanilac County Humane Society	http://www.societypets.org/	810-657-8962	EIN 38-3322837	PO Box 27	Carsonville	MI	48419	USA	Animal Protection & Welfare, Animals	Sanilac County Humane Society (SCHS) is a private nonprofit, federal and state tax exempt 501c3 no kill institution run by volunteers and public donations. Our mission is to provide shelter and medical care and find new homes for homeless pets, as well as reduce the number of homeless cats and dogs through our spay/neuter programs.	The Thumb of Michigan, Sanilac County.	spay/neuter programs	We are a NO-Kill Shelter, providing shelter and medical care and find new homes for homeless pets	Stray/Barn Cat program: 8,229 cats have been spayed/neutered             since its inception in 2007.  In 2016: 122 cats have been spayed/neutered. 109 cats & dogs have been adopted.		
Kids Standard Publication Inc Michigan	http://		EIN 27-3665828	5000 Rockaway Ln	Clarkston	MI	48348	USA	Children & Youth, Youth Centers & Clubs							
COLLEGE FOR CREATIVE STUDIES	http://www.collegeforcreativestudies.edu	313-664-7400	EIN 38-1550064	201 E Kirby	Detroit	MI	48202	USA	Arts & Culture, Arts Education, Children & Youth, Education, Higher Education, Undergraduate Colleges, Youth Development Programs	Located in Detroit, the College for Creative Studies is a world leader in art and design education and prepares students to enter the new, global economy where creativity shapes better communities and societies. A private, fully accredited college, CCS enrolls 1,400 students pursuing Master of Fine Arts degrees in Design and Transportation Design and Bachelor of Fine Arts degrees in Advertising Design, Art Education, Crafts, Entertainment Arts, Fine Arts, Graphic Design, Illustration, Interior Design, Photography, Product Design and Transportation Design. The College also offers non-credit courses in the visual arts through its Continuing Education programs and opportunities for over 4,000 Detroit youth annually through its Community Arts Partnerships programs. For more information visit www.collegeforcreativestudies.edu.		College level environment in art and design. Average enrollment was 1,366 in degree seeking programs and 192 in continuing education.   developing and rehabilitating the argonaut building and college parking structure. This development will house art and design education as well as provide additional student housing.				
Refurbished Pets of Southern Michigan	http://www.rpsm.org	855-795-7776	EIN 14-1999592	PO Box 83	Coldwater	MI	49036	USA	Animal Protection & Welfare, Animals	The mission of Refurbished Pets of Southern Michigan is to assist abandoned, homeless or unwanted animals by placing them in qualified, suitable, and approved foster or permanent homes; to rescue abandoned, homeless or unwanted animals by removing them through legal means from unsuitable environments or shelters.  To improve conditions of any animal in need, and help to facilitate their adoption to qualified, permanent homes; to educate the general public about rescue programs, responsible dog ownership, and the prevention of pet overpopulation and to consider the adoption of animals from their local shelters or rescue; to work with governmental agencies to implement positive changes in all aspects of animal reform at local and state levels.	Rescue	Founded in 2007 RPSM has made a serious effort to effectively aid in the reduction of euthanasia rates at many animal shelters. In 2008, the RPSM Correctional Companion Program began. In a partnership with the Coldwater Prison Complex, RPSM endeavors to find homes for dogs in shelters that would otherwise be euthanized.  Dogs selected for the Companion Program are carefully screened for temperament, trainability, and adoptability.  They are fully vaccinated, spayed or neutered prior to enrollment in the program.  Once they arrive at the complex, they are assigned to specially trained inmates who are responsible for their training and day to day care.  Upon completion of the program, the dogs are ready to receive a canine good citizen certificate (CGC) and available for adoption into an approved home.	dogs in shelters that would otherwise be euthanized.		57 dogs	
FAR Therapeutic Arts and Recreation	http://www.FAR-therapy.org	248-646-3347	EIN 38-1689200	1669 W Maple Rd	Birmingham	MI	48009	USA	Arts & Culture, Birth Defects & Genetic Diseases, Developmentally Disabled Centers, Disabilities, Education, Health, Human Services, Special Education	FAR is peoplededicated, talented peopleworking together to realize the full potential of those in our community with special needs.  With the advent of public education for the disabled, there still existed a need for this special population of young people to have experiences that would further aid and add to their emotional, cultural and social development.  The idea was to use the arts to improve self-concepts, self-worth and self-images. The FAR Board of Directors endorsed the concept of self-development through participation in a structured therapeutic and performing arts program. FAR provides sessions in drama, music, art, dance and ice-skating.	Southeastern Michigan	art therapy, music therapy and recreational therapy	clients of any age with any special need	FAR serves over 1,200 clients who face a wide array of physical, intellectual and emotional challenges.  They range in age from small children to senior adults and their interests are just as varied.	more than 1,200 clients of all ages with any special needs	
Enter Stage Right, Inc	http://EnterStageRight.org	810.334.6415	EIN 26-3508229	609 Huron Ave	Port Huron	MI	48060	USA	Arts & Culture, Performing Arts Centers	Enter Stage Right uses the power of performing arts as education to impact, inspire, and enrich lives in a positive way.	Our home is The Citadel Stage in beautiful downtown Port Huron, Michigan	A year round production calendar, theatre based classes, workshops, and community events.	Enrich the arts and culture of the Blue Water Area			
W E C Institute Inc	http://www.wecinstitute.org	734.699.6510	EIN 38-3759980	PO Box 1495	Belleville	MI	48112	USA	Technology	Expanding knowledge through exploration, discovery and innovation						
Birmingham Bloomfield Art Center	http://www.BBArtCenter.org	248-644-0866	EIN 38-1717631	1516 S Cranbrook Rd	Birmingham	MI	48009	USA	Arts & Culture, Arts Education, Visual Arts	vision statement: art for all  The mission of the BBAC is to connect people of all ages & abilities with visual arts education, exhibitions & other creative experiences.	Southeast Michigan	Education - the encouragement of interest and the development of skills in crafts, fine arts and design. Aesthetics are promoted through a variety of programs and studio classes. Over 5,000 students registered and took part in classes.   exhibitions - development and appreciation of artisitic skills are fostered through exhibition of artists' works. All exhibitions are open to the public at no charge. Gallery - students' works of art that are on consignment can be observed, rented or purchased while on display. The gallery is open to the public at no charge.				
Palanca Leadership	http://		EIN 47-3235482	731 Edgemoor Ave	Kalamazoo	MI	49008	USA	Children & Youth, Youth Development Programs							
Paws For Life Rescue	http://www.pawsforliferescue.org	248-906-8752	EIN 26-2505458	318 John R Rd. #244	Troy	MI	48083	USA	Animal Protection & Welfare, Animals	Paws for Life's mission is to speak for those who cannot speak for themselves; to rescue and rehome abandoned pets, matching animals and families to find the right fit for everyone and promising to exhaust all efforts to place adoptable pets in lifelong, loving homes; to promote humane education, spay/neuter initiatives and respect for all living things; to prevent and report cruelty to animals; to participate in disaster animal response; to improve the lives of animals and end the suffering created by puppy mills, animal fighters and backyard breeders; and to be a driving force, leader and champion for animal welfare in Michigan.	Michigan	Trap Neuter Return for community cats, shelter-to-rescue transfers to find adoptable dogs, cats, puppies and kittens loving, forever homes and pet adoptions.	homeless pets	Nearly 3,000 homeless pets saved.	more than 400 pets	
Charlotte Junior Orioles Inc	http://		EIN 38-3234389	Po Box 94	Charlotte	MI	48813	USA	Amateur Sports, Sports							
Grass Lake Hunting & Fishing Club Inc	http://	(616) 481-4288	EIN 38-6027566	7180 Zinnia Ct Se	Grand Rapids	MI	49508	USA		The club is operated for the private enjoyment of its members who collectively are sportsmen dedicated to preserving the natural resources on its property.		To provide enjoyment as sportsmen while preserving the natural resources of the property				
Kalamazoo Regional Educational Service Agency Foundation	http://www.kresa.org	(269) 250-9200	EIN 38-2478137	1819 E Milham Ave	Portage	MI	49002	USA	Education, Elementary & Secondary Schools, Literacy	The kalamazoo resa foundation enhances educational excellence throughout kalamazoo county		The purpose of the foundation is for the solicitation, management and disbursement of funds for the benefit of programs of the kalamazoo educational regional service agency, and for the special capital outlay expenditures in connection with educational and work training programs designed to develop job skills.				
Blue Water Pregnancy Care Center	http://BlueWaterBabies.org	8109854673	EIN 38-2774182	1211 Griswold St.	Port Huron	MI	48060	USA	Children & Youth, Children & Youth Services, Civil Rights, Family Services, Human Services, Right to Life	MEDICAL PREGNANCY HELP CLINIC	the Blue Water Area/ St. Clair County, Michigan	pregnancy confirmation thru ultrasound, pregnancy options, parenting education, community referrals, baby items, abortion recovery	babies, toddlers, young moms and dads		1100 moms, babies and dads	
Washtenaw Literacy	http://www.washtenawliteracy.org	(734) 879-1320	EIN 38-2914277	5577 Whittaker Rd	Ypsilanti	MI	48197	USA	Adult Education, Education, Ethnic &  Immigrant Centers, Human Services, Immigration, Literacy, Remedial Reading & Encouragement	Washtenaw Literacy was founded in 1971 by a small group of volunteers who wanted to help other adults learn to read.  Today, our organization has grown to serve over 1,500 adults each year in our one-on-one and group tutoring programs.  We remain the only organization in Washtenaw county that provides free, customized one-on-one tutoring to adults in reading and writing or English as a second language.		Recruitment, training, placement & support of adult non-readers and volunteer tutors. The majority of the services are performed by volunteers. The estimated value of these services is 1,568,182.				
