name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year	VISION: 	
Alamo Arts Ballet Theatre Inc	http://www.alamoartsballet.org		EIN 56-2581485	2103 Lockhill-Selma Rd.	San Antonio	TX	78232	USA	Arts & Culture, Ballet, Children & Youth, Youth Development Programs								
YOTM World Foundation	https://www.yotmworldfoundation.org		EIN 45-5065639		Lancaster	TX	75146	USA	Children & Youth, Children & Youth Services	To provide programs and services that promote, prepare, engage, enrich, and maintain positive and healthy development for underrepresented youth in low-income communities.	Underrepresented youth in low-income communities	The urban cities in Texas	After-school extended learning to promote positive youth development in at-risk youths. These opportunities offer membership in small groups, voluntary participation, chances to experiment with new learning content and materials, and opportunities to build relationships with peers and other adults.		125 students		
PAWS of Austin	http://www.pawsofaustin.org	512-288-9856	EIN 04-3774629	13315 Broadmeade Ave.	Austin	TX	78729	USA	Animal Protection & Welfare, Animals	PAWS' mission is to prevent cruelty to all animals by promoting humane standards through education and example, to provide care and shelter for homeless animals, aid in the reduction of domestic animal overpopulation, and aid in the enforcement of laws, including the investigation of animal cruelty and abuse. Our main goal is to provide the best possible care for the animals while in our custody and finding them new permanent, loving homes. Our attempts to place homeless animals into good homes help not only the animal but also provide a new owner with a loving companion and possibly a memorable life experience.	Abused and neglected animals	Anywhere we are needed	PAWS concentrates on promoting public awareness regarding animal welfare issues, pet health care, disaster preparedness, and most importantly, the necessity of spaying and neutering. We visit local schools, churches, and civic organizations in an effort to educate the public about what they can do to help the nationwide epidemic of pet overpopulation.   PAWS also takes a role in rescue operations during a national disasters and we assist with large scale hording and cruelty cases.  In addition, we have education programs for kids in schools and a therapy pet program in hospitals and nursing homes.		Rescue and rehome over 100 animals		
Gallantfew Inc	http://www.gallantfew.org	3166334599	EIN 27-1779772	PO Box 1157	Roanoke	TX	76262	USA	Military & Veterans Organizations, Veterans	GallantFew will reduce veteran unemployment, homelessness and suicides through a unique system of one-on-one home-town mentoring by veterans for new veterans.	reduce veteran unemployment, homelessness and suicide.	every community in the USA	One-on-One Veteran Mentoring; Descendants of Sparta anti-suicide campaign; SDVOSB Coaching; Law Enforcement Training and Education; The New American Veteran BlogTalkRadio awareness and outreach	GallantFew has been a 501(c)3 since July 2010 and has provided services to more than 200 veterans since founding.	Approximately 250		
Presbyterian Pan American School	http://		EIN 74-1109659	PO Box 1578	Kingsville	TX	78364	USA	Education, Secondary & High Schools, Two-Year Colleges	To educate and empower young adults for Christian leadership in the global community.			We are a private, residential, international high school (Grades 9-12) accredited by SACS.	We graduated our 100th senior class in 2011.			
Blessed by Success Outreach Ministries	http://Blessedbysuccessoutreach.org	(281) 9645912-	EIN 46-5250651		Houston	TX	77068	USA	Centers to Support the Independence of Specific Populations, Children & Youth, Emergency Assistance, Unknown, Youth Development	Blessed By Success Outreach Ministries is a Faith based organization with a mission to strengthen women, men and families by empowering them to overcome life's obstacles and live a productive life through Faith, Christ and Work. Together, we are one community. We are Blessed by Success and we believe in the power of potential.  The Mission of Blessed by Success Outreach Ministries is to connect people in transition to available resources within the community; to encourage and motivate our youth to build & strengthen their spiritual and material assets. Blessed by Success Outreach Ministries is designed to remold the values and turn around the lives of at-risk youth, ages 12 to 21. Blessed by Success Outreach Ministries is working to build networking support bridges to a new way of life in Christ.	Men, Woman and Children. We also serve Homeless Friends, Veterans and anyone in need.	Houston Texas throughout Harris County. But we also partner with Milam Youth Empowerment out of Milam County.	Available Supportive services along with Referrals.  Health and Human Service Commission assistance.  Food, Clothing and Toiletries for those in need. Mentorship and Volunteer Opportunities. Kidz Empowered Youth Group	We've helped countless people since we started almost 6 years ago. We genuinely have a passion for all people and for being servants of the Lord. We've helped people get off the streets, receive government assistance that they were unaware they could receive, seek and gain rightful employment and have also helped to transform the lives of at risk youth within the community.	Countless individuals throughout the year with with Toiletries, Food, Items at Christmas and School Supplies thrughout the year. We also volunteered with several non-profits throughout the Houston and the Milam County area.		
Haven for Hope	http://www.havenforhope.org	(210) 220-2100	EIN 20-8075412	1 Haven for Hope Way	San Antonio	TX	78207	USA	Homeless & Housing, Homeless Shelters	Our mission is to offer a place of hope and new beginnings. We do this by providing, coordinating and delivering an efficient system of care for people experiencing homelessness in Bexar County.	people experiencing homelessness		job training and employment readiness, education, substance abuse rehabilitation, counseling, mental health services, spiritual services, childcare, legal services, animal kenneling, mail services, and many more				
Project Quest Inc	http://www.questsa.org	(210) 630-4690	EIN 74-2643545	515 Sw 24th Street 201	San Antonio	TX	78207	USA	Job Training	Demonstrate benefits of training economically disadvantaged.			Training services - paid for a portion of tuition, books, supplies, and other training expenses incurred by individuals in high-demand career tracks that pay good wages in san antonio.   participant support services - provided support with basic living expenses necessary for individuals to be able to participate in training programs to improve their work skills so that they may enter san antonio's workforce.   case management and job development services - provided education guidance and life-skills training to participants and coordinated with local employers to develop jobs and prepared program participants for job search efforts				
African Childrens Haven	http://africanchildrenshaven.org	1-409 737-1388	EIN 30-0467989	4012 Pirates Bch	Galveston	TX	77554	USA	International	African Childrens Haven supports grassroots organizations that help local kids lead healthier, more productive lives. We invest in a variety of projects, but place special emphasis on education, especially for orphans and children living in extreme poverty. Our belief is that Africas future rests with its children and that projects developed and run by local communities produce long-term results.	at-risk kids lead happier, healthier and more productive lives	Sub-Sahran Africa	our secondary school scholarship project for orphan girls in Tanzania. We also finance projects that support teachers working in urban slums and that rescue girls facing female genital mutilation. In 2014 we fielded our first teams of paid sex educators who travel in poorly-served rural areas teaching safe sex and local production of sanitary pads. The lack of sanitary napkins is a leading cause of school failure among young girls living in poverty.	Orphans: In Western Kenya, an area with one of the highest rates of HIV infection in the world, we support children affected by the AIDS pandemic. Just $10 per week provides shelter, food, clothing, medical services and education for a child in need.  Education: To the greatest extent possible, all of our projects focus on education. In addition, at many locations  as in Tanzania  we provide scholarships for girls secondary education. It costs about $1000 to send a teenage girl to middle school or high school for a year. Eventually, we will provide scholarships so that the very best students can go on to university.  Gender: Lastly -- but perhaps most importantly --African Childrens Haven, gives a high priority to projects that support girls and mothers. Africa is traditionally male dominated, but thats changing as women rise to positions of influence and as women become empowered to support their families, enter the cash economy, and become community leaders.	650 children and reached some 10,000 people through our sex education initiative.		
Hashoo Foundation USA	http://www.hashoofoundation.org	713 483 4990	EIN 20-0748173	333 Clay Street Suite 4980	Houston	TX	77002	USA	Children & Youth, Community Foundations, Philanthropy, Youth Development Programs	Our mission is to enable and empower communities to be independent by facilitating equitable access to opportunities through economic development, education and skills development, supporting people with special needs, and providing emergency relief and social welfare.  Hashoo Foundation USA (HF USA) works locally to raise awareness, raise funds and promote intercultural understanding and best practices as it builds partnerships with other individuals, non-profit, and professional organizations to support the foundations projects in Pakistan.  We envisage an ethical, equitable, inclusive and progressive society in which people live with dignity and have power over their own lives. We achieve this by creating opportunities for vulnerable communities to be economically independent and to improve their quality of life.  HF USA main focus is the Women's Empowerment through Honey Bee Farming Project - Plan Bee. The project  creates jobs opportunities and generates a sustainable source of income through the sale of high-quality honey. The project addresses the discrepancy between the income earned by male and female beekeepers by educating the women in beekeeping and linking them to profitable markets. Furthermore, the project improves the status of women in their communities, as they become more integrated in the decision-making process within male-dominated societies.	Plan Bee - Women's Empowerment through Honey Bee Farming  - Underprivileged women in the remote areas of Northern Pakistan  Criteria for micro finance for Credit and Enterprise Development (CED):  - Widows  - Divorced/single mothers  - Married with a disabled husband	Pakistan, Tajikistan and Afghanistan	The mission of the organization has been accomplished through programs such as "plan bee" in houston as well as through donations to hashoo foundation in pakistan, which is a progressive and dynamic non-profit organization, leading the way in human development and poverty alleviation by implementing viable economic development, educational and capacity-building programs in pakistan since 1988. Economic development program in houston: the goal of the "plan bee" project is to enable refugee women in houston and women beekeepers in pakistan to increase their financial independence, learn financial management skills, and generate income for their families through participation in a honey producing micro-enterprise. The project benefited five refugee women in the houston area. Economic development program in pakistan: hashoo foundation usa, under economic development inititiatives, trained 12,978 individuals (1,806 men & 11,172 women) in different programs - including honey bee program in gilgit baltistan, chitral and neelum (azad-jammu & kashmir) - community empowerment through livelihood development (celd) - layyah and projects (mansehra). (new beneficiaries in 2014 totaled 420 - 333 men & 87 women) the education programs in pakistan: child education support program (cesp), 10 primary education schools, early childhood development program and scholarship program, have provided access to quality education to more than 5,643 (2,649 girls & 2,996 boys) (new beneficiaries in 2014 102 = 44 boys & 58 girls) in the remote and extremely poor areas of pakistan. Hashoo foundation distributed 103,873 books to 115 educational institutions through the rotary books for the world program, to promote literacy and education across pakistan. Hashoo foundation's skill development programs in pakistan: vocational training, life skills training and career mentoring have trained 71,652 (33,494 men & 38,158 women) (new beneficiaries in 2014 2,399 = 1,221 men & 1,178 women). Hotel management & tourism training and diplomas in ecd & education are two of the most sought-after training programs. The foundation's humanitarian assistance program has provided support to 518,116 individuals (207,688 men & 310,428 women) (new beneficiaries in 2014 51,835 = 22,673 men & 29,162 women) through medical, financial and educational assistance. Additionally, the hashoo foundation will target 3,286 of the most vulnerable internally displaced families in the district of kohat in the khyber pakhtunkhwa province, pakistan. Overall impact in pakistan: in 2014, the hashoo foundation's programs in pakistan enabled and empowered 56,894 people (25,085 male & 31,809 female) to be independent by facilitating equitable access to opportunities.	2007 - 2009  - Trained 312 women in beekeeping  - Benefiting 1200 dependants  - Increased household income by 32%  - Produced more than 25% tons of honey  - Honey sold in 10 five star hotels in Pakistan  - Honey sold in small quantities in super stores such as D. Watson, Shaheen and a chain of CSD stores (99 stores in Pakistan)			
Finding the Inner Me	http://Www.findingtheinnerme.org		EIN 80-0542628	12206 Oyster Cove Ct.	Stafford	TX	77477	USA	Centers to Support the Independence of Specific Populations								
TrainOurTroops	http://www.trainourtroops.org	800-959-7507	EIN 81-2381924	100 Congress Avenue Suite 2000	Austin	TX	78701	USA	Military & Veterans Organizations, Veterans	The vision of TrainOurTroops is to give each US veteran, and their spouse, additional skill sets that will provide them competitive advantages in the crowded marketplace, whether they're wanting to start a brand new career, or simply adding additional skill sets to their existing resume of experience to make themselves more valuable.  Our purpose:  - To raise awareness of US veterans and enlist the public's aid for employment - To provide unique training skill sets on the most relevant business solutions that are in-demand by organizations - To provide a higher quality of life for US veterans, and their spouses, by training them in topics that lead to higher quality positions within organizations - To provide coaching, mentoring, interviewing, and resume building services that directly connect US veterans, and their spouses, to job opportunities based on their new skill sets  TrainOurTroops focuses on getting veterans, and their spouses, trained and engaged in the marketplace to obtain solid positions to better support their families and excel in their individual careers. We want to ensure veteran families remain strong in a challenging world and can be successful in any profession as they transition to civilian careers.	US veterans and their spouses.	Anywhere a US veteran resides, as long as connection to internet.	Online training, awards, certification, mentoring, resume creation, and placement services.		Our goal is to help 2,000 US veterans, and their spouses, in 2016 - and 10,000 in 2017.		
Kellermann Foundation	http://kellermannfoundation.org	(972) 685-0279	EIN 34-2018044	P.O. Box 832809	Richardson	TX	75083	USA	Economic Development, Health, Health (General & Financing), Human Service Organizations, International, International Development, Microfinance, Rural Economic Development	To provide resources for health, education, spiritual outreach, and economic empowerment for the benefit of the Batwa pygmies and adjacent communities.	displaced Batwa pygmies and other tribal groups	southwest Uganda	education, income generation, health care, hospital services, community development, cultural / spiritual outreach, and RN-level nursing education.	The Kellermann Foundation has participated in some amazing results; thousands of lives saved or improved, hundreds of Batwa children educated, over 100 Batwa homes built, clean water projects installed, and one of the finest nursing schools in Africa opened.	a service area of over 100,000 people, most of whom live on less than $1 per day.		
Honor Courage Commitment, Inc.	http://www.honorcouragecommitment.org	214-431-3834	EIN 32-0344375	13625 Neutron Rd.	Dallas	TX	75244	USA		To transition elite military veterans into becoming elite entrepreneurs and business leaders who will then create jobs and make positive impacts within their communities.	Veterans	Dallas, TX	- Veteran Entrepreneurship Certification Series titled the Fellows Program - Operation Job Placement	- 58 veterans successfully completed the Fellows Program - 33 businesses and 4 non-profit veteran-owned businesses have been created since 2011 - place 20 veterans into competitive jobs  - completed over 5000 hours of community service	18 veterans start companies, 20 veterans find jobs, and contributed to over 2000 community service hours.		
Multicultural Education And Counseling Through The Arts	http://www.multiculturalarts.org	(713) 802-9370	EIN 74-2044904	1900 Kane St	Houston	TX	77007	USA	Arts & Culture, Arts Education, Children & Youth, Youth Development Programs	Provide performing and visual art			After school program - conducted in school year to teach the performing and visual arts to youth.   summer arts - summer camp type program providing classes in the performing and visual arts and recreational programs.   neighborhood schools - in school performing and visual arts instruction at local elementary, middle and high schools.				
Hearts in Harmony Animal Assisted Therapy Group	http://	903-842-3539	EIN 26-1618046	16211 County Road 165	Tyler	TX	75703	USA	Animal-Related, Animals, Children & Youth, Crime & Law, Youth Development Programs, Youth Violence Prevention			Northeast Texas					
American Dog Rescue Inc	http://americandogrescue.org	(801) 944-3023	EIN 27-0763331	381 Casa Linda Plaza Suite 420	Dallas	TX	75218-3423	USA	Animal Protection & Welfare, Animals	No Healthy Dog without a Home			American dog rescue (the "foundation") was established to support dog rescue everywhere. The mission is a large one: "no healthy dog without a home" and "no cruelty to any animal anywhere" in our lifetime. Each dollar contributed to the foundation goes toward the rescue of another dog.				
Medical Ministry International	http://www.mmint.org	972-727-5864	EIN 75-2601647	400 N Allen Dr  Suite 204	Allen	TX	75013	USA	Community Improvement & Capacity Building, Health, Health Care, International, International Development, Voluntary Health Associations & Medical Disciplines	We provide compassion & healthcare to a world of need using Jesus as our Guide. Our Project Teams and Health Centers are designed to bring the love of God to those we serve.	World's Poorest and Less Fortunate all over the world.	Currently have Health Centers, Clinics, and Staff on the ground in over 23 countries around the world.	Medical, Dental, Surgical, Primary Care, Integrated Health, Residency Training, Health Centers, Physical Therapy, Water, Sanitation, Auditory, Construction, Vision, Orthopaedics, etc.	2014 more than 668,000 people served with services over US$177 Million provided.	More than 668,000		
Isaiahs Place	http://www.isaiahsplace.org	257-694-7771. ce	EIN 47-0850488	231 Hcr 1207	Whitney	TX	76692	USA	Children & Youth, Deaf & Hearing Impaired Centers, Disabilities, Education, Educational Services, Youth Development Programs	Provide a place and programs for retreats, workshops, horsemanship training, crafts, reunions, educational activities and literacy enrichment for the deaf community.	Adults, children, and family members from the deaf community throughout Texas and the surrounding states. We are a year-round learning facility and retreat center.	Texas, Surrounding States	ASL Classes ASL Bible Studies Horsemanship Retreats IP Cowgirls - Mounted Drill Team with deaf members Isaiah's Signers - Signed Praise Team Tom Sawyer ASL Production ASL VBS Mission throughout Texas Workshops, Retreats, Day Camps	Many families from the deaf community repeatedly visit Isaiahs Place for recreation with their families and learning experiences with American Sign Language.			
Brilliant Lecture Series	http://www.brilliantlectures.org	713-974-1335	EIN 20-3880735	2400 Augusta #245 Scott Brogan	Houston	TX	77057	USA	Arts & Culture, Arts, Culture & Humanities, Humanities, Public & Societal Benefit	The mission of The Brilliant Lecture Series - Conversations with Brilliance is to education, inspire, and increase public awareness within our community by providing a forum for interaction with national and international leaders, role models, philanthropists, artists, humanitarians and other prominent members of our society.			Brought edvin marton, betty buckley, robert duval, diane keaton, bette midler, and marcus lutrell to houston with approximately 13,425 people in attendance. There was also 9 shows of potted potter and 1 michael jackson tribute performance.				
Houston Blues Museum Inc	http://	713-621-9561	EIN 27-1763118	P. O. Box 130175	Houston	TX	77219	USA	Arts & Culture, Museums	The Houston Blues Museum's mission is to build a permanent home for the artifacts that tell the story of the blues musicians and blues music of Houston and the Gulf Coast.			Duke/Peacock Revue is a musical retrospective of the hits from1949 to 1973 including Big Mama Thornton's 'Hound Dog'.  The musical revue is played in four parts to represent the four distict sounds Don Robey developed over the life of the record label.	The Board of the Houston Blues Museum was accepted into the Pre-Incubator program at Houston Arts Alliance and is now steadily growning in to a world class museum.			
Family Outreach Richardson-Plano Inc	http://www.familyoutreach-northtexas.org	(972) 633-6726	EIN 75-1572931	2205 Los Rios Blvd	Plano	TX	75074	USA	Child Abuse Prevention, Crime & Law, Domestic Violence, Family Services	Prevention of child abuse and neglect.			Mentoring, conducting parenting classes, and increasing the awareness in the community for the prevention of child abuse				
Womens Resource of Greater Houston	http://www.thewomensresource.org	713-667-4493	EIN 76-0318261	730 North Post Oak Road, Suite 204	Houston	TX	77024	USA	Children & Youth, Financial Counseling, Human Service Organizations, Human Services, Philanthropy, Private Independent Foundations, Youth Development Programs	The Womens Resource of Greater Houston provides free financial education and research so that women and girls have the knowledge they need to make sound financial decisions and improve their lives.	Low income women and girls	48 zip codes in Harris and Ft. Bend Counties	The Women's Resource annually teaches free personal finance classes to 6,000 low income and financially illiterate Houstonians in 38 zip codes. Using the acclaimed FDIC Money Smart and Department of Labor Wi$e Up curricula, we help those outside the financial mainstream enhance their money skills and build financial knowledge and confidence.  Now in its ninth year, Project LEAD remains the only research based program for at risk ninth and tenth grade girls that proactively counters the high dropout rate, helps girls avoid financial pitfalls, and teaches life skills.  LEAD reaches 200 girls each year and is held onsite at public and charter schools in the Fall and Spring semesters.	Since we were founded in 1990, more than 30,000 Houstonians have completed a class.	5,827 class participants and 194 Project LEAD students.		
Cypress Creek Friends of the Library	http://		EIN 23-7397306	6817 Cypresswood Dr	Spring	TX	77379	USA	Education								
Bat Conservation International, Inc.	http://www.batcon.org	512-327-9721	EIN 74-2553144	PO Box 162603	Austin	TX	78716	USA	Animals, Environment, Natural Resources Conservation & Protection, Protection of Endangered Species, Wildlife Preservation & Protection	Bat Conservation Internationals mission is to conserve the worlds bats and their ecosystems in order to ensure a healthy planet.			Bracken Cave in the Texas Hill Countryis the home of the worlds largest mammal colonytwenty million Mexican Free tail bats migrate to the site every year.Bracken Cave is on BCI-owned property and access has been limited to research staff and VIP guests for decades.The site is featured in the National Geographic documentary Strange Creatures Of The Night, the National Geographics Kids website and was the focus of a Kratt Brothers Be the Creature episode. The Nature Conservancy identifies Bracken Cave as the worlds largest colony of mammals and the director of Boston Universitys Center for Ecology and Conservation Biology calls Bracken Cave one of the great wonders of the world.Bracken Cave is a maternity colony, one of the safe havens for these bats to have their single pup each summer. Adult bats weigh no more than two quarters and yet they are capable of flying at great altitude and traveling long distances.Seen individually, each bat is a marvel of engineering--and quite appealing with soft fur and tiny ears.Bears, eagles and buffalo are iconic American mammals, but a visit to Bracken inspires guests to add bats to the list.				
nonPareil Institute	http://www.npitx.org	972-473-3593	EIN 26-3351005	5240 Tennyson Parkway, Suite 105	Plano	TX	75024	USA	Autism, Developmentally Disabled Centers, Disabilities, Health, Human Services, Job Training, Vocational Rehabilitation	nonPareil Institute is dedicated to providing technical training, employment and housing to individuals who have been diagnosed with autism spectrum disorder. We hope to one day be partially self-sustaining from the products our Crew build and market.	adults with a diagnosis of autism spectrum disorder	the Dallas-Fort Worth and Houston markets	technical, vocational and social skills training in order to help them lead fulfilled lives	Since opening our doors in 2010, more than 360 adults with autism have received training at nonPareil Institute. We have used their natural enthusiasm for technology as a platform for developing vocational and social skills for increased independence.  To-date, nonPareil has hired 58 adults with autism (most part-time, some full-time). For many this was their first job. Some have found part-time work while still training at nonPareil, while others have left nonPareil to join the workforce on a part-time or full-time basis. While training at nonPareil, some adults with autism have taken the important step of moving into an apartment and away from their parents' home for the first time. Others have mastered such steps towards independence as learning to drive or mastering the use of public transit. Most importantly, all have found acceptance  - a place where autism is understood and growth towards fulfilled adult living is encouraged.	more than 200 adults with autism!		
Sacred Ecology 33	http://sacredecology33.org	(877) 838-1133	EIN 26-1555257	3710 Cedar St Ste 10	Austin	TX	78705	USA	Environment, Environmental Education								
Helping a Hero Org	http://www.helpingahero.org	832-649-3365	EIN 20-5433598	8564 Katy Freeway, Ste 134	Houston	TX	77024	USA	Homeless & Housing, Housing & Shelter, Human Services, Military & Veterans Organizations, Philanthropy, Public Foundations, Veterans	Helping a Hero is a 501(c)(3) non profit, non-partisan organization, founded in 2006, that provides support for military personnel severely injured in the war on terror. Our principal activity is to provide specially adapted homes for qualifying service members through partnerships made with the builders, developers, communities, and the veteran. Helping a Hero strives to engage the community in providing services and resources for our wounded heroes and their families. Additionally, Helping a Hero provides additional support programs such as marriage retreats, caregiver retreats, recreational activities, emotional support, and financial support.			The wounded warrior home program is the signature homebuilding program for severely wounded warriors injured in support of the global war on terror. Traditionally, homes are built in master-planned communities with the developer and builder donating time and materials toward the construction of the house, in addition to their paid services. Helping a hero. Org donates cash funds and oversees the project. The veteran is required to take out a minimum 50,000 mortgage on the home plus contribute the proceeds of their va grant for which most of the veterans are eligible. For more information, see schedule o the actual mortgage amount is determined at the end of the building process and is based on the minimum required 50,000 veteran investment, plus any upgrades selected by the veteran over the maximum 100,000 cash contribution by the organization and any excess cost of land. Each home is built to address the special adaptation standards for the veteran who will live in the home and is designed to ensure maximum independence,within budget constraints. The home is recorded at cost plus any in kind donations from the builder or other sources. During 2014 there were 543,930 of in kind donations that are added to the cost of homes under construction during 2014. To date, the organization has awarded 113 homes in 22 states. The organization conducts a groundbreaking ceremony before the construction of a new home for the wounded warrior. The ceremony allows the organization to introduce the wounded warrior and his, or her, family to the community, educate the community about the needs of the wounded warrior, educate other businesses about the opportunity for giving back to wounded warriors, and honor the wounded warrior for his or her service. The organization has a welcome home ceremony when the home is completed and the wounded hero is ready to move in. The ceremony allows the organization to thank all the vendors who have donated time or products to the home as well as to educate the community about the adaptation needs that this wounded hero has as a result of his or her permanent injuries.   the organization conducts a groundbreaking ceremony before the construction of a new home for the wounded warrior. The ceremony allows the organization to introduce the wounded warrior and his, or her, family to the community, educate the community about the needs of the wounded warrior, educate other businesses about the opportunity for giving back to wounded warriors, and honor the wounded warrior for his or her service. The organization has a welcome home ceremony when the home is completed and the wounded hero is ready to move in. The ceremony allows the organization to thank all the vendors who have donated time or products to the home as well as to educate the community about the adaptation needs that this wounded hero has as a result of his or her permanent injuries.   marriage retreats, caregiver programs, financial education - the wounded heroes and their families often face an uphill battle with their marriages as they transition from the military back into civilian life. The divorce rate is an average of 85% among the most severely wounded. The organization is committed to equipping these families to enhance their communication skills and work through these crisis issues so that they can rebuild their marriages, based on the new normal they now face. Over 40 families have participated in the retreats, webinars, and crisis communication support for more information, see schedule o the caregivers, primarily spouses and parents, face the 24/7 day to day challenges of supporting our wounded warriors. They are often overlooked and unappreciated. The organization organizes and offers retreats that provide encouragement, fun, pampering, and camaraderie for these care- givers. Over 50 caregivers participated in these programs during 2014. The wounded warriors have often been in the military since high school and do not know what it takes to sustain a household in the civilian world. The organization helps them develop a budget and make better financial decisions. Emergency needs and recreation support - the organization provides ongoing support for wounded warriors and their families, with priority given to home recipients. This support includes financial support, sports events, fishing and hunting outings, rodeos, operation merry christmas, and others. Over 300 wounded warriors receive assistance.				
Hill Country Daily Bread	http://www.hillcountrydailybread.com	(830) 249-0025	EIN 30-0148195	38 Cascade Caverns Road	Boerne	TX	78015	USA	Adult & Child Matching Programs, Children & Youth, Family Services, Food, Food Banks & Pantries, Food Programs	Hill country daily bread ministries is a faith based ministry whose mission is to help unite and equip the hill country community with food, resources and training necessary to transform our communities and the lives of those in poverty and need.			Hill country daily bread ministries (hcdbm), a faith-based organization, serves impoverished families/individuals living in eight rural, underserved counties in the texas hill country. Our programs offer a full range of support and resources to give low-income families the tools they need to move out of poverty. Over 5,000 volunteers are involved in all aspects of program operations. Our programs include: the family mentoring resource program, community resource program, and programs for children. The family mentoring resource program (fmrp) is a christ-centered, relationship driven program that produces deep, measurable and lasting change in the lives of impoverished families. Family mentors come from partner churches and both are trained to understand the dynamics of poverty. Those we assist receive intentional case management, physical assistance of food, clothing and other items, and referrals to local community assistance agencies. Family mentors share the gospel and encourage the hope of jesus christ. Case managers help those we assist set long and short term goals toward becoming self-reliant. Through the community resource program, hcdbm partners with over 170 agencies in our service area and provides bulk food and other inventory items to support their programs. The development of these varied partnerships allows us to serve more people, expands the impact of our programs, provides more resources, and strengthens all organizations involved. Hcdbm has two programs that directly benefit children. The kingdom kids program provides children from families served by fmrp with christmas toys, easter baskets, birthday in a bag, back- to-school outfits, and a children's book club. Stand by me matches at-risk youth with trained mentors who encourage character development, emotional stability and academic success. Other program aspects are: our summer academic academy- teaching responsibility and offering remediation in math and language arts, and summer camps. All hcdbm programs are dedicated to helping low income families/individual gain stability, improve their quality of life and break the cycle of poverty. All programs are free of charge.				
Grayson County College Foundation, Inc.	http://www.grayson.edu	903-465-6030	EIN 75-2436355	6101 Grayson Dr Hwy 691	Denison	TX	75020	USA	Alumni Associations, Education, Scholarships, Scholarships & Student Financial Aid	The Grayson County College Foundation, Inc. exists to bridge the gap between the needs and resources of Grayson College. The Foundation, a Texas non-profit corporation was chartered with the Secretary of State in 1991 and obtained its IRS 501c3 exemption in 1992 to address the following goals:  to generate funds and endowments for scholarships to GC students; encourage gifts for facilities and equipment; develop private funding sources for new programmatic ventures; and communicate the evolving needs of the College to business, educational, cultural, governmental, and other constituencies to facilitate collaborative and mutually supportive relationships. The Foundation continuously seeks new sources of financial support, beyond the scope of tax-based funding. New grants and revenue sources must be sought to replace gaps resulting from  significant legislative reductions in order to provide the tools and resources for all students to achieve success.  The Foundation is governed by a 25 member board of directors.  Mr. Randy Truxal serves as the Executive Director of the Foundation, which maintains 3.5 FTE staff positions.	students attending Grayson College	Grayson and Fannin  counties in North Central Texas	student scholarships; upgrading new equipment and technology to support student success; and obtaining grants to support new programs such as hospitality management and culinary arts, faculty training opportunities,support services to enhance student completion among unique  populations such as first generation college students and Veterans, and facility expansion or new construction.	During the past 12 months, the Foundation successfully received over $1 million in donor gifts and $2.5 million in federal, state and private grant funding, which included funding for a new Career Training Center. More than $380,000 was distributed  in scholarships to 300+ students raised from alumni, foundations, community donors, and college employees. An additional $160,000 was received to provide 62 merit scholarships to students who made 3.0 in high school math and science courses.			
Paso Del Norte Paranormal Society Inc	http://www.ghosts915.com	915-274-9531	EIN 46-4063383	108 E San Antonio	El Paso	TX	79901	USA	Science & Technology, Technology	The Paso Del Norte Paranormal Society, Inc (Ghosts915) was founded by scientifically minded paranormal investigators, historians, and students to help with the restoration and preservation of historic landmarks in and around El Paso, Texas with events, ghost / history tours and fundraising opportunities.	educate about the history, legends, and lore of the Texas southwest.	El Paso tourism	ghost tours, paranormal investigations and fundraising.	Locations we have raised money for include historic locations such as: Concordia Cemetery, Downtown El Paso area businesses, San Elizario tourism, local non-profits and community centers.	raise funds for concordia cemetery and have been doing so for the past 8 years.		
Gods Lovely Butterflies	http://		EIN 45-1501554		Missouri City	TX	77489	USA									
Jobs Ministry Southwest, Inc.	http://www.JobsMinistrySouthwest.org	832-789-9567	EIN 26-3621065	1860 Fm 359 #128	Richmond	TX	77406	USA	Employment, Employment Preparation & Procurement, Human Service Organizations, Human Services, Job Training			Southeast Texas, Houston and surrounding counties	Served unemployed people by providing job-search seminars, coaching, and retraining services. 1125 job seekers were served during the year.				
Chaparral Foundation	http://	(432) 684-5591	EIN 75-2707574	Po Box 130	Midland	TX	79702	USA	Philanthropy, Public Foundations								
Alamo Area Partners for Animalwelfare	http://www.aapaw.org		EIN 26-0867665	PO Box 17324	San Antonio	TX	78217	USA	Animal Protection & Welfare, Animals	The mission of Alamo Area Partners for Animal Welfare (AAPAW) is to bring animal welfare organizations, veterinarians and the community together in partnership to improve the lives of animals in the San Antonio area.		San Antonio and surrounding area		AAPAW has already successfully found homes at Mega Adoption Events for over 3100 homeless pets, with almost 1000 in 2011 alone.	Homeless dogs and cats in and around San Antonio		
Ascending Leaders	http://		EIN 20-2433799	3947 Field Crossing  Michael Johnson	Sugar Land	TX	77498	USA	Adult Education, Christianity, Education, Leadership Development, Religion	Ascending Leaders exists to help church leaders succeed at growing people of Christ-like character and impact.			Consulting/Coaching/Training for healthy churches and church-wide discipleship. Teaching/Training on church health, discipleship and leadership development. Tools to be used for quality disciple-making	We have helped thousands of people from hundreds of churches tangibly grow as disciples.			
