name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Our goals are to:
Children's Farm Home Of The Oregon Wctu	http://		EIN 93-0386810	4455 Ne Hwy 20	Corvallis	OR	97330	USA	Human Services, Residential Care & Adult Day Programs							
Seaturtlesforever	http://www.seaturtlesforever.org	503-739-1446	EIN 	PO box 845	Seaside	OR	97138	USA		Seaturtlesforever is a dedicated to recovery of marine turtle stocks in the Eastern Pacific Ocean. We operate a research station on Punta Pargos in Costa Rica where we have turned 99% poaching of the area into 80% successful hatches. We run an educational program for 7 schools in our nesting area, and manage huge amounts of marine plastics debris that makes landfall in our nesting area every year. We have been at it for 8 years and collaborate with other Costa Rican NGOs and governmental agencias to develop a comprehensive management strategy for the area and instigate application of tactics and protocols necessary to create a holistic attempt at recovery of a critically endangered cohort of Chelonia Mydas  ( Green) and Dermochelys Coreacea ( Leatherback) turtles. Go to youtube for films of our work --- seaturtlesforever.			North and Central America			
PDXWildlife	http://www.pdxwildlife.com	503-841-7036	EIN 45-3155839	9233 SW Brier Place	Portland	OR	97219	USA	Animals, Biological & Life Sciences, International, Promotion of International Understanding, Zoos & Aquariums	PXWildlifes mission is to conserve species and habitats by producing innovative, high-quality research and educating communities about their natural resources.	This is our 6th year conducting panda bear research in Ya'an, Sichuan, China. We are continuing our data collection now on a year-round basis, but we have also begun analyzing our stereotypic and maternal care research. We hope to be able to publish these results in early 2017!   We continue to have the support from the San Diego Zoo as they remain collaborators on our panda projects. The CCRCGP graciously presented us with a small travel grant that will allow us to make two trips to China under their aid.   As we continue to collect valuable and exciting data, we owe a huge debt of gratitude to the multiple interns and project supporters that have become like family over the years. We are really excited to see the outcome from several new projects including a mercury toxicology study, reintroduction, hormone analysis, and Male - Male Competition.	Research, Educate, and Inform Endangered Species Mating and Reintroduction Programs	Portland, Oregon and Sichuan, China	International Internships, behavioral observations, stereotypic observations, male-male interactions, working in concert to improve reproductive success.	16 students, 2 giant panda breeding facilities, 1 research institution	
Unite Oregon	http://www.uniteoregon.org	503-287-4117	EIN 74-3098100	700 N Killingsworth Street	Portland	OR	97217	USA	Civil Rights, Community Improvement & Capacity Building, Intergroup & Race Relations, Leadership Development, Race	Unite Oregon (formerly Center for Intercultural Organizing and Oregon Action)   Led by people of color, immigrants and refugees, rural communities, and people experiencing poverty, we work across Oregon to build a unified intercultural movement for justice.	In addition to winning a number of social justice initiatives in local cities and counties, Unite Oregon has been a lead organization or partner on many successful state policy campaigns over the past several legislative sessions, including ending proling by law enforcement, improving English Language Learner (ELL) programs, earning paid sick days for Oregon employees, raising the minimum wage, securing basic health, and more (visitwww.uniteoregon.org/policy_advocacy for recent successes).	immigrants, refugees, people of color, low-income families, and rural community members.	Oregon	Our programs, when combined, catalyze systemic change.  Civic EngagementUnite Oregons civic engagement programs provide pathways for community members to participate in democratic processes, serve as leaders on boards and commissions, and engage in the issues that matter most to them.  Policy AdvocacyUnite Oregon advocates for policy changes at the local, state, and national levels that increase equity and reduce disparities experienced by immigrants, refugees, people of color, rural communities, and people experiencing poverty.  Intergenerational Leadership DevelopmentUnite Oregon develops new leaders through signature leadership development programs, through strategic trainings, and through on-the-ground leadership positions within our issue campaigns.  Community OrganizingUnite Oregon assists our members in building the organizing skills necessary to impact policies that affect them and to work collaboratively, mobilizing diverse constituencies.	thousands of Oregonians, who together advocate for just policies that will improve the lives of of immigrants, refugees, people of color, rural community members, and low-income families.	
Salem Classical Fencing	http://www.salemclassicalfencing.org	503-375-9209	EIN 20-0530064	354 Belmont St Ne	Salem	OR	97301	USA	Amateur Sports, Recreational Clubs, Sports	Salem Classical Fencing works to bridge barriers in our community by teaching honor, chivalry, and respect through the art and sport of fencing.		Kids ages 8+ and adults in the mid-Willamette valley.	Salem, Keizer, and surrounding areas	Introductory & Advanced fencing classes, Summer Day Camps, Middle School Fencing League, High School Fencing League, Youth Epee league, Adult Fencing League, Informational lectures, Birthday Parties & Team-building, Tournaments		
Oregon Bluegrass Association	http://		EIN 93-0823198	Po Box 1115	Portland	OR	97207	USA								
SCRAP:  Creative Reuse Centers	http://scrappdx.org	503-294-0769	EIN 93-1270807	1736 SW Alder	Portland	OR	97205	USA	Arts & Culture, Arts, Culture & Humanities, Education, Environment, Recycling	SCRAP inspires creative reuse and environmentally sustainable behavior by providing educational programs and affordable materials to the community.	1.  We have launched programs  in five states and soon will add a sixth state.  Further we continue to do outreach in two additional states.  2.  In fiscal year 2015,  we diverted 152 tons of usable creative materials that would typically have become part of the waste stream. We make the materials  and reuse education - available, at a low cost, to entire communities including educators, artisans, crafters, creative entrepreneurs and families.   3. On an annual basis we educate over 3,000 young people and raise community awareness of creative reuse through events, fundraisers, and community outreach.	Our mission is to inspire creative reuse and environmentally sustainable behavior by providing educational programs and affordable materials to the community.	Portland, OR; Humboldt, CA; Denton, TX; Tri-Cities, WA; Traverse City, MI; Baltimore, MD; and growing.	  Selling low-cost reused materials through Creative Reuse Thrift Stores    Teaching youth about our environment, low impact living, and creative resuse through Camp SCRAP; Birthday parties; and workshops   Supporting economic development thous Re:Vision Gallery, and Re:Boutique consignment shops;   Encouraging participation through volunteerism, community events and workshops   Reducing the amount of waste entering the landfills through our Fill minds not landfills program.	Mother Earth by diverting  152 tons of usable creative materials from the waste stream & educated over 3,000 young people and community members	
Cat Adoption Team	http://catadoptionteam.org	(503) 925-8903	EIN 20-0773189	14175 SW Galbreath Drive	Sherwood	OR	97140	USA	Animal Protection & Welfare, Animal-Related, Animals	CAT's mission is to save the lives of homeless cats and to work with our community to provide feline expertise and quality programs and services for people and cats.			the Portland metro area	Adoption: We provide shelter, medical care, evaluation, and treatment to cats who have become homeless. As an adoption guarantee facility, we are committed to finding responsible, loving  homes for all the cats and kittens in our care. In addition to our Sherwood shelter location, cats for adoption from CAT are also available at several offsite locations, including pet supply stores, veterinary clinics, and Portland's first "cat cafe" Purringtons Cat Lounge. Spay/Neuter Clinic: CAT's on-site hospital provides low-cost spay/neuter options for cat owners through a low-cost coupon, Spay & Save program for low-income individuals, and quarterly free spay/neuter days. The clinic offers additional services, such as microchipping and vaccinations, at the time of surgery to clients who request them. Kitten Foster: CAT specializes in providing pregnant cats, nursing moms with a young litter, or an orphaned litter of kittens with a loving start to a long life as someone's favorite pet. CAT's foster program is national recognized and modeled after by many shelters across the country. 9 Lives Transfer and CAT Helpline: About 80 percent of the cats and kittens at CAT come in from partner shelters who are facing capacity or have limited resources. This program helps save the lives of felines who might otherwise be at risk of euthanasia. We prioritize helping local organizations, and expand our reach to other communities as we're able. Our Helpline offers support to individuals who must re-home their own cat (either through CAT's shelter or other means) or who have questions about lost/found animals or cat behavior issues. Volunteer Opportunities: Cat lovers find tons of opportunities for volunteering with CAT. Our community of more than 400 active volunteers is essential to our success. Volunteers come to the shelter or offsite locations to assist with care-giving and cleaning, and to provide shelter animals with socialization and attention. Volunteers also assist with special events, data entry, adoption counseling, and in our hospital.	2,500-3,000 felines who come into our shelter from other organizations and individuals; 2,600-3,000 cats and kittens who are adopted from CAT; 1,500-2,000 felines are spayed/neutered through our public spay/neuter clinic.	
Pet Peace of Mind	http://petpeaceofmind.org/		EIN 47-2547717	1313 Mill St. SE Suite 304	Salem	OR	97301	USA								
Corvallis Arts Center Inc	http://www.theartscenter.net	(541) 754-1551	EIN 93-6027995	700 Sw Madison Ave	Corvallis	OR	97333	USA	Arts & Culture	The arts center promotes and encourages creative efforts in the arts, fosters appreciation of the arts, coordinates activities of the member groups, cooperates with other organizations, agencies, and individuals of similar cultural and educational interests in the community and operates as a nonprofit organization.				Promote and encourage creative efforts in the arts, foster appreciation of the arts, coordinate activities of the member groups, cooperate with other organizations, agencies, and individuals of similar cultural and educational interests in the community, and operate as a non profit organization.		
Sanitiam Community Radio Corporation	http://		EIN 93-1304210	Po Box 695	Stayton	OR	97383	USA	Arts & Culture, Radio							
Life Change Transitions Inc	http://www.lifechangetransitions.com	5034539273	EIN 46-2061436	303 South High Street	Oregon City	OR	97045	USA		WE OPERATE SAFE AND SOBER LIVING RECOVERY HOMES THAT PROVIDE A STRUCTURED PATH OF RECOVERY FOR MEN AND WOMEN THAT ARE READY TO MAKE POSITIVE CHANGES IN THEIR LIVES. WE PROVIDE TRAINING TO BECOME SELF-SUFFICIENT WHILE TEACHING JOB SKILLS AND DEVELOPING WORK ETHICS. NEW LIFE TRANSITIONS PARTNERS WITH OTHER ORGANIZATIONS THAT MAKE A POSITIVE IMPACT IN OUR COMMUNITY. FINALLY WE  ARE DEDICATED TO  PUTTING HONESTY AND INTEGRITY AT THE FOREFRONT OF ALL WE DO.	We are looking to open two new transitional houses just for veterans and have pledges for $15,000 so far.	We target Veterans, adult men and women in recovery	Oregon City, Oregon	Transitional housing Case management Job search and placement Many partners in the community to help our clients	100-200	
Word Of Victory Inc	http://		EIN 93-1129510	Po Box 1246	Redmond	OR	97756	USA								
Wetlands Conservancy Inc	http://www.wetlandsconservancy.org	(503) 227-0778	EIN 93-0797197	Po Box 1195	Tualatin	OR	97062	USA	Animals, Environment, Water, Water Resources, Wetlands Conservation & Management, Wildlife Sanctuaries	Founded in 1981, twc is the only organization in oregon dedicated to promoting community and private partnerships to permanently protect and conserve oregons greatest wetlands our most biologically rich and diverse lands. For more than 30 years, twc has educated and assisted landowners, neighborhood groups, land trusts, and watershed councils on local stewardship.				Operations over the past ten years since launching our oregons greatest wetlands program, 25,000 acres of oregons best wetlands have been permanently protected, including over 1,000 acres that are now twc preserves on the central coast and in the willamette valley. Our operations program includes landowner cultivation, ecological assessment, land acquisition in addition to the fundraising and communication which support and result in conservation of oregons greatest wetlands. The operations program also includes the activities that implement our organizational standards and practices and accreditation by the land trust alliance.   land management the organization is dedicated to conserving, restoring and managing wetlands to support fish and wildlife, clean water, open space, public safety, and peoples appreciation of nature. The organization works at different scalesfrom an individual property to a regional landscapeto support and enhance these interconnected systems. The land management component includes restoration, enhancement, on-going stewardship of our preserves.   research as a leader in wetland conservation and restoration, the organization has created the oregon wetlands explorer, a data-rich tool for wetlands mapping, assessment, planning, and education. Our work has furthered the science and practice of habitat restoration and protection. The organization collects, analyzes and disseminates critical data to support wetlands conservation, restoration and education.		
Eugene Masonic Cemetery Association Inc	http://	(541) 345-5161	EIN 93-1151279	Po Box 5934	Eugene	OR	97405	USA	Cemeteries	Maintenance, restoration &				The 10 acres comprising our cemetery is now the center of a growing urban area. Founded is 1859 (the same year oregon became a state) it contains the burials of early settlers including the founder of the city of eugene and the first governor of oregon. As in its early days it welcomes many visitors and neighbors daily and is a popular educational tour for many local schools. Besides its historical importance it also contains a remarkable remnant of native flora and its preservation is also a long term goal of our association.		
Rice Northwest Museum of Rocks and Minerals	http://ricenorthwestmuseum.org	503-647-2418	EIN 93-1217856	26385 NW Groveland Drive	Hillsboro	OR	97124	USA	Arts & Culture, Natural History & Natural Science Museums, Science & Technology Museums	The Rice Northwest Museum of Rocks and Minerals exists to engage, inspire, and educate generations on the splendor and complexities of our Earth.		everyone who wants to learn about the Earth	Northwest Oregon and Southwest Washington	earth science education for people of all ages, research opportunities for geologists, mineralogists, and gemologists,	11,000 elementary students, 26,000 total visitors	
NORTHWEST SARCOMA FOUNDATION	http://www.nwsarcoma.org	(503) 803-6735	EIN 91-1717600	PO Box 91460	Portland	OR	97291	USA	Human Services	We provide hope, education and support to sarcoma patients and their families in the pacific northwest while investing in research to improve cure rates for sarcomas.		those affected by sarcoma cancer	the Pacific Northwest	financial assistance, community support, and research investments for better treatments.	61 patients with financial assistance, brought over 2,000 people together through our events, and invested over $30,000 in sarcoma research	
Mothers Against Misuse And Abuse	http://	(503) 233-4202	EIN 93-0871000	2255 State Rd	Mosier	OR	97040	USA		Education & physcian services.				Education and physician services.		
Canine Angels Service Teams	http://caine-angels.org	(541) 846-6400	EIN 26-1514610	13475 N. Applegate Rd.	Grants Pass	OR	97527	USA	Autism, Centers to Support the Independence of Specific Populations, Disabilities, Health	Train and place service dogs with disabled children and young adults.				2014 was the 7th year of operations. 9 dogs were trained/placed with disabled childern and young adults.		
Soltrekker	http://www.soltrekker.org	503-928-4340	EIN 26-2215107	1912 NE Killingsworth Street	Portland	OR	97211	USA	Education, Energy Resources Conservation & Development, Environment, Natural Resources Conservation & Protection				Greater Portland Oregon			
Project Wilderness	http://www.projectwilderness.org	503-484-6292	EIN 27-0586482	538 SE 7th Ave	Hillsboro	OR	97123	USA	Environment, Environmental Education, Forest Conservation, Pollution Abatement & Control	Project Wilderness works to improve & expand public land for the benefit of citizens, wildlife and the environment.	In 2009 & 2010 Project Wilderness and volunteers removed 14,976 cubic feet of illegally dumped garbage from public land.					
Computerbugs	http://		EIN 81-0554870	674 Se Vine Maple Ln	Grants Pass	OR	97527	USA	Computer Science, Technology							
These Numbers Have Faces, Inc.	http://www.thesenumbers.org	503-489-8643	EIN 26-0416765	537 SE Ash St.  Suite #204	Portland	OR	97214	USA	Children & Youth, Education, Higher Education, Scholarships, Scholarships & Student Financial Aid, Youth Development Programs	These Numbers Have Faces invests in African students to lead and empower their countries.	To date, These Numbers Have Faces has provided 77 university loans to students in South Africa, Rwanda and Uganda and impacts hundreds of students per year with leadership & entrepreneurship training.	students lead and empower their countries	South Africa, Rwanda, & Uganda	Leadership Loans - Social impact loans for high achieving scholars from impoverished communities to attend top African universities. Graduates reinvest a portion of their loan for new scholars from their community.  Community Impact Program - Alongside their university education, scholars complete community service, attend leadership and entrepreneurship training, and are welcomed into a supportive family of friends.	300 students	
White Wolf Sanctuary	http://white-wolf-sanctuary.com	(541) 528-3588	EIN 93-1219380	Po Box 65	Tidewater	OR	97390	USA	Animals, Protection of Endangered Species	Care rehabilitation of endangered arctic wolves				Operation of a sanctuary for the care and rehabilitation of endangered arctic wolves.   newsletter educational presentations - providing the public with information regarding endangered arctic wolves, the need to increase wild populations the activities of the sanctuary to care for rehabilitate		
Oregon Friends of Shelter Animals	http://www.ofosa.org		EIN 20-0003876	1746 Ne 56TH Ave	Hillsboro	OR	97124	USA	Animal Protection & Welfare, Animals	Provide veterninary services medication grooming and daily shelter care in order to facilitate the adoption of shelter animals				Provide veterinary services medications grooming and daily shelter care in order to cacilitate the adoption of shelter animals		
The Bloom Project	http://thebloomproject.org	(541) 480-8700	EIN 26-2061664	70 Sw Century Dr Ste 100 # 256	Bend	OR	97702	USA		The bloom project donates fresh bouquets of flowers to hospitals and palliative care patients, demonstrating beauty, giving, and joy during end of life care.				The bloom project provided over 23,000 floral arrangements to patients during 2014.		
Ecology in Classrooms and Outdoors (ECO)	http://www.ecologyoutdoors.org		EIN 20-3710367	4214 SE 12th Ave	Portland	OR	97202	USA	Education, Environment, Environmental Education, Natural Resources Conservation & Protection, Primary & Elementary Schools	ECO inspires elementary school students to connect to the natural world by providing hands-on ecology enrichment programs.	Since 2005, ECO has brought experiential nature lessons and activities to more than 15,000 students in the greater Portland/Metro region.	inspire elementary school students to connect to the natural world	the greater Portland Metro region	our Ecology Enrichment Programs. We bring expert Scientists in Residence into elementary school classrooms to help students connect with nature through hands-on science, art and service-projects.	2,500 students	
Options Counseling and Family Services	http://options.org	541-687-5943	EIN 94-3136426	1255 Pearl St Ste 102	Eugene	OR	97401	USA	Child Abuse Prevention, Community Mental Health Centers, Counseling, Crime & Law, Domestic Violence, Family Counseling, Mental Health	Vision Statement: Options Counseling and Family Services supports the health, safety, equity, and well-being of our clients, families, employees, and communities.  Mission Statement: In partnership with members of the communities we serve, Options Counseling and Family Services promotes safety, healing, and empowerment for individuals and families.  Core Values: The following core values apply to our staff, community partners, and those we serve: Inclusion and respect: Acknowledging the inherent value of diverse experiences and perspectives. Collaboration: Supporting collaborative relationships. Transparency: Seeking and valuing input from all stakeholders.  Outcome-based: Using comprehensive data to inform and improve our practices. Flexibility: Developing and supporting flexible environments.		families who make up the metropolitan and rural communities of Oregon, by providing quality, cost-effective mental health and family preservation services.	11 counties throughout Oregon	Mothers and Babies Community-based Parenting Classes Behavioral Health Domestic Violence Program Family Builders (Intensive Safety & Reunification Services  ISRS) Family Support and Connections Dialectical Behavior Therapy (DBT) Parent-Child Interaction Therapy (PCIT)	118,860 people in Oregon	
World Pulse Voices	http://www.worldpulse.com	(503) 331-3900	EIN 41-2065177	1006 Se Grande Ave	Portland	OR	97214	USA	Arts & Culture, Civil Rights, International, Media & Communications, Promotion of International Understanding, Women, Womens Rights	World pulse mission is to accelerate the global changes women seek by using digital communication to unite and amplify women's voices, solutions and impact worldwide.				World pulse's global network is powered by tens of thousands of women and allies from 190 countries. Through our growing web-based platform, women are speaking out and connecting to create solutions from the frontlines of today's most pressing issues. Our programs focus on three key areas serving grassroots women leaders: community, training, and content. We nurture community, provide digital media and empowerment training, and channel their voices to influential forums.		
Good Samaritan Ministries	http://www.GoodSamaritanMinistries.org	503 644 2339	EIN 93-0772616	7929 Sw Cirrus Drive Building 23	Beaverton	OR	97008	USA	Counseling, Family Counseling, Human Services, Mental Health, Personal Social Services	GSM is a faith-based, non-profit 501(c)(3) organization*. During a biblical archaeological tour in 1976 at the ancient walls of Nineveh, founder Bettie P. Mitchell answered the call to go and teach nothing but the Kingdom of God.  Our Mission: Empowering people to live and love as Good Samaritans  Our Vision: To develop relationships worldwide that demonstrate the love of Jesus in Action  What we do every day:   Through thousands of loving volunteers in over a dozen offices in the Pacific Northwest (OR, WA, ID), Good Samaritan Ministries (GSM) provides services to men, women, professionals, couples and really anyone in need of heartfelt healing, encouragement, or empowerment.  As a 501(c)(3) non-profit organization all Good Samaritan services are provided through donation support and volunteer effort.  GSM offers similar services internationally.  Located in over 20 countries, our centers touch the lives of those in need by providing encouragement through service such as widow and orphan programs, care for the elderly, counseling/mentoring, empowerment classes, education for children, and MUCH more.	A GSM Counseling Testimony: Everyone Is Welcome 24 SEP 2013 A good friend recommended GSM because it doesnt require payments (donation-based) and because it is Christ-centered. Before I retired from teaching, an international student came to me seeking help for a personal problem. I knew she needed more professional help than I could give. Although the student was not Christian, she felt safe and comfortable there. She asked if I would sit with her during her counseling sessions. I agreed, and I concluded that if I ever needed counseling, GSM would be my choice. Some years later, a personal need did indeed arise and I immediately contacted GSM.  Recently, I received counseling services again as lifes challenges arose.  GSM has been the best place for me because it helped me address my concerns from a spiritual as well as a psychological perspective. In counseling services Id received before, I usually felt left on my own between sessions. At GSM, my counselors offer to pray with or for me at the end of each session was so valuable, encouraging and supportive through difficult times.  Michelles Journey: From Considering Divorce to. 28 MAY 2013 I was losing hope and desperately wanting to leave my husband because our problems seemed insurmountable. I was seriously considering divorce. Michelle is the mother of two teenage daughters at home. At church, Michelle and her husband had been referred to GSM for classes and counseling.  While waiting in the lobby at GSM, I was completely struck by the warmth and a culture of love in the office waiting area, Michelle said. Many of the staff members I found out later were volunteers. I was completely touched by this and experienced that same warm loving feeling every time we arrived.  Learning to Listen and Share our Hearts: As told by Michelle, we began the six-week marriage workshop led by Bettie and Jerry Mitchell in 2011. They shared very openly of the challenges that they faced during their ~60 years of marriage. Bettie made us all laugh, and I loved how she was able to get to the heart of sensitive subjects. It was exactly what I needed to hear! We were also given very practical tools for effective ways of communicating that we still use today. I love the card game it brings honesty and clarity, without judgment or strife to our marriage! Blessing to you Jerry and Bettie!   A mother - Leah & Sams Story 09 MAY 2013 GSM is a place where children have the opportunity to learn how to express their emotions in a healthy way and mothers find support. Leah and her son, Samuel, age 7, came in for counseling because he was crying, screaming and saying he wanted to kill himself. Samuel was being bullied at school and Leah did not know how to help him.	individuals, families, communities, students, widows & orphans	23 countries	school fees, teachers, books, nutrition, dormatories for orphans, support for widows, micro-credit opportunities, counseling, personal development, group therapy, family camp,	7000+ students from nursery school to secondary school	
Assistance League of Greater Portland	http://www.portland.assistanceleague.org	503-526-9300	EIN 93-6032769	4000 SW 117th Avenue	Beaverton	OR	97005	USA	Community Service Clubs, Human Service Organizations, Human Services, Thrift Shops	Assistance League of the greater Portland area is a chapter of a national nonprofit organization that puts caring and commitment into action through community-based philanthropic programs.	Since 1998, 15,000 children living below the poverty line, in the Beaverton and Hillsboro Public School Districts have received new clothes.	Children living below the poverty level in Washington County attending school in the Beaverton and Hillsboro School Districts.Victims of assault in for seven area hospitals.Children leaving foster care in Multnomah and Washington County.Unaccompanied youth attending high school in the Beaverton School District	Greater Portland area	Operation School Bell	2,940 children in need by providing new clothes, foster children by giving them Life Story Books, teen boys in residental rehabilitation with an enrichment program, and victims of rape with Assault Survivor Kits.	
Alliance for a Healthier Generation Inc.	http://healthiergeneration.org	(503) 972-5829	EIN 27-2028308	606 SE 9th Avenue	Portland	OR	97214	USA	Childhood Obesity, Children & Youth, Health, Public Health, Youth Development	To reduce the prevalence of childhood obesity and to empower kids nationwide to make healthy lifestyle choices.	The Alliance negotiated an agreement with the beverage industry that resulted in a 90% reduction in beverage calories being shipped to the nations schools.    The Alliance also negotiated agreements with food manufacturers and group purchasing organizations that have made healthier food choices more available and affordable for schools. Total sales of healthier products to participating schools has increased by $130 million, or 71 percent.  Nutrition standards established by the Alliance for a Healthier Generations Healthy Schools Program and the voluntary agreements with food and beverage companies guided the development and adoption of strong federal nutrition standards for school meals and snacks.   Through its online tools, professional development activities, and hands-on technical assistance, the Alliance has been the leading non-governmental organization helping the nations schools implement the new federal school nutrition standards.  The CDC published in Preventing Chronic Disease a study, which found that meaningful participation in the Alliances Healthy Schools Program is linked to reductions in the prevalence of overweight and obesity among students in high-need schools.	School age children across the country	All 50 states in the U.S.	Healthy Schools Program: Building healthier school environments for more than 17 million students by improving physical education, health education, child nutrition, and staff wellness policies and programs in more than 29,000 schools.     Healthy Out-of-School Time Initiative: Ensuring 5.5 million young people, through 6,300 out-of-school time providers, will have access to healthier foods and increased opportunities for physical activity outside of the school day.  Serving as a catalyst for corporations to become part of the childhood obesity solution by working with more than 120 companies to improve their individual and industry-wide business practices to more positively impact our youth.   Healthier Generation Benefit: Bringing together a coalition of major health insurers, employers, and national medical associations to provide healthcare benefits to more than 2.8 million children for the prevention and treatment of childhood obesity, through a network of 56,000 healthcare providers.	more than 20 million children, with a focus on low-income and minority populations who are at increased risk for obesity and other diseases	
Oregon Humane Society	http://www.oregonhumane.org	(503) 285-7722	EIN 93-0386880	1067 Ne Columbia Blvd	Portland	OR	97211	USA	Animal Protection & Welfare, Animals	The oregon humane society's mission is to foster an environment of respect, responsibility, and compassion for all animals through education, legislation and leadership; to take care of the homeless, to defend the abused, and to fight with unrelenting diligence for the recognition of the integrity of all animals.				Sheltering and adoptions - the oregon humane society continues to maintain one of the highest adoption rates in the country - 11,402 total adoptions for 2014. The animals that found new homes constitute an overall 98% adoption rate. Through the second chance program, the society saves more lives by accepting animals from shelters and animal control agencies across oregon, washington, hawaii and california. These shelters usually face the dual problem of too many abandoned animals and too few adopters. In 2014, 5,776 animals were accepted from 73 organizations. There are three measurements that must be taken together to adequately assess the performance of an organization's animal shelter programs: total number of animals admitted for rehoming, the percentage of animals released alive (save rate), and the average length of stay from arrival to disposition ("los"). Considering only one factor in the absence of others could lead to a false conclusion of success when just the opposite may be true. For example, a shelter could have a high save rate, but if only 100 animals were admitted and 100% were adopted, but the average length of stay was 365 days, you might think of them differently than an organization that accepted several thousand animals, had a 90% save rate, and the animals took an average of two weeks to rehome (a 14-day length of stay). These three metrics together can be used as an assessment of impact and efficiency of animal rehoming program. 2014 adoption rates* the society adopted 4,924 dogs - 99% of all dogs received by the shelter; * the society adopted 5,757 cats - 97% of all cats received by the shelter; and* the society adopted 721 other animals - 94% of all other animals received by the shelter. 2014 save ratesin addition to the adoption rate, the oregon humane society also maintains data on the save rate, calculated according to the asilomar standard. The save rate accurately reflects the many options for pets that come to the shelter besides adoption - for example, animal transfers to other rescue organizations and animals that are returned to their owners. * the society saved a total of 12,010 animals, with a save rate of 98%; * the society saved 5,119 dogs - 99% of all dogs received by the shelter; * the society saved 6,040 cats - 98% of all cats received by the shelter; and * the society saved 851 other animals - 97% of all other animals received by the shelter. The oregon humane society calculates the average length of stay by including the day of arrival through the day of disposition (adoption, transfer, euthanasia or return to owner), but not including time spent in foster homes or the time animals are held for the purpose of criminal prosecution. 2014 length of stay averages* dog/puppy combined was 8. 7 days. * cat/kitten combined was 9. 0 days. Adoption outreachbringing pets into the community for adoption is another way that the society maintains such a high save rate. * a total of 364 animals found homes directly through this program; and* there were 78 events that included pets available for adoption; and* the program reached over 115,000 people in 2014 through events and permanent outreach locations.   medical services - during the year ended december 31, 2014, the society performed 13,555 surgeries in the animal medical learning center (the "amlc"), including 12,053 spay and neuter surgeries and 1,502 other essential and emergency surgeries. In addition, the amlc provided 7,546 medical exams for pets and taught 74 veterinary students.   community awareness - educating the community and promoting animals and programs are crucial to helping the society achieve its mission of finding a home for every animal. In addition to a vibrant education department, the society's public relations and marketing department strives to promote humane lessons through the media, special events, and real-time photos of animals available for adoption on the society's web site. In 2014: * visitors to the shelter totaled 138,585 - a 22% decrease (on average, 386 people visit the society each day - open 359 days); * adoptions averaged 32 per day; * incoming phone calls numbered 260,025; * the society issued 55 media releases; * the society had 855 television and radio news stories that aired; * community events numbered 146, with 78 of them featuring adoption outreach; * the society's magazine reached 30,000 readers; * the society's web site averaged 6,580 daily visitors; and* the average stay on the society's web site was 5:58 minutes.		
Dougy Center Inc	http://www.dougy.org	(503) 775-5683	EIN 93-0833241	3909 Se 52nd Ave	Portland	OR	97206	USA	Counseling, Family Services, Mental Health	The mission of the dougy center is to provide support in a safe place where children, teens, young adults and their families grieving a death can share their experiences.				The dougy center provides support in a safe place where children, teens, young adults and their families grieving a death can share their experiences. Through our national center for grieving children & families, we provide support and training locally, nationally and internationally to individuals and organizations seeking to assist grieving children.		
Rose Community Development Corporation	http://www.rosecdc.org	(503) 788-8052	EIN 94-3144895	5215 Se Duke St	Portland	OR	97206	USA	Community & Neighborhood Development, Economic Development, Homeless & Housing, Housing Development, Construction & Management, Low-Income & Subsidized Rental Housing	Rose builds better outer southeast portland neighborhoods by developing good homes and economic opportunities.				Housing - rose develops affordable housing for rent and for sale to low-income households. We manage and maintain a portfolio of rental housing to provide good homes for low-income residents and maintain housing stock as a long-term asset for our neighborhoods.   resident services - rose supports the residents of our affordable housing communities with activities designed to help families succeed and create economic opportunities. Examples include after-school programs, summer enrichment, employment, health promotion, community gardens, recreational activities and social events.   community development - rose organizes a variety of neighborhood improvement projects identified by members of our community. These projects include economic development, commercial district revitalization, parks and child care.		
Native American Youth And Family Center	http://www.nayapdx.org	(503) 288-8177	EIN 93-1141536	5135 Ne Columbia Blvd	Portland	OR	97218	USA	Children & Youth, Homeless & Housing, Housing Support, Job Training, Youth Centers & Clubs	". . . To enhance the diverse strengths of our youth and families in partnership with the community through cultural identity and education. "				Community development - the community development program seeks to increase the economic success of the native community in portland by providing a number of opportunities. Career skills and workforce programs allow participants to gain the skills and experience needed to be successful in the workforce. The housing program offers long-term housing stability assistance and short-term energy assistance. The homeownership program works to increase homeownership opportunities for portland's urban native community and close the native homeownership gap. Continued on schedule o. The naya family center supports and facilitates several programs related to native economic well-being, including individual development accounts-matched savings ("ida"), financial wellness classes, a small business microenterprise class, tax assistance, and continuing education. Nawitka catering and naya construction provide opportunities for individuals to gain training and first-hand experience in the workforce. Both endeavors are designed to provide limited-term exposure in the food service and construction fields for clients interested in pursuing careers in either of these areas.   youth services - the naya family center provides advocacy and engagement through academic, cultural, and social opportunities to grade school, middle school, and high school students within the greater portland metropolitan area to help them reach their full potential. Rigorous learnings opportunities throughout the year including summer camps, college to career counseling and advocacy, culturally specific programming, after school recreation, and the provision of individual advocacy and other support services are available to youth. Additionally, programming includes gang prevention/outreach, homeless youth and healthy kids as well as referral to external agencies for counseling services.   family services - the naya family center provides family services to strengthen family and community ties. Assistance and support is provided to victims of domestic and sexual violence, to native children in foster care and their caregivers, and to native elders.		
