name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs			Our Black HerStory Project
Right 2 Thrive	http://www.right2thrive.org	+254706350522	EIN 26-2035609	PO Box 7729 C/O Janet S Patry	New York	NY	10150	USA	Human Service Organizations	Our Mission is to break the cycle of poverty through multi-generational empowerment and education.	Our Programs have grown significantly since we began offering classes in August 2012. We have provided jobs to local community members by hiring three instructors, one intern, and one facility manager. We have had over 1800 students participate in a variety of our classes since 2012. 882 residents have taken our personal empowerment workshop. 360 residents have learned how to make upcycled products. 505 residents have received business  training. 200 residents have taken our English classes. 100 % of our education scholarship students pass the national primary (KCPE) and secondary (KCSE) examinations with a C or better opening new academic opportunities for them.	empower women and youth of this low-income community acquire the tools and skills necessary to build better lives and become good citizens of the world.	250 women learn business skills, helped one woman start a hair salon, helped another woman improve her tailoring business, and provided education scholarships, life skills training, and healthcare to 10 youth.	R2T currently works in Kabiria, an informal settlement community in the Dagoretti Division of Nairobi, Kenya. Kabiria is an extremely low income area. Found on Kabiria Road in Waithaka Location, Kabiria consists of small pockets of parkings on private land. The shanties are on small plots of land owned by individuals, who are unable to construct adequate housing. Adjoining the shanties are high-rise buildings and permanent bungalows.	education scholarships and life skills training for youth, women's economic empowerment training, and capital to  form new businesses or improve current ones.			
The Center For Anti-Violence Education Inc	http://www.caeny.org	(718) 788-1775	EIN 11-2444676	327 7th Street 2nd Floor	New York	NY	11215	USA	Children & Youth, Civil Rights, Civil Rights, Social Action & Advocacy, Crime & Law, Domestic Violence, Protection Against Abuse, Youth Development Programs	The center for anti-violence education, inc. 's purpose is to work as a catalytic force to effect changes in the lives of women, lgbt people, teen women, children and others especially affected by violence in order to create a peaceful, just and equitable world.					Self-defense courses, workshops, demonstations and community education programs			
Jericho Project	http://www.jerichoproject.org	646-624-2341	EIN 13-3213525	245 West 29th Street Suite 902	New York	NY	10001	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Housing Support, Human Services, Job Training, Vocational Counseling	Jericho Projects mission is to end homelessness at its roots by creating a community that inspires individual change, fosters sustainable independence and motivates men and women to reach their greatest potential.    Our national model combines supportive housing, customized counseling, and ongoing aftercare. This comprehensive model enables at-risk and homeless people to succeed in jobs, reunite with their families and lead fulfilling lives.	Jericho Project is currently providing homes to veterans through its Veterans Supportive Apartment Program, and is in the midst of construction of its two new supportive housing residences for homeless and low-income veterans in the Bronx.  By the end of 2011, Jericho will provide 172 units of supportive housing to homeless and low-income veterans in New York City.	1 out of 4 homeless individuals in the U.S. is a veteran. In New York City nearly 3,500 veterans sleep in shelters or on the streets every night. Jericho Projects two new supportive housing residences for homeless and low-income veterans, the first new housing programs for veterans in New York City in 15 years, will provide 132 new units of supportive housing to veterans by 2011.   To immediately begin housing veterans and their families while the two residences are being built, Jericho has partnered with the James J. Peters Bronx VA Medical Center to launch Jerichos Veterans Supportive Apartment Program to fast track veterans and their families to affordable, furnished apartments. Jericho will house 40 homeless and low-income veterans through the program.	Jericho will house 40 homeless veterans and their families through its Veterans Supportive Apartment Program in 2010.  Both Veterans Residence I and II will open in 2011, and will house a total of 132 homeless and low-income veterans.	New York City	Every veteran who calls Jericho home will have access to the full range of its support services, including independent living skills, budgeting, accessing community resources, relapse prevention, family counseling, and crisis management. At a time when the unemployment rate for Iraq and Afghanistan veterans is 21.1%, Jericho is dedicated to providing extended services to veterans to help them overcome the difficulties they face transitioning from combat service to civilian life as they search for employment.			
The Leukemia & Lymphoma Society	http://www.lls.org	(800) 955-4572	EIN 13-5644916	1311 Mamaroneck Avenue Suite 310	White Plains	NY	10605	USA	Cancer	The mission of The Leukemia & Lymphoma Society (LLS) is: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.  LLS is the world's largest voluntary health agency dedicated to blood cancer. LLS funds lifesaving blood cancer research around the world and provides free information and support services.  Our Key Priorities will ensure that: The Leukemia & Lymphoma Society helps blood cancer patients live better, longer lives.		create a world without blood cancers.		US / Canada	A) research programs: with advisory input from recognized biomedical research experts, lls funds exemplary projects across the entire research continuum relevant to improved outcomes for blood cancer patients, from basic laboratory science through clinical trials, and from investigator-initiated research to private-sector drug development alliances. Lls is deliberate and purposeful in finding and supporting research that is most likely to help patients as soon as possible. (continued on schedule o) to date, lls has invested almost 1 billion in research aimed at helping all blood cancer patients live better, longer lives. We will continue to support research through our innovative and integrated funding programs, until every patient has a safe and effective therapy. In fiscal year 2014, lls supported research in the u. S. , canada and 7 other countries with a total research disbursement of approximately 78 million. Research funding was distributed across all blood cancers. Our critical role lls programs accelerate relevant research outcomes by: - building a focused research work-force: assuring the next round of breakthroughs requires that young investigators be encouraged to work in blood cancer research fields. - turning discoveries into new therapies: fundamental new findings can be translated into safe and effective treatments that can ultimately prolong and enhance patient lives. - supporting synergy: large grants and contracts enable scientists in academia and the private-sector to collaborate, combining resources and expertise to produce more and faster advances. - filling a void: research projects that are high-risk and/or address rare cancers are less likely to be funded by government agencies or for-profit companies, but may provide important advances. - speeding new treatments to patients: partnering with biotechnology and pharmaceutical companies can advance promising therapies through clinical testing, faster. Past advances made with lls research funding generous donors have helped lls support research that has already benefited blood cancer patients and many others. Advances include: - multi-drug therapies that are more effective than treatments with single anti-cancer agents, - bone marrow / stem cell transplantation and supportive care treatments for patients who relapse despite the best available therapy, - tests that distinguish specific characteristics of particular blood cancers for accurate diagnosis of cancer subtypes, and for "risk stratification" to select an optimal therapy. Targeted therapy research discovering the molecular abnormalities that cause particular types of blood cancer has been useful in diagnosis and risk stratification, and in new "targeted drug" development. Lls-funded investigators have helped advance molecularly targeted treatments that can selectively kill blood cancer cells versus normal cells. Many of these new treatments benefit not only blood cancer patients, but also patients with other diseases. For example: - gleevec is fda-approved for patients of all ages with chronic myeloid leukemia (cml), and is also approved for patients with one form of acute lymphoid leukemia (all), myelodysplastic syndromes (mds), myeloproliferative disorders and rare forms of stomach and skin cancers. Related drugs, sprycel and tasigna, are approved for patients who do not benefit from gleevec. One or more of these drugs are also showing promise for patients with various lymphomas, acute myeloid leukemia (aml), chronic lymphocytic leukemia (cll), and other cancers, including brain, breast, head-and-neck, lung, pancreatic, and prostate cancers, and patients with other diseases including alzheimer's, asthma and pulmonary hypertension. - rituxan was the first fda-approved, anti-cancer antibody drug, developed for patients with forms of b-cell non-hodgkin lymphoma (nhl). It is now also approved for cll patients and as a "maintenance" therapy for follicular lymphoma patients, and showing promise for patients with all and after stem cell transplantation. In addition, it is approved for treating patients with severe rheumatoid arthritis and two other types of autoimmune diseases. A related antibody drug, arzerra, is approved for cll patients and showing wider promise. - velcade, thalidomid and revlimid are fda-approved for patients with myeloma and are also helping some patients with hodgkin lymphoma and nhl. Krypolis was recently approved for myeloma patients for whom at least two prior therapies were insufficient. One or more of these drugs are now being tested for patients with t-cell and b-cell forms of lymphoma, acute leukemias, as well as aids-related kaposi sarcoma and brain, breast, colorectal, head-and-neck, kidney, liver, lung, ovarian and prostate cancers, and alzheimer's disease. - istodax, zolinza, dacogen and vidaza target small chemical, "epigenetic" changes. The first two drugs are approved for patients with peripheral t-cell lymphomas; the latter drugs are approved for mds patients. One or more of these drugs are being tested for patients with all, aml, cml, cll, myeloma and forms of nhl, after stem cell transplantation, and for patients with breast, brain, kidney, colorectal, head-and-neck, lung, stomach, prostate and ovarian cancers, melanoma as well as sickle cell disease and persistent hiv infections. - adcetris was approved in 2011, and in january 2012. It is an antibody- drug conjugate that combines an anti-cd30 antibody and the cytotoxic drug monomethyl auristatin e (mmae). It is an anti-neoplastic agent used in the treatment of hodgkin lymphoma after failure of autologous stem cell transplant or those who are not eligible for asct after failure of at least 2 mutiagen chemotherapy regimens. Adcetris was also approved for systemic anaplastic large cell lymphoma with failure of at least one prior treatment. - gazyva is a humanized monoclonal antibody used as a combination treatment with chlorambucil to treat patients with untreated chronic lymphocytic leukemia. It was approved by the fda in november 2013 and by the eha in july 2014. - imbruvica is an oral small molecule inhibitor agianst btk kinase. It was first approved by the us fda on november 13, 2013 for the treatment of mantle cell lymphoma patients who have recieved at least one prior treatment. On feb. 12, 2014 the us fda expanded the approved use of the drug to chronic lymphocytic leukemia (cll) patients who have received at least one prior treatment. Additionally, it received further expansion to treat 17p deletion in cll with or without prior therapy. - zydelig is an oral small molecule inhibitor that blocks the delta isoform of the enzyme phosphoinositide 3-kinase. It was approved by the fda in july 2014 to treat relapsed/refractory cll in combination with rituxan. It was also approved to use as a monotherapy for relapsed mantle cell lymphoma and follicular lymphoma. Other active research directions lls-funded researchers are also exploring other areas of research that hold promise for patients: - novel stem cell transplantation procedures: these include so-called "mini" transplants that use less toxic pre-transplant treatments and engineered donor cells that help reduce post-transplant complications, making these potentially curative treatments available to more patients. - immunotherapies: including antibodies, vaccines and engineered immune cells, these targeted therapies help a patient's immune system fight infections and kill residual cancer cells, prolonging remissions, and perhaps one day replacing toxic chemotherapies. - diagnostics: new technologies make it possible to characterize the abnormalities in individual cancer cases in molecular detail. This information can be used to help choose the best possible treatment for each patient, especially as more targeted therapies become available. - quality of life research: these studies increase our understanding of how specific treatments can cause debilitating side-effects, including late-effects, and which patients are at risk for developing these complications, so that they can be better managed or even prevented. Driving research to address unmet medical needs lls continues to solicit and support research focused on improving blood cancer patients' quality of life after today's curative therapies. Also in 2014, for the third year, lls actively recruited research proposals in six other underdeveloped research areas in which progress is likely to improve outcomes for patients with particularly urgent needs. New research is focused on: - development of novel therapeutic strategies for patients with non- cutaneous t-cell lymphoproliferative disorders - develop novel targeted therapies for cll patients, with real curative potential - develop novel treatment strategeies for mds and aml patients - develop novel targeted therapies for patients with high-risk myeloma - development of new-targeted therapies for indolent lymphoma patients - define genetic/molecular predispositions  b) patient & community services: an estimated 1,129,813 people across the united states (us) currently battle leukemia, lymphoma and myeloma. The leukemia & lymphoma society (lls) offers a free, comprehensive array of services to blood cancer patients and their families, volunteer caregivers and advocates, healthcare professionals and the public. (continued on schedule o) lls is committed to providing the most accurate and up-to-date blood cancer information. Professional volunteer clinical advisors work with lls staff to review all of the information lls provides through healthcare professional and patient education programs, publications and the lls website. A number of resources are available in spanish for patients, caregivers and healthcare professionals. Lls publishes an annual compilation of data available for blood cancers, including the estimated numbers of new blood cancer cases and deaths, the most recent statistics available for incidence, mortality and survival; and current and accurate information about symptoms, risk factors and treatment. Publications an extensive catalog of education materials is offered free-of-charge to patients and healthcare professionals. Each year, lls distributes booklets, brochures, fact sheets, education program transcripts and dvds through the information resource center and lls chapters. Many materials are also available to view and download at www. Lls. Org/resourcecenter. Downloadable materials are available in english, spanish and french. - 742,148 printed booklets, brochures, fact sheets, education program transcripts and dvds distributed in 2014. Financial assistance in 2014, a combined 51,924,134 was disbursed to patients through the lls patient financial aid (2,523,615),co-pay assistance programs (49,246,019) and the lls patient travel assistance program (154,500). Patient financial assistance programs for more than 47 years, lls has helped patients demonstrating significant need to obtain financial assistance to cover a portion of their treatment costs. The lls patient financial assistance program provides a limited amount of financial assistance to help patients with significant financial need and who are under a doctor's care for a confirmed blood cancer diagnosis. Patient financial assistance funds are subject to availability. - 25,854 patients received patient financial assistance in 2014. Co-pay assistance program this co-pay assistance program helps patients with many kinds of blood cancers meet their health insurance or medicare plan part b or d premiums or co-payment obligations related to treating their cancer. Patients with prescription drug coverage, medicare beneficiaries under medicare part b and/or medicare part d, medicare supplementary health insurance or medicare advantage should check with lls to see if they meet eligibility requirements to receive financial support. Co-pay assistance is subject to fund availability by specific blood cancer diagnosis. For more information call, (877) lls-copay (877) 557-2672 or visit www. Lls. Org/copay. - 18,640 patients received lls co-pay assistance in 2014 community programs each lls chapter office is staffed with a patient services manager (psm) who oversees services to patients and their families, caregivers and healthcare professionals. Psms are healthcare professionals, often with a background in oncology nursing or social work. Psms serve as liaisons with community and regional oncology/hematology healthcare professionals and treatment centers. Community-based education and outreach, support and public policy and advocacy programs are available. - 27,459 patient and caregiver participants across the us in 2014 - 10,798 healthcare professional participants across the us in 2014 programs for children and young adults the trish greene back to school program for children with cancer focuses on increasing communication among healthcare professionals, parents, patients and school personnel to support children, adolescents and young adults living with cancer. Printed literature, videos and other materials to aid the process are available in communities throughout the us and canada via lls chapter offices. The program includes staying connected: facilitating the learning experience during and after cancer treatment. This education program for school personnel, healthcare professionals and parents describes physical, cognitive and psychosocial short-and long-term effects that children, adolescents and young adults may experience during and after treatment. The program offers guidance and numerous resources to help children, adolescents and young adults continue their education during and after treatment. - 1,075 school personnel, healthcare professionals and parents participated in the 22 staying connected programs across the us and canada in 2014. Family support groups lls has developed 344 family support groups at chapters throughout the us and canada. Lls also has 618 volunteer support group facilitators with backgrounds in oncology nursing or social work. Groups are guided by two volunteer oncology health professionals, providing information and support and encouraging greater communication among patients, families, friends and healthcare professionals. - 13,811 participants in family support groups across the us in 2014 patti robinson kaufmann first connection program first connection is a program that links newly diagnosed patients to a peer volunteer who has experienced a similar diagnosis. A trained patient-volunteer currently in remission contacts the new patient to share information and support. This program is available through lls chapters. - 5,616 first connections across the us in 2014.   c) public health education: information and education information resource center paying for medical care, making treatment choices, communicating with healthcare providers, family members and friends-these are some of the stresses that come with a cancer diagnosis. (continued on schedule o) lls information specialists are master's level oncology social workers, nurses and health educators who provide help with disease, treatment and clinical trial information and support. Lls information specialists conduct clinical-trial searches to help patients work with their doctors to find out about specific clinical trials. Patients, families and healthcare professionals may speak to an information specialist at (800) 955-4572 monday through friday, 9 a. M. To 9 p. M. , et, email infocenter@lls. Org or chat one-on-one via the lls website. The information resource center offers translation services in more than 165 languages. - 48,326 inquiries in 2014 the lls website the lls website, www. Lls. Org, fulfills a wide variety of education and information needs. Visitors can personalize their web pages to their location to keep current with disease-specific updates and community education and support activities. The website provides access to lls programs and services, including co-pay assistance, the most current and accurate information and statistics, weekly facilitated online chats, national telephone and web education programs, publications in english, spanish and french, and clinical-trial searches via an online clinical- trial search service that offers patients and caregivers immediate access to listings of blood cancer clinical trials. Patients, caregivers and healthcare professionals can interact with lls and one another through social networking, podcasts and enewsletters. National telephone/ web education programs lls sponsors telephone and web education programs for patients, caregivers, survivors and healthcare professionals about leukemia, lymphoma, myeloma and myelodysplastic syndromes. In 2014, 9 lls national education programs featured disease-specific updates and information about support and treatment options from world renowned clinical experts. Opportunities are provided to ask questions of experts during these programs. These programs offer continuing education credits for nurses and social workers. Lls also sponsors a range of professional education programs. Recent programs explored the administration and management of current therapies for hematologic malignancies and communication among primary care providers and hematologists/oncologists in managing patients with hematologic cancer. Upcoming programs are posted at www. Lls. Org/programs and archives of past programs are available at www. Lls. Org/pastprograms. Professional education programs are available at www. Lls. Org/professionaled. Lls also offers disease-specific webcasts presented by world renowned clinical experts. These can be accessed at www. Lls. Org/webcasts.   d) professional education: lls serves the educational needs of the medical and research community through a number of professional education symposia offered throughout the year. The educational program offers varying formats to facilitate the exchange of information and ideas on the newest developments in cancer research and treatment.			
Keren Simchas Chosson V'Kallah	http://www.kscvk.org	917-225-2515 or 	EIN 06-1537463	712  Montgomery St.	Brooklyn	NY	11213	USA	Human Service Organizations, Human Services	To assist needy individuals by providing all necessities for their wedding. This includes wedding clothes, prenuptial parties, band, hall, caterer, flowers, etc. in addition, to provide furniture and other items necessary to initially set up a home.				all over the world				
Irish Repertory Theatre Company Inc	http://www.irishrep.org	212-727-2737	EIN 13-3531713	132 West 22nd Street	New York	NY	10011	USA	Arts & Culture, Theater	The mission of The Irish Rep is: to bring works by Irish and Irish American masters and contemporary playwrights to a broad American audience, to provide a context for understanding the contemporary Irish American experience; and, to encourage the development of new works focusing on the Irish and Irish American experience, as well as it relates to other cultures.  The Irish Rep offers a balanced fare of programs through Theatrical Productions, the New Works Reading Series, and Arts Engagement activities.	Twenty-two seasons and counting . . .  Just a few of The Irish Reps most notable artistic achievements include:  2008  Outer Critics Award, Outstanding Revival of a Musical  Take Me Along  2007  Jujamcyn Theaters Award for Outstanding Contribution To The Development Of Creative Talent.  2006  Obie Award, Best Actress  Dana Ivey, Mrs. Warrens Profession  2005  Lucille Lortel award for Outstanding Body of Work   2004  Finians Rainbow, adapted by Charlotte Moore. The production received widespread audience and critical acclaim, was extended for an unprecedented 13 weeks, and nominated for the Lucille Lortel awards for Best Revival of a Musical and Best Choreography of a Musical, Drama League award for Distinguished Revival of a Musical, and Drama Desk award for Outstanding Revival of a Musical.  2004  The Colleen Bawn by Dion Boucicault. The production received a Drama Desk nomination for Outstanding Revival of a Play.  2001  The Irishand How They Got That Way by Frank McCourt. This world premiere production by Pulitzer Prize winner Frank McCourt received international acclaim and continues to attract a worldwide audience both through television (PBS) and sales of the movie on VHS.  1992  Received the Drama Desk Award for Excellence in Presenting Distinguished Irish Drama.  Along with these artistic achievements, The Irish Rep has presented the American or World premiere of several Irish and Irish American works including, Harold Princes Grandchild of Kings (1991), Same Old Moon by Geraldine Aron (1995), Our Lady of Sligo by Sebastian Barry (2000), The Matchmaker by John B. Keane, Outer Critics Circle nomination for Outstanding Off Broadway Play (2002), Bedbound by Enda Walsh (2003), new musical adaptation of Beowulf (2005), and Frank McGuinnesss adaptation of The Master Builder (2008).	The Irish Rep is acknowledged for its commitment to engaging communities in a greater appreciation of Irish and Irish American dramatic works. The Artistic and Producing Directors, valued for their accomplishments within the theatrical and Irish American communities, provide a vital gateway to Irish culture both here and abroad. The company maintains a database of audience members from the tri-state area and beyond from all racial, economic and social backgrounds.	40,000 Audience Members Annually	Tri-State Area (NY, NJ, CT)	To provide knowledge and an appreciation for irish culture and literature through the promotion of the irish theatre.   theatre renovation program			
Police Liaison Group, Inc.	http://www.SUNnyc.org	(347) 560-9110	EIN 13-3690574	PO Box 20715 Park West Fin Sta	New York	NY	10025	USA	Children & Youth, Crime & Law, Disaster Aid, Education, Youth Violence Prevention	The main program of the Police Liaison Group is the Schools Unite Network (SUN). SUN shares information to help improve the quality of life and safety of youth. It is administered by the Police Liaison Group (PLG), a 501(c) (3) non-profit organization founded in 1993. The PLGs mission is to help improve the quality of life and safety of New York. The PLG administers the Schools Unite Network's (SUN), technology-based youth safety and information sharing initiative activated in cooperation with the NYPD, parents and schools in Manhattan. In addition to SUN and its focus on schools, the PLG develops and implements initiatives with other community members, law enforcement, other public and private agencies, businesses and elected officials to foster closer relationships for this purpose. To participate in the Schools Unite Network sign up to receive free alerts or provide information at SUNnyc.org				New York State	The police liaison group, a 501(c)(3) non-profit organization, administers the schools unite network (sun). Sun is a technology-based interactive program, activated in cooperation with the nypd, that transmits reliable information to, and receives communications from, parents, schools, the police and other governmental and non-governmental organizations, to help increase the safety of children, reduce juvenile crime and prevent delinquency. Sun is based on the premise that in a post-9/11 digital age, it takes a technology-based network of caring individuals to raise a child. Sun functions on a highly cost-effective basis with the help of in-kind donations of time and services from technology companies/experts and other dedicated volunteers. The sun website is www. Sunnyc. Orgby actively engaging parents and school personnel, sun helps to identify area hotspots and prevent and address suspicious activity and youth-related crimes such as juvenile gang activity, graffiti, and pedophilia. Sun is currently fully operational in manhattan and provides online safety tips and resources to other areas. Through the efforts of sun, children are able to live and learn in a safer environment, a pre-requisite to academic success and personal safety. Key facts about the schools unite network:1. Sun provides reliable information from the nypd to our participants, and is working to engage every community member, parent and school in our interactive network. 2. Sun receives incident reports online, and through voice and text, from parents, youths, school staff and others, anonymously, if they wish. These reports are sometimes from individuals who are unable or unwilling to contact the police, often because of cultural differences or fear of repercussions, or because they believe that a particular problem does not rise to the level of police involvement. Reports may include suspicious activity and youth-related crime, or a request to identify a reputable resource to help a child. The information is transmitted to appropriate decision-makers in the nypd for their response, when necessary. 3. Sun maintains online, downloadable safety maps with locations and schedules of parent patrols, crossing guards, and police patrolled safety corridors on its website. 4. Sun provides several on-demand webinars and podcasts on its website, including: a. Ways to help identify and help prevent juvenile gang activity on the web, on the street, through graffiti and in schools. B. "in a post 9/11 digital age, it takes sun's technology-based network of caring individuals to raise a child," a 3-minute podcast which describes how to report and address youth-related crimes, bullying and suspicious activity through the schools unite network. C. How to guide your child's technology decisions. 5. The police liaison group has become a member of nypd shield* to help identify and communicate potential threats and dangerous conditions to security staff and administrators at schools. The plg holds conferences in cooperation with the nypd for school security staff, administrators and parents to foster closer community-police relations, encourage the exchange of information, and share best practices, resources and tips for the safety of youths. *the nypd shield program partners with security personnel to help protect new york city from terrorist attacks, both foreign and homegrown, based on providing best practices, lessons learned, counter-terrorism training, and information sharing.			
Wolf Conservation Center Inc	http://www.nywolf.org	914-763-2373	EIN 13-4073912	PO Box 421	South Salem	NY	10590	USA	Animals, Protection of Endangered Species, Wildlife Preservation & Protection, Wildlife Sanctuaries	The Wolf Conservation Center (WCC), founded in 1999 by Hlne Grimaud, is a 501(c)(3) not-for-profit environmental education organization located in South Salem, NY. The WCCs mission is to promote wolf conservation by teaching about wolves, their relationship to the environment, and the human role in protecting their future. By providing science-based education programming with Ambassador wolves, we allow wolves and humans to better coexist, improve our efforts to successfully restore endangered wolves to their ancestral homes in the wild, and encourage a  philosophy of respect for all living things.   The WCC also participates in the Species Survival Plan (SSP) and Recovery Plan for two critically endangered wolf species, the Mexican gray wolf (Canis lupus baileyi) and the red wolf (Canis rufus).  As the pre-eminent facility in the eastern United States for the captive breeding and pre-release of endangered wolf species, the WCC aims to become the National model in SSP standards and train other SSPs to expand our mission impact and results.		We see a world where vibrant populations of wolves roam wild landscapes across the continent; where no species of wolf cowers on the edge of extinction; and where every child learns of, and respects, these essential creatures.		The WCC is a 501(c)(3) nonprofit environmental education organization committed to conserving wolf populations in North America.	Through wolves the WCC teaches the broader message of conservation, ecological balance, and personal responsibility for improved human stewardship of our World.  IN addition to offering science-based education programming to children and adults alike, the WCC participates in the federal Species Survival Plans (SSP) for the critically endangered Mexican gray wolf and red wolf and mobilize support for these misunderstood and at-risk predators.			
Strength for Life Inc	http://www.strengthforlifeNY.org	631-675-6513	EIN 26-0672139	21 Pulaski Road PMB 119	Kings Park	NY	11754	USA	Breast Cancer, Health, Health Care	Mission: A community exercise program in which persons with a cancer diagnosis participate in group classes designed to enhance their recovery process.  Services provided will include educating cancer patients and the general public on the benefits of exercise in reducing the risk of certain cancers and improving functional activities.	Since 2007, SFL has been breaking down access barriers and bringing free, quality specialized exercise therapy to cancer patients and survivors through innovative support programs that are comprehensive and coordinated.   The program is unique in that it limits the travel time that participants undertake to access quality, safe and effective exercise therapy for an improved recovery.  Moreover, SFL offers its exercise programs to participants free of charge and provides the equipment so the exercise prescription can be continued at home.  With a minimum of 4 participants, SFL seeks to institute a group class that is convenient locally and accessible and is open to any adult cancer patient/survivor regardless of gender or diagnosis.  SFL holds as many sessions as the communities warrant, providing certified instructors.     SFL places a strong emphasis on strength training and reducing risk of cancer recurrence through community partnerships.  SFL programs provide comprehensive exercise therapy and fitness education via local schools, churches, community centers, libraries - on regular weekday schedules.  Each of the partner sites helps to recruit patients and families, coordinate exercise activities, and reinforce mind over body messages.  SFL collaborates with Stony Brook University, Mather Hospital, Northwell Health System, Winthrop University Hospital, Southampton Hospital, Brookhaven Hospital, Good Samaritan Hospital, American Cancer Society, and has a presence on the Suffolk County Cancer Awareness Task Force.	Strength for Life is open to all adult cancer patients/survivors, regardless of age, gender or cancer diagnosis.	over 200 participants in classes and retreats.	Strength for Life (SFL) is a non-profit dedicated to providing free exercise programs designed to enhance the recovery process of persons with a cancer diagnosis throughout Long Island communities.	Services provided include educating cancer patients, caregivers and the medical community on the benefits of incorporating exercise into the treatment regimen and its effect on reducing the risk of certain cancers and re-occurrences, and improving bodily functional activities.  Programs are conducted by certified cancer exercise specialists in a group setting and held at accessible locations throughout Nassau and Suffolk counties.			
Wild Earth	https://wildearth.org	(845) 256-9830	EIN 20-1675636	29 South Chestnut St Suite 201	New Paltz	NY	12561	USA	Children & Youth, Youth Development Programs	Wild Earth leads transformative nature immersion experiences that cultivate character, confidence, passion and perseverance in New Yorks youth.		children, teens and adults	more than 1000 individuals and families from all walks of life throughout the Hudson Valley	the Hudson Valley of New York	multi-generational nature connection workshops; year-round programs focused on empowerment, connection & wilderness skills; and wilderness-based summer camps.			
Hudson River Community Sailing Inc	http://hudsonsailing.org	(212) 924-1920	EIN 26-1784215	PO Box 20677	New York	NY	10011	USA	Sports, Swimming & Other Water Recreation	Hudson River Community Sailing is a non-profit 501c3 organization dedicated to developing leadership in underserved New York City youth through sailing education and providing maritime recreation to the community at large.					Youth program - develops leadership and academic skills needed by students to succeed in high school and prepare for college and the work place. Important life skills such as teamwork, self-reliance, persistence and responsibility augment the academic skills that are developed through the mediums of sailing and boat building. The youth program consists of multiple projects which include, but are not limited to: sail academy - a year-long after-school project offered, in partnership with seven new york city public schools, to students entering their first year of high school which provides the opportunity for the students to earn academic credit in mathematics, science, and physical education by participating in hands-on boating combined with classroom instruction; first mates - after successfully completing the sail academy project, students are eligible to continue in the first mates project which uses volunteers to provide mentoring, college preparation, homework support, and career discovery while also furthering the development of expertise in sailing and the marine environment, boat building and maintenance, navigation, and racing; and city sail - a fee-based, week-long summer youth camp which provides any student in grades 6 - 11, many of whom receive full or partial scholarships, the opportunity to learn to sail, develop leadership and teamwork, and understand basic scientific concepts related to sailing.   adult program - a fee-based sailing and membership program which offers adults a us sailing sanctioned community sailing center, sailing lessons and classes. Fees and dues from this program are used to subsidize the costs of the projects which are provided to underserved youth at reduced or no cost through the youth program.			
Women's eNews	http://www.womensenews.org	212-244-1720	EIN 01-0578709	6 Barclay Street 6th Floor	New York	NY	10007	USA	Centers to Support the Independence of Specific Populations, Human Services	Womens eNews is an award-winning nonprofit news service covering issues of particular concern to women and creating significant social impact through its work and collaborations:  The competitive advantage of Womens eNews lies in its unique combination of three functions:    1. Serious Reporting: Womens eNews conducts high quality journalism on serious issues that are of particular concern to women.  2. Original Coverage of Under reported Issues: Womens eNews publishes original reporting on issues ignored by other media. Womens eNews articles are frequently reprinted by other news outlets and feminist blogs and websites, and often catalyze social action and additional reporting by other organizations.   3. Global Scope: Womens eNews reports on issues affecting women in the United States and around the world, and its Arabic site is aimed specifically at women in the Middle East. Womens eNews also hires freelancer reporters from across the globe and provides them high quality editing so that they may clearly, concisely and fairly tell the stories from the perspective of those living the issues.	Womens eNews has undoubtedly had a significant social impact, directly and indirectly affecting the lives of millions of people by providing coverage of important issues largely ignored by conventional media. At a more nuanced level, the organization currently creates impact in the following ways:     Womens eNews helps set the news agenda for conventional media;  Womens eNews impacts opinion leaders and policymakers;  Womens eNews is a resource and catalyst for rights organizations and activists;  Womens eNews uncovers injustices, draws attention to issues, disseminates information, and empowers readers;  Womens eNews helps foster, train, and support the career development of new journalists with a focus on social justice and womens rights;  Womens eNews raises the profiles and supports the leadership development of its 21 Leaders for the 21st Century.	put women in the headlines and the bylines of news media		nearly every country across the globe	Black Maternal Health, a long running investigative series exploring the health disparities that exists for Black moms in America; Women and Poverty, a long running investigative series bringing life-bias for women economically to light; Arabic Women's eNews, an Arabic language sister site providing news and commentary for Arabic speaking women and 21 Leaders for the 21st Century, an annual leadership gala and program to support and celebrate those investing in women and girls.			
