name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
Little Hearts Big Smiles/Clinton County Foundation	http://www.littleheartsbigsmiles.org/	937-478-7738	EIN 31-1140087-001	348 Hannah Court	Wilmington	OH	45177	USA		The mission of Little Hearts Big Smiles of Southwestern Ohio is to be a supportive outlet for families of children with special needs and to provide opportunities for these families to succeed by providing educational opportunities for growth and development.  We will also increase awareness of the need for handicap accessibility in Clinton and surrounding counties.  This includes the need for a fully accessible playground in Clinton County.	Special Needs Community in Southwestern Ohio - no age limit, we service all families of children and/or adults with special needs.		IEP Workshops (1-2 per calendar year) IEP Trainings (4 per year) Wills and Trusts Seminar (1 per year) BCMH Training (1 per year) Nutritional Seminars (1 per year) Horseback Riding (1 per year) Arts and Crafts (6 per year) Pumpkin Patch Visit (1 per year) Pizza Party (1 per year) Back to School party (1 per year) Fundraising Events - ongoing	We have been fundraising since 2009 for an All Children's Playground in Southwestern Ohio.  We have purchased phase I of a 4 phase playground.  The first purchase was $100,000 in playground equipment and ground surfacing.  The playground will be built in Clinton County, Ohio.	Families of special needs children.  We service the entire family by providing educational opportunities such as trainings, seminars and workshops pertaining to all aspects of raising a child with special needs, we also provide opportunities for the children such as horseback riding, pumpkin patch visits, gingerbread parties, back to school parties etc.  All opportunities are free to the families.
Wildlife Haven	http://www.wildlifehaven.org	(419) 683-3228	EIN 34-1861479	3659 State Route 598	Crestline	OH	44827	USA	Animals, Wildlife Preservation & Protection	Wildlife Haven was founded in 1990. Our main focus is on the care of injured, orphaned and displaced wildlife. Wildlife Haven provides professional care to native birds and animals, most of which are in trouble due to manmade causes, and gives them a second chance at life in the natural world.			Rehabilitation - cared for 650injured/orphaned animals with a 81% release rate. Assisted over 1600 people with wildlife questions and inquiries related to animal care/preservation.   education - presented 15 programs to over 800 people at public forums and speaking engagements, and assisted over 2000 visitors/ callers with one-on-one educational responses.		
Aha A Hands On Adventure A Childrens Museum Inc	http://www.aha4kids.org	(740) 653-1010	EIN 20-8103898	Po Box 1212	Lancaster	OH	43130	USA	Arts & Culture, Children's Museums	A hands-on museum for children, educational services			Surrounding children and the adults in their lives with a hands-on, interactive, playful and educational environment that invites curiousity, allows exploration, encourages participation and celebrates the child-like wonder in us all.		
Tandana Foundation Inc	http://www.tandanafoundation.org	937-848-2993	EIN 20-4748423	2933 Lower Bellbrook Rd.	Spring Valley	OH	45370	USA	Community & Neighborhood Development, Economic Development, Education, International, International Cultural Exchange, International Exchange, Preschools, Scholarships, Scholarships & Student Financial Aid	To empower individuals of various cultural backgrounds with an increased awareness of the world, other cultures, themselves, and an expanded sense of their possibilities;  To promote positive, caring interactions between people of different backgrounds and encourage consideration and lessening of global inequalities;  To promote respect and responsibility toward one's self, all people, and the Earth.		Otavalo Canton, Ecuador and Bandiagara Circle, Mali	Tandana coordinated 15 volunteer programs in ecuador, which allowed 232 north americans to volunteer their services to help 14 rural communities in ecuador, while learning about the local culture. Two of these programs were focused on health care, and allowed our volunteer healthcare providers to treat 1,181 patients. Our internship and long-term volunteer programs also allowed 7 north americans to spend 2-12 months each in ecuador and to provide english classes at elementary schools and assistance at a rural health center and a native tree nursery.   tandana provided funding for several community initiatives in mali: a water tower and irrigation system for a community garden in kansongho, literacy classes in 8 villages, carpentry training for 10 men in kansongho, training of women's savings for change groups in yarou plateau, and assistance and training for an eight-village association that has formed to protect the forests and promote soil conservation. Through our ecuador programs, we provided funding for other community projects, including: additions to the school buildings in 2 communities, improvements to the community center and soccer field in agualongo, a fence for the school in minas chupa, a new greenhouse for the ucinqui native tree nursery, vacation courses for 60 secondary students, and the plantation of 1100 native trees in muenala.   tandana provided scholarships for 94 rural ecuadorian students, which allowed them to attend secondary school, and for 14 rural ecuadorian students to attend university. We provided books, supplies, uniforms, transportation costs, and other fees	We received 501c3 status in late 2006 and since then have coordinated thirteen volunteer programs in Ecuador and two in Mali, which have allowed approximately 140 North Americans to volunteer their services to help 17 rural communities in Ecuador and 2 villages in Mali, while learning about the local cultures and forming cross-cultural friendships.  Ten of these programs were focused on health care and allowed our volunteer healthcare providers to treat over 2,000 patients in 17 communities.  One program was focused on education and allowed us to provide free English courses for approximately 50 local students.  Other programs have allowed us to support community projects such as the paving of a patio for a community center, the construction of a bathroom for a kindergarten, the planting of fruit trees in a school garden, and the building of a storehouse for a village grain bank.  Through our grants program, we have provided funding for four community initiatives in Mali, including the creation of a grain bank, the beginning of two school gardens, and the restoration of a well; and one community initiative in Ecuador: the creation of a school computer lab. We have also supported 30 rural Ecuadorian students by covering the various costs necessary for them to attend secondary school.  This summer we offered free English classes, attended by 80 students, and math classes, attended by 30 students, for our scholarship students and others in their communities.	
The Dragonfly Foundation	http://www.Dragonfly.org	513-494-6474	EIN 27-3183929	9275 Governors Way	Cincinnati	OH	45249	USA	Cancer, Gift Distribution, Health, Human Services, Patient & Family Support	The Dragonfly Foundation provides comfort and joy to kids and young adults enduring cancer and bone marrow transplants (BMT). In addition, we enhance the in-patient experience at the partner hospitals we serve.	kids and young adults (and their families) who seek treatement for cancer and bone marrow transplants.	Cincinnati since 2010. In addition to providing services to patients treated at Cincinnati Children's Hospital & Dayton Children's Hospital, we also provide limited support to Lurie Hospital in Chicago, IL.	Gifts for the Hospital, Patients and Families/Caregivers o	Distractions (toys, electronics, laptops, video games and more) and gifts provided directly to the hospital (for inventory replenishment) and to patients, both in- and out-patient o	New Diagnosis/Extended Stay CARE Packages [bags include personal care items, office (file folder, pens, dry erase board, etc.) and laundry supplies, a hospital in-room meal card and our tips book.]  Psycho-social Events and Entertainment o	5 Patient/Family Events PER WEEK on average  o	Celebrity Meet & Greets at events, at The Landing and at Cincinnati Childrens o	Caregiver, child-only, sibling-only, young adult-only events  Emotional Health, Awareness and Support Programs o	The Landing: A 6,000 sq. ft. clubhouse and a US Bank Arena suite o	"I'm Still Me" Hair Loss Care Package & Public Awareness Programs o	Beads of Courage o	Sky Panels, florescent light covers   AND MUCH MORE!	Please see this snapshot for information: https://www.dropbox.com/s/hval01gth1ublfn/1%20Page%20Snapshot.pdf?dl=0  Please also watch this review of Dragonfly by Dr. John Perentesis: https://www.youtube.com/watch?v=VTRSGhIVOr8	More than 800 patients (and their families) totaling more than 3,000 adults and kids
INTO THE FIELD	http://		EIN 26-2692045	1161 Bethel Road	Columbus	OH	43220	USA	Christianity, Community & Neighborhood Development, Economic Development, Nonprofit Management, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Religion						
The Human Race Inc	http://www.humanracetheatre.org	(937) 461-3823	EIN 31-1176135	126 N Main St Ste 300	Dayton	OH	45402	USA	Arts & Culture, Theater	The purposes are to engage		The Miami Valley, SW Ohio	Theatrical performances to the dayton community, as well as in-school programs, were completed which provided an outlet for area actors, directors and designers, and promoted the arts in dayton.		
Intermuseum Conservation Association	http://ica-art-artconservation.org	(216) 658-8700	EIN 34-0753538	2915 Detroit Ave	Cleveland	OH	44113	USA	Arts & Culture, Arts, Culture & Humanities, Arts Services, Historical Organizations, Visual Arts	Ica works with member institutions, corporate and individual collectors to conserve and preserve their objects, artifacts, and documents. Ica also provides workshops, lectures, and symposia to train collections care professionals and the general public on issues surrounding art and artifact preservation.			Ica is the nations' oldest fine art conservation center offering conservation and restoration services for paintings, murals, art objects, furniture, statuary, monuments, pottery, paper products, manuscripts, books, photographs, posters, flags, uniforms, dresses, and metal or clay ceramics. The highly trained staff provides service to churches, zoos, libraries, hospitals, foundations, government agencies, corporations, universities, museums and private collectors.   the very active education and outreach department offers a number of public programs. Ica has collaborated on educational initiatives with over thirty cultural and academic institutions across the state of ohio. This allows ica to reach more demographically and geographically diverse audience, while maximizing the impact of its limited program dollars. Ica has made contact with numerous individuals via outreach efforts, many of whom had no prior knowledge of ica.		
Lifeworks Ohio Inc	http://www.lifeworksohio.org	(216) 661-6616	EIN 26-3943279	4429 State Road No 23	Cleveland	OH	44109	USA	Civil Rights, Reproductive Rights	The mission of the organization is to promote and defend the rights of all innocent human beings from conception until natural death.			Choose life! Program - this program is a classroom presentation for 6th, 7th and 8th grade students to teach them to understand the sacredness of all human life from conception to natural death as well as the dangers posed by abortion.   student contests - the organization enagages students, parents and the community through the sponsorship of art, essay & oratory contests. The contests provide an opportunity for students to critically analyze the value of human life and to create artistic works expressing such value.   community education and outreach - the organization educates the community and encourages involvement through publication of newsletters, lecture series, information booths at fairs and festivals, public service announcements, operation of truth booth program, material assistance to families and children through the life savers program and collaboration with other pro-life organizations through the hands of hope network.		
Somali Women And Childrens Alliance	http://swcaaol.com		EIN 76-0727252	2210 Morse Road	Columbus	OH	43229	USA	Civil Rights, Education, Educational Services, Ethnic &  Immigrant Centers, Immigration, Job Training	Education of children			After school program educated approximately 200 children in math and reading  traffic safety rules of the road pedestrian rules seat belt and safety seat issues and child safety seat check with new seats issued to faulty or noncompliant seats		
Outreach For Animals Inc	http://www.outreachforanimals.org	(937) 667-9264	EIN 31-1809373	8881 Clearwater Ct	Huber Heights	OH	45424	USA	Animal Protection & Welfare, Animal-Related, Animals, Wildlife Preservation & Protection	To educate people about wild animals and the danger of treating them as pets			Presentation of problems and issues with treating wild animals as pets		
Perrysburg Musical Theatre Company	http://		EIN 27-3098930	589 Streamview Dr	Perrysburg	OH	43551	USA	Arts & Culture, Theater						
Maximum Accessible Housing of Ohio	http://www.mahohio.org	216-231-7221	EIN 34-1607289	1725 East 115th Street	Cleveland	OH	44106	USA	Civil Rights, Disabilities, Disabled Persons Rights, Home Improvement & Repairs, Homeless & Housing, Housing & Shelter, Senior Citizens Housing & Retirement Communities, Seniors	The mission of Maximum Accessible Housing of Ohio (MAHO) is to provide and promote accessible housing solutions for people with physical mobility disabilities.	people with disabilities and those wanting age in place.		The Anderson Center for Accessible Living and the Vistas Accessible Apartment Communities		
GVN Foundation	http://www.gvnfoundation.org	(800) 963-1198	EIN 20-3087760	PO Box 602	Bellefontaine	OH	43311	USA	Economic Development, International, International Development, International Economic Development, Microfinance	We believe that empowering women and children is the key to changing the world. We do this by providing financial resources to grassroots organizations working with vulnerable women and children in Africa, Asia and Latin America.   Our core objectives are: - To provide a source of funding for GVN projects that work with vulnerable women and children; - To provide fun, inspiring and educational opportunities for GVN volunteers to stay connected to their volunteer projects through fundraising; - To introduce new people to the work of GVN through our fundraising campaigns.			We support grassroots organizations in Peru, Ecuador, Nepal, Vietnam, the Philippines, Kenya, Uganda, South Africa, Ethiopia and Rwanda.	To read more about our achievements to date, please read our Annual Reports: http://gvnfoundation.org/learn/reports/	
Brother Ron Ministries Inc	http://		EIN 26-4745081	3811 Cleveland Ave Nw	Canton	OH	44709	USA	Religion, Religious Media & Communications						
Hive13 Hackerspace	http://www.hive13.org	(513)593-9292	EIN 27-0353686	2929 SpringGrove Ave	Cincinnati	OH	45225	USA	Community Service Clubs	Hive13 aims to create a place where a diverse community of makers can collaborate and pursue creative projects. Hive13 promotes science & technology education, open source values, and skill sharing amongst its members and the community.	create a place where a diverse community of makers can collaborate and pursue creative projects	Cincinnati	Training classes for computers, electronics, laser cutters, 3d printers, welding, wood working and security.	We recently added a new welder to our toolset to go along with the laser cutter and 3d printers.	
First Steps Parenting Advocacy Center	http://www.fspacenter.com/	(330) 253-4071	EIN 23-7176524	195 E Tallmadge Ave	Akron	OH	44310	USA	Family Services, Family Services for Adolescent Parents, Food, Food Banks & Pantries, Human Services	First Steps believes in the fundamental value of human life. We support the mothers, fathers, caregivers and all others who raise children by providing a broad range of programs and services in confidence, free of charge, with compassion and care to families facing crisis situations or simply for personal growth.	mothers, infants, children, fathers and teen parents	Summit & Portage County	Material goods, diapers, formula, clothing and parenting/prenatal classes, life skills education.  All classes are served a hot meal. Client Choice Food Pantry Free Pregnancy Testing  Career and Maternity Clothing		3100 client visits
Rural Action Development Corp.	http://		EIN 31-1473363	11-B New St	Glouster	OH	45732	USA	Economic Development, Home Improvement & Repairs, Homeless & Housing, Housing Rehabilitation, Housing Support, Microfinance, Rural Economic Development	RADC DBA RAHD grew out of a community needs program with Rural Action Inc., another area non- profit. Housing needs and concerns being such a large area issue in rural Athens County, RADC branched off of Rural Action Inc. to focus solely on sub-standard housing issues.We operate with two full time staff, 5 Americorps full time volunteers, and 2 VISTA capacity building volunteers.					
The RIDGE Project, Inc.	http://www.theridgeproject.com	419-278-0092	EIN 34-1950890	J169 State Route 65	McClure	OH	43534	USA	Children & Youth, Youth Development	Building a Legacy of Strong Families: To establish a path of honor, discipline, and integrity; by way of education, motivation, and inspiration; in order to lead families into a future defined by hope, peace, and righteousness for generations to come!  Because a father's second chance may be his children's ONLY chance!	Adult Services: incarcerated and/or low-income men and their children/families. Youth Services: youth ages 12-18.	Throughout the State of Ohio	1. Healthy Marriage and Fatherhood (for incarecerated and low income men and their families) including TYRO Dads, Couples Communication I and II. 2.  Workforce Development, providing men with the skills and resources to support themselves and their families (CDL Training, Wedling, Culinary Arts, etc.) 3.  Rites of Passage (ROP) Youth program to provide positive character development, traditional values and life skills and Film Camp, where youth create their own 30 second PSAs to challenge youth to stand against the impact of pop culture.	1. Dads who complete our Keeping FAITH program have 4.8% recidivism rate (vs. 12.56% rate in Ohio and 23.7% rate in the US), saving the state of Ohio over $532,000 annually. 2. Served over 2,800 incarcerated and/or low-income men, their children ,and their families, making a difference in their lives and giving them hope for the future. 3.  Reached out to over 76,000 youth in Ohio (through our collaborative efforts with several organizations), working to establish young leaders who can stand up against negative peer influences. 4.  Created ground-breaking partnerships with multiple private companies that resulted in dozens of men learning a new trade to support their families, some while still incarcerated!  Watch the testimonials in our video section as these men share how they have been impacted by our work!	
The Chamber Music Connection Inc	http://		EIN 31-1395074	242 Sinsbury Dr N	Worthington	OH	43085	USA	Arts & Culture, Music						
Child Education Group	http://		EIN 34-1419307	122 Cherry Hill Dr	Wadsworth	OH	44281	USA							
A Child's Hope International, Inc.	http://www.TheChildrenAreWaiting.org	513-771-2244	EIN 26-2650611	2430 East Kemper Road	Cincinnati	OH	45241	USA	Adoption, Children & Youth, Food, Food, Agriculture & Nutrition, Foster Care, International, International Relief	A Child's Hope Int'l is a partner-based organization bringing the church and the community together to look after the more than 143 million orphans worldwide, the 500,000 children in U. S. foster care as well as the 30,000 children that die each day from hunger and the 4,500 children who perish daily from drinking dirty water.	orphans and vulnerable children	local and global	Adoption, foster care, orphan care and humanitarian relief services. These services include high protein food (Hands Against Hunger), clean water, medical, educational and spiritual programs.	Over 25 million high protein meals have been produced and delivered to children in the USA and to 15 countries worldwide. Over 3 million gallons of clean drinking water has been produced in areas where it is needed the most. And over 100 children have been adopted into loving homes through the advocacy work of A Child's Hope Int'l.	feed 10,000 at risk children every day
Athens Area Citizens for the Arts	http://athensareaarts.com		EIN 	PO Box 1258	Athens	OH	45701	USA			promote the arts and culture in Southeast Ohio	various media outlets	Athens Area Citizens for the Arts (AACA) provides an essential service to the community by promoting the arts and culture in Southeast Ohio in an effort to boost the already formidable economic impact of these type of events in our rural area.   Through various media outlets such as posters, flyers, press releases, and our website located at athensareaarts.com, AACA promotes artists, venues, and events free of charge to augment their financial and artistic success.		
Breaking Free Therapeutic Riding Center Inc.	http://www.breakingfreeriding.org/	740-872-3220	EIN 32-0239587	2795 N Moose Eye Rd.	Norwich	OH	43767	USA	Animal-Related, Animals, Down Syndrome, Health, Health Care, Rehabilitative Care	Our mission is to provide an equestrian therapeutic environment for the physical, mental and emotionally challenged children: furthermore, to allow them to explore and achieve basic life functions to the best of their ability and create a sense of freedom, independence and accomplishment which cannot be achieved or duplicated in the traditional therapeutic setting. We hope this helps us and promotes others to continue to grow in dedication and responsibility in providing equine activities and programs for individuals with special needs.	Children with disabilities	Health and human services charity	In the Spring 2015 Breaking Free will begin our new Horses for Heroes program for Veterans in our area. This program has been many years in the planning and we are excited to get it up and running this year. More information on this program will be coming soon.		
All Faiths Pantry	http://www.allfaithspantry.org	(216) 496-4329	EIN 80-0446036	P.O. Box 34239	Parma	OH	44134	USA	Food, Food Banks & Pantries	Alleviate hunger by delivering free groceries to low-income seniors and persons with mobility challenges.	low-income seniors and mobility challenged individuals		delivery of free groceries		
Save Cats and Obliterate Overpopulation	http://www.scoopcat.org	513-771-2967	EIN 20-5111063	P.O. Box 46624	Cincinnati	OH	45246	USA	Animal Protection & Welfare, Animal-Related, Animals, Environment	SCOOP is dedicated to reducing suffering and overpopulation among cats through non-lethal methods	stray and feral cats and the community	Cincinnati, OH	Prevent A Litter program (PAL) that provides spay/neuter vouchers to community members of any income who helps a stray or feral cat. Over 1500 vouchers have been provided.  Sick and Injured Cat (SIC) Program that assists community members of any income with the cost of medical care for sick and injured stray and feral cats	SCOOP has provided vouchers for over 1500 stray and feral cats and has helped dozens of sick, injured and abused stray and feral cats. In addition, SCOOP cares for many special needs cats with various medical issues such as FIV, FeLV, asthma, heart disease, cancer, kidney disease, epilepsy, blindness, etc. These cats receive the best daily and medical care possible.	dozens of sick, injured and abused stray and feral cats
PBJ Connections Inc	http://www.pbjconnections.org	614-395-1395	EIN 20-5935457	9800 Jug Street Road	Pataskala	OH	43062	USA	Children & Youth, Human Services, Mental Health, Mental Health & Crisis Intervention, Youth Development, Youth Development Programs	PBJ Connections, Inc. is a non-profit organization providing emotional healing for at-risk youths and their families using an innovative program that brings together the clients, a therapist, and horses.	The youths that we serve come primarily from a low socioeconomic background and are struggling with mental health issues or exhibiting behavioral disturbances that are preventing them from succeeding at school or in the community.		Equine Assisted Therapy For Individuals, Families, and Groups - We offer equine assisted therapy to at-risk youth and families. Sessions focus on emotional awareness and behavioral management which helps clients deal with mental health issues or environmental stressors.  Therapeutic Horse Management - This program focuses on teaching horse-related skills while working on self-discipline, job skills, and communication skills. This educational experience is schedule on an as-needed basis.  PBJ@Work - PBJ Connections offers a rich set of corporate leadership and teamwork options that are suitable for work and social teams of all sizes.  Equine Assisted Therapy Program Consultation - Thinking of starting your own therapy program? We frequently get phone calls from people wanting to start their own program. Consultation is available on an hourly basis.	PBJ Connections has delivered over 1100 client sessions since we began services in the summer of 2007.	100
New Housing Ohio Inc	http://www.newhousingohio.org	(513) 554-4567	EIN 31-1435217	4055 Executive Park Dr Ste 125	Cincinnati	OH	45241	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment	Our mission is to improve the quality of life for underserved individuals by providing access to safe, decent, and affordable housing, and related supports.			To develop and manage housing and residential facilities in ohio to provide safe and affordable housing services to those suffering from mental and/or substance abuse disorders.		
ARMS AROUND MEDIA	http://		EIN 20-3784964	2725 Woodburn Ave	Cincinnati	OH	45206	USA	Children & Youth, Youth Development Programs						
Entrepreneurship Institute	http://www.tei.net		EIN 31-0881704	3700 Corporate Dr Ste 145	Columbus	OH	43231	USA	Economic Development, Education, Job Training, Urban & Community Economic Development	Small and Medium size enterprises, especially those with managing founders, often lack the know-how and the know-who when it comes to strategic business decisions and change management, especially in difficult economic times.The Institute builds peer networks for our country's most promising entrepreneurs, serves as a central resource network supported by hundreds of professionals and corporate executives and provides experience based learning and contacting making eventsto presidents, founders, or CEOs (pfc's)of SMEs, nationwide.					
Shoes 4 The Shoeless Inc	http://		EIN 27-3371811	326 Ridgewood Ave	Oakwood	OH	45409	USA	Human Service Organizations						
National Youth Advocate Progran	http://www.nyap.org	(888) 688-9964	EIN 34-1404302	1801 Watermark Drive	Columbus	OH	43215	USA	Human Services	Nyap is an energetic instrument of change in the lives of children youth and families and the systems, structures, and practices that affect them.			Our children, family and youth services provide foster care and mental health services through assessments, diagnosis, treatment and case management with the objective to achieve reunification and permanence in as short a period as possible. In 2014, over 4,500 youth were served in 6 states.   the rental and housing activities are primarily group home and emergency shelter care services. Emergency shelter care facilities provide short term accommodation for troubled youths while suitable placement options in foster and residential are being sought. Group homes provide independent living and intermediate services between foster and residential care. Youth activities and mental health treatment services are provided in the homes. In 2014 about 1,800 clients were served.		
Oberlin Historical And Improvement Organization	http://www.oberlinheritagecenter.org	(440) 774-1700	EIN 34-6533053	Po Box 455	Oberlin	OH	44074	USA	Arts & Culture, Community Improvement & Capacity Building, Historical Organizations, History Museums	To preserve and share oberlin's unique heritage and to make our community a better place to live, learn, work, and visit.			Preservation of historical buildings within the city ofoberlin. Provided education programs and tours of historicalbuildings to the local community and visitors. See schedule o for further information.		
Josephs Legacy	http://Www.josephslegacyrescue.org	(513) 465-6454	EIN 46-4152993	PO Box 3	Middletown	OH	45042	USA	Animal Protection & Welfare, Animals	Joseph's legacy stives to regain hope and respect for all animals. We educate the public of the reality of animal welfare and lack of awareness. Joseph's legacy teams with rescues and shelters nationwide to save lives.			Joseph's legacy has saved numerous animals from a life of abuse and neglect.		
Cherry Street Mission Ministries	http://www.cherrystreetmission.org	419-242-5141	EIN 34-1133369	105 17th Street	Toledo	OH	43604	USA		Our mission is to serve all who come to us in need, and to provide purposeful discipleship by rescuing the downtrodden, restoring hope to the hopeless and releasing God's greatness to those we serve.			Food service - cherry street's food service department served 176,241 meals in 2014, a 16% decrease from 2013. Cherry street provided 8,781 food boxes, equivalent of 58,446 meals to our community, a 93% increase from 2013. Cherry street received 431,804 pounds of perishable and non- perishable food items donations, a 26% decrease from 2013.   men's ministries - men's ministry had a total of 43,858 beds assigned for 2014. Of the 1,082 individual men that we served in 2014, there were 490 men that were new to cherry street; 279 men stayed 7 days or less and 203 men spent only one night in the shelter. The average length of stays was 40 nights. In 2014 we served a combined 328 male guests in programing. There were 217 men who participated in the exchange program, while 111 men participated in the ready for life program. In 2014 there were 3,831 counseling sessions between male guests and staff.   lifebridge - in 2014, there were 6,719 clothing shopping visits, serving 4,434 unique individuals. In total lifebridge distributed 103,849 pounds of clothing 2014, a 30% decrease from 2013. Lifebridge was the recipient of 233,939 pounds of donated clothing from our community in 2014. This was a 12% decrease from 2013. In 2014, lifebridge helped 123 families with furniture needs-a 22% decrease from 2013 when 209 families received furniture.   sparrow's nest - sparrow's nest had a total of 20,951 beds assigned for 2014. Of the 479 individual women that were served in 2014, there were 332 women that were new to cherry street; 101 women stayed 7 days or less and 75 women spent only one night in the shelter. The average length of stays was 44 nights. In 2014 we served a combined 448 female guests in programing. There were 236 women who participated in the exchange program, while 212 women participated in the ready for life program. In 2014 there were 7,020 counseling sessions between female guests and staff. Spiritual emphasis - in 2014, 47 men and women gave their lives to christ, 58 guests recommitted their lives to christ and 211 guests heard the gospel on a one-on-one setting. Thirty-nine (39) men and women joined local churches, 29 guests served in church ministries, 68 engaged in ministry to fellow guests and 24 guests engaged in prayer groups. Every evening our guests participate in group bible studies. Vocation - 677 men and women accessed cherry street's education center for educational needs and vocational training. 116 guests participated in keytrain curriculum, 7 guests worked on their ged, and 5 guests pursued higher education.		
Career Nurse Assistants Programs Inc	http://www.cna-network.org		EIN 34-1782518	3577 Easton Rd	Norton	OH	44203	USA	Education, Educational Services, Health, Nonprofit Management, Nursing Facilities, Seniors	OUR MISSIONWe believe that the residents in nursing homes and other long-term care settings deserve courteous and appropriate care and a quality of life within the health care system.  We further believe that the nursing assistant who provides 90% of this direct-care deserves realistic assignments, appropriate training and supervision, adequate compensation and benefits, career advancement opportunities, recognition of effort, and a work environment that provides the support and supplies needed in order to perform tasks of care.  We will create a National Voice by, for and with nursing assistants and other direct care givers through programs of career development, recognition, education, research, networking and coalition building, peer support and advocacy for all nursing assistants in nursing homes, home care, and other long term care settings. 		The Nursing Assistant Initiatives 1990. (2001 Revised)					
Ohio Dental Association	http://www.oda.org	(614) 486-2700	EIN 31-4361266	1370 Dublin Rd	Columbus	OH	43215	USA		The mission of the ohio dental association is to improve oral health and strengthen denistry in ohio by supporting, protecting, and advancing the interests of member dentists, providing resources to advance the dental profession, improving dental team skills, and increasing public and professional oral health knowledge.			The ohio dental association's annual session is an annual event that the oda hosts with the objective of providing quality continuing education courses to member dentists and dental team members and providing an exhibit hall with vendors who market products to dental practices so that dentists are familiar with the latest technologies available to run a successful and efficient dental practice. The annual session is also host to the annual meeting of the oda's governing body, the house of delegates.   the ohio dental association writes and publishes a monthly publication, oda today, that is distributed to member dentists. The publication ensures that member dentists have access to important information that affects their dental practice, such as ohio rules and regulations, practice management and current events. The oda serves 72 percent of ohio's practicing dentists - more than 5,400 members. The oda today publication is distributed to all members each month.   the ohio dental association works to support, protect and advance the interests of its member dentists. The association's objective is to monitor and respond to legislative and regulatory issues involving various government entities and to work to enact the oda legislative agenda.		
ARMS FORCES	http://www.thearmsforces.org		EIN 27-0889821	PO Box 981  Pamela E Hays	Maumee	OH	43537	USA	Health, Health Support	The Arms Forces provides a caring heart and  listening ear that helps educate, empower and facilitate change for veterans who have a  traumatic brain injury or post-traumatic stress or other invisible wounds.   We build partnerships with our veterans,  families,  service  providers   and   their   communities to  inspire hope and remove  stigma so challenges can be addressed and lives transformed.  The Arms Forces mission was developed using the  real experiences and needs expressed by veterans who have TBI, PTS and other invisible wounds.    Together, civilian and veteran, we work to open the doors to successful life integration for our countrys veterans and their families.				Though we believe that even one life changed in a positive way is a reflection on the passion and purpose we have for our mission and the lives of our veterans and families, The Arms Forces has been able to have significant successes such judicial decisions, assisting homeless, directly influential in stopping veterans suicide, lowering stigma in communities, opening doors to services from other providers for veterans, create a greater understanding about TBI with service providers from government, social services, communities through educational events, speeches, trainings and nonprofit culture, media relationships.  Those with invisible wounds don't measure their lives by no challenges, they measure the quality of their lives by how they got through a single day and how they stayed alive, kept hope in their heart, felt motivated to take another step the next day and to keep moving forward to find that place where they are "at home" in their spirit.	
Summer On The Cuyahoga	http://	(216) 408-0423	EIN 20-1749176	Po Box 110662	Cleveland	OH	44111	USA	Education	Attracting college students/graduates to northeast ohio			In this fiscal year, sotc recruited 72 talented students from cwru, colgate, cornell, denison, owu, smith, u chicago, and yale for summer internships and an immersion in cleveland experience with the goal of attaining a "brain gain" for northeast ohio. Since 2003, 102 sotc participants have moved to ne ohio following graduation		
Partnership for Innovation in Education	http://www.piemedia.org	513-871-9569	EIN 27-2210429	PO Box 8722	Cincinnati	OH	45208	USA	Children & Youth, Education	The mission of the Partnership for Innovation in Education is to offer dynamic K-12 curriculum solutions that accelerate academic achievement, heighten career engagement and increase workforce readiness with partners in technology, higher education, business and economic development sectors.	K-12 students	Cincinnati, Ohio	dynamic case-based curriculum solutions that accelerate academic achievement, heighten career engagement and insrease workforce readiness with partners in technology, higher education, business and economic development sectors.		hundreds of K-12 students increase interest and engagement in the learning process; develop lifelong learning and career-ready skills; actively engage in the problem-solving and decision-making processes; develop a sense of independence and learn self-direction; and retain a greater amount of information by creating connection between knowledge development and problem solution.
WATKINS MIDDLE SCHOOL PTO	http://watkinsmiddleschoolpto.wordpress.com/about		EIN 27-2683982	P. O. Box 5 c/o Brending LLC	Township of Etna	OH	43018	USA	Education, Parent & Teacher Groups	Serve children and get parents involved	Southwest Licking School District	Township of Etna	"Donkey Ball" among others.		
Racing For Recovery	http://		EIN 34-1965137	Po Box 160	Sylvania	OH	43560	USA	Human Services, Mental Health, Recreation & Sports, Sports, Substance Abuse Prevention	Prevention of substance abuse			Racing for recovery successfully carries out its mission to prevent substance abuse by promoting a lifestyle of health and fitness		
Ronald Mcdonald House Charities Of The Miami Valley Region Inc	http://www.rmhcdayton.org	(937) 224-0047	EIN 31-0964793	555 Valley St	Dayton	OH	45404	USA		Rmhc-mvr provides a temporary "home away from home" for families of critically ill, hospitalized children and supports efforts that improve children's health within our region. We do this by providing hospital hospitality housing and community grants.			Operated ronald mcdonald house of dayton (rmh), which provides temporary housing for families with hospitalized children from the greater miami valley region. During 2014, the organization provided 3,680 nights of service to 348 families from 32 ohio counties and 8 states other than ohio.   ronald mcdonald house charities of the miami valley region provided grants to 5 charitable organizations in the greater miami valley region to support programs and efforts that improve children's health within the region.   donated volunteer services valued at $124,578 in 2014 also enabled ronald mcdonald house charities of the miami valley region to provide a place for families to stay while their children are hospitalized.		
